school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,71.6,102.2,0.309,0.35,0.549,49.7,55.4,11.3,11.6,0.521,17.7,27.8,0.217
Air Force,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233
Akron,69.1,102.6,0.319,0.467,0.547,49.2,52.7,8.4,7.5,0.518,17.3,27.1,0.222
Alabama A&M,68.3,88.1,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.4,0.203
Alabama-Birmingham,69.5,109.8,0.291,0.334,0.575,54.8,59.3,7.7,11.6,0.545,16.5,31.1,0.218
Alabama State,70.5,97,0.352,0.347,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.227
Alabama,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.3,0.281
Albany (NY),67.3,110.3,0.37,0.273,0.55,55.2,48.3,7,7.9,0.507,14.7,34.9,0.279
Alcorn State,70.4,99.2,0.328,0.382,0.532,48.4,53,8.8,7.7,0.499,17.9,27.1,0.232
American,67.4,96.6,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.4,0.202
Appalachian State,72,104.6,0.378,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252
Arizona State,72.2,113.6,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303
Arizona,68.7,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.2,0.281
Little Rock,66.6,94.2,0.315,0.355,0.505,49.1,52.1,7.4,9.5,0.484,18.5,28.9,0.192
Arkansas-Pine Bluff,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,23.9,0.247
Arkansas State,70.5,104.2,0.329,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.3,0.236
Arkansas,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255
Army,71.7,103.2,0.243,0.418,0.542,49.6,61.1,7.9,8.2,0.524,16.4,27,0.16
Auburn,73.5,111.4,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,31.8,0.308
Austin Peay,70.1,104.7,0.366,0.294,0.532,52.2,49.5,9.4,8.9,0.505,16.8,35.7,0.239
Ball State,71.1,104.6,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.8,0.239
Baylor,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234
Belmont,68.5,113.3,0.279,0.542,0.61,51.5,58.7,7.1,6.5,0.588,16.3,25.2,0.206
Bethune-Cookman,77.7,104.6,0.402,0.372,0.54,52.1,55.5,8.1,8.9,0.502,17.3,33.5,0.282
Binghamton,67.9,101.6,0.297,0.378,0.53,49.6,47.8,8,11.6,0.51,15.8,26,0.19
Boise State,70.7,108.8,0.313,0.425,0.572,55.9,48.6,8,5.9,0.542,16.5,29.3,0.231
Boston College,70.1,107.7,0.307,0.395,0.554,51.6,51.9,7.1,8.8,0.521,15.5,29.8,0.228
Boston University,68.8,102.5,0.323,0.355,0.548,50.1,52.5,10.7,9.8,0.529,17.6,28.6,0.206
Bowling Green State,71.9,103.6,0.372,0.352,0.526,51.2,51.4,8.1,6.6,0.483,15,30,0.272
Bradley,66.3,101.7,0.372,0.343,0.528,51.8,58.2,9.8,12.9,0.49,17.3,31.9,0.263
Brigham Young,67.9,108.2,0.376,0.341,0.579,51,58,9.3,11,0.541,15.2,22.4,0.282
Brown,72.7,104,0.409,0.361,0.534,50.7,48.6,8.7,8.1,0.483,15.7,30.3,0.309
Bryant,71,98.2,0.278,0.401,0.509,44.7,54.1,8.6,3.9,0.479,15.9,26.1,0.196
Bucknell,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,26.9,0.306
Buffalo,73.9,113.3,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.6,0.208
Butler,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202
Cal Poly,66.6,98.4,0.263,0.411,0.509,47.5,51.6,7.3,10.2,0.47,15.2,25.8,0.205
Cal State Bakersfield,67.5,97.9,0.346,0.367,0.509,51.4,55.5,9,9.6,0.473,17.6,32.2,0.241
Cal State Fullerton,70,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,26.8,0.316
Cal State Northridge,66.5,98.2,0.28,0.304,0.518,46,50.1,7.4,6.3,0.488,16,24,0.198
UC-Davis,67.3,104.3,0.393,0.319,0.561,48.4,49,10.2,6.9,0.525,16.7,24.9,0.282
UC-Irvine,68.5,101,0.288,0.319,0.521,55,47.8,7.4,10.7,0.49,17.2,33.1,0.204
UC-Riverside,69.8,93.2,0.326,0.336,0.493,47.7,54.3,8.8,8.9,0.454,17.2,27,0.229
UC-Santa Barbara,68.1,110.9,0.314,0.356,0.558,52.1,54.8,7,9.8,0.532,13.4,29.3,0.219
University of California,70.6,95.6,0.38,0.275,0.486,50.5,40.8,9.7,14,0.446,17.4,34.7,0.256
Campbell,68.6,109.8,0.347,0.432,0.593,48.5,54.1,9.7,11.1,0.561,15.6,21.4,0.26
Canisius,69.9,108.8,0.299,0.45,0.568,49.5,61.4,10,8.1,0.542,16.2,29.9,0.213
Central Arkansas,74.4,106.3,0.361,0.372,0.557,47.5,57.8,8.8,12.1,0.519,15.9,26.9,0.265
Central Connecticut State,66.3,100.3,0.326,0.345,0.54,52.3,50.4,7.4,9.7,0.51,19.1,31.1,0.228
Central Florida,64.9,96.2,0.431,0.331,0.512,50.5,49.1,8.1,9.4,0.478,18,28.5,0.277
Central Michigan,69.3,111.7,0.325,0.474,0.561,50.7,51.6,9,9.4,0.517,14.2,30.9,0.262
Charleston Southern,67.5,105,0.324,0.352,0.539,51.2,45.9,10.5,11.8,0.505,16.5,31.6,0.234
Charlotte,72.2,98.2,0.39,0.345,0.533,48.7,45.2,7.8,5.7,0.493,18.1,26.3,0.279
Chattanooga,67.4,101,0.347,0.43,0.545,49.2,53.7,7.3,5.6,0.511,18,27.1,0.247
Chicago State,74,91.7,0.33,0.289,0.494,45.5,47.4,9.8,7,0.452,18,26.7,0.239
Cincinnati,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249
Citadel,79.6,102.8,0.313,0.527,0.535,46.1,59.4,11.7,8.2,0.504,16.2,27.4,0.221
Clemson,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253
Cleveland State,69.2,98.5,0.291,0.439,0.537,44.3,53.5,9.5,7.3,0.509,17,22.2,0.205
Coastal Carolina,69,103.3,0.387,0.364,0.535,54.2,53.1,7.7,11.5,0.494,18.2,34.5,0.279
Colgate,67.5,107.5,0.291,0.451,0.554,49,51.4,9,10,0.518,14.4,26,0.225
College of Charleston,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.6,0.277
Colorado State,71.4,100,0.335,0.352,0.514,50.7,50.4,8.2,9.5,0.476,15.9,30.7,0.241
Colorado,69.5,102.5,0.333,0.365,0.542,52.4,50.5,6.2,10.5,0.506,17.5,29.4,0.243
Columbia,71,106.6,0.241,0.435,0.549,49,51.5,9.2,10.4,0.522,15.2,27.6,0.179
Connecticut,67.3,99.7,0.324,0.36,0.516,48.2,43.8,8.7,11.2,0.475,16,28.8,0.241
Coppin State,69.1,86.3,0.272,0.476,0.472,44.8,51.4,7.6,7,0.433,18.3,22.3,0.201
Cornell,70.7,104.5,0.356,0.396,0.563,48,60.3,7.1,8.7,0.529,16.6,24.2,0.26
Creighton,72.9,113.7,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.3,0.194
Dartmouth,67.8,100.2,0.327,0.383,0.548,48.5,55.1,8.3,9.3,0.517,17.9,23.7,0.233
Davidson,65.3,115.6,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.3,0.196
Dayton,67,106.4,0.318,0.44,0.583,49.7,60.7,7.7,7.3,0.555,18.1,25.5,0.232
