school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,69.7,101.4,0.383,0.335,0.548,49,54.7,10.7,6.6,0.514,17.2,26,0.269
Air Force,69,97.6,0.402,0.339,0.523,48.3,55.9,8.7,5.9,0.485,16.8,24.7,0.275
Akron,69.2,110.4,0.312,0.506,0.553,49.9,55.7,7.8,9.8,0.528,13.6,29,0.214
Alabama A&M,65.7,102.3,0.393,0.367,0.51,49.4,53.7,8.4,5.7,0.471,14.9,31.5,0.269
Alabama-Birmingham,69.4,112,0.332,0.341,0.571,52.4,64.4,9.2,15.4,0.542,15.4,32.7,0.24
Alabama State,69.5,101.2,0.325,0.337,0.501,49.6,47.2,8.3,9.1,0.467,14.4,31.5,0.222
Alabama,66.1,99.7,0.407,0.436,0.525,47.5,47,8.7,14.2,0.496,17.3,28.3,0.262
Albany (NY),67.8,110.3,0.44,0.317,0.558,55.4,48.3,9.5,4.5,0.509,15.6,35.1,0.33
Alcorn State,66.5,99,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.6,35,0.271
American,62,92.2,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,20,23.5,0.221
Appalachian State,70.8,99.6,0.391,0.401,0.514,49.7,49.7,5.8,7.5,0.472,17.8,32.9,0.275
Arizona State,69.8,104.2,0.378,0.394,0.518,50.4,50.9,7.6,7.3,0.481,14.5,31.5,0.26
Arizona,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316
Little Rock,64.6,108.8,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.3,0.229
Arkansas-Pine Bluff,65.3,86.3,0.301,0.387,0.474,44.6,47,10.9,10.8,0.45,20.8,27.7,0.184
Arkansas State,73,99.3,0.409,0.304,0.51,49.7,49.5,6.8,10.9,0.459,15.1,28.1,0.3
Arkansas,71.3,107.5,0.376,0.273,0.533,50,58.7,10,13.8,0.497,13.2,30.9,0.261
Army,72.2,104.2,0.315,0.421,0.53,52.1,56,6.7,8.3,0.5,15.8,31.5,0.218
Auburn,72.5,97.1,0.41,0.439,0.504,47.2,48.6,7.4,10.4,0.473,16.4,27.9,0.259
Austin Peay,70.5,106.4,0.457,0.315,0.549,51.8,50.7,9.7,7.7,0.516,16.8,33,0.306
Ball State,66.2,104.8,0.349,0.426,0.554,51.7,59.9,8.1,10,0.525,17.2,27.9,0.242
Baylor,67.6,112.8,0.375,0.286,0.555,55.6,64.6,11.6,11.2,0.518,15.5,40.1,0.272
Belmont,72.8,112.8,0.352,0.504,0.611,49.3,59.5,6.2,6.3,0.586,17.3,26.1,0.255
Bethune-Cookman,68.2,102.3,0.309,0.407,0.51,48.5,46.4,8.9,15.3,0.478,15.8,32.9,0.213
Binghamton,67.4,90,0.362,0.371,0.483,48,52.9,7.9,6.4,0.443,18.1,25.2,0.247
Boise State,70.5,109.1,0.406,0.424,0.559,51.3,51.1,9.2,5.8,0.523,14.4,28.5,0.288
Boston College,67,91,0.259,0.404,0.498,45.8,57.2,8.4,8.1,0.475,18,21.8,0.168
Boston University,69.4,104.1,0.363,0.395,0.559,50.7,53.1,8.6,10.2,0.526,17.4,27.1,0.26
Bowling Green State,69.4,101.8,0.398,0.294,0.528,50.6,46.9,8.9,9.2,0.497,15.9,28.7,0.261
Bradley,67.3,82.7,0.393,0.37,0.473,49.1,48.2,6.5,7.7,0.431,22.4,24.9,0.261
Brigham Young,74,112.6,0.349,0.364,0.56,53,55.7,9.3,11.5,0.532,13.6,31,0.241
Brown,70.5,101.5,0.369,0.393,0.534,48.3,59.4,7.5,10.2,0.498,16.4,26.5,0.259
Bryant,68.4,94.4,0.268,0.342,0.498,46.3,55,8.2,7.4,0.475,17.2,26.3,0.172
Bucknell,71.5,108.2,0.433,0.357,0.568,51.6,58.8,9,8.5,0.53,16.4,29.8,0.309
Buffalo,72.6,105.9,0.414,0.37,0.54,51.7,48.2,9.4,9.2,0.499,15.9,32.2,0.294
Butler,69.8,114.1,0.393,0.305,0.564,52.3,51,9.8,8.9,0.526,12.5,32.1,0.287
