school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8,0.535,15.5,28.8,0.239
Air Force,67.4,99.5,0.283,0.4,0.541,50.1,54.1,7,5.8,0.517,17.4,23.7,0.192
Akron,68.5,100.1,0.277,0.477,0.515,48.2,50.1,8.2,8.9,0.485,15,25.3,0.195
Alabama A&M,67.5,88.7,0.25,0.32,0.479,47.1,52.3,10.7,4.7,0.457,19.4,27.6,0.157
Alabama-Birmingham,66.6,105.2,0.315,0.346,0.536,52.7,44.3,9.3,7.5,0.511,14.8,30.4,0.212
Alabama State,69.6,95.9,0.388,0.382,0.499,49,44,9.3,9.3,0.465,17.8,30.9,0.253
Alabama,69.8,102.8,0.38,0.369,0.533,52,48.8,6.6,11.6,0.503,16.8,31.5,0.253
Albany (NY),66.7,99.2,0.322,0.451,0.533,49.7,55.2,9,7.1,0.494,18.4,27.1,0.24
Alcorn State,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213
American,67.7,104.6,0.358,0.355,0.561,50.4,51.5,10.7,11,0.532,16.7,26.1,0.25
Appalachian State,73.7,107.6,0.364,0.42,0.562,48.6,46.1,7.2,6.9,0.529,15.5,26.5,0.261
Arizona State,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298
Arizona,68.6,102.6,0.333,0.376,0.526,50.5,50.1,7.5,6.6,0.49,14.7,28.4,0.24
Little Rock,72.7,101.2,0.417,0.345,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273
Arkansas-Pine Bluff,67.3,96.3,0.417,0.341,0.522,49.4,50.8,9.9,9.5,0.484,19.1,29.1,0.282
Arkansas State,70.2,102.6,0.379,0.372,0.525,51.5,45.6,8,11.8,0.48,16.6,33.2,0.278
Arkansas,71.7,104.2,0.384,0.375,0.54,47,60.8,11.2,15.4,0.51,16,28.3,0.256
Army,71.7,98.9,0.241,0.441,0.52,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165
Auburn,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.543,14.3,31.6,0.221
Austin Peay,71.8,113.1,0.342,0.341,0.566,51.7,46.7,10.5,9.2,0.537,14.1,33.1,0.242
Ball State,71.7,103.1,0.375,0.328,0.556,51.5,47.9,9,8.8,0.523,17.7,27.7,0.263
Baylor,66.5,107.6,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.6,0.219
Belmont,74.2,116.2,0.286,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1,0.211
Bethune-Cookman,74.3,98.6,0.363,0.334,0.514,52.1,53.3,10.1,8.8,0.492,18.4,34.2,0.221
Binghamton,67.3,96.9,0.245,0.428,0.523,45.6,40.9,8.2,12.6,0.505,16.6,21.4,0.158
Boise State,66.5,106.9,0.324,0.397,0.569,49.8,47.1,9,6.4,0.539,15.4,23.7,0.234
Boston College,68.4,101.9,0.35,0.38,0.521,48.7,49.7,7.4,9.1,0.485,15.2,28.6,0.244
Boston University,68.1,105.8,0.243,0.332,0.556,51.5,48.5,8.8,6.6,0.537,16.5,28.7,0.166
Bowling Green State,72.8,106.9,0.354,0.357,0.535,53.5,45.2,9.1,7.7,0.507,14.2,31.1,0.237
Bradley,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8,11.6,0.497,16.7,26.9,0.248
Brigham Young,71.9,108.5,0.399,0.364,0.566,49,54.9,8.7,8.8,0.528,13.7,23.6,0.29
Brown,72.6,100.6,0.377,0.41,0.549,50,51.9,10.3,11,0.513,17.6,23.5,0.27
Bryant,69.2,100.6,0.368,0.421,0.529,47.3,45,7.6,7.5,0.49,16.3,26.7,0.262
Bucknell,71.4,107.2,0.339,0.459,0.566,49.8,59.9,7.3,8.9,0.53,15.5,25.5,0.254
Buffalo,74.5,112.8,0.327,0.436,0.561,52.4,55.3,9.8,10.1,0.535,13.8,31.8,0.225
Butler,67.1,106.5,0.252,0.428,0.548,48.3,50.4,8.7,5.7,0.521,14.2,25.5,0.186
Cal Poly,66.8,97.5,0.264,0.401,0.5,46.8,42.6,7.4,8.9,0.477,14.8,26.1,0.171
Cal State Bakersfield,67.6,103.7,0.296,0.326,0.505,53.3,42.7,9.4,10.4,0.477,15.5,37.4,0.199
Cal State Fullerton,70.3,100.1,0.38,0.308,0.54,50.3,46.9,8.2,8.7,0.503,16.6,23.9,0.269
Cal State Northridge,72.1,105,0.321,0.308,0.536,47.9,52.9,9.1,11.3,0.516,14.5,27.7,0.205
California Baptist,70.1,108.9,0.31,0.43,0.563,52.1,41.5,6.7,7,0.524,15.1,28.2,0.244
UC-Davis,67,96.5,0.308,0.37,0.531,46.5,51,9.3,7,0.5,17.7,21.5,0.218
UC-Irvine,66.2,107.8,0.296,0.325,0.543,54.8,48.5,8.5,10.9,0.516,15.2,34,0.208
UC-Riverside,64.3,101.1,0.237,0.416,0.541,50.5,53.7,7.7,5.4,0.521,17.6,26.9,0.162
UC-Santa Barbara,66,110.4,0.381,0.327,0.547,54.8,52.2,7.5,9.2,0.51,14.2,34.8,0.273
University of California,68.5,99.5,0.348,0.341,0.525,44.6,45.7,10.7,10,0.486,14.8,23.3,0.251
Campbell,68,110.7,0.31,0.478,0.571,47.8,55.6,9.7,9.9,0.537,13.4,23.7,0.235
Canisius,68.5,101.4,0.314,0.431,0.534,47.3,58.4,9.2,9.7,0.505,16.4,27.1,0.217
Central Arkansas,72,99.5,0.35,0.412,0.537,48.2,57.2,8.4,10.1,0.498,17.7,25.1,0.256
