school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,67.7,104.2,0.4,0.36,0.559,50.2,54.5,10.4,6.5,0.515,18.6,30.4,0.3
Air Force,65.4,100.1,0.377,0.418,0.538,48.8,61.7,8.3,9.9,0.504,17.9,26.7,0.26
Akron,65.5,103.6,0.404,0.372,0.527,51,47.6,10,10.5,0.503,16.8,35.2,0.252
Alabama A&M,66.5,95.9,0.421,0.35,0.504,47.1,57.9,9.3,11,0.467,17.1,28.1,0.276
Alabama-Birmingham,69.4,104,0.402,0.274,0.496,55,49,7.8,9.9,0.458,15,40.1,0.265
Alabama State,68.1,102.3,0.395,0.323,0.504,49.5,52.4,9.8,9.2,0.465,14.4,33.6,0.267
Alabama,64.4,104,0.442,0.328,0.537,48.5,47.4,10.5,11.8,0.499,15.8,30.4,0.303
Albany (NY),63,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315
Alcorn State,64.8,96.8,0.427,0.271,0.498,47.3,40.8,9,10,0.459,15.1,29.3,0.279
American,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248
Appalachian State,67.4,99.8,0.403,0.289,0.493,50.6,45.5,9.2,7.2,0.459,14.9,34,0.257
Arizona State,69,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295
Arizona,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9,11.5,0.517,13.2,36.4,0.27
Little Rock,68.4,101.4,0.409,0.274,0.519,50.8,48,8.4,11.8,0.47,16.1,31.9,0.302
Arkansas-Pine Bluff,67.9,92.9,0.421,0.35,0.508,46.6,53.1,14,7.3,0.471,19.9,28.9,0.278
Arkansas State,68.6,107.9,0.427,0.411,0.563,48.5,53.3,9.6,7,0.523,15.3,27.1,0.31
Arkansas,72.5,109.2,0.402,0.332,0.543,47.7,56.1,11.5,13.8,0.501,13.5,31.8,0.292
Army,68.1,105.4,0.322,0.386,0.54,48.9,54.4,8.8,10.9,0.509,16.2,32.1,0.225
Auburn,67.6,105.6,0.441,0.335,0.535,49.3,48.3,9,12.8,0.489,15.3,31.7,0.318
Austin Peay,71.9,104.8,0.493,0.281,0.568,48.7,55.7,9.4,13.4,0.537,19,30.2,0.328
Ball State,67,95.9,0.424,0.39,0.511,52.7,57.6,6.6,5.9,0.468,20.8,35.6,0.293
Baylor,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8,14,0.521,14.7,40.6,0.306
Belmont,69.5,114.9,0.402,0.417,0.612,48.8,58.1,9.9,6.9,0.58,16.5,28.7,0.298
Bethune-Cookman,63.4,99.4,0.359,0.358,0.507,47.2,46.1,9.7,7.6,0.464,16.9,32.9,0.258
Binghamton,65.6,92.3,0.442,0.366,0.489,47.5,47.7,9.2,6.2,0.439,18.5,29.1,0.306
Boise State,65.9,113.9,0.374,0.364,0.564,53.3,45.7,8.9,6,0.524,12.9,33.2,0.28
Boston College,62.7,107.4,0.435,0.437,0.567,47.1,55.4,6.8,6.7,0.523,15.6,27.2,0.323
Boston University,65.9,106.6,0.299,0.392,0.552,49.1,54.9,10.5,4.9,0.523,15.4,28.1,0.213
Bowling Green State,67,92.9,0.361,0.239,0.491,49.8,52.1,11.4,15.1,0.46,18.7,30.2,0.23
Bradley,63.9,99.7,0.365,0.278,0.504,50,42.4,11.1,8.5,0.464,15.9,32.3,0.256
Brigham Young,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7,0.334
Brown,69.4,101.7,0.348,0.302,0.52,51.9,52.8,8.1,11.9,0.489,15.9,30.4,0.234
Bryant,67.9,107.3,0.374,0.337,0.558,48.5,50,9.4,7.7,0.526,15.9,28.7,0.263
Bucknell,63.7,103.5,0.317,0.309,0.528,52.8,51.1,7.2,4.4,0.489,14.6,29,0.237
Buffalo,67.7,108.2,0.419,0.342,0.545,52.1,59.8,10,12.3,0.504,15.7,35.1,0.299
Butler,64,104.2,0.372,0.323,0.514,50.3,45.7,9.1,7.4,0.482,13,30.7,0.246
Cal Poly,60.8,103.5,0.326,0.354,0.501,48.8,52.3,9.6,8,0.466,12.4,31.8,0.224
Cal State Bakersfield,66,104,0.382,0.324,0.535,51.6,50.1,9.8,10.4,0.501,17.6,34.5,0.263
Cal State Fullerton,66.8,100.6,0.381,0.334,0.513,49.1,46.7,7,4.9,0.481,15.4,29.1,0.251
Cal State Northridge,68.7,108.6,0.495,0.206,0.557,51.9,53,9.8,7.6,0.492,15.6,33.6,0.391
UC-Davis,66.6,102.7,0.371,0.404,0.543,43.9,49.9,7.5,5.9,0.51,15.7,24.4,0.258
UC-Irvine,65.6,106.3,0.366,0.288,0.544,52.8,60.1,8.4,16,0.521,16.4,32.2,0.234
UC-Riverside,67.5,99.5,0.416,0.267,0.517,49.2,47.2,9.4,11.2,0.473,16.6,29.5,0.292
UC-Santa Barbara,63.1,111.5,0.417,0.347,0.567,51.7,65.4,7.8,14,0.531,15.1,32.3,0.295
University of California,66.4,107.7,0.356,0.286,0.538,50.5,58.3,7.9,11.1,0.507,13.1,29.6,0.244
Campbell,64,104.4,0.291,0.455,0.544,48.3,58.9,9.3,11,0.521,17.7,31.9,0.197
