school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,65.9,96.7,0.289,0.362,0.516,44.6,56.7,9.9,3.6,0.482,17.2,25.5,0.21
Air Force,61.1,107.1,0.311,0.399,0.567,49.4,65.1,10.3,7.4,0.548,16.9,29.1,0.205
Akron,64.7,104.8,0.311,0.473,0.523,50.5,52.8,10.1,12.1,0.498,15.6,33.4,0.205
Alabama A&M,64.5,95.6,0.419,0.376,0.489,49.5,58.2,8.8,6.1,0.451,18.3,35.8,0.271
Alabama-Birmingham,65.9,101.5,0.35,0.297,0.52,51,59.1,9.7,13,0.477,16.8,34.2,0.259
Alabama State,69.8,102.9,0.35,0.276,0.515,53.5,51.6,9.1,10.6,0.487,16.4,35.9,0.228
Alabama,63.1,105.4,0.436,0.404,0.548,49.7,46.1,10.1,11.1,0.505,16.4,30,0.313
Albany (NY),61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296
Alcorn State,68.2,94.6,0.378,0.297,0.47,46.4,39.4,8.7,6.7,0.43,14.3,31.2,0.248
American,57.1,101.5,0.344,0.386,0.563,45.7,59.7,10.3,8,0.534,17.7,21.4,0.243
Appalachian State,66.5,95.4,0.335,0.367,0.496,49.9,49.9,6.3,5.4,0.456,17.6,31.2,0.238
Arizona State,66,103.3,0.421,0.363,0.541,52.9,53.3,8.7,6.1,0.509,17.8,31.8,0.281
Arizona,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338
Little Rock,65.5,102.8,0.355,0.358,0.516,48.2,51.3,8.3,7.9,0.478,13.6,28.8,0.25
Arkansas-Pine Bluff,64.7,92.2,0.356,0.374,0.5,45,49.2,13.6,10.7,0.463,20.3,30.5,0.242
Arkansas State,66.9,95.5,0.325,0.315,0.496,49.1,48.3,7.9,8.1,0.459,17.2,30.3,0.228
Arkansas,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12,0.5,14.3,35.7,0.27
Army,69,103.2,0.315,0.394,0.532,49.3,56.1,9.2,8.8,0.505,16.3,30.4,0.214
Auburn,67.9,99,0.484,0.387,0.514,46,49.5,9.9,7,0.471,16.4,28,0.322
Austin Peay,68.2,94.6,0.411,0.308,0.486,50.3,54.3,9.3,12.1,0.444,17.7,33,0.274
Ball State,64,99.9,0.355,0.433,0.531,50.2,57.2,8.1,6.8,0.497,18.7,30.2,0.246
Baylor,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26
Belmont,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29,0.225
Bethune-Cookman,61.3,96.7,0.429,0.346,0.503,51.1,42.1,8.9,8.1,0.452,19.2,35.6,0.308
Binghamton,63.4,90.7,0.387,0.347,0.488,46.9,43.9,9.1,7.8,0.45,18.6,26.5,0.255
Boise State,62.4,110.5,0.324,0.416,0.568,52.1,49.2,9.5,7,0.537,14.2,28.4,0.236
Boston College,63.9,101.4,0.35,0.382,0.541,48,56.7,8.8,7.5,0.507,16.7,26.1,0.247
Boston University,63.7,105.7,0.45,0.421,0.56,50.7,55.1,8.8,5.8,0.523,16.9,28.5,0.313
Bowling Green State,63.8,103.9,0.326,0.358,0.527,51,52.2,10.4,11.2,0.491,15.6,31.4,0.233
Bradley,61.1,91.9,0.377,0.349,0.469,50.5,48.2,11.1,9.6,0.429,17.3,32.5,0.25
Brigham Young,70.7,116.7,0.424,0.365,0.584,53.2,60.9,10.2,7.4,0.539,14.2,34.1,0.325
Brown,67.6,97.3,0.448,0.338,0.52,51.1,53.8,6.6,11.1,0.477,18.9,30.6,0.309
Bryant,63.8,102.9,0.328,0.388,0.529,49,53.7,7.9,7,0.488,15.8,29.5,0.246
Bucknell,64.1,105.8,0.397,0.331,0.538,51.6,55.8,6.3,7.3,0.501,14.8,29.9,0.277
Buffalo,68.7,108.5,0.426,0.303,0.533,52,51.7,10.9,11.3,0.487,14.1,34.5,0.306
Butler,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7,0.279
Cal Poly,59.3,101,0.318,0.335,0.479,51,47.6,9.1,8.9,0.442,12.2,32.6,0.218
Cal State Bakersfield,61.2,102.1,0.393,0.325,0.52,53.8,59.7,9.2,6.1,0.474,16.8,34.2,0.284
Cal State Fullerton,65.6,96.7,0.368,0.309,0.5,50.7,43.7,7.6,5.5,0.461,16.4,29.2,0.253
Cal State Northridge,65.9,98,0.418,0.193,0.514,50.4,59.9,8.2,11,0.456,17.2,29.7,0.32
UC-Davis,62.9,111.1,0.378,0.387,0.606,49.4,54.8,8.1,5.5,0.576,18.6,28.5,0.277
UC-Irvine,63.7,105.2,0.292,0.301,0.544,51.2,56.2,8.9,12.6,0.52,15.8,30.2,0.2
UC-Riverside,65.2,99,0.35,0.357,0.513,51.2,56.4,10.2,9.7,0.479,17.3,31.3,0.239
UC-Santa Barbara,62.7,107.1,0.312,0.328,0.536,50.9,62.4,8.1,10.3,0.5,14.6,31.6,0.229
University of California,66.3,99.6,0.304,0.276,0.513,50.6,50.2,6.2,9.2,0.489,14.6,26,0.197
Campbell,63.3,100.6,0.361,0.445,0.528,48.4,59.4,11.1,8.3,0.505,17.2,28.5,0.226
Canisius,64.2,101.5,0.32,0.363,0.505,50.4,61,10.4,10.1,0.466,15.5,34,0.23
Central Arkansas,71.3,91.6,0.393,0.365,0.524,45.8,55.9,8.8,9.4,0.488,22.6,28,0.266
Central Connecticut State,64,92.1,0.286,0.271,0.482,48.9,50.4,7.7,9.3,0.446,18.3,30.9,0.203
Central Florida,64,100.7,0.356,0.356,0.523,47.5,52.4,7.9,10.2,0.497,17.1,30.7,0.229
Central Michigan,66.6,117,0.369,0.476,0.587,50,52.7,10.6,7.5,0.556,13.2,30.3,0.268
Charleston Southern,66.5,108.8,0.343,0.458,0.53,52.3,51.1,10.2,6.8,0.499,14.2,34.1,0.236
Charlotte,67.2,106.5,0.37,0.288,0.542,51.4,50.9,9.3,6.8,0.517,16.6,33.8,0.24
Chattanooga,66.2,107.7,0.434,0.354,0.549,51,48.4,9.7,16.2,0.514,16.5,33.9,0.298
Chicago State,64.5,89.5,0.294,0.369,0.466,48.8,44.8,12.9,9.8,0.433,19.1,33.4,0.196
Cincinnati,59.6,102.8,0.371,0.297,0.527,53.5,51.8,10.8,15.4,0.495,17.7,37.3,0.249
Citadel,60.3,105.3,0.38,0.359,0.566,49.8,60.9,7.7,6.4,0.522,18.8,32,0.292
Clemson,62.8,99.1,0.344,0.339,0.496,51.5,47.9,8.6,12.9,0.46,15.7,34.1,0.234
