school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,68,100.1,0.349,0.354,0.554,47.1,56.6,10.5,8.5,0.53,18.5,23.5,0.232
Air Force,69,104.6,0.381,0.388,0.544,50.3,60.5,8.6,5.7,0.506,15,26.1,0.273
Akron,68,113.1,0.366,0.484,0.58,51.2,54.5,8.1,8.6,0.556,15,29.8,0.25
Alabama A&M,65.4,93.4,0.396,0.289,0.487,46.4,51.9,5.2,4.4,0.446,17.3,30,0.265
Alabama-Birmingham,67.8,105.1,0.373,0.322,0.556,52.4,60.2,7,13.2,0.518,17.3,30.2,0.274
Alabama State,69.6,93.2,0.346,0.368,0.478,50.4,41.7,6.8,8,0.447,18.6,34.6,0.22
Alabama,67.4,100.3,0.391,0.372,0.515,53.8,48.2,8.6,11.6,0.483,17.3,34.1,0.255
Albany (NY),65.3,109.2,0.333,0.266,0.555,55.5,49,7.8,5.6,0.517,15.6,33.7,0.252
Alcorn State,69.2,100,0.328,0.359,0.515,51.4,53.1,9.4,9.2,0.488,17.3,32.5,0.214
American,65.2,94,0.307,0.343,0.522,46.6,49,10.6,6.9,0.503,18.3,21.7,0.19
Appalachian State,72.1,101.7,0.378,0.417,0.525,50.7,55.3,7.7,7.6,0.491,16.5,29.4,0.258
Arizona State,72.5,108,0.319,0.438,0.55,45.1,48.4,8.1,8.8,0.514,12.7,24.4,0.239
Arizona,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31
Little Rock,66.1,102.7,0.333,0.342,0.54,50.6,48.9,8.6,11.7,0.502,16.9,28.8,0.246
Arkansas-Pine Bluff,68.7,88.2,0.337,0.36,0.494,46.8,48.1,12.4,9.5,0.463,22.4,29.8,0.22
Arkansas State,68.8,106.1,0.415,0.323,0.547,52.1,48.1,7.8,7.3,0.522,16.2,31.4,0.265
Arkansas,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29
Army,72,99.7,0.28,0.433,0.538,51.8,61.8,7.6,4.9,0.518,18.3,27.1,0.183
Auburn,75.2,106.1,0.425,0.401,0.544,48.4,48.3,9.6,13.4,0.511,15.5,30.3,0.285
