year,team1,team2,score1,score2,pscore1,pscore2,winner,pwinner,correct,probability
2017,Notre Dame,West Virginia,71,83,69.79533791955413,77.6395807567154,West Virginia,West Virginia,1,0.25889068671348126
2017,Gonzaga,West Virginia,61,58,68.82180263913227,68.87346089318298,Gonzaga,West Virginia,0,0.4983007912703048
2017,Xavier,Florida State,91,66,73.91704473326179,78.49842937793133,Xavier,Florida State,0,0.3528112177222966
2017,Saint Mary's (CA),Arizona,60,69,66.37282505139785,69.20626111082174,Arizona,Arizona,1,0.40763965499817983
2017,Xavier,Arizona,73,71,64.96899867479362,70.58378566101797,Xavier,Arizona,0,0.32170107753748317
2017,Oregon,North Carolina,76,77,71.77020346759882,78.55134221897352,North Carolina,North Carolina,1,0.2880417328456895
2017,South Carolina,Gonzaga,73,77,63.51263630656517,68.49651567804017,Gonzaga,Gonzaga,1,0.34056265063316954
2017,North Carolina,Gonzaga,71,65,74.23765201474525,70.37367780318975,North Carolina,North Carolina,1,0.6249813740346607
2016,North Carolina,Florida Gulf Coast,83,67,90.80053715384001,73.39475791626394,North Carolina,North Carolina,1,0.9243751988377722
2016,Southern California,Providence,69,70,76.34612024826482,76.83760584038073,Providence,Providence,1,0.48383780807139104
2016,North Carolina,Providence,85,66,84.27932286967304,68.70042624402545,North Carolina,North Carolina,1,0.9005169031388265
2016,Indiana,Chattanooga,99,74,86.18007996791735,70.01527365227815,Indiana,Indiana,1,0.908703178740858
2016,Kentucky,Stony Brook,85,57,83.80630826047533,67.04288468409612,Kentucky,Kentucky,1,0.916540006352258
2016,Notre Dame,Michigan,70,63,72.84527931249008,69.11345303130622,Notre Dame,Notre Dame,1,0.6208425811348313
2016,West Virginia,Stephen F. Austin,56,70,67.12017920995055,67.78178373424723,Stephen F. Austin,Stephen F. Austin,1,0.4782483884598219
2016,Notre Dame,Stephen F. Austin,76,75,72.10906295713659,71.41105782317538,Notre Dame,Notre Dame,1,0.522947070312215
2016,Wisconsin,Pittsburgh,47,43,67.64340210221047,65.05948790297548,Wisconsin,Wisconsin,1,0.5843550242197272
2016,Xavier,Weber State,71,53,78.35938516706418,69.04570710038335,Xavier,Xavier,1,0.7787344799695968
2016,Indiana,Kentucky,73,67,76.065738205135,80.63318001239685,Indiana,Kentucky,0,0.3532383566951829
2016,Wisconsin,Xavier,66,63,66.1613751013113,66.24639302342602,Wisconsin,Xavier,0,0.4972034972572781
2016,North Carolina,Indiana,101,86,82.36122339015236,80.47513580831567,North Carolina,North Carolina,1,0.5617906169144395
2016,Notre Dame,Wisconsin,61,56,64.98986378792465,65.19901468777368,Notre Dame,Wisconsin,0,0.49312066382931663
2016,North Carolina,Notre Dame,88,74,79.25643917389232,72.29201396612139,North Carolina,North Carolina,1,0.717092865591492
2016,Kansas,Austin Peay,105,79,97.45221031805906,60.5521027899464,Kansas,Kansas,1,0.9988267625382083
2016,Colorado,Connecticut,67,74,72.35355752876865,75.45696144533144,Connecticut,Connecticut,1,0.39902170002994
2016,Kansas,Connecticut,73,61,80.08725609791247,68.53200070380298,Kansas,Kansas,1,0.8296409815405174
2016,Maryland,South Dakota State,79,74,77.83843254406966,71.62775326266687,Maryland,Maryland,1,0.6957023007599806
2016,University of California,Hawaii,66,77,75.49369511389978,68.72847707704577,Hawaii,University of California,0,0.7115101950510554
2016,Maryland,Hawaii,73,60,73.67917746241801,67.8615151749821,Maryland,Maryland,1,0.6842706195308175
2016,Arizona,Wichita State,55,65,65.98315611073582,63.02432009150316,Wichita State,Arizona,0,0.5963692148049965
2016,Miami (FL),Buffalo,79,72,87.9213686963731,66.07414789132292,Miami (FL),Miami (FL),1,0.964174941251377
2016,Iowa,Temple,72,70,72.63730009964871,67.56547285402557,Iowa,Iowa,1,0.6620920471018666
2016,Villanova,North Carolina-Asheville,86,56,80.48147270006017,62.22938929510414,Villanova,Villanova,1,0.9338264675744414
2016,Wichita State,Miami (FL),57,65,59.882842023265425,63.23561052142401,Miami (FL),Miami (FL),1,0.3911048397602701
2016,Iowa,Villanova,68,87,64.16587477821062,75.35421002320122,Villanova,Villanova,1,0.17813538237469023
2016,Miami (FL),Villanova,69,92,68.16032552863689,71.12919101403179,Villanova,Villanova,1,0.4033105873461202
2016,Kansas,Villanova,59,64,75.23857540341837,71.81369030029431,Villanova,Kansas,0,0.6111764995603418
