year,team1,team2,score1,score2,pscore1,pscore2,winner,pwinner,correct,probability
2014,Creighton,Louisiana,76,66,88.58720294165715,78.69665114707823,Creighton,Creighton,1,0.7926041298293983
2014,Oregon,Brigham Young,87,68,89.58342304286427,82.41456510522218,Oregon,Oregon,1,0.7227674854508658
2014,Wisconsin,American,75,35,69.84783554275009,46.23407037101744,Wisconsin,Wisconsin,1,0.9742319722861895
2014,Arizona,Gonzaga,84,61,70.94416450895943,59.66644421810541,Arizona,Arizona,1,0.8237793248337634
2014,North Dakota State,San Diego State,44,63,61.90042970343637,70.84748467484476,San Diego State,San Diego State,1,0.2303491209653752
2014,Arizona,San Diego State,70,64,65.52500022379007,59.95077247933703,Arizona,Arizona,1,0.6770994382792825
2014,Baylor,Creighton,85,55,71.35635392637505,70.22748082650554,Baylor,Baylor,1,0.537078890536111
2014,Oregon,Wisconsin,77,85,71.57236213802288,78.3245355585453,Wisconsin,Wisconsin,1,0.28885717688238105
2014,Baylor,Wisconsin,52,69,62.67386735403865,69.0751012968671,Wisconsin,Wisconsin,1,0.29882221348273463
2014,Arizona,Wisconsin,63,64,65.86844870273173,62.51591805328847,Wisconsin,Arizona,0,0.6088876298744275
2014,Connecticut,Florida,63,53,65.70025902125069,63.53407358897812,Connecticut,Connecticut,1,0.5708761098746314
