school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Illinois,71,104.8,0.424,0.354,0.564,52.4,53.2,8.1,9.7,0.522,19,31.8,0.312
Incarnate Word,66.6,112.7,0.369,0.397,0.596,53.3,53.3,11.4,8.7,0.564,17.4,32.1,0.272
Indiana State,69.2,102.5,0.372,0.374,0.552,51.6,52.6,8.4,8.3,0.514,17.3,26.5,0.269
Indiana,68.3,97.9,0.292,0.382,0.507,49.2,54.6,8.4,10.1,0.482,15.8,28.1,0.19
Iona,71.4,106.4,0.285,0.424,0.547,52,55.4,7.6,11.2,0.523,16,29.8,0.195
Iowa State,68.2,99.9,0.236,0.392,0.511,49.7,49.9,7.7,7.4,0.484,15.9,30.1,0.169
Iowa,70.2,104.1,0.288,0.412,0.54,49.4,57.8,9.3,7.9,0.515,16,29,0.199
Purdue-Fort Wayne,73.4,104.7,0.239,0.387,0.548,51.1,46.4,7.6,8.5,0.526,15.8,27.8,0.169
IUPUI,71.6,102.9,0.318,0.394,0.548,46.8,52.3,9.8,10.9,0.52,17.2,27.3,0.223
Jackson State,67.4,97.3,0.439,0.369,0.528,49.6,54.6,11,9.8,0.485,18.3,25.9,0.306
Jacksonville State,71.3,95.3,0.295,0.414,0.519,45.7,48.9,9.1,5.9,0.483,18.3,25.1,0.216
Jacksonville,73.3,102,0.286,0.348,0.54,49.5,45.6,9.8,8.7,0.514,16.3,26.9,0.2
James Madison,66,108.2,0.335,0.35,0.553,49.4,53.3,8.5,8.8,0.522,14.7,29.2,0.239
Kansas State,64.9,91.7,0.307,0.429,0.511,49.1,54.5,9.6,8.2,0.482,20.3,25.6,0.207
Kansas,70.3,98.7,0.278,0.418,0.507,47.9,52.7,9.3,8.9,0.478,15.4,27.8,0.191
Kennesaw State,70.9,107.8,0.281,0.373,0.557,51.3,56.2,10.1,8.2,0.532,15.1,29.4,0.197
Kent State,69.4,104.7,0.346,0.379,0.552,49,51.3,8.3,8.4,0.523,17.1,29.7,0.239
Kentucky,67.3,95.5,0.268,0.386,0.498,43.1,47.9,8.6,7.8,0.466,15.7,25.2,0.189
La Salle,69.5,104.1,0.413,0.332,0.552,51.1,53,9.2,9.7,0.513,17.4,28.9,0.296
Lafayette,70.4,109.4,0.307,0.356,0.566,51.7,44.6,8.8,6.5,0.54,13.9,26.3,0.218
Lamar,71.3,97.2,0.339,0.378,0.537,45.1,60.1,8.8,9,0.504,19.5,26.4,0.239
Lehigh,72.5,106.5,0.305,0.425,0.536,49.5,57.1,9.6,10.3,0.502,13.6,27.4,0.223
Liberty,65.4,93.9,0.31,0.376,0.508,48.5,45.9,8.2,8.8,0.478,18.2,24.9,0.21
Lipscomb,74.9,93.7,0.276,0.393,0.516,47.1,49.5,8.7,10.3,0.48,18.1,22.4,0.207
Cal State Long Beach,73.3,102.5,0.3,0.355,0.53,51.3,48.4,10.4,8.4,0.503,16.7,31.8,0.206
Long Island University,72.9,99.8,0.35,0.326,0.515,49.9,48.8,9.4,11.2,0.477,16.1,28.9,0.248
Longwood,68.9,101.6,0.324,0.492,0.54,49.3,55.8,8.3,11.8,0.5,16.1,24.2,0.245
Louisiana,74.8,106.7,0.358,0.356,0.564,51.5,45.5,8.4,7.9,0.528,17.5,31.8,0.263
Louisiana-Monroe,69.2,107,0.278,0.391,0.55,50.6,49,7.9,11.1,0.524,15.3,29.4,0.199
Louisiana State,70.6,100.9,0.331,0.4,0.53,47,45,8.9,7.9,0.499,17.4,30.2,0.229
Louisiana Tech,68,98.5,0.295,0.392,0.521,49.4,56.3,8.2,9.7,0.492,17,27.8,0.203
Louisville,68.4,98.4,0.32,0.372,0.503,47.6,47.9,8.3,10.6,0.468,14.1,25.7,0.223
Loyola (IL),63.7,95.4,0.234,0.391,0.532,49.5,51.7,9,12.5,0.508,18.7,21.3,0.166
Loyola Marymount,65.2,95.9,0.358,0.428,0.533,47.8,65.7,8.8,9.5,0.487,19.7,25.3,0.273
Loyola (MD),70.4,108.7,0.323,0.355,0.59,51.7,56,10.2,11.5,0.556,18.2,29.2,0.249
Maine,64.6,107.3,0.385,0.477,0.578,51.2,64.7,10.9,7.1,0.547,17.5,27.2,0.273
Manhattan,62.8,99.8,0.456,0.418,0.551,51,59.7,10,12,0.509,20.6,29.1,0.323
