school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,71.6,98.7,0.422,0.374,0.54,50.3,48.1,8.9,7.5,0.499,19.5,28.4,0.298
Air Force,67.7,106.5,0.328,0.431,0.576,51.3,57.2,8.3,10.6,0.549,18.3,27.8,0.234
Akron,69.1,107.7,0.383,0.401,0.567,50.8,51.1,9,11.7,0.532,16.2,27.9,0.277
Alabama A&M,68.3,111.3,0.298,0.323,0.562,51.8,52.2,11.1,13.8,0.54,14.4,32.1,0.204
Alabama-Birmingham,69.5,99.7,0.263,0.437,0.524,45.2,53.2,10,7.7,0.498,15.9,24.6,0.183
Alabama State,70.5,111,0.466,0.352,0.556,52.1,51.4,9.4,9.9,0.519,15.5,34.7,0.319
Alabama,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16,30.8,0.25
Albany (NY),67.3,101.3,0.278,0.362,0.533,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195
Alcorn State,70.4,105.5,0.384,0.41,0.541,51.6,57.6,8.9,8.8,0.505,16,31.2,0.27
American,67.4,109.2,0.408,0.325,0.582,54.9,53.1,10.3,11.9,0.549,17.8,30.9,0.291
Appalachian State,72,101.6,0.361,0.328,0.535,47.7,47.5,9.1,9.3,0.497,15.8,25.2,0.26
Arizona State,72.2,102.8,0.327,0.399,0.54,51,57,7.4,9.8,0.507,17.6,30.6,0.235
Arizona,68.7,102.9,0.312,0.356,0.534,44.4,49.8,8.8,6.8,0.499,14.7,25.1,0.229
Little Rock,66.6,103.7,0.394,0.436,0.541,50.9,57.8,8,10.2,0.509,17.4,30.5,0.267
Arkansas-Pine Bluff,68.4,103.6,0.447,0.36,0.537,56.4,58.8,11.4,5.7,0.492,18.6,37.3,0.318
Arkansas State,70.5,110.9,0.346,0.347,0.585,51.4,51.7,8,9.3,0.558,16.8,30.7,0.246
Arkansas,71.3,105,0.408,0.416,0.547,51.1,54.7,6.6,8.7,0.504,16.8,31.5,0.297
Army,71.7,102.9,0.374,0.409,0.552,50.4,53.6,9.3,10.1,0.516,17.5,26.7,0.268
Auburn,73.5,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.8,0.275
Austin Peay,70.1,101.9,0.396,0.363,0.565,47.8,48.3,8.3,9.2,0.53,20.2,28.7,0.283
Ball State,71.1,102.6,0.293,0.362,0.524,48.9,49.8,9.6,9.7,0.491,14.6,27.3,0.213
Baylor,68.5,100.6,0.302,0.384,0.514,45.8,59.7,8.4,10.2,0.479,14.8,29.2,0.216
Belmont,68.5,101,0.268,0.35,0.521,48.5,45.5,8.9,10.6,0.489,14.8,25.7,0.198
Bethune-Cookman,77.7,101.5,0.375,0.337,0.519,47.9,55.3,8.5,8.9,0.48,15.3,30,0.263
Binghamton,67.9,103.2,0.311,0.352,0.543,50.4,55.1,8.4,7.5,0.513,15.6,26.2,0.221
Boise State,70.7,96.1,0.296,0.366,0.521,44.1,51.3,8.4,9,0.487,15.2,18.2,0.215
Boston College,70.1,105.2,0.271,0.405,0.548,48.4,51.5,7.9,8.5,0.518,15.5,26.7,0.202
Boston University,68.8,104.4,0.302,0.404,0.552,49.9,51.8,9.3,8.3,0.522,17.5,28.8,0.22
Bowling Green State,71.9,106.2,0.315,0.364,0.556,48.8,51.2,8.5,9,0.525,15.3,26.1,0.227
Bradley,66.3,97.7,0.355,0.417,0.517,48.2,60.1,9.6,7.4,0.474,17.8,28.5,0.261
Brigham Young,67.9,98.7,0.284,0.382,0.534,49,51.7,8.8,8,0.513,16.7,22.5,0.187
Brown,72.7,106.7,0.405,0.358,0.574,49.3,49.4,9.1,12.1,0.541,17.3,26.7,0.286
Bryant,71,116.9,0.33,0.407,0.598,55.3,54.3,9.1,11.7,0.576,15.4,34,0.231
Bucknell,72.4,99.5,0.345,0.317,0.514,49.2,49.2,9,9.3,0.478,15,27.3,0.24
Buffalo,73.9,102,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.8,0.29
Butler,69.7,102,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24,0.262
Cal Poly,66.6,108.8,0.331,0.332,0.556,52.5,54.9,8.6,10.4,0.52,14.3,29.2,0.247
Cal State Bakersfield,67.5,102.2,0.416,0.434,0.541,48.6,57.7,8.9,7.8,0.502,17.5,28.6,0.292
Cal State Fullerton,70,99.4,0.348,0.341,0.518,48.9,51.6,8,9.3,0.472,16,27.4,0.263
