school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,69.7,104.3,0.442,0.292,0.565,51,47.5,7.3,8.6,0.527,18.2,26.9,0.313
Air Force,69,103.9,0.366,0.462,0.544,51.7,59.9,9.4,11.4,0.51,16.9,28.3,0.259
Akron,69.2,98,0.317,0.332,0.492,50.1,45.6,8.5,7.7,0.459,14.4,30,0.215
Alabama A&M,65.7,105.9,0.398,0.325,0.537,50.6,48.3,8.9,8.1,0.507,14.2,31.4,0.264
Alabama-Birmingham,69.4,99.9,0.292,0.353,0.506,47.6,51.1,8.8,7.9,0.475,15.4,30.4,0.202
Alabama State,69.5,105.4,0.44,0.326,0.547,50.4,50,8.5,8.3,0.519,15.9,29.8,0.286
Alabama,66.1,102,0.391,0.342,0.503,52.5,48.1,8.6,9.7,0.466,15.3,34.6,0.263
Albany (NY),67.8,96.4,0.272,0.395,0.508,44.6,50.4,7.8,10.4,0.482,16.6,25.9,0.184
Alcorn State,66.5,106.3,0.386,0.354,0.547,49.2,51.3,10.1,8.4,0.511,15.3,32,0.271
American,62,105.1,0.401,0.302,0.545,53.2,49.3,11.6,8.2,0.516,16.5,30.2,0.267
Appalachian State,70.8,109.2,0.398,0.256,0.544,50.3,43.6,9,10.8,0.512,13.7,32.3,0.272
Arizona State,69.8,105.2,0.381,0.349,0.553,49.6,58.2,8.3,12.9,0.52,16.1,27.8,0.267
Arizona,69.8,96.6,0.293,0.313,0.497,43.5,48.3,7.7,8.4,0.462,14.1,24.7,0.209
Little Rock,64.6,93.2,0.371,0.395,0.496,49.9,52.4,6.1,7.6,0.456,18.5,28.6,0.254
Arkansas-Pine Bluff,65.3,107.3,0.537,0.327,0.544,55.4,59,12.5,9.4,0.492,17,37.4,0.381
Arkansas State,73,102.3,0.382,0.372,0.502,50.3,50.4,8.5,7.2,0.464,13.2,30.6,0.258
Arkansas,71.3,102.7,0.428,0.349,0.538,50,55.7,7.1,9.7,0.498,17,30,0.3
Army,72.2,101.6,0.318,0.279,0.521,47.9,45.4,9.6,9.2,0.493,14.5,26.9,0.213
Auburn,72.5,107.3,0.401,0.355,0.542,52.8,52.8,8.3,11.9,0.505,15.2,32.3,0.28
Austin Peay,70.5,107.4,0.309,0.389,0.558,48.2,52.7,9.8,7.7,0.531,16.2,29.5,0.218
Ball State,66.2,98.8,0.375,0.357,0.509,48.3,50.5,9.7,6.8,0.467,14.7,26.2,0.264
Baylor,67.6,101.9,0.376,0.346,0.545,44.4,72.7,9.6,9.4,0.51,17.6,28.2,0.263
Belmont,72.8,107.3,0.367,0.349,0.541,50.7,48.1,9.8,10.9,0.503,14.4,30.7,0.264
Bethune-Cookman,68.2,105.6,0.336,0.349,0.522,51.5,57.6,7.8,7.5,0.491,14.9,35.5,0.23
Binghamton,67.4,101.4,0.344,0.362,0.528,52,54.5,10.4,8.3,0.496,16,28.4,0.238
Boise State,70.5,98.8,0.358,0.379,0.544,48.7,49.4,7.4,9.8,0.511,18.6,24.9,0.25
Boston College,67,104.8,0.37,0.339,0.554,54.2,58.7,10.9,10.5,0.524,16.9,28.7,0.254
