school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,71.1,90.4,0.471,0.335,0.535,49.9,44.5,9.4,10,0.482,24.6,27.8,0.346
Air Force,68.9,108.2,0.293,0.488,0.579,50,55.1,9.1,8.6,0.555,15.1,22.4,0.208
Akron,70.6,94.2,0.286,0.337,0.481,49.3,42.2,8.5,8.6,0.451,16.1,29.1,0.191
Alabama A&M,69.2,102.3,0.355,0.351,0.538,52.8,50.3,9.1,10.8,0.513,16.2,27.2,0.233
Alabama-Birmingham,67,97.2,0.273,0.409,0.514,45.2,47.4,10.3,8.6,0.484,16.2,24.1,0.195
Alabama State,71,100.2,0.381,0.345,0.541,52.8,50.2,10.4,10.6,0.514,18,29.4,0.25
Alabama,76.1,102.2,0.359,0.347,0.523,50.3,43.4,11,12.4,0.479,15.7,30.8,0.266
Albany (NY),69.7,97.9,0.279,0.39,0.515,50.2,54.6,11,11,0.487,16.1,25.5,0.193
Alcorn State,72.7,100,0.353,0.346,0.53,48.5,52.7,10,8,0.504,16.8,27.5,0.229
American,69,100.4,0.367,0.315,0.532,51.4,47.8,8.6,8.4,0.497,17.3,29.5,0.256
Appalachian State,68.4,97.3,0.266,0.405,0.519,50.2,55.5,9.8,7.8,0.49,18.3,28.1,0.19
Arizona State,73.7,95.5,0.342,0.382,0.523,51.5,50.5,8.9,9.9,0.491,19.6,28.4,0.233
Arizona,70.1,92.2,0.35,0.376,0.498,47.2,52,6.7,8,0.454,18,25.7,0.254
Little Rock,70.2,98.9,0.336,0.388,0.524,47.8,50.3,9.7,8.9,0.491,17.3,28.2,0.234
Arkansas-Pine Bluff,67.6,100.6,0.472,0.373,0.531,51.1,56.8,14.2,7.2,0.49,18,30.2,0.32
Arkansas State,68.5,104.2,0.415,0.351,0.557,50.7,55.5,8.7,5.7,0.517,17.9,28.9,0.301
Arkansas,71.4,95.8,0.407,0.331,0.517,55,42.1,6.8,8.8,0.474,19.3,31.2,0.284
Army,69.7,102.5,0.239,0.416,0.533,51.4,51.3,9,9.2,0.513,14.9,25,0.16
Auburn,70.4,97.6,0.339,0.363,0.511,46.3,45.6,9.3,9.3,0.471,16.4,27.4,0.243
Austin Peay,69.9,101.9,0.323,0.34,0.556,47.9,52,8.7,6.2,0.529,18.8,27.5,0.223
Ball State,69.3,90.2,0.281,0.336,0.484,49,43.1,9.1,9,0.452,17.4,24.6,0.193
Baylor,66.6,89.9,0.308,0.35,0.486,47.5,52.7,8.7,13,0.452,19.7,29.9,0.211
Belmont,72.8,93.3,0.243,0.346,0.494,49.5,47,8,8.3,0.473,17.3,26.3,0.156
