school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
UC-Davis,70.2,98.1,0.319,0.368,0.522,49.2,53.9,9.7,8.9,0.487,17.3,27.5,0.228
UC-Irvine,67.1,95.8,0.388,0.335,0.484,45.5,52.2,8.3,7.3,0.437,13.6,25.5,0.271
UC-Riverside,69.7,99.3,0.337,0.399,0.523,51.1,57.9,7.9,7.3,0.485,17.1,28.1,0.245
UC-Santa Barbara,66.2,106.7,0.319,0.444,0.549,50.5,64,8.1,7.8,0.522,15.3,29,0.221
University of California,66.3,94.2,0.342,0.325,0.489,45.3,51.5,7.1,9.9,0.453,14.7,23.9,0.231
Campbell,67.7,103.3,0.386,0.353,0.535,50.7,51.5,10.1,7.7,0.495,15.4,27.2,0.276
Canisius,71.4,108,0.338,0.338,0.576,51.7,48.6,7.8,9.1,0.545,18.1,32.2,0.247
Central Arkansas,72.2,115.2,0.32,0.439,0.575,51.2,63.3,8.8,7.4,0.551,13.5,31.7,0.223
Central Connecticut State,66.5,108.6,0.346,0.383,0.566,51.5,55.3,9.4,9.5,0.54,17.4,32.4,0.238
Central Florida,66.2,92.1,0.223,0.401,0.458,44.4,60.9,9.7,9,0.427,12.7,25.5,0.158
Central Michigan,77.8,111.5,0.31,0.367,0.551,52.3,45.6,7.5,10.5,0.523,13.5,32.5,0.216
Charleston Southern,69.7,107.1,0.405,0.384,0.57,49.9,54,7.1,9.4,0.53,16,26.1,0.299
Charlotte,74.4,107.4,0.353,0.304,0.554,55.2,46.9,8.5,8.5,0.523,16,31,0.247
Chattanooga,68.1,100.6,0.363,0.304,0.541,50.9,48.8,9.2,10.1,0.497,19,32.2,0.274
Chicago State,70.3,109.8,0.355,0.447,0.574,53.2,64.9,8.5,10,0.546,16.6,30.2,0.251
Cincinnati,65.1,93.6,0.291,0.37,0.491,46.7,52.8,5.5,8.4,0.452,17.4,29.2,0.214
Citadel,82.6,113.2,0.412,0.337,0.604,54.1,56.6,8.6,11.3,0.577,18.3,34.3,0.29
Clemson,67.7,105.2,0.242,0.369,0.549,50.7,48.5,7.5,8.8,0.519,17.3,32.2,0.185
Cleveland State,68.8,102.6,0.406,0.36,0.553,53,60.1,7.2,9.3,0.52,19.4,32.1,0.278
Coastal Carolina,71,102.6,0.32,0.468,0.529,48,52.3,8.3,9,0.496,14.8,26.1,0.226
Colgate,66.4,104.9,0.381,0.388,0.556,50.3,53.6,11,10.4,0.524,15.7,25.4,0.264
College of Charleston,65.6,98.1,0.315,0.383,0.506,50.9,48.3,5.9,9.7,0.478,16.2,28.8,0.209
Colorado State,68.1,99.9,0.313,0.406,0.504,48.1,48.6,8.1,8.3,0.471,14.7,28.7,0.215
Colorado,69,103.9,0.335,0.381,0.535,47.9,49.5,8.1,10.3,0.502,15.1,28,0.237
Columbia,69.5,103.8,0.345,0.448,0.544,51.5,62,8.3,9.7,0.514,17.6,31.2,0.236
Connecticut,65.4,100.7,0.316,0.398,0.496,49.1,53.3,9.2,7.9,0.459,13.7,30.1,0.222
Coppin State,70.5,110.8,0.402,0.394,0.57,53.7,52.8,8.2,9.6,0.539,16.4,32.9,0.281
Cornell,71.3,107.7,0.314,0.342,0.55,51.3,50.2,10.6,10.9,0.517,13.7,26.8,0.232
Creighton,72.9,100,0.288,0.368,0.525,50.7,48.1,9.2,7.5,0.498,16.8,28.9,0.199
Dartmouth,68.2,109.1,0.307,0.357,0.56,49.5,43.8,9.9,14.1,0.532,14,26.9,0.218
Davidson,69.5,102.3,0.334,0.337,0.528,50.4,51.5,9.6,10.8,0.497,15,26.9,0.23
Dayton,69.4,95.3,0.349,0.394,0.515,50.3,55.3,6.2,10.6,0.477,18.8,27.6,0.247
Delaware State,68.4,108.3,0.377,0.427,0.557,53.8,59.8,9.3,9.2,0.521,17.5,35.6,0.273
Delaware,66.1,108.7,0.39,0.423,0.551,49.9,59.4,8.6,9.9,0.523,13.2,26.8,0.261
Denver,69,107.3,0.391,0.388,0.555,46.9,46.2,9.9,8.9,0.514,13.8,24.7,0.289
DePaul,69,107.8,0.402,0.402,0.575,51,60.7,9.2,8.5,0.538,17.6,30,0.293
Detroit Mercy,74.3,112.8,0.477,0.371,0.599,52.9,51,8.6,10.2,0.57,17.2,31.1,0.33
Drake,70,108.8,0.306,0.374,0.556,52.5,49.7,9.6,12,0.53,15.2,30.8,0.212
Drexel,71.4,108.1,0.389,0.36,0.557,50.2,51,8.9,9,0.526,15.3,29.9,0.269
Duke,69.9,100.5,0.312,0.288,0.51,48.1,46.6,6.8,6.7,0.475,14.9,29.6,0.222
Duquesne,71,104.6,0.333,0.343,0.533,50.6,60.5,8.3,13.1,0.499,15.2,30.2,0.235
East Carolina,66.8,97.5,0.272,0.34,0.483,49.6,53.2,9.8,9.7,0.447,14.4,31,0.197
East Tennessee State,71.4,96.6,0.372,0.394,0.528,46.9,47.3,9.6,9.9,0.487,19.2,27.2,0.268
Eastern Illinois,70.5,98.9,0.385,0.334,0.528,51,51.9,8.1,8,0.49,18.9,31,0.27
Eastern Kentucky,69.7,105.8,0.415,0.362,0.55,53.2,55.7,10.3,9.3,0.507,16.8,32.2,0.303
Eastern Michigan,71.2,101.7,0.475,0.399,0.537,50.1,64.5,9.1,6,0.488,19.2,34,0.341
Eastern Washington,68,108.1,0.361,0.36,0.545,49.1,51.7,9.1,7.4,0.508,13.1,27.9,0.259
Elon,69.2,101.2,0.263,0.395,0.512,49.8,42.1,8.4,9.6,0.483,13.6,26.3,0.186
Evansville,67,101.1,0.396,0.397,0.529,49.4,55.4,8.1,11,0.488,16.4,27.2,0.279
Fairfield,71.7,101.7,0.32,0.335,0.523,51.5,47.2,8.9,7.1,0.495,15.3,28.1,0.216
Fairleigh Dickinson,70.2,106.4,0.431,0.347,0.548,52.7,56.8,8.7,6.9,0.511,16.7,33.3,0.299
Florida A&M,72.2,107.4,0.341,0.407,0.555,54.3,51.7,9.2,6.6,0.529,16.7,33.4,0.231
Florida Atlantic,70.2,104.2,0.352,0.292,0.537,52.7,42.4,8.3,7.7,0.504,15.9,30.6,0.245
Florida Gulf Coast,69.3,99.3,0.349,0.388,0.517,46.1,49.6,8.8,7.1,0.484,16.2,28.1,0.238
Florida International,66.5,108,0.357,0.348,0.561,48.8,52.7,9.7,9.8,0.527,15,27.8,0.259
Florida State,72.6,99.3,0.373,0.361,0.52,47.3,49.5,6.9,7.1,0.479,16.9,29.5,0.267
Florida,70.1,93.9,0.341,0.314,0.498,48.7,40.9,7.8,7.5,0.458,18.1,29.1,0.241
Fordham,66.8,99.9,0.428,0.384,0.568,55.7,65.7,9.6,11.4,0.531,22.7,31,0.306
Fresno State,70.1,97.8,0.446,0.381,0.526,49.4,53.6,8.3,8,0.479,18.1,27,0.316
Furman,67.4,97.6,0.336,0.41,0.522,48.3,51.5,8.8,7.2,0.488,17.6,26,0.235
Gardner-Webb,71.4,96.6,0.397,0.355,0.518,47.2,56.9,9,8.9,0.479,18.1,27.3,0.273
George Mason,69.2,101.8,0.281,0.366,0.514,45,51.9,8.6,9.7,0.485,12.7,24,0.196
George Washington,67,103.9,0.269,0.324,0.532,47,56.1,10.4,9.5,0.502,14.2,26.1,0.195
Georgetown,70.2,102,0.388,0.324,0.515,49.4,50,9.8,9.5,0.474,14.9,30.3,0.272
Georgia Southern,70.5,103.6,0.34,0.411,0.531,53.2,51.7,6.8,10,0.503,16.5,32.4,0.227
Georgia State,70.3,99.2,0.398,0.459,0.527,48.4,58,8.7,7.5,0.485,17.8,28.6,0.283
Georgia Tech,69.3,96.1,0.273,0.369,0.491,50.2,55.2,9.8,9.3,0.459,16.1,30.6,0.191
Georgia,69.7,100.2,0.342,0.363,0.509,48.5,47.2,9.1,8.7,0.472,14.6,28.2,0.239
Gonzaga,70.9,86.7,0.269,0.321,0.443,45.3,43.2,7.6,7.8,0.411,14.9,25.8,0.177
Grambling,69.8,103.2,0.418,0.375,0.571,52.4,55.4,8.5,8.4,0.543,21.3,33.6,0.283
Grand Canyon,71.2,94.5,0.301,0.35,0.51,49.1,49.5,9.2,8.3,0.478,18.4,27,0.21
Green Bay,76.8,99.7,0.323,0.383,0.528,48.8,51,7.9,6.8,0.501,17.1,28,0.215
Hampton,70.9,100.2,0.424,0.352,0.534,49.3,44.3,7.9,8.1,0.498,17.9,28.7,0.288
Hartford,70,108.8,0.349,0.334,0.55,55,58.5,9.1,11.1,0.52,15.7,34.3,0.243
Harvard,67.5,97.5,0.387,0.349,0.505,48.9,53.8,9.8,7.7,0.467,16.3,28.6,0.264
Hawaii,68.3,99.2,0.384,0.33,0.535,50.9,44.4,10,9.1,0.505,18.2,28.7,0.256
High Point,66.8,101.5,0.322,0.408,0.54,48.8,52.9,9.9,10,0.514,17.5,26.7,0.218
Hofstra,69,110.2,0.285,0.338,0.553,49.7,52.1,7.3,8.3,0.524,13.2,29.1,0.207
Holy Cross,61.5,100.6,0.304,0.467,0.56,57.2,65.1,7.7,10.7,0.533,22.3,32.3,0.217
Houston Baptist,72.9,106.1,0.363,0.362,0.56,45.9,52.4,9.5,7.9,0.523,16.3,27.1,0.267
Houston,65.8,98.3,0.369,0.386,0.515,49.5,51.4,7.2,8,0.472,17.8,30.6,0.266
Howard,68.4,104.6,0.36,0.368,0.526,50.6,57.9,10.1,8.4,0.492,15.6,33.3,0.251
Idaho State,70.2,113.3,0.334,0.4,0.587,55.6,51.6,9.4,9.7,0.56,16,31.6,0.24
Idaho,67.9,102.4,0.422,0.435,0.54,47.4,52.7,7.8,8.8,0.492,15.9,25,0.313
Illinois-Chicago,74,102.3,0.317,0.295,0.514,47.9,51.5,10.1,10.2,0.475,14.3,29.7,0.232
Illinois State,65.8,92.9,0.324,0.388,0.481,48.3,52.8,8.8,7.7,0.443,16.7,28.5,0.224
Illinois,68.9,99.9,0.298,0.367,0.529,48.8,45.6,7.7,7.5,0.495,16.4,26.2,0.217
Incarnate Word,73.3,108.7,0.38,0.271,0.546,54.3,47.4,9.4,10.5,0.507,14.6,32.2,0.276
Indiana State,70.1,101,0.424,0.31,0.519,53.3,48.7,7.7,11.7,0.477,15.6,28.8,0.293
Indiana,69.5,103.1,0.368,0.342,0.525,44.9,47.3,8.9,11.1,0.487,13.8,28,0.259
Iona,72.3,105.1,0.334,0.355,0.532,51.8,53,6.6,7.8,0.5,15.4,32,0.232
Iowa State,70.6,100.6,0.256,0.359,0.518,52.3,51.9,6.6,9.1,0.49,16.7,31.6,0.18
Iowa,72.8,104.5,0.275,0.368,0.535,49.9,60.1,10.4,8.8,0.51,16.4,32.2,0.188
Fort Wayne,75.1,103.4,0.313,0.42,0.558,46.7,54.4,8.3,6.6,0.524,16.7,23.3,0.234
IUPUI,72,108.4,0.414,0.344,0.577,50.6,49.9,8,10.6,0.534,16.7,28.1,0.313
Jackson State,65.9,100.8,0.488,0.353,0.543,48.5,53.9,7.6,8.6,0.493,18.3,27.7,0.351
Jacksonville State,65.3,103.3,0.339,0.366,0.524,47.3,49,9.1,9,0.486,14.4,27.8,0.245
Jacksonville,70.4,106.2,0.349,0.404,0.572,50.5,51.2,8,9.2,0.551,18.2,27.5,0.233
James Madison,65.8,104.7,0.384,0.428,0.55,47.5,53.9,9.2,8,0.513,15.8,25,0.276
Kansas State,67.5,100,0.334,0.34,0.533,50.8,55.5,9.3,9.5,0.496,19.1,32.3,0.244
Kansas,71.4,99.7,0.3,0.342,0.515,47,49.9,9.4,9.4,0.481,16.1,29.4,0.215
Kennesaw State,71.5,107.4,0.367,0.314,0.557,49,44.1,9.3,6.8,0.53,15.3,28.6,0.248
Kent State,70.7,101.4,0.333,0.356,0.53,46,51.9,8.3,5.7,0.497,16.8,29.6,0.234
Kentucky,74.3,95.8,0.335,0.333,0.507,46.8,44,6.4,7.7,0.475,16.9,27.1,0.227
La Salle,69.1,108.9,0.331,0.384,0.573,50.6,55.6,8.8,9,0.543,15.8,27.6,0.239
Lafayette,70.3,107.8,0.311,0.437,0.563,53.9,55.5,10.8,6.5,0.54,16.1,28.6,0.213
Lamar,70.7,100.2,0.415,0.314,0.55,49.4,53,8.2,12.4,0.512,19.8,29.2,0.292
Lehigh,70.4,99.2,0.276,0.382,0.532,48.3,52.8,9,7.5,0.501,16.5,23.7,0.202
Liberty,64.3,97.6,0.41,0.422,0.546,54.4,51.2,6.9,9.3,0.504,19.7,23.6,0.296
Lipscomb,76,101.7,0.421,0.355,0.543,49.1,49.5,8.9,10.1,0.505,17.9,29.3,0.292
Long Beach State,71.5,107.7,0.369,0.343,0.559,50.5,50.2,9.4,9.9,0.528,16.4,32,0.259
Long Island University,68.5,100,0.367,0.352,0.526,46,50.7,8.9,9.5,0.488,17.1,28.7,0.258
Longwood,71,113,0.322,0.343,0.57,55.3,48.3,11.2,6.7,0.545,15.2,33.9,0.224
Louisiana,73.3,103.7,0.359,0.334,0.562,45.8,45.4,8.3,8.1,0.533,18.1,26.9,0.25
Louisiana-Monroe,66.1,103.1,0.337,0.357,0.527,49.6,52.2,9,10.6,0.497,14.6,28.7,0.228
Louisiana State,73.2,113.4,0.368,0.381,0.577,50.6,53.1,9.5,8.6,0.545,14.7,31.5,0.264
Louisiana Tech,70.8,94,0.264,0.343,0.501,47.6,56.3,8.1,8.3,0.473,17.2,25.7,0.181
Louisville,68.5,95.6,0.388,0.356,0.5,45.9,48.3,7.2,8.3,0.457,17,28.2,0.269
Loyola (IL),66.9,98.3,0.323,0.339,0.54,50.8,49,8,9.6,0.508,19,25.2,0.229
Loyola Marymount,69,102.3,0.43,0.355,0.552,50.5,60.3,8.9,9.1,0.511,18.8,29.9,0.308
Loyola (MD),67.2,100.6,0.351,0.328,0.551,48.7,51.6,10.5,11.3,0.517,19,28.3,0.252
Maine,69.2,108.4,0.33,0.347,0.556,51.5,52,9.6,9.4,0.524,14.6,28,0.238
Manhattan,71.8,106.1,0.534,0.325,0.563,50.2,60.2,8.9,10.6,0.516,17.5,30.2,0.38
Marist,69.1,113.6,0.37,0.347,0.564,55.2,53.9,9.2,9.8,0.526,13.5,32.9,0.273
Marquette,71.1,105.9,0.356,0.342,0.553,50.4,59.5,9.2,10.3,0.522,16,29.1,0.249
Marshall,77.3,107.4,0.31,0.294,0.535,53.3,47.2,7.8,9.2,0.512,14.4,32.7,0.204
Maryland-Baltimore County,71.3,106,0.345,0.382,0.555,50.1,51.7,7.7,6.8,0.521,15.6,26.4,0.249
Maryland-Eastern Shore,69.8,107.2,0.41,0.384,0.558,53.6,56.7,7.8,9.4,0.522,17.2,33.1,0.29
Maryland,68.1,99.6,0.327,0.328,0.507,49.7,46.3,9,10.9,0.471,15.9,31.8,0.23
Massachusetts-Lowell,73,109.8,0.374,0.369,0.568,51,54.7,11.7,7.1,0.531,15.5,30.3,0.275
Massachusetts,73,98.5,0.445,0.324,0.516,50.7,57.9,9.2,8.3,0.469,17,30.2,0.313
McNeese State,72.4,108.7,0.396,0.317,0.544,55,53.8,8.7,8.4,0.504,15.4,35.4,0.284
Memphis,70,100.2,0.332,0.388,0.52,49.8,54.5,8.2,10.1,0.488,16.7,30.6,0.228
Mercer,63.5,106.3,0.334,0.446,0.532,46,58.5,8.8,9.8,0.492,13.8,28.1,0.25
Miami (FL),64.7,98.7,0.287,0.347,0.512,47,51.9,9.2,8.3,0.476,16,28.1,0.212
Miami (OH),71.6,103.2,0.385,0.425,0.547,52.9,49.2,11.2,9.8,0.506,18.2,31,0.283
Michigan State,68.2,100.4,0.347,0.327,0.509,47.4,53.6,8.8,8.8,0.467,13.9,26.9,0.252
Michigan,63.8,103.1,0.272,0.288,0.542,52.1,45.7,6.6,8.3,0.519,17,29.5,0.186
Middle Tennessee,66.4,95.8,0.372,0.36,0.519,46.1,50.6,7.1,5.8,0.478,17.7,23.8,0.265
Milwaukee,65.3,106.9,0.331,0.395,0.563,51.5,53.8,8.7,10.6,0.535,15.5,26,0.232
Minnesota,70.3,96.6,0.292,0.332,0.484,49.5,53.7,7.9,8.7,0.451,15,30.1,0.199
Mississippi State,70.8,100.3,0.379,0.341,0.522,51.1,47.1,7.2,9.5,0.481,17,30.2,0.269
Mississippi Valley State,72.1,114.2,0.378,0.393,0.591,53,55.7,10.2,8.2,0.564,16.8,33.7,0.266
Mississippi,73.4,103.2,0.356,0.401,0.533,48,59.4,9.2,9.7,0.498,16.3,30,0.25
Missouri-Kansas City,74.5,105.3,0.42,0.365,0.552,52.1,51.5,8.5,7.9,0.519,17.3,31.1,0.285
Missouri State,66.4,102,0.326,0.356,0.535,45.8,54.4,8.8,7.5,0.495,14.8,24.3,0.245
Missouri,70.5,102.7,0.426,0.395,0.533,51.9,51,7.4,12.6,0.496,16.7,30.2,0.29
Monmouth,74.2,98.2,0.357,0.38,0.511,49.8,52.1,7.9,11.5,0.47,16.9,30,0.254
Montana State,71.7,107.1,0.496,0.387,0.565,50.4,49.2,7.8,8.9,0.521,16.1,27.2,0.352
Montana,68.7,105.9,0.444,0.337,0.558,50,45.1,7.5,10.7,0.52,16.1,26.8,0.312
Morehead State,71.8,105.9,0.413,0.402,0.572,46.5,51.4,7.1,8.1,0.539,17.9,26.8,0.29
Morgan State,70.3,99.8,0.409,0.333,0.519,49.2,55.8,9.9,9,0.486,17.5,31.1,0.269
Mount St. Mary's,68.4,100.2,0.326,0.274,0.525,55.5,43.9,9.3,7.9,0.499,18.5,34.6,0.215
Murray State,71.1,106,0.38,0.369,0.551,49.1,49.9,8,8.6,0.516,15.8,29.1,0.269
Navy,64.9,98.5,0.385,0.401,0.558,45.8,58.8,11.6,8.7,0.526,21.2,25.6,0.266
Omaha,76.2,108.3,0.334,0.388,0.568,51.3,52.3,8.7,10.4,0.535,17,30.4,0.246
Nebraska,69.2,103.9,0.329,0.334,0.544,48.7,51.1,8.8,11,0.514,16.9,29.4,0.23
Nevada-Las Vegas,70.4,105.5,0.286,0.346,0.541,50.1,50.1,8.6,11.8,0.516,14.5,27.3,0.197
Nevada,70.9,100.2,0.282,0.355,0.512,47.6,52,7.7,6.3,0.483,14,26.1,0.195
New Hampshire,66.8,97.5,0.284,0.36,0.505,45.7,45.3,9.1,8.9,0.483,13.8,21.8,0.179
New Mexico State,70,96.7,0.348,0.325,0.503,45.6,43.4,7.4,5.4,0.467,16.9,29.1,0.237
New Mexico,70.5,102.6,0.377,0.4,0.54,49.5,56.9,10.6,8.2,0.506,16.6,27.8,0.26
New Orleans,69.5,98.1,0.342,0.369,0.531,47.1,51.1,11.9,8,0.5,20,31.6,0.235
Niagara,71.8,107.7,0.308,0.351,0.538,50.2,55.3,8.1,9.9,0.505,13.8,30.7,0.224
Nicholls State,72.2,108.7,0.343,0.345,0.563,54.7,56.8,8.6,11.3,0.537,17.8,35.9,0.235
NJIT,71.5,104.2,0.351,0.382,0.561,48,53.9,8.8,8.2,0.531,16.7,24,0.247
Norfolk State,70.6,99.8,0.393,0.388,0.506,48.8,56.6,8.3,10,0.472,14.8,28.7,0.257
North Carolina-Asheville,69.5,96.7,0.32,0.387,0.541,51,55.7,7.6,8.6,0.518,20.7,26.8,0.211
North Carolina A&T,65.1,115.2,0.386,0.417,0.559,50.2,63.9,8.8,11.3,0.523,12.5,33.1,0.277
North Carolina Central,68.8,92.3,0.287,0.361,0.473,48.3,45.6,6.6,7.4,0.445,17.2,31.2,0.186
North Carolina-Greensboro,68.4,101.3,0.347,0.37,0.536,47.4,53,9.4,8.6,0.495,17.7,30.1,0.258
North Carolina State,71.9,109.8,0.304,0.356,0.546,49.9,49,9,7.4,0.516,13.4,31.4,0.217
North Carolina-Wilmington,71.5,104.4,0.396,0.289,0.562,48.4,46.2,6.8,7.4,0.526,17.8,27.6,0.283
North Carolina,72.6,97,0.314,0.395,0.517,41.8,46.6,8.6,9.6,0.48,16.6,24.5,0.228
North Dakota State,68.8,102.7,0.303,0.374,0.532,50,53.8,8.2,8.3,0.5,15.5,27.6,0.215
North Dakota,72.9,99.5,0.385,0.329,0.536,49.5,44.8,8.5,5.6,0.501,17.9,26.7,0.266
North Florida,73.3,107.3,0.338,0.335,0.538,48.1,53.2,11,9.5,0.508,14.1,31.3,0.232
North Texas,71.6,104.6,0.339,0.374,0.536,52,52.7,9.6,9.3,0.496,15.9,30.9,0.253
Northeastern,67.2,105.7,0.31,0.364,0.548,50.3,52.6,8.5,11.6,0.521,15,26.8,0.216
Northern Arizona,71.1,106.6,0.323,0.392,0.552,48.5,52.2,9.6,8.8,0.526,14.9,26.6,0.222
Northern Colorado,70.5,105.1,0.351,0.376,0.554,49.3,47.3,8.7,11,0.521,16.1,24.9,0.25
Northern Illinois,69.3,99.6,0.378,0.413,0.537,47.8,57,8.3,7.4,0.507,18.5,27.7,0.253
Northern Iowa,64.7,98.3,0.252,0.391,0.531,55.6,52.4,8.9,7.6,0.5,18.6,28,0.189
Northern Kentucky,70.8,101.2,0.301,0.335,0.526,46.9,45.4,8.4,12.4,0.494,15.2,25.8,0.213
Northwestern State,73.4,107.2,0.382,0.348,0.561,50.4,58.5,9.5,8.2,0.535,17.1,31.3,0.254
Northwestern,66.6,98.4,0.361,0.345,0.497,49.4,52.4,8.6,10.3,0.461,15.3,30.6,0.242
Notre Dame,67.7,102,0.267,0.349,0.523,51.3,51.1,7.7,11.5,0.491,16,30.6,0.196
Oakland,74.5,95.2,0.283,0.325,0.492,48.5,51.1,8.5,8.3,0.459,16.4,28.6,0.199
Ohio State,68.7,101.2,0.294,0.41,0.515,48.4,52.7,7.2,8.2,0.489,15.1,28.8,0.196
Ohio,72.1,97,0.325,0.364,0.506,50.2,43.9,8.1,7.9,0.473,16.3,27.6,0.222
Oklahoma State,72.7,107.9,0.449,0.345,0.575,47.1,51.5,8.9,10.8,0.535,17.9,31.2,0.325
Oklahoma,71.1,102.3,0.335,0.38,0.53,49.5,51.6,9.7,10.7,0.5,16.1,29.8,0.229
Old Dominion,63.8,95,0.386,0.381,0.507,46,50.5,7.7,7.8,0.464,17.6,25.4,0.272
Oral Roberts,71.4,111.1,0.314,0.381,0.569,51.7,55.4,9.5,7.6,0.543,14.5,28.9,0.222
Oregon State,67,107.8,0.388,0.369,0.546,52.1,55,12,9,0.511,15,31.9,0.272
Oregon,68.8,95.2,0.257,0.378,0.494,47.1,48.9,6.9,9.6,0.462,16.6,28.6,0.185
Pacific,68,105.2,0.413,0.412,0.556,48.6,60.1,7.5,10.2,0.522,15.2,24.2,0.287
Penn State,71.5,99.9,0.312,0.34,0.525,52.4,51.4,9,10.2,0.492,17.7,30.7,0.222
Pennsylvania,67.4,100.5,0.336,0.395,0.526,50.7,54.6,8.4,9.4,0.488,17.4,29.4,0.245
Pepperdine,69.8,115,0.285,0.372,0.585,52.2,56.4,8.8,8.9,0.564,13.7,28.8,0.202
Pittsburgh,67.2,109.5,0.266,0.362,0.539,49.9,54.7,7.7,10.3,0.513,12.4,29.5,0.189
Portland State,74.6,106.2,0.337,0.399,0.583,52.4,56.7,7.7,6.6,0.554,19.5,30.3,0.245
