school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,68,103.3,0.431,0.373,0.553,52.9,55.5,8.9,8.8,0.522,18.5,30.1,0.287
Air Force,69,107.5,0.326,0.467,0.57,49.7,59.7,8.6,9.8,0.542,15.8,24.6,0.231
Akron,68,104.1,0.327,0.332,0.536,48.8,45,8.6,6.9,0.504,14.9,28.1,0.231
Alabama A&M,65.4,117.4,0.34,0.341,0.563,53.6,49.9,10.4,9.1,0.538,11.8,36.7,0.231
Alabama-Birmingham,67.8,102.8,0.293,0.377,0.524,47.6,50.2,9.7,8.2,0.495,14.7,28.1,0.203
Alabama State,69.6,105.2,0.42,0.318,0.534,49.6,49.1,10.5,8,0.498,15.4,32.3,0.285
Alabama,67.4,94.7,0.399,0.34,0.5,46.2,43.4,9.3,8.3,0.461,17.3,26.6,0.268
Albany (NY),65.3,100.7,0.309,0.432,0.536,44.5,54.7,8.6,10.1,0.505,15.7,23,0.218
Alcorn State,69.2,97.9,0.385,0.322,0.5,48.6,55.2,9.9,6.9,0.467,16.1,30.2,0.249
American,65.2,104.4,0.414,0.306,0.56,53.4,53.6,10.1,8.3,0.525,17.8,28,0.291
Appalachian State,72.1,104.9,0.432,0.3,0.55,49.3,50,8.3,10.1,0.515,15.6,26.5,0.296
Arizona State,72.5,112.2,0.3,0.409,0.578,54.9,63.5,7.1,11.3,0.554,15.9,32.2,0.213
Arizona,67.3,98,0.286,0.364,0.506,44.9,53.4,7,7.7,0.477,15.2,25.7,0.196
Little Rock,66.1,102.6,0.402,0.381,0.552,49.4,54.7,8.1,6.9,0.514,17.9,27.1,0.288
Arkansas-Pine Bluff,68.7,103.5,0.564,0.399,0.561,53.2,59.1,13.6,8.4,0.512,20.6,34.9,0.399
Arkansas State,68.8,100,0.413,0.352,0.527,47.9,54.1,8.2,10.3,0.489,16.7,27.2,0.283
Arkansas,71.7,103.1,0.39,0.367,0.519,50.5,50.4,7.2,7.7,0.478,15.7,33.9,0.275
Army,72,100.3,0.336,0.349,0.529,48.2,51.7,10.2,11.4,0.498,15.4,23.5,0.232
Auburn,75.2,105,0.388,0.388,0.545,51.6,50.5,8.1,7.9,0.506,17.1,33.2,0.279
Austin Peay,71.8,115.3,0.297,0.38,0.587,55.1,51.3,7.7,7.9,0.562,16,35.3,0.217
Ball State,72.7,102.4,0.352,0.358,0.524,48.8,46.9,9.8,9.5,0.486,15.1,28.2,0.253
Baylor,65.3,97.5,0.299,0.351,0.498,43.5,58.2,8.3,9.6,0.462,15.1,28.6,0.213
Belmont,69,100,0.321,0.321,0.518,47.9,45.8,8.2,10.8,0.478,14.5,24.7,0.239
Bethune-Cookman,70.1,108.1,0.388,0.356,0.557,53,59.6,8.1,9.4,0.529,17.3,35,0.261
Binghamton,67.4,104.8,0.317,0.379,0.544,51.4,55,8.6,9,0.518,15.2,26.8,0.216
Boise State,70.4,101.1,0.412,0.3,0.525,48.7,48.8,8.5,13.7,0.477,14.8,26.3,0.3
Boston College,72.5,108.1,0.396,0.352,0.574,49.8,58,10.6,10,0.532,15.4,24.1,0.299
Boston University,69.9,99.6,0.365,0.417,0.533,49.9,57.3,9.9,9.7,0.501,18.2,27.9,0.25
Bowling Green State,72.7,104.3,0.337,0.357,0.559,51.2,47.8,8.5,9.6,0.525,17.7,28,0.245
Bradley,68.6,102.6,0.403,0.391,0.528,50.8,58.5,11.3,9.3,0.485,16.4,29.5,0.289
Brigham Young,75.6,98.2,0.311,0.389,0.506,46.5,53.4,9.2,7.3,0.48,14.3,24.9,0.201
Brown,72.1,108,0.373,0.369,0.595,52.2,53.4,9.7,12.8,0.567,19.4,29.6,0.267
Bryant,70,107.7,0.374,0.37,0.552,50.6,50.2,8.6,9.7,0.513,15.4,30.4,0.275
Bucknell,70.7,96.1,0.331,0.313,0.509,49.4,49.3,9.9,8.7,0.48,17.3,27.8,0.218
Buffalo,73.1,101.1,0.424,0.351,0.516,46.9,51,8.7,8.7,0.476,15.1,28.5,0.289
Butler,67.3,101.6,0.37,0.377,0.542,49.4,44.7,7.4,7.3,0.508,17.3,26.7,0.258
Cal Poly,66.7,107.5,0.392,0.278,0.557,53.5,50.2,7.1,9,0.521,15.6,29.9,0.281
Cal State Bakersfield,69.6,90.1,0.464,0.407,0.489,47.7,55.3,8.6,8.5,0.436,20.3,29.8,0.321
Cal State Fullerton,70.8,97.9,0.4,0.351,0.526,47.8,49.8,8.4,8.6,0.481,17.4,25.8,0.289
Cal State Northridge,74.6,109,0.415,0.295,0.556,51,49,8.1,7.9,0.517,15.1,31,0.299
