school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,67.7,104.9,0.455,0.32,0.558,49.8,53.6,9.7,12,0.518,17.8,30.2,0.323
Air Force,65.4,104.8,0.431,0.406,0.54,51.2,58.6,10.5,14.1,0.499,15.6,29.4,0.302
Akron,65.5,101.1,0.361,0.277,0.52,49,46.7,9.9,9.1,0.479,16.7,32.5,0.259
Alabama A&M,66.5,99.6,0.524,0.285,0.508,52.9,45.3,9.8,8.9,0.452,17.3,34.3,0.365
Alabama-Birmingham,69.4,100,0.302,0.331,0.495,45,50.1,9.9,9.1,0.465,13.5,29.8,0.201
Alabama State,68.1,100.5,0.389,0.297,0.528,50.5,48.5,8.8,7.9,0.49,18.4,33.3,0.27
Alabama,64.4,103.1,0.402,0.331,0.52,51.5,52.4,8.6,11.5,0.47,16.5,34.5,0.299
Albany (NY),63,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8,0.483,15.9,28.3,0.21
Alcorn State,64.8,102.5,0.396,0.311,0.525,52.7,52.3,8.2,6.5,0.483,16.3,34,0.281
American,60.7,97,0.407,0.312,0.504,49.4,50.1,11.6,8.1,0.464,17,29.7,0.276
Appalachian State,67.4,105.6,0.408,0.296,0.548,49.4,50.9,8.3,10.6,0.519,16.4,30.2,0.272
Arizona State,69,98.8,0.373,0.273,0.496,51.6,47.1,7.9,11.6,0.463,14.6,30.2,0.242
Arizona,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245
Little Rock,68.4,105.1,0.49,0.404,0.542,49.2,57.3,9.5,8.9,0.498,16.1,30.1,0.339
Arkansas-Pine Bluff,67.9,103.8,0.498,0.363,0.568,53.4,62.3,11.1,12.6,0.531,21.1,33.7,0.341
Arkansas State,68.6,102,0.353,0.326,0.522,51.5,44.4,8.7,8.6,0.483,16.1,31.1,0.253
Arkansas,72.5,97.2,0.43,0.31,0.508,52.3,48.3,7.4,7.5,0.462,19.5,36.6,0.3
Army,68.1,106.5,0.354,0.308,0.553,51.1,51.2,10.7,9.3,0.519,17.1,33.2,0.255
Auburn,67.6,106.1,0.487,0.35,0.542,50.7,60,8.6,9.8,0.498,16.1,33.1,0.338
Austin Peay,71.9,108.5,0.342,0.358,0.56,51.3,56.7,10.8,8.4,0.526,16.9,34.2,0.252
Ball State,67,107.9,0.442,0.285,0.548,47.3,53.6,12.6,11.3,0.507,14.4,29.4,0.31
Baylor,64.2,104.3,0.316,0.335,0.514,45.2,61.1,8.2,7.8,0.485,13.6,31.7,0.213
Belmont,69.5,106.3,0.422,0.356,0.557,51.2,50.1,10.4,9.7,0.522,17.8,32.9,0.294
Bethune-Cookman,63.4,110.2,0.53,0.34,0.561,52.8,57.8,9.6,13.4,0.514,16.8,36.9,0.376
Binghamton,65.6,107.4,0.408,0.396,0.56,52.5,61,11.1,10.6,0.528,17.1,32.4,0.28
Boise State,65.9,103.2,0.401,0.347,0.543,46.7,47.6,6.9,9.2,0.506,15.5,25.6,0.282
Boston College,62.7,115.1,0.406,0.278,0.557,52.9,47.7,8.7,10.2,0.517,12.5,34.2,0.296
Boston University,65.9,100.3,0.315,0.336,0.53,50.9,53,7.7,8.9,0.498,17.8,29.8,0.223
Bowling Green State,67,95.1,0.374,0.328,0.502,50.2,56.3,12.4,8.1,0.469,18,30.8,0.244
Bradley,63.9,103.4,0.434,0.391,0.543,50,56.7,9.2,8.6,0.5,17.5,31.1,0.309
Brigham Young,73.5,103.3,0.372,0.351,0.529,46.7,55.1,8.1,8.7,0.489,14.7,28.3,0.265
Brown,69.4,96.1,0.368,0.319,0.488,48.1,51.1,9.1,10.8,0.442,14.6,27.6,0.262
Bryant,67.9,105.2,0.329,0.358,0.528,51.5,50.7,9.9,12.1,0.498,15.6,33.8,0.224
Bucknell,63.7,100.6,0.318,0.327,0.508,47.2,49.1,8.7,12.7,0.479,12.7,24.4,0.21
Buffalo,67.7,99,0.36,0.321,0.508,47.9,51.1,10,7.4,0.472,16.7,31.4,0.246
Butler,64,101.2,0.31,0.309,0.525,49.7,49.5,8.3,9.3,0.495,15.7,28.4,0.214
Cal Poly,60.8,104.5,0.408,0.318,0.532,51.2,56.6,7.4,10,0.488,15.9,32.2,0.295
Cal State Bakersfield,66,102.8,0.516,0.351,0.535,48.4,53.8,10.1,9.5,0.487,16.6,30.7,0.359
Cal State Fullerton,66.8,106.5,0.459,0.29,0.549,50.9,53,7.3,9.7,0.507,14.9,29.1,0.324
Cal State Northridge,68.7,109.5,0.417,0.378,0.557,48.1,55.5,8.5,7.7,0.52,15,31,0.293
UC-Davis,66.6,113.8,0.376,0.318,0.582,56.1,57.6,8.6,10.6,0.546,15.7,35,0.281
UC-Irvine,65.6,96.1,0.382,0.297,0.473,47.2,51.6,8.6,6.3,0.423,13.2,29.5,0.272
UC-Riverside,67.5,104,0.418,0.304,0.538,50.8,53.6,9.7,9.1,0.489,15.7,30.5,0.312
UC-Santa Barbara,63.1,102.3,0.391,0.372,0.502,48.3,60.6,7.5,6.5,0.465,13.9,31.7,0.261
University of California,66.4,102.9,0.337,0.299,0.51,49.5,50.7,6.7,8,0.469,13,29.8,0.246
Campbell,64,110.5,0.365,0.297,0.54,51.7,48.3,11.1,8.7,0.509,13.9,35.5,0.25
Canisius,68.2,111.7,0.353,0.353,0.564,52.1,57.9,8.6,7.4,0.509,16.6,37.2,0.256
Central Arkansas,74.3,108.8,0.484,0.274,0.558,54.6,56.6,9.7,6.9,0.514,17.1,36.9,0.345
Central Connecticut State,70.8,108.3,0.338,0.337,0.54,53.4,45.5,9.4,10.9,0.511,15.4,36.3,0.232
Central Florida,68,106.5,0.354,0.301,0.537,47.8,54.5,11,12.6,0.512,14.8,32.5,0.231
Central Michigan,65.8,110.3,0.381,0.368,0.59,52.1,53.1,8.5,11.1,0.556,17.8,31.2,0.281
Charleston Southern,68.6,103.3,0.378,0.354,0.536,48.1,50.1,7.4,11.3,0.501,15.9,28.5,0.263
Charlotte,69.7,101.9,0.361,0.346,0.519,47.7,47.2,9.8,8,0.492,15,29.7,0.232
Chattanooga,70.4,104.1,0.37,0.263,0.538,48.7,47.4,8.7,10.3,0.507,16.7,32,0.251
Chicago State,69.6,107.4,0.529,0.367,0.563,56.2,54.8,7.6,10.6,0.519,19.1,36.6,0.37
Cincinnati,63.6,91.9,0.36,0.326,0.486,46.8,54.2,8.2,9.2,0.448,19.2,32.3,0.243
Citadel,66.5,110.9,0.372,0.342,0.541,52.5,48.5,9,10.1,0.511,13.2,33.2,0.251
Clemson,59.9,95.5,0.286,0.306,0.47,48.6,47.9,8.9,8.2,0.439,14.5,32.5,0.19
Cleveland State,64.6,101,0.423,0.351,0.522,48.6,60,8.2,10.3,0.476,16.8,31.7,0.301
Coastal Carolina,68.6,98.6,0.377,0.425,0.51,46.8,51,10.2,10.1,0.471,16.2,29.2,0.262
Colgate,62.8,105.3,0.347,0.339,0.535,50.9,47.9,8.9,7,0.503,14.2,28.2,0.238
College of Charleston,62.1,99.3,0.428,0.274,0.495,46.1,39.5,9.1,10.8,0.456,13.2,27.6,0.279
Colorado State,65.8,105.9,0.372,0.354,0.544,46.6,51.6,7.4,8.6,0.508,14.7,26.9,0.265
Colorado,67,100.7,0.304,0.355,0.525,45.7,54.3,9.7,9.1,0.494,15.7,26.1,0.213
Columbia,61.8,100.5,0.403,0.268,0.515,47.7,44.5,8.6,12.4,0.475,14.7,26.3,0.279
Connecticut,65.5,95.9,0.357,0.326,0.482,49.8,51.7,8.6,8.9,0.446,16.5,32.9,0.237
Coppin State,68.5,109.2,0.357,0.376,0.555,53.9,60.1,8,12.6,0.53,16.7,36.6,0.237
