school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,65.9,106.9,0.473,0.327,0.573,55.4,50.1,8.8,11.6,0.539,19.2,33.4,0.325
Air Force,61.1,106,0.349,0.444,0.551,50.6,64.3,9.6,11.3,0.522,17.3,31.7,0.24
Akron,64.7,96.9,0.41,0.31,0.498,49.5,48.8,10.6,9.2,0.455,16.7,31.8,0.278
Alabama A&M,64.5,105.7,0.412,0.293,0.526,50.5,47.6,10.8,9.1,0.499,15.4,36.3,0.259
Alabama-Birmingham,65.9,100.5,0.329,0.32,0.509,49,49.7,9.1,10,0.476,16.5,32.9,0.225
Alabama State,69.8,95.3,0.356,0.308,0.5,46.5,49.6,10.3,6.8,0.469,16.9,28.5,0.23
Alabama,63.1,100.8,0.392,0.37,0.513,50.3,54.3,8.1,8,0.471,16.4,32.1,0.277
Albany (NY),61.2,98.5,0.303,0.416,0.527,46.5,54.5,7.8,10.6,0.496,17.7,26.1,0.212
Alcorn State,68.2,108.9,0.396,0.29,0.553,53.6,49.2,7.5,8.2,0.523,15.6,35.8,0.269
American,57.1,101.2,0.331,0.325,0.538,54.3,51.1,8.7,10,0.511,18.8,31.5,0.224
Appalachian State,66.5,105.4,0.375,0.294,0.538,50.1,49.5,9.3,9.2,0.506,14.9,29.9,0.256
Arizona State,66,99,0.341,0.285,0.535,47.1,51.4,9.1,12.4,0.502,17.1,25.1,0.238
Arizona,66.5,89.4,0.373,0.315,0.494,43.2,47.6,7.1,6.3,0.451,18.5,22.4,0.26
Little Rock,65.5,104.5,0.402,0.357,0.542,51.8,52.1,6.9,7.5,0.51,17.2,31.1,0.272
Arkansas-Pine Bluff,64.7,103,0.488,0.359,0.549,55,59,11.5,8.5,0.512,21,39.5,0.328
Arkansas State,66.9,103.1,0.347,0.349,0.515,50.9,47.9,9.9,7,0.484,14.9,32.2,0.233
Arkansas,70.1,99.3,0.388,0.312,0.525,49.8,51.6,8.1,6.9,0.483,19.1,34.6,0.278
Army,69,103.2,0.4,0.286,0.54,50.7,54.8,9.8,10,0.509,16.8,31.1,0.266
Auburn,67.9,105.1,0.412,0.326,0.558,54,50.8,9.8,13.3,0.523,18.5,33.8,0.288
Austin Peay,68.2,106.4,0.372,0.365,0.575,49.7,55,11.7,8.1,0.542,18.3,28.8,0.27
Ball State,64,105.5,0.41,0.329,0.554,49.8,52.1,11.3,11,0.519,16.2,28.7,0.285
Baylor,62.8,95.2,0.318,0.356,0.485,44.1,69.4,10.4,10.9,0.455,16.3,31,0.205
Belmont,67.5,104.5,0.285,0.366,0.543,49.7,50.7,9.7,12.5,0.515,16.3,29.6,0.203
Bethune-Cookman,61.3,102,0.455,0.339,0.528,48.9,53.2,10.4,10,0.482,17.4,32.9,0.32
Binghamton,63.4,104.4,0.348,0.384,0.547,53.1,55.6,9.7,7,0.519,17.8,31.7,0.238
Boise State,62.4,94.6,0.318,0.36,0.506,47.9,49.2,7.5,9.9,0.472,17.6,25.4,0.222
Boston College,63.9,104,0.41,0.315,0.537,52,53.5,8.2,10.3,0.494,16.3,30.8,0.295
Boston University,63.7,108.3,0.33,0.404,0.557,49.3,62.2,8.3,9.2,0.526,14.7,27.9,0.235
Bowling Green State,63.8,98.2,0.325,0.376,0.51,49,48.8,9.7,9.8,0.475,16.8,29.6,0.227
Bradley,61.1,98.9,0.45,0.378,0.535,49.5,59.8,9.9,10.5,0.496,19.4,29,0.309
Brigham Young,70.7,102,0.386,0.325,0.527,46.8,55.1,9.2,9.4,0.489,15.8,28.5,0.27
Brown,67.6,101.9,0.36,0.308,0.51,48.9,50,11.8,12.6,0.474,14.2,30,0.246
Bryant,63.8,105,0.359,0.356,0.524,51,52.5,10.1,10.8,0.483,14.3,32,0.261
Bucknell,64.1,106.1,0.378,0.298,0.54,48.4,47.3,7.8,12.1,0.497,12.8,25.7,0.28
Buffalo,68.7,99.3,0.343,0.379,0.515,48,49.3,9,8.1,0.485,17,30.4,0.228
Butler,64.2,93.5,0.333,0.342,0.501,45.8,50.5,8.3,11.3,0.467,17.2,25.3,0.227
Cal Poly,59.3,99.3,0.308,0.328,0.515,49,56.8,6.6,9.3,0.484,15.5,27.7,0.212
Cal State Bakersfield,61.2,98.6,0.469,0.385,0.528,46.2,54.1,8.4,10.3,0.482,17.3,26.1,0.327
Cal State Fullerton,65.6,104.7,0.391,0.33,0.542,49.3,55,8.8,10.2,0.505,14.8,26.4,0.275
Cal State Northridge,65.9,106.1,0.355,0.387,0.537,49.6,55.9,10.9,6.5,0.503,14.4,29.9,0.249
UC-Davis,62.9,101.5,0.326,0.348,0.509,50.6,54.1,10.7,7.8,0.474,15.8,33.8,0.227
UC-Irvine,63.7,96.8,0.346,0.289,0.483,48.8,49.3,8.9,7.4,0.442,14.9,30.5,0.24
UC-Riverside,65.2,100.2,0.415,0.299,0.526,48.8,52.4,9.4,10.4,0.482,16.5,28.1,0.296
UC-Santa Barbara,62.7,100.1,0.384,0.337,0.517,49.1,55.7,7.4,5.5,0.471,16,29.8,0.281
University of California,66.3,100.8,0.389,0.252,0.51,49.4,45.3,7.6,9,0.468,12.7,25.1,0.271
Campbell,63.3,104.5,0.403,0.317,0.552,51.6,50.5,10,8.4,0.511,17,29.7,0.291
Canisius,64.2,97.2,0.407,0.37,0.511,49.6,60.2,9.4,9.6,0.469,18.5,32.3,0.281
Central Arkansas,71.3,115.3,0.425,0.288,0.58,54.2,52.9,13.2,11,0.55,15.6,36.7,0.294
Central Connecticut State,64,109.1,0.239,0.353,0.538,51.1,53.2,10.2,9.3,0.514,13.5,32.8,0.17
Central Florida,64,109.5,0.273,0.305,0.527,52.5,54.9,10.3,11.4,0.51,13.2,36.5,0.169
Central Michigan,66.6,102.2,0.347,0.365,0.536,50,46.3,7.5,9.2,0.508,17.4,30.1,0.232
Charleston Southern,66.5,101.8,0.336,0.403,0.542,47.7,51.2,8,12,0.509,17.3,27.3,0.238
Charlotte,67.2,104.5,0.331,0.367,0.538,48.6,52.6,8.9,8.2,0.506,15.9,31.2,0.232
Chattanooga,66.2,99.2,0.419,0.276,0.516,49,44.7,8.7,11.7,0.475,17.2,32,0.287
Chicago State,64.5,102,0.497,0.386,0.555,51.2,58.7,11,10,0.518,20.5,32.9,0.335
Cincinnati,59.6,92.4,0.261,0.333,0.468,46.5,54,9.2,8.2,0.441,16.8,32.3,0.17
Citadel,60.3,112.9,0.286,0.364,0.562,50.2,46.6,11.1,10.4,0.536,14.3,33.5,0.205
Clemson,62.8,98.3,0.312,0.332,0.491,48.5,52.4,9.9,8.3,0.456,15.1,31.4,0.215
Cleveland State,62.3,100.9,0.436,0.358,0.536,49.1,58.5,10,8.2,0.487,18.6,31.2,0.295
Coastal Carolina,65.2,95.7,0.336,0.408,0.499,44.3,53,8.8,7,0.461,16,26.2,0.235
Colgate,60.5,104.5,0.343,0.323,0.531,50.7,50,9.3,9,0.503,14.5,28.1,0.229
College of Charleston,61.7,103.8,0.474,0.322,0.525,52.6,50.7,8.8,10.6,0.481,15.7,32.2,0.323
Colorado State,65.3,97.8,0.331,0.355,0.514,45.7,51.9,8.2,7,0.487,16.1,25.3,0.217
Colorado,65.6,102.3,0.339,0.37,0.524,46.4,52.4,10.4,9.2,0.489,14.8,28,0.238
Columbia,60.6,102.4,0.378,0.299,0.52,48.1,47.1,9.2,12.3,0.481,14.6,28.8,0.264
Connecticut,61.9,96.7,0.326,0.338,0.488,49.2,50.9,8.9,10.8,0.452,15.3,30.6,0.223
Coppin State,73.6,112.1,0.419,0.305,0.571,57.2,53.6,8.4,9.3,0.538,16.6,37.7,0.294
Cornell,64.4,94.4,0.407,0.375,0.495,52.7,55.2,8.1,8.7,0.45,17.4,30,0.281
Creighton,63.3,104.1,0.334,0.357,0.535,48.5,54.9,9.2,11,0.505,14.9,28.1,0.229
Dartmouth,62.9,99.5,0.428,0.383,0.537,49.3,55.7,9.4,8.4,0.499,18.7,28.3,0.294
Davidson,67.2,102.9,0.351,0.325,0.518,49.7,49.5,7.5,12.1,0.492,14.7,30.3,0.224
Dayton,64.2,94.4,0.306,0.334,0.503,51.4,54.3,8.2,11.4,0.472,18.3,28.4,0.207
Delaware State,69.2,104.2,0.344,0.368,0.518,49.3,54.4,10.1,10,0.485,14.2,31,0.235
Delaware,65.7,108.2,0.332,0.375,0.532,51.3,56.6,9.9,10.5,0.5,13.3,31.5,0.233
Denver,58.2,107,0.512,0.298,0.572,54.5,48.5,8.8,8.5,0.529,17.9,29.6,0.365
DePaul,67.3,108.9,0.487,0.31,0.557,54.1,48.3,10.8,9.8,0.508,16.1,35.4,0.356
Detroit Mercy,68.2,102.5,0.465,0.402,0.556,50.2,58.7,8.7,8.5,0.517,19.1,29.4,0.323
Drake,58.9,112.4,0.306,0.363,0.571,52.9,51.5,10.9,10,0.547,14.7,31.4,0.214
Drexel,61.4,104.3,0.358,0.3,0.53,52.3,52.7,8.8,9.9,0.499,15.9,31.3,0.242
Duke,65.9,96.7,0.24,0.278,0.492,46.1,47,8.3,8.3,0.465,15.9,30.2,0.166
Duquesne,67.2,110.2,0.336,0.401,0.539,50,64.6,8.1,8.6,0.511,13.6,33.2,0.228
East Carolina,63.1,104.1,0.338,0.36,0.53,52.4,56.9,9.4,12.5,0.501,16.5,34,0.229
East Tennessee State,68.8,102.9,0.423,0.443,0.541,50.7,62.4,10.1,13.3,0.501,18.3,31.9,0.298
Eastern Illinois,63.2,101.7,0.311,0.353,0.512,54.1,51.4,10.1,8.9,0.477,16.1,34.1,0.222
Eastern Kentucky,65.5,96.4,0.345,0.404,0.553,55.7,67.2,9.1,9.7,0.527,24.4,33.9,0.232
Eastern Michigan,66.7,94.5,0.393,0.392,0.492,50.6,63.8,8,9.5,0.449,18.9,33.2,0.269
Eastern Washington,68.3,107.5,0.354,0.36,0.554,50,57.4,8,11.2,0.52,15.6,30.4,0.253
Elon,69.5,100.5,0.43,0.341,0.535,51.6,48.6,9,9.6,0.501,18.3,30.5,0.287
Evansville,66.1,98.2,0.307,0.341,0.523,49.2,51.5,9.6,9.8,0.49,17.8,28.1,0.219
Fairfield,62.1,103.9,0.427,0.265,0.521,53.3,53.4,10.4,7.9,0.483,15.5,33.9,0.287
Fairleigh Dickinson,67.7,107,0.506,0.345,0.56,56.9,55.5,9.5,11.3,0.52,19.6,39.9,0.35
Florida A&M,65.7,111,0.349,0.377,0.555,54.9,59.3,10.8,9.8,0.535,15.6,35.5,0.225
Florida Atlantic,64.2,103.5,0.366,0.218,0.526,53,40.8,10.1,11.3,0.489,14.9,31.8,0.255
Florida Gulf Coast,64.9,97,0.33,0.357,0.482,48,44,8.8,6.7,0.446,14.5,31.1,0.222
