school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Florida International,65.5,98.5,0.376,0.377,0.503,50.3,57.6,11.9,9.9,0.471,16.6,31.7,0.243
Florida State,65.7,101.1,0.379,0.325,0.513,49.1,51.6,9.4,7.1,0.473,15.4,31.9,0.266
Florida,62.8,94.9,0.378,0.315,0.51,49.1,51.7,8.7,11.9,0.46,18.9,29.1,0.282
Fordham,66.3,103.9,0.414,0.369,0.539,47.8,53,11,9.1,0.505,16.3,29.2,0.278
Fresno State,64.3,101.9,0.426,0.342,0.532,52.4,54.5,8.4,8.7,0.492,17.7,31.7,0.295
Furman,63.1,107,0.355,0.354,0.538,50.6,55.9,11,12.6,0.512,14.7,31.4,0.235
Gardner-Webb,68.4,106.8,0.287,0.3,0.548,50.1,48.7,9.5,10.1,0.525,15.4,30.9,0.196
George Mason,65.1,105.1,0.442,0.357,0.539,47.8,53.8,10.3,9.3,0.494,16,31,0.316
George Washington,63.4,96.7,0.289,0.343,0.49,47.3,49.7,10.1,11,0.459,15.7,30.9,0.197
Georgetown,64.6,99.5,0.441,0.354,0.519,47.8,52.4,9.1,10.2,0.471,17.4,31,0.313
Georgia Southern,65,91.8,0.313,0.37,0.483,48.7,49.1,8.1,8.4,0.449,18.8,31.2,0.211
Georgia State,64.3,96,0.395,0.42,0.504,51.1,62.6,7,6,0.457,19.8,34.4,0.282
Georgia Tech,63.9,99.4,0.338,0.328,0.525,44.8,54.4,10,9.3,0.492,16,25.8,0.234
Georgia,64.8,97,0.343,0.353,0.485,47,47.6,9.2,10.5,0.444,14.3,28.5,0.24
Gonzaga,65.2,94.3,0.31,0.305,0.474,44.5,43.8,8.5,6.3,0.441,14.8,27.7,0.206
Grambling,65.7,110.4,0.387,0.351,0.542,52.7,56,13,9.2,0.518,14.4,35.3,0.245
Grand Canyon,64.7,105.7,0.359,0.298,0.522,52.6,46.3,7.7,7.6,0.489,13.9,33.8,0.244
Green Bay,65,93.2,0.383,0.305,0.494,48.1,51.8,9.2,8.1,0.455,18.1,29.5,0.256
Hampton,69.5,97.7,0.455,0.302,0.51,49.9,45.9,7.8,10,0.464,17.3,30.9,0.312
Hartford,63.4,99.9,0.415,0.353,0.535,52.8,52.2,8.9,10.4,0.5,18.5,29.4,0.28
Harvard,61.2,92.6,0.327,0.324,0.492,47.5,52.3,8.4,7.7,0.458,18,28.3,0.221
Hawaii,69.9,96.9,0.421,0.344,0.52,50.7,55.7,8.4,7.4,0.472,20.3,33.9,0.305
High Point,63.7,102.3,0.313,0.393,0.535,49.7,50.7,10.4,6.5,0.504,17.5,31.1,0.22
Hofstra,69.2,100.8,0.387,0.337,0.534,48.4,54.4,7.1,9,0.495,17.2,28.4,0.274
Holy Cross,63.6,104.1,0.408,0.323,0.566,51.3,58,8,9,0.529,19.1,29.4,0.291
Houston Baptist,69.3,105.8,0.432,0.314,0.543,45.4,50.7,10.5,9.1,0.5,15.4,29.9,0.308
Houston,63.9,101,0.332,0.332,0.52,50.8,55.7,10.6,10.1,0.491,17,33.6,0.221
Howard,64.8,95.1,0.401,0.394,0.496,48.8,58.7,9.1,9.4,0.451,18.3,33.4,0.28
Idaho State,64,107.6,0.347,0.425,0.552,51.3,61.6,7.3,9.5,0.514,16.3,32,0.257
Idaho,68.2,109.1,0.409,0.442,0.559,47.1,51.8,7.3,7.5,0.527,13.8,26.4,0.28
Illinois-Chicago,64.8,108,0.378,0.293,0.564,50.5,62.3,8.4,12.8,0.536,16,28.6,0.26
Illinois State,64.1,95.7,0.395,0.331,0.509,46.9,58.2,9.3,7.2,0.468,18.1,29.6,0.272
Illinois,65,97.1,0.304,0.36,0.514,49.6,51.3,7.4,8.8,0.48,17.2,28,0.217
Incarnate Word,69.6,105.4,0.359,0.294,0.54,51.8,53.4,8,8.8,0.503,16,31.7,0.259
Indiana State,66,100.6,0.366,0.304,0.527,51.8,50.3,11.4,9.9,0.484,17.6,30.9,0.268
Indiana,66.9,106.7,0.328,0.304,0.531,47.8,47.6,9.2,12.1,0.503,13.7,31.4,0.223
Iona,70.6,103.3,0.285,0.319,0.511,51.2,54.1,8.4,11.1,0.481,14.2,33.2,0.199
Iowa State,69.8,98.8,0.24,0.344,0.506,49.5,55.7,8.1,9.1,0.476,16,29.6,0.176
Iowa,64.5,96,0.291,0.366,0.489,47.1,54.5,9.1,9.1,0.456,16.1,30.3,0.202
Fort Wayne,65.4,102.6,0.264,0.341,0.534,49.7,47.9,8.1,9.2,0.506,15,26.4,0.189
IUPUI,64,102,0.418,0.312,0.551,49.2,51.3,12.6,10.8,0.513,18.4,28.3,0.294
Jackson State,64.9,97.1,0.541,0.373,0.535,46.8,54.1,10.7,11,0.486,20,28.1,0.372
Jacksonville State,64.8,104.5,0.397,0.299,0.532,52.7,55.4,9.1,11.5,0.5,16.3,33.8,0.265
Jacksonville,65.1,108.8,0.378,0.38,0.565,53.1,55.5,9,11,0.534,17.1,32.7,0.265
James Madison,64.2,106,0.319,0.379,0.534,50.6,56.8,10.2,10.8,0.502,15.3,32,0.226
Kansas State,63.1,100.8,0.41,0.319,0.53,48.8,55.6,11.8,11.6,0.497,17.5,31.5,0.272
Kansas,66.7,96.8,0.338,0.32,0.482,47.4,48.7,9.8,12.7,0.446,14.8,31.6,0.227
Kennesaw State,66.8,110.5,0.358,0.341,0.539,52.3,49.8,10.3,9.5,0.505,13.8,34.8,0.251
Kent State,62.1,99.9,0.388,0.297,0.501,49.1,48.2,8.5,8.8,0.457,15.5,32.3,0.273
Kentucky,63.8,84.4,0.318,0.305,0.435,45.1,40.1,7.3,6,0.396,18,31.8,0.209
La Salle,64.3,95.3,0.344,0.295,0.496,50.4,55.6,10.3,9.2,0.458,17.3,30.8,0.239
Lafayette,64.8,112.2,0.271,0.375,0.555,51.7,51.8,9.2,8.9,0.533,14.3,34,0.189
Lamar,68.8,102.8,0.448,0.347,0.55,48.2,58.9,11.1,8.9,0.514,18.8,31.7,0.306
Lehigh,66.3,99.3,0.313,0.401,0.502,49,62.2,10.2,7.1,0.469,15.2,30.2,0.214
Liberty,66.7,103.7,0.394,0.417,0.526,48.7,50.9,12.3,7.3,0.49,15.5,31.5,0.267
Lipscomb,69.2,107,0.467,0.411,0.559,50.4,58.1,9.1,12.3,0.526,16.3,29.5,0.313
Long Beach State,65.8,101.6,0.368,0.379,0.525,51.1,54.9,10,10.8,0.487,17.9,34.1,0.259
Long Island University,68.1,101.9,0.356,0.333,0.52,50.5,51.6,8.7,11.6,0.484,15.7,31,0.249
Longwood,67.7,106.6,0.45,0.366,0.556,54.3,55.7,12.1,10.4,0.522,18.4,35.4,0.306
Louisiana,71.6,97.1,0.364,0.298,0.51,45.6,42.9,9.5,8.9,0.474,16.4,27.5,0.249
Louisiana-Monroe,63.5,94.1,0.288,0.353,0.478,47.7,51.2,8.3,7.9,0.44,15.5,29.4,0.207
Louisiana State,69.6,95,0.294,0.292,0.477,48.5,46.8,11.2,8.8,0.447,16.1,32.9,0.195
Louisiana Tech,67.9,95.9,0.312,0.291,0.503,53.1,49.9,8.9,8.9,0.47,19.3,35,0.215
Louisville,65.6,90.7,0.333,0.318,0.475,48.2,55.3,8.7,7.1,0.44,18.2,30.8,0.22
Loyola (IL),60.4,99.7,0.291,0.372,0.519,51,54,10.5,10.1,0.492,17.7,32.2,0.197
Loyola Marymount,62.9,111.3,0.342,0.387,0.563,50.4,67.2,11.5,9,0.533,15.5,33.8,0.242
Loyola (MD),62.3,103.7,0.449,0.33,0.536,49.1,53,9.5,13.9,0.497,15.4,28.5,0.306
Maine,66.3,111.9,0.367,0.365,0.583,55.1,57,11.6,10,0.559,16.6,31.8,0.251
Manhattan,68.2,97.9,0.523,0.272,0.532,51.4,59.8,9.9,11.5,0.481,20.6,33.1,0.365
Marist,66.4,103.5,0.367,0.345,0.532,57.1,57.1,10.8,10,0.496,17.6,35.5,0.257
Marquette,64.6,102.9,0.303,0.364,0.525,53.4,62.7,9.6,11.3,0.492,17.6,36.4,0.217
Marshall,71,100.3,0.358,0.355,0.51,51.4,53.8,11.3,8.6,0.484,16.2,32.1,0.227
Maryland-Baltimore County,64.4,103.8,0.33,0.35,0.542,53.5,56.7,13.5,9.5,0.512,17.1,30.5,0.231
Maryland-Eastern Shore,65.1,102.7,0.411,0.389,0.544,48.3,52.7,10.6,9.5,0.511,18.4,31.9,0.279
Maryland,64.7,97.3,0.281,0.375,0.483,48.9,48.1,8.8,9.6,0.455,14.5,30.5,0.186
Massachusetts-Lowell,64.5,101.7,0.332,0.394,0.559,54.9,57.9,9,10.9,0.534,20.2,29.6,0.227
Massachusetts,68.3,102.3,0.352,0.294,0.519,48.5,56.3,10.5,10.7,0.487,15.1,31.2,0.239
McNeese State,66,107.1,0.339,0.346,0.54,50.9,57,8.7,8.9,0.511,15.9,34.8,0.231
Memphis,65.6,95.4,0.387,0.309,0.488,47,54.2,11.2,8.6,0.444,16.4,31.6,0.267
Mercer,61.2,100.4,0.318,0.405,0.51,49.2,57.2,8.6,10,0.483,16.5,32.2,0.21
Miami (FL),62.5,99.5,0.285,0.34,0.501,49.4,50.2,7.9,10.3,0.476,14.8,29.3,0.188
Miami (OH),65.4,104.7,0.421,0.409,0.561,51.9,52.6,9.1,8.3,0.528,18.1,29.3,0.291
Michigan State,63,98.2,0.39,0.338,0.498,46.1,49.1,8.6,7.8,0.449,14.3,27,0.281
Michigan,60.7,103,0.261,0.356,0.535,53,53.7,7.1,9.2,0.51,16.8,30.7,0.182
Middle Tennessee,62.1,98.2,0.415,0.324,0.533,47.9,54.1,9.7,11.7,0.496,18.3,25.8,0.284
Milwaukee,65.4,105.9,0.311,0.282,0.538,50.6,48.1,10.7,10.4,0.506,14.2,28.8,0.222
Minnesota,68.2,98.5,0.339,0.368,0.536,51.9,62.3,9.3,11.5,0.503,21,33.7,0.238
Mississippi State,64.1,99.1,0.363,0.374,0.506,48.1,52.3,10.7,10.4,0.478,16.2,30.9,0.231
Mississippi Valley State,71,111.4,0.367,0.341,0.569,55.8,51.8,10.5,9.7,0.545,17.5,39.6,0.247
Mississippi,67,101.4,0.412,0.401,0.516,48.2,63.5,7.3,9.1,0.476,16,31.4,0.282
Missouri-Kansas City,64.9,100.8,0.394,0.354,0.544,53.1,57,9.7,11.2,0.511,21,36.7,0.269
Missouri State,61.1,103.3,0.366,0.341,0.525,49.6,55.4,10.1,8.2,0.487,14.7,29.8,0.259
Missouri,63.4,106.3,0.435,0.355,0.533,51.8,51.9,9.3,10.1,0.49,14.8,32.9,0.305
Monmouth,64.1,98.6,0.372,0.424,0.51,51.2,58,9.6,10.7,0.472,18.1,33.6,0.255
Montana State,66.4,108.1,0.441,0.295,0.56,50.7,54.3,10.5,13.2,0.52,15.3,28.3,0.315
Montana,63.2,102.5,0.425,0.378,0.546,49.9,52.5,8.9,9,0.504,17.8,28.3,0.305
Morehead State,67,98.3,0.551,0.325,0.541,46.6,56.3,8.5,12.7,0.489,19.6,27.4,0.387
Morgan State,65.6,107.6,0.432,0.304,0.569,52.2,49.9,7,9.2,0.533,18.6,34,0.305
Mount St. Mary's,63.1,100.6,0.356,0.295,0.527,51.7,48.7,9.8,8.6,0.496,18.2,32.4,0.24
Murray State,67.5,99.5,0.367,0.343,0.509,47.3,51.5,8.2,7.8,0.467,16.6,32,0.262
Navy,61.5,104.6,0.356,0.378,0.558,50.4,60.6,9.6,8.9,0.527,18,29.2,0.252
Omaha,73.4,105.1,0.388,0.345,0.567,49.9,57,8.6,9,0.53,18.1,28.9,0.284
Nebraska,63.8,97.3,0.385,0.382,0.508,51.5,49.3,9.1,9.2,0.468,17.7,30.2,0.267
Nevada-Las Vegas,65.1,97.8,0.291,0.305,0.478,51,51.2,8,8.8,0.447,13.8,31.9,0.194
Nevada,63.8,103.8,0.395,0.341,0.507,46,56.2,9.6,10.7,0.471,13.3,32,0.262
New Hampshire,64.5,93.7,0.4,0.33,0.497,46.6,41.4,8.5,6.8,0.454,16,22.4,0.276
New Mexico State,62.9,94.3,0.322,0.237,0.497,45.1,49.1,8.6,5.9,0.461,18,30.5,0.223
New Mexico,61.9,96.1,0.329,0.417,0.504,46.3,59.7,9.7,9.3,0.467,16.3,26.3,0.231
New Orleans,70,104.3,0.44,0.309,0.564,48.6,49.7,10.7,10.3,0.539,19.1,31.8,0.285
Niagara,65.5,108.8,0.363,0.351,0.568,49.9,58.1,9.6,11.6,0.537,15.9,29.5,0.256
Nicholls State,68.4,105.8,0.498,0.318,0.544,51,48.6,12.2,9.5,0.494,17.2,33.9,0.356
NJIT,67.3,100.4,0.425,0.356,0.515,50.4,50.4,10.1,9.7,0.462,16.8,32.6,0.314
Norfolk State,65.4,99.9,0.391,0.402,0.51,46.3,54.5,8.6,9.3,0.477,16.1,30.1,0.256
North Carolina-Asheville,69,101.7,0.415,0.346,0.521,49.5,55.8,11,9.4,0.481,16.4,32.2,0.285
North Carolina A&T,63.3,103.8,0.406,0.362,0.526,50.2,56.7,11.6,7.4,0.489,16.3,34.7,0.277
North Carolina Central,62.6,87.8,0.422,0.35,0.46,46.9,46.1,8.3,8.6,0.41,18.2,29.7,0.285
North Carolina-Greensboro,67.1,104.8,0.467,0.364,0.549,49.6,50.2,8.8,8,0.504,16.5,29.8,0.333
North Carolina State,64.5,101.2,0.347,0.313,0.495,47.7,51.5,8.2,10.1,0.455,12.7,30.1,0.244
North Carolina-Wilmington,67.9,100.1,0.463,0.307,0.519,50.3,49.8,9.1,8.3,0.475,17.5,32,0.317
North Carolina,69.2,98.9,0.378,0.368,0.497,44.8,52.4,9.6,8.2,0.454,15.1,31.2,0.265
North Dakota State,61.9,99.6,0.304,0.335,0.521,48.7,51.3,7.3,7.2,0.483,14.9,23.1,0.225
North Dakota,68.2,106.7,0.414,0.299,0.559,52.6,51.9,9.4,9.4,0.522,16.9,29.2,0.294
North Florida,67.7,100.7,0.328,0.278,0.508,49.3,47,9.7,8.6,0.476,15.3,31.3,0.222
North Texas,67,101.3,0.366,0.398,0.521,50.5,50.8,10.3,8.5,0.488,17.3,32.5,0.247
Northeastern,63.5,101.5,0.25,0.287,0.522,45.8,49.9,11.1,9.8,0.498,13.8,25.2,0.172
Northern Arizona,65.2,102,0.381,0.33,0.524,46,45.5,8.2,9.2,0.482,14.6,26.3,0.274
Northern Colorado,64.1,112.7,0.407,0.391,0.583,50.5,55.1,6.7,9.5,0.552,17.4,34.1,0.286
Northern Illinois,64,102.3,0.401,0.432,0.548,47.3,54.5,10.5,10.4,0.513,18.7,30.3,0.278
Northern Iowa,57.4,93.8,0.27,0.379,0.489,48.1,48.5,8.2,8.5,0.456,16.7,26.9,0.192
Northern Kentucky,65.1,105.6,0.45,0.365,0.539,49.9,49.7,8.4,9.8,0.493,14.4,29.3,0.324
Northwestern State,75.1,110.5,0.356,0.307,0.562,53.8,53.7,7.9,8.2,0.532,17.3,38.4,0.25
Northwestern,60.5,104.8,0.328,0.361,0.514,50.5,59.5,8.5,7.8,0.484,13.2,30.9,0.219
Notre Dame,63.7,101.5,0.241,0.315,0.506,50.2,50,8,7.2,0.479,14.7,32.2,0.172
Oakland,66.7,110.3,0.341,0.357,0.563,49.9,57.5,11.2,8.3,0.534,14.2,29.9,0.242
Ohio State,66,94.7,0.278,0.377,0.497,48.5,57.5,7.7,7.4,0.464,18.5,32,0.196
Ohio,67.2,106.9,0.322,0.346,0.529,51.7,46.6,9.3,8.2,0.493,13.3,30.5,0.235
Oklahoma State,64.6,96.5,0.417,0.322,0.502,51.4,52.4,9.3,11,0.458,17.9,31.9,0.286
Oklahoma,67.4,92.4,0.284,0.345,0.47,48.9,49.4,9.4,9.7,0.441,16.7,31.4,0.186
Old Dominion,61.1,92.9,0.408,0.39,0.499,46.1,50.3,7.7,7.4,0.461,18.4,26.9,0.269
Oral Roberts,66.4,102.9,0.363,0.307,0.537,50.3,46.2,8.7,8.9,0.502,16.9,30.3,0.257
Oregon State,62.1,94.9,0.45,0.408,0.506,51.8,60.4,9.8,9,0.447,20.1,32.4,0.333
Oregon,68,102.7,0.346,0.33,0.513,49.1,47.6,8.1,6.8,0.477,14.2,31.1,0.241
Pacific,62,108.6,0.437,0.365,0.551,48,59.3,8.2,12,0.51,14.2,30.1,0.312
Penn State,65.8,99.1,0.415,0.333,0.5,50.3,52.5,8.4,10.1,0.453,15.3,31,0.291
Pennsylvania,63.1,106,0.398,0.371,0.549,49.6,58.2,10.8,12,0.512,15.8,29.1,0.282
Pepperdine,64.2,95.9,0.338,0.302,0.488,50.9,54.9,10.4,8.8,0.454,16.2,32.2,0.225
Pittsburgh,61.2,106.1,0.375,0.314,0.54,48.5,54.6,7.8,8.3,0.503,15.1,31.2,0.266
Portland State,67.2,107.1,0.309,0.339,0.552,52.3,57.2,8.4,7.9,0.52,15.9,32.1,0.226
