school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,31,10,21,-17.2,-6.34,1,14,1976,2186,1240,1684,0.413,610,0.38,487,0.727,274,897,394,203,38,399,661
Air Force,31,14,17,-1.85,-0.71,1,11,2037,2017,1245,1565,0.474,625,0.371,487,0.659,265,930,483,195,65,366,552
Akron,35,21,14,3.65,-0.47,2,9,2382,2203,1406,1982,0.416,937,0.35,617,0.658,420,1249,435,230,155,422,654
Alabama A&M,29,9,20,-17.15,-9.62,5,12,1797,1988,1165,1533,0.397,577,0.288,643,0.645,367,998,354,165,68,413,573
Alabama-Birmingham,36,20,16,1.94,1.62,3,8,2476,2452,1480,2042,0.428,607,0.333,715,0.738,434,1322,516,237,184,482,630
Alabama State,29,19,10,-8.97,-12.71,8,5,2090,1937,1165,1738,0.438,480,0.358,609,0.65,389,1151,393,184,122,397,520
Alabama,34,19,15,10.52,8.09,4,8,2280,2180,1371,1724,0.441,697,0.317,752,0.717,325,1122,350,219,125,407,654
Albany (NY),33,24,9,-0.34,-5.18,12,5,2156,1996,1325,1666,0.438,572,0.358,650,0.758,334,1111,349,187,53,381,544
Alcorn State,32,6,26,-20.75,-9.95,1,15,2066,2377,1280,1864,0.388,553,0.28,704,0.658,376,1038,285,191,86,367,571
American,33,17,16,-3.56,-3.71,7,13,1938,1933,1339,1479,0.462,571,0.373,509,0.705,188,827,408,196,84,370,484
Appalachian State,29,12,17,-9.81,-3.18,5,12,1841,2033,1160,1602,0.398,588,0.316,537,0.709,329,1010,318,122,61,397,551
Arizona State,34,18,16,9.52,6.66,3,10,2360,2263,1385,1818,0.445,660,0.35,766,0.667,365,1184,431,199,79,474,638
Arizona,38,34,4,24.33,7.41,8,3,2911,2268,1525,2068,0.488,536,0.36,974,0.719,411,1399,528,275,131,419,681
Little Rock,31,13,18,-5.38,-3.81,3,9,2146,2180,1275,1779,0.417,636,0.344,632,0.704,329,1063,380,174,86,326,588
Arkansas-Pine Bluff,32,12,20,-15.65,-8.61,5,13,1915,2140,1285,1639,0.401,613,0.333,584,0.68,326,927,323,283,108,489,623
Arkansas State,29,11,18,-10.1,-3.81,6,9,1869,2018,1170,1631,0.407,514,0.329,530,0.702,318,1038,321,154,89,390,496
Arkansas,36,27,9,14.07,6.79,7,5,2787,2525,1450,2196,0.445,681,0.349,819,0.724,470,1290,579,277,168,430,684
Army,30,15,15,-6.5,-4.98,7,8,2164,2163,1215,1768,0.441,697,0.326,557,0.68,325,1033,437,192,106,396,612
Auburn,35,15,20,3.27,8.15,2,10,2378,2523,1415,1880,0.404,727,0.347,910,0.666,356,1104,376,238,89,452,708
Austin Peay,30,8,22,-12.45,-2.81,1,14,1937,2178,1200,1667,0.398,513,0.302,685,0.666,373,1043,360,191,124,428,514
Ball State,30,7,23,-5.06,0.04,1,14,1961,2070,1226,1580,0.423,684,0.342,561,0.693,303,980,383,159,71,424,576
Baylor,34,24,10,17.85,9.33,6,5,2349,2048,1370,1874,0.434,626,0.377,723,0.674,497,1333,497,263,132,434,565
Belmont,33,22,11,0.35,-2.77,7,8,2450,2330,1320,1803,0.476,866,0.38,585,0.692,307,1093,504,209,66,451,549
Bethune-Cookman,32,11,21,-15.52,-10.45,4,11,1899,2003,1280,1567,0.4,542,0.301,672,0.717,372,1056,264,174,84,449,623
Binghamton,32,6,26,-13.45,-3.49,1,15,1845,2124,1285,1598,0.396,554,0.309,618,0.66,288,992,278,186,80,433,577
Boise State,34,25,9,10.01,1.38,8,5,2390,2045,1385,1823,0.456,758,0.392,591,0.729,298,1119,409,206,79,348,582
Boston College,32,13,19,6.32,7.94,2,7,2105,2157,1300,1668,0.445,638,0.324,584,0.705,263,983,421,183,86,389,607
Boston University,30,13,17,-5.63,-3.12,5,10,2037,2087,1210,1498,0.446,631,0.368,674,0.696,263,953,368,170,56,369,522
Bowling Green State,33,21,12,2.93,-1.25,10,5,2196,2076,1325,1806,0.431,647,0.337,588,0.714,355,1156,406,219,123,386,550
