school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Bradley,33,9,24,-4.3,1.52,1,10,1882,2026,1340,1700,0.376,594,0.301,641,0.663,377,1098,308,227,93,418,645
Brigham Young,35,25,10,13.53,5.02,8,3,2931,2561,1420,2090,0.467,763,0.393,886,0.766,421,1349,594,257,103,417,721
Brown,31,13,18,-7.23,-1.99,3,11,2048,2144,1245,1623,0.423,549,0.319,727,0.689,324,1129,369,139,138,460,591
Bryant,31,16,15,-6.28,-4.93,7,10,2058,2100,1255,1683,0.421,653,0.346,552,0.75,306,1029,381,157,77,366,560
Bucknell,34,19,15,-3.66,-2.75,6,11,2339,2346,1380,1828,0.438,605,0.385,726,0.697,340,1145,446,139,95,377,631
Buffalo,33,23,10,7.93,1.6,9,7,2462,2253,1320,1922,0.435,583,0.341,819,0.719,420,1260,433,248,132,378,613
Butler,34,23,11,16.64,8.62,7,4,2346,2073,1380,1882,0.433,540,0.356,767,0.686,408,1239,387,217,103,376,592
Cal Poly,29,13,16,-0.57,0.43,5,10,1752,1721,1170,1589,0.39,533,0.311,506,0.684,342,1002,295,158,87,255,465
Cal State Bakersfield,33,14,19,-6.4,-5.8,3,10,2100,2028,1345,1703,0.42,554,0.336,669,0.723,368,1143,427,190,59,409,673
Cal State Fullerton,31,9,22,-8.58,-1.06,1,13,1991,2155,1255,1695,0.412,523,0.319,623,0.687,323,1088,305,156,62,391,566
Cal State Northridge,33,9,24,-6.61,0.39,1,14,2148,2325,1330,1742,0.425,337,0.326,729,0.765,325,1133,443,180,125,435,597
UC-Davis,32,25,7,2.19,-2.58,10,6,2263,2068,1295,1583,0.49,613,0.447,598,0.734,255,995,425,165,63,427,563
UC-Irvine,34,21,13,3.63,0.45,6,9,2295,2113,1370,1851,0.461,558,0.389,541,0.684,329,1198,480,194,168,396,578
UC-Riverside,31,14,17,-4.65,-1.16,2,13,2025,2050,1255,1691,0.418,603,0.343,592,0.682,337,1080,399,208,111,413,626
UC-Santa Barbara,33,19,14,3.47,0.98,4,10,2258,2112,1345,1836,0.439,602,0.374,572,0.736,352,1134,503,171,118,360,619
University of California,33,18,15,5.36,6.15,5,6,2195,2221,1330,1868,0.44,515,0.359,567,0.649,299,1170,412,137,127,365,627
Campbell,32,10,22,-11.13,-5.3,1,15,2045,2124,1285,1654,0.426,736,0.356,597,0.625,305,988,419,226,92,403,576
Canisius,33,18,15,-0.04,-2.79,8,8,2168,2077,1330,1864,0.409,677,0.318,596,0.72,401,1157,465,223,108,393,608
Central Arkansas,29,2,27,-22.84,-5.94,0,16,1894,2384,1160,1524,0.424,556,0.353,599,0.678,273,903,361,182,114,529,604
Central Connecticut State,31,5,26,-16.56,-5.62,1,13,1834,2173,1245,1675,0.402,454,0.322,479,0.71,332,1046,340,153,109,425,429
Central Florida,30,12,18,-5.73,0.78,2,9,1981,2153,1230,1621,0.434,577,0.35,577,0.643,313,997,369,155,128,390,470
Central Michigan,32,23,9,5.56,-1.1,6,7,2504,2187,1285,1816,0.467,864,0.373,670,0.725,327,1080,447,226,84,325,562
Charleston Southern,31,19,12,-4.48,-5.23,6,9,2277,2130,1259,1846,0.421,845,0.341,633,0.687,403,1171,397,214,69,354,540
Charlotte,32,14,18,1.76,0.35,5,9,2362,2317,1320,1853,0.463,533,0.377,685,0.65,382,1166,437,207,80,435,558
Chattanooga,32,22,10,-1.63,-4.06,7,7,2325,2141,1305,1754,0.452,621,0.349,762,0.685,371,1118,384,210,203,418,620
Chicago State,32,8,24,-14.76,-2.48,1,16,1855,2115,1285,1747,0.377,644,0.301,514,0.667,391,1050,295,268,93,471,680
Cincinnati,34,23,11,10.72,4.4,6,5,2113,1898,1380,1705,0.446,507,0.329,633,0.67,383,1178,394,222,185,432,507
Citadel,30,11,19,-12.91,-4.68,3,10,1919,2058,1210,1436,0.451,515,0.4,546,0.767,271,874,394,141,66,392,449
Clemson,31,16,15,7.73,7.18,3,7,1944,1927,1250,1685,0.409,572,0.299,579,0.682,369,1122,330,168,148,365,502
Cleveland State,34,19,15,3.07,-0.78,6,12,2296,2098,1335,1760,0.451,629,0.378,557,0.686,353,1072,441,250,109,408,636
Coastal Carolina,34,24,10,-1.02,-6.18,8,7,2438,2121,1360,1899,0.44,633,0.36,780,0.69,447,1338,385,240,111,399,559
Colgate,33,16,17,-2.91,-3.41,6,12,2177,2125,1345,1661,0.484,649,0.39,453,0.698,229,994,446,170,89,379,557
College of Charleston,33,9,24,-7.23,-1.26,2,12,1934,2131,1330,1708,0.402,575,0.343,553,0.66,314,1064,317,182,96,397,679
Colorado State,34,27,7,8.12,0.69,8,4,2454,2181,1365,1901,0.44,699,0.351,794,0.674,411,1287,499,190,116,361,573
Colorado,34,16,18,7.01,6.19,2,11,2345,2317,1380,1861,0.436,535,0.335,760,0.713,400,1269,400,194,133,450,614
Columbia,28,13,15,-0.38,-1.49,4,7,1816,1737,1120,1453,0.438,670,0.364,416,0.716,287,916,333,137,100,328,502
Connecticut,35,20,15,8.28,4.22,4,7,2243,2101,1405,1824,0.439,637,0.355,590,0.707,331,1178,416,166,183,404,573
Coppin State,31,8,23,-17.84,-4.78,3,15,2219,2558,1240,1906,0.398,826,0.357,590,0.692,319,994,390,207,99,418,632
Cornell,30,13,17,-3.58,-1.92,5,9,1868,1838,1210,1558,0.395,579,0.313,610,0.749,248,981,312,187,142,359,569
Creighton,33,14,19,7.48,7.05,3,9,2221,2207,1340,1776,0.42,759,0.345,644,0.725,348,1139,449,147,77,391,591
Dartmouth,29,14,15,-3.11,-3.32,6,11,1835,1829,1170,1510,0.435,500,0.346,539,0.646,298,949,357,222,101,373,557
Davidson,32,24,8,11.97,3.19,9,4,2529,2221,1285,1924,0.467,877,0.391,553,0.705,335,1144,547,171,93,303,601
Dayton,36,27,9,10.98,4.06,5,6,2439,2190,1445,1755,0.462,670,0.357,846,0.686,255,1121,490,250,91,415,573
Delaware State,36,18,18,-10.78,-6.75,9,11,2533,2607,1445,2121,0.419,798,0.353,672,0.707,424,1375,430,179,141,484,614
Delaware,30,10,20,-7.76,-1.69,5,10,1979,2161,1215,1646,0.41,576,0.345,627,0.686,314,1061,376,128,108,367,522
Denver,30,12,18,-3.96,-3.13,3,10,1865,1890,1215,1369,0.48,589,0.38,427,0.766,148,717,457,179,55,338,611
DePaul,32,12,20,3.3,7.49,3,9,2220,2354,1285,1739,0.435,705,0.352,635,0.721,292,969,395,212,122,428,679
Detroit Mercy,33,15,18,-2.25,0.13,3,11,2334,2335,1335,1889,0.445,602,0.384,619,0.683,343,1109,444,254,112,436,687
Drake,31,9,22,-6.04,2.22,1,11,1844,2070,1250,1396,0.456,490,0.408,482,0.768,192,810,370,138,60,409,485
Drexel,30,11,19,-5.71,-0.85,5,6,1787,1930,1205,1569,0.391,540,0.326,514,0.745,287,948,317,155,110,313,523
Duke,39,35,4,24.97,9.87,9,2,3091,2502,1570,2191,0.502,732,0.387,873,0.699,445,1436,588,278,149,421,607
Duquesne,31,12,19,-2.93,1.41,2,10,2213,2303,1245,1788,0.449,663,0.37,577,0.627,353,1124,466,159,104,381,558
East Carolina,33,14,19,-2.84,1,1,11,2116,2176,1325,1777,0.422,663,0.351,563,0.68,333,1048,443,208,64,379,571
East Tennessee State,30,16,14,-4.8,-4.01,6,9,2201,2140,1210,1712,0.422,764,0.366,661,0.722,331,1052,382,235,83,381,611
Eastern Illinois,33,18,15,-5.52,-2.42,7,8,2097,2136,1330,1696,0.44,643,0.375,558,0.652,255,1003,435,186,141,396,535
Eastern Kentucky,33,21,12,-0.03,-4.16,8,7,2373,2100,1330,1763,0.464,837,0.357,562,0.779,225,876,495,321,98,374,556
Eastern Michigan,35,21,14,1.96,-0.14,4,10,2429,2230,1415,1963,0.411,742,0.31,817,0.718,403,1271,371,305,157,411,659
Eastern Washington,35,26,9,0.79,-3.84,11,6,2820,2588,1410,2045,0.478,860,0.4,719,0.726,351,1183,454,219,167,376,624
Elon,33,15,18,-5.91,-2.69,5,10,2329,2329,1335,1906,0.423,684,0.351,695,0.683,355,1151,394,213,45,440,691
Evansville,36,24,12,3.36,-0.07,8,5,2552,2361,1455,1854,0.485,431,0.355,803,0.748,284,1168,574,210,129,455,619
Fairfield,31,7,24,-8.63,-2.31,2,11,1845,2041,1265,1578,0.389,614,0.322,585,0.716,286,979,324,154,109,396,592
Fairleigh Dickinson,29,8,21,-12.22,-4.54,4,12,1956,2130,1175,1658,0.411,628,0.331,557,0.693,300,869,325,252,94,372,648
Florida A&M,29,2,27,-26.04,-8.52,0,17,1607,2115,1160,1500,0.373,421,0.283,567,0.649,281,914,241,143,62,415,518
Florida Atlantic,29,9,20,-7.8,-2.06,2,13,1815,1934,1165,1562,0.417,610,0.348,447,0.673,265,904,297,126,99,367,522
Florida Gulf Coast,33,22,11,-1.81,-4.98,6,6,2224,2085,1325,1883,0.432,585,0.337,603,0.662,404,1257,467,185,127,386,559
Florida International,33,16,17,-7.78,-3.23,6,10,2060,2153,1335,1694,0.442,487,0.31,647,0.635,313,1129,374,224,150,493,613
Florida State,33,17,16,6.69,7.02,3,7,2199,2210,1330,1669,0.457,470,0.313,783,0.669,328,1109,380,181,157,478,612
Florida,33,16,17,13.27,9.67,2,9,2101,1982,1330,1763,0.434,674,0.323,553,0.635,348,1095,431,228,118,409,558
Fordham,31,10,21,-2.15,2.72,1,11,2015,2144,1245,1713,0.415,613,0.305,559,0.726,373,1117,390,209,119,452,582
Fresno State,32,15,17,-2.23,1.3,4,10,2086,2123,1295,1692,0.428,559,0.32,662,0.69,286,1010,336,250,114,358,644
Furman,33,11,22,-10.55,-3.46,1,14,2098,2245,1330,1636,0.428,658,0.328,717,0.669,316,1068,342,183,94,438,582
Gardner-Webb,35,20,15,-5.24,-3.11,5,11,2619,2595,1420,2028,0.448,823,0.35,767,0.669,387,1226,565,233,83,430,569
George Mason,31,9,22,-1.43,4.6,2,9,1996,2147,1255,1663,0.426,406,0.32,676,0.666,391,1113,315,187,120,445,638
George Washington,35,22,13,8.07,2.79,5,10,2354,2169,1415,1887,0.438,545,0.352,754,0.674,422,1278,408,197,136,420,560
Georgetown,33,22,11,15.48,9.81,5,4,2340,2153,1340,1753,0.456,569,0.353,769,0.704,367,1152,427,251,156,415,668
Georgia Southern,31,22,9,-0.4,-4.72,8,6,2112,1865,1250,1765,0.415,740,0.316,616,0.669,391,1160,361,226,99,365,522
Georgia State,35,25,10,5.47,-2.03,8,8,2499,2184,1415,1878,0.48,522,0.333,719,0.725,322,1116,479,321,143,366,642
Georgia Tech,31,12,19,7.16,8.45,2,9,1962,2002,1260,1800,0.408,491,0.267,560,0.648,444,1187,362,177,104,394,516
Georgia,33,21,12,12.42,8.6,8,4,2250,2124,1351,1730,0.432,538,0.342,826,0.692,360,1260,411,183,151,420,608
Gonzaga,38,35,3,21.12,5.12,10,1,2989,2343,1525,2083,0.52,660,0.4,806,0.691,391,1441,620,226,126,397,637
Grambling,29,2,27,-30.67,-8,0,17,1509,2105,1160,1417,0.361,366,0.287,584,0.651,294,928,225,154,52,486,551
Grand Canyon,32,17,15,-6.62,-5.45,4,7,2198,2188,1280,1683,0.451,594,0.333,674,0.715,281,1016,388,171,99,358,627
Green Bay,33,24,9,5.7,-0.4,6,7,2252,2006,1325,1808,0.459,480,0.294,705,0.643,369,1178,464,245,161,391,610
Hampton,35,17,18,-8.25,-7.08,5,12,2346,2387,1405,1959,0.406,638,0.304,859,0.652,416,1292,372,235,141,494,752
Hartford,30,14,16,-8.58,-5.16,7,8,1858,1924,1215,1596,0.404,722,0.325,477,0.698,264,936,362,187,48,364,555
Harvard,30,22,8,4.47,-0.25,9,4,1926,1727,1220,1548,0.433,412,0.354,609,0.719,316,1025,384,213,135,349,472
Hawaii,35,22,13,2.65,-0.83,3,5,2551,2387,1410,2056,0.438,702,0.322,762,0.686,421,1231,465,337,139,467,712
High Point,33,23,10,-2.47,-4.61,9,7,2407,2231,1370,1816,0.475,535,0.385,649,0.735,323,1086,487,206,94,376,515
Hofstra,34,20,14,3.78,-4.46,10,6,2668,2388,1370,2013,0.448,837,0.362,801,0.7,402,1240,525,254,90,379,650
Holy Cross,30,14,16,-6.23,-3.82,3,12,1981,2020,1220,1643,0.421,557,0.339,568,0.715,305,930,334,228,143,328,582
Houston Baptist,28,12,16,-13.18,-5.63,2,13,2028,2063,1126,1596,0.456,399,0.323,611,0.725,366,1061,348,166,115,429,585
Houston,32,13,19,-2.06,-0.91,2,9,2060,2097,1300,1795,0.393,809,0.32,575,0.68,403,1129,376,184,121,425,565
Howard,32,16,16,-9.89,-7.86,7,12,2032,2004,1300,1621,0.429,501,0.297,705,0.699,353,1110,270,242,130,517,596
Idaho State,30,7,23,-11.52,-5.45,1,14,1937,2075,1205,1588,0.44,420,0.352,601,0.651,302,972,337,207,77,355,526
Idaho,30,13,17,-5.75,-4.79,2,12,2301,2269,1220,1726,0.466,572,0.413,642,0.709,312,1086,405,140,57,360,634
Illinois-Chicago,34,10,24,-7.86,-0.36,2,11,2201,2389,1365,1870,0.387,629,0.324,745,0.737,391,1142,413,205,92,375,609
Illinois State,35,22,13,7.96,2.87,7,6,2385,2170,1415,1945,0.435,615,0.345,674,0.714,439,1256,408,254,152,449,662
Illinois,33,19,14,12.42,6.93,2,9,2281,2100,1330,1903,0.413,670,0.355,593,0.794,351,1134,389,208,105,328,577
Incarnate Word,29,18,11,-6.15,-6.47,7,8,2298,2180,1190,1647,0.469,550,0.371,747,0.734,267,969,382,229,128,329,538
Indiana State,31,15,16,-0.49,1.21,5,7,2060,2101,1265,1601,0.425,631,0.357,674,0.702,271,1008,398,175,98,437,562
Indiana,34,20,14,12.94,7.2,3,6,2633,2438,1365,1989,0.464,786,0.406,651,0.719,407,1224,473,170,108,392,606
Iona,35,26,9,3.71,-2.52,10,8,2782,2564,1405,2051,0.463,869,0.396,768,0.701,348,1260,573,226,135,427,605
Iowa State,34,25,9,17.94,9.15,6,5,2645,2346,1360,1973,0.476,726,0.362,721,0.696,323,1221,546,218,133,375,527
Iowa,34,22,12,15.83,8.39,7,4,2372,2119,1370,1905,0.431,576,0.333,723,0.744,422,1274,482,218,158,377,536
Fort Wayne,31,16,15,-3.13,-3.41,6,9,2171,2081,1240,1603,0.47,619,0.357,645,0.685,242,1001,444,178,92,365,502
IUPUI,31,10,21,-8.28,-1.93,5,12,1883,2080,1275,1623,0.426,426,0.296,532,0.701,318,1009,348,218,65,482,635
Jackson State,32,11,21,-12.36,-9.52,5,14,1941,2032,1290,1812,0.387,558,0.274,597,0.647,460,1188,324,203,81,459,695
Jacksonville State,31,12,19,-12.65,-4.52,1,16,1939,2126,1255,1698,0.381,598,0.299,651,0.716,346,1043,371,191,129,377,606
Jacksonville,32,10,22,-16.7,-6.46,2,15,2058,2303,1300,1710,0.41,566,0.359,685,0.661,317,1008,341,207,79,394,578
James Madison,33,19,14,-2.65,-1.53,7,6,2217,2254,1325,1660,0.451,613,0.372,700,0.704,299,1067,419,212,78,431,531
Kansas State,32,15,17,8.48,9.29,1,10,2016,2042,1285,1593,0.433,421,0.335,732,0.676,338,1015,417,195,74,424,639
Kansas,36,27,9,18.47,12.13,5,5,2561,2333,1445,1976,0.44,562,0.379,842,0.724,426,1364,475,237,175,463,639
Kennesaw State,32,10,22,-17.33,-5.1,3,14,2027,2363,1280,1775,0.404,661,0.324,518,0.732,343,1094,331,173,110,455,567
Kent State,35,23,12,2.04,-0.94,10,6,2313,2202,1420,1868,0.427,693,0.361,713,0.658,405,1222,368,177,133,393,645
Kentucky,39,38,1,28.72,8.67,10,0,2900,2118,1575,2150,0.468,582,0.349,943,0.726,491,1482,553,253,268,408,665
La Salle,33,17,16,4.85,3.91,6,7,2086,2055,1340,1757,0.42,517,0.321,640,0.694,332,1126,398,211,120,429,582
Lafayette,33,20,13,-3.37,-3.12,9,7,2426,2409,1325,1799,0.485,640,0.408,549,0.767,282,1017,514,181,83,366,515
Lamar,30,15,15,-9.75,-5.29,2,13,2146,2132,1205,1658,0.452,532,0.318,701,0.68,376,1063,392,224,115,465,623
Lehigh,30,16,14,-3,-3.55,8,7,2042,2000,1215,1640,0.441,475,0.345,593,0.725,294,1085,429,168,97,393,531
Liberty,32,8,24,-16.01,-6.44,0,13,2045,2222,1285,1658,0.432,472,0.326,650,0.703,341,1132,358,175,86,522,602
Lipscomb,31,14,17,-10.82,-5.15,4,14,2232,2322,1255,1769,0.419,770,0.329,715,0.695,345,1112,432,175,61,412,662
Long Beach State,33,16,17,1.64,4.16,4,13,2188,2221,1330,1809,0.421,672,0.342,638,0.683,370,1126,369,216,78,445,636
Long Island University,30,12,18,-9.09,-5.32,6,9,2022,2135,1230,1726,0.392,601,0.324,687,0.689,368,1121,346,171,75,411,605
Longwood,34,11,23,-12.96,-5.53,2,14,2311,2491,1380,1899,0.426,746,0.369,580,0.721,324,1071,397,270,106,489,671
Louisiana,36,22,14,0.82,-3.61,8,8,2789,2520,1450,2125,0.459,670,0.358,848,0.706,452,1421,529,239,145,525,665
Louisiana-Monroe,38,24,14,-1.99,-2.88,9,7,2454,2299,1540,2162,0.427,634,0.303,583,0.714,436,1400,497,197,153,439,578
Louisiana State,33,22,11,11.39,5.63,8,3,2423,2233,1350,1962,0.455,558,0.339,658,0.684,401,1294,516,240,204,476,516
Louisiana Tech,36,27,9,5.75,-1.34,9,8,2632,2362,1451,2112,0.447,756,0.328,716,0.69,375,1210,504,303,207,390,597
Louisville,36,27,9,18.12,8.98,7,3,2483,2154,1450,2048,0.429,644,0.307,792,0.668,454,1351,419,283,192,408,623
Loyola (IL),37,24,13,2.35,0.46,8,6,2324,2235,1485,1776,0.474,571,0.392,608,0.688,291,1078,489,240,84,466,568
Loyola Marymount,31,8,23,-4.13,5.28,2,11,1928,2188,1250,1622,0.418,452,0.354,580,0.71,351,1011,388,188,108,422,540
Loyola (MD),30,11,19,-10.75,-3.38,3,13,1764,1985,1229,1591,0.382,456,0.325,599,0.671,346,1047,290,166,92,388,594
Maine,30,3,27,-17.8,-3.4,1,17,1812,2244,1210,1599,0.405,609,0.323,442,0.726,238,881,393,179,32,432,554
Manhattan,33,19,14,-1.34,-3.34,5,9,2300,2234,1340,1748,0.432,640,0.336,829,0.691,345,1065,460,264,92,481,758
Marist,32,7,25,-10.55,-2.93,2,13,1957,2201,1280,1629,0.398,717,0.315,619,0.7,230,936,336,223,90,436,571
Marquette,32,13,19,7.08,9.02,1,9,2083,2145,1290,1699,0.437,602,0.344,608,0.645,306,1000,479,241,111,402,505
Marshall,32,11,21,-6.45,-0.22,1,12,2137,2288,1285,1840,0.401,788,0.316,636,0.648,357,1195,412,212,93,499,634
Maryland-Baltimore County,30,4,26,-16.17,-5.14,2,15,1682,2013,1205,1441,0.41,469,0.326,539,0.644,225,902,338,197,90,467,475
Maryland-Eastern Shore,33,18,15,-6.55,-6.94,11,9,2229,2216,1325,1660,0.453,557,0.382,781,0.656,379,1100,447,248,47,504,658
Maryland,35,28,7,13.32,7.63,6,4,2417,2218,1410,1777,0.44,687,0.376,790,0.756,314,1223,376,169,151,431,584
Massachusetts-Lowell,29,12,17,-11.21,-4.32,6,12,1780,1928,1175,1481,0.412,622,0.359,508,0.663,212,837,323,201,28,383,523
Massachusetts,32,17,15,3.59,4.69,5,8,2220,2255,1290,1785,0.432,488,0.295,756,0.704,384,1177,429,216,135,451,591
McNeese State,31,15,16,-10.05,-5.42,3,10,2154,2210,1250,1873,0.423,620,0.311,579,0.651,413,1118,409,223,145,333,528
Memphis,32,18,14,7.15,2.9,4,5,2155,2019,1290,1827,0.439,506,0.328,578,0.666,409,1195,460,224,208,427,587
Mercer,35,19,16,-2.01,-4.1,5,9,2334,2196,1430,1840,0.439,611,0.347,736,0.688,385,1191,468,224,90,377,560
Miami (FL),38,25,13,12,7.05,8,4,2592,2404,1545,2053,0.428,816,0.358,729,0.746,377,1317,488,209,126,385,593
Miami (OH),32,13,19,-3.75,0.31,3,10,2123,2226,1300,1679,0.44,546,0.342,643,0.709,268,984,375,245,64,411,602
Michigan State,39,27,12,17.46,10,7,4,2773,2482,1605,2181,0.465,763,0.385,714,0.632,436,1458,646,203,176,441,738
Michigan,32,16,16,9.56,9.59,2,8,2071,2048,1310,1724,0.426,696,0.359,468,0.754,267,966,382,174,57,306,455
Middle Tennessee,36,19,17,0.21,-0.39,4,10,2285,2247,1475,1867,0.414,675,0.359,710,0.7,386,1215,396,214,112,469,660
Milwaukee,30,14,16,-4.85,0.15,3,11,1963,2077,1200,1564,0.421,624,0.338,589,0.737,264,982,388,157,83,382,518
Minnesota,33,18,15,12.34,7.21,3,7,2449,2233,1330,1924,0.463,638,0.381,634,0.672,352,1087,519,313,110,400,596
Mississippi State,32,13,19,2.53,4.72,3,8,1977,2032,1280,1557,0.43,434,0.306,727,0.696,324,1099,278,205,90,474,606
Mississippi Valley State,32,6,26,-23.94,-7.78,2,17,2045,2562,1296,1911,0.386,519,0.303,630,0.654,382,1052,338,241,37,481,589
Mississippi,34,21,13,11.39,7.01,8,4,2475,2326,1369,2003,0.423,662,0.332,723,0.773,430,1284,450,225,128,378,668
Missouri-Kansas City,33,14,19,-8.01,-5.07,4,13,2164,2202,1345,1776,0.407,649,0.333,724,0.693,374,1037,376,266,111,443,636
Missouri State,31,11,20,-4.92,1.67,3,11,1850,1989,1260,1612,0.406,512,0.309,525,0.731,316,1008,347,160,100,377,550
Missouri,32,9,23,1.13,9.26,1,10,1935,2173,1290,1694,0.403,596,0.329,560,0.666,327,1050,343,179,90,417,624
Monmouth,33,18,15,-2.18,-2.91,9,7,2134,2110,1335,1702,0.429,506,0.338,697,0.722,320,1080,372,231,127,426,622
Montana State,30,7,23,-12.91,-3.5,2,14,1917,2152,1200,1665,0.398,687,0.358,482,0.72,317,1009,349,132,91,411,624
Montana,33,20,13,-1.75,-3.78,7,9,2347,2219,1370,1786,0.464,737,0.372,581,0.718,295,1055,466,218,84,391,634
Morehead State,34,17,17,-0.66,-3.31,7,9,2420,2255,1370,1930,0.442,639,0.344,684,0.716,422,1205,495,278,110,462,782
Morgan State,31,7,24,-16.19,-6.48,1,17,1898,2199,1245,1877,0.359,574,0.284,622,0.625,468,1098,313,175,89,332,580
Mount St. Mary's,30,15,15,-6.14,-4.4,5,11,1893,1945,1225,1645,0.402,691,0.33,500,0.682,325,979,342,202,112,367,549
Murray State,35,29,6,7.13,-2.81,12,2,2764,2367,1410,1995,0.482,679,0.387,831,0.697,422,1292,543,253,113,411,649
Navy,32,13,19,-7.87,-3.61,4,10,1952,2059,1280,1637,0.439,518,0.328,513,0.671,301,982,423,188,107,391,554
Omaha,29,12,17,-7.18,-5.14,5,11,2226,2256,1170,1724,0.445,539,0.332,737,0.696,321,1009,350,237,92,391,590
Nebraska,31,13,18,5.9,7.58,1,11,1905,1957,1260,1613,0.412,566,0.284,588,0.707,277,1022,315,192,90,389,581
Nevada-Las Vegas,33,18,15,5.41,3.38,4,8,2250,2125,1334,1816,0.445,639,0.369,600,0.663,301,1170,453,183,223,376,545
Nevada,31,9,22,-6.03,1.08,2,11,1874,2061,1245,1673,0.381,417,0.266,703,0.696,457,1221,298,169,129,436,603
New Hampshire,32,19,13,-3.76,-6.29,7,10,2148,1973,1305,1712,0.436,617,0.374,627,0.675,302,1174,366,167,69,394,607
New Mexico State,34,23,11,3.71,-3.67,6,8,2316,2033,1370,1748,0.462,450,0.367,771,0.694,428,1199,406,219,124,470,541
New Mexico,31,15,16,2.8,1.03,4,8,1921,1866,1255,1588,0.432,480,0.308,609,0.658,331,1081,398,178,139,392,538
