school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,31,20,11,-2.89,-6.89,7,8,2352,2024,1260,1813,0.449,676,0.309,695,0.741,337,1042,461,293,81,436,661
Air Force,32,12,20,-0.41,2.98,3,9,2338,2386,1280,1759,0.456,734,0.375,628,0.731,237,1040,467,161,43,395,534
Akron,31,24,7,7.12,-0.44,8,4,2348,2062,1240,1789,0.44,795,0.361,629,0.771,302,1169,405,158,91,397,548
Alabama A&M,29,8,21,-18.6,-8.98,2,15,1785,2064,1165,1671,0.379,534,0.285,545,0.67,282,997,309,169,63,366,522
Alabama-Birmingham,31,18,13,-1.06,-1.61,5,7,2080,2019,1240,1666,0.453,501,0.321,584,0.704,320,1149,325,185,88,455,511
Alabama State,31,8,23,-15.93,-6.45,2,15,1912,2206,1240,1711,0.386,671,0.306,617,0.627,288,1000,318,196,69,496,617
Alabama,31,16,15,11.1,8.1,4,8,2542,2449,1260,1956,0.437,957,0.349,721,0.693,361,1220,441,196,136,461,622
Albany (NY),32,14,18,-8.8,-5.92,5,11,2127,2190,1285,1768,0.41,774,0.329,600,0.703,259,1096,409,179,90,436,533
Alcorn State,29,15,14,-14.16,-9.64,4,12,2199,2127,1170,1783,0.43,720,0.371,538,0.743,323,1086,401,233,97,416,530
American,30,16,14,-4.33,-6.47,6,10,2149,2085,1205,1742,0.457,605,0.34,498,0.705,267,976,383,239,106,369,521
Appalachian State,31,17,14,-0.66,-0.21,7,8,2118,2072,1245,1701,0.431,664,0.309,668,0.669,302,1091,360,230,71,411,485
Arizona State,31,20,11,11.39,8.03,6,5,2288,2184,1240,1904,0.429,703,0.323,617,0.695,312,1115,345,249,104,408,577
Arizona,31,20,11,19.46,8.24,4,6,2368,2020,1250,1847,0.448,637,0.352,670,0.731,338,1166,474,207,115,365,572
Little Rock,31,21,10,2.25,-1.08,8,8,2270,2152,1240,1653,0.47,543,0.346,744,0.71,307,1096,462,214,113,479,577
Arkansas-Pine Bluff,30,4,26,-21.67,-6.43,2,18,1615,2049,1205,1483,0.396,429,0.263,554,0.588,267,940,289,217,97,531,617
Arkansas State,32,16,16,-2.93,-0.73,6,9,2262,2301,1290,1718,0.437,545,0.338,814,0.71,316,1054,442,220,85,415,655
Arkansas,31,19,12,13.34,7.37,4,8,2340,2155,1260,1774,0.441,700,0.33,745,0.729,231,976,364,248,116,356,617
Army,30,15,15,-9.08,-6.67,6,9,2128,2161,1210,1742,0.471,645,0.333,441,0.615,201,1016,487,167,49,354,444
Auburn,31,25,6,15.02,7.37,5,5,2419,2182,1270,1868,0.433,824,0.306,818,0.674,421,1266,397,199,151,399,596
Austin Peay,33,21,12,-0.97,-4.13,5,10,2519,2359,1325,1943,0.459,644,0.346,715,0.716,390,1189,434,218,100,423,604
Ball State,31,18,13,4.11,-1.66,5,7,2155,1938,1240,1751,0.428,841,0.337,540,0.693,272,1117,417,205,105,412,496
Baylor,30,26,4,20.1,9.1,8,2,2134,1804,1205,1778,0.429,656,0.351,548,0.69,387,1106,413,244,132,357,509
Belmont,33,26,7,4.32,-6.21,11,5,2627,2241,1320,2074,0.475,908,0.352,470,0.713,290,1232,604,249,106,392,497
Bethune-Cookman,30,16,14,-10.16,-8.97,4,13,2239,2167,1215,1842,0.425,576,0.319,701,0.7,354,1175,362,217,89,465,591
Binghamton,29,10,19,-15.04,-4.63,3,12,2014,2221,1165,1750,0.41,839,0.331,417,0.724,278,1013,339,151,88,358,479
Boise State,32,20,12,8.59,4.4,4,8,2430,2223,1305,1853,0.447,781,0.344,670,0.751,285,1113,416,182,46,399,551
Boston College,31,13,18,2.2,7.72,4,8,2009,2180,1245,1785,0.404,727,0.308,521,0.655,294,1022,396,241,79,425,489
Boston University,33,20,13,-2.02,-5.46,8,8,2346,2208,1335,1942,0.46,669,0.323,526,0.654,333,1188,414,187,75,376,497
Bowling Green State,31,21,10,0.44,0.17,5,5,2310,2259,1250,1968,0.418,717,0.338,564,0.752,349,1238,380,169,71,343,545
Bradley,34,23,11,5.31,0.31,4,8,2438,2240,1370,1976,0.441,618,0.372,631,0.735,377,1310,457,163,138,400,562
Brigham Young,31,24,7,17.14,6.27,6,5,2498,2137,1255,1850,0.504,767,0.424,439,0.704,203,1027,547,182,66,338,499
Brown,27,15,12,-4.46,-1.73,5,8,1809,1854,1080,1576,0.397,600,0.305,512,0.73,332,1033,304,179,118,405,451
Bryant,32,15,17,-6.72,-6.69,6,12,2271,2223,1285,1932,0.415,837,0.321,588,0.677,389,1289,441,207,140,460,588
Bucknell,34,14,20,-7.74,-4.33,4,14,2299,2415,1360,1945,0.422,813,0.343,553,0.687,286,1094,410,243,117,451,632
Buffalo,31,20,11,2.18,0.18,7,4,2437,2340,1250,2081,0.433,784,0.32,574,0.666,454,1308,458,245,142,427,577
Butler,31,22,9,15.6,9.18,5,6,2125,1926,1245,1687,0.46,621,0.341,496,0.728,280,1079,395,165,82,349,519
Cal Poly,30,7,23,-10.06,-0.49,0,15,2027,2248,1235,1685,0.421,573,0.349,587,0.693,244,977,312,192,74,409,629
Cal State Bakersfield,31,12,19,-7.13,-3.27,3,12,2109,2097,1265,1803,0.435,491,0.314,563,0.684,398,1155,363,194,94,422,662
Cal State Fullerton,31,11,20,-6.81,-1.4,4,11,2127,2213,1265,1735,0.432,586,0.331,644,0.672,250,1040,358,158,93,406,574
Cal State Northridge,32,15,17,-6.41,-1.01,5,12,2435,2528,1280,1925,0.456,652,0.373,603,0.726,290,1068,449,181,101,363,554
California Baptist,31,21,10,-2.03,-6.69,6,5,2465,2170,1255,1868,0.442,806,0.38,645,0.786,360,1270,445,129,108,396,571
UC-Davis,32,14,18,-4.75,-2.68,5,12,2330,2286,1290,1769,0.461,653,0.397,558,0.787,234,982,409,185,57,408,593
UC-Irvine,32,21,11,3.72,-2.18,8,8,2367,2087,1280,1878,0.473,559,0.354,532,0.739,366,1264,475,206,119,443,588
UC-Riverside,32,17,15,-3.67,-4.22,6,10,2059,1939,1285,1707,0.436,722,0.352,460,0.689,280,1145,394,159,86,421,559
UC-Santa Barbara,31,21,10,-0.6,-4.09,8,7,2195,2054,1245,1672,0.458,585,0.342,615,0.756,318,1061,430,146,78,366,521
University of California,31,13,18,2.51,8.93,1,10,1960,2159,1255,1635,0.42,465,0.338,586,0.735,255,1007,287,125,78,395,584
Campbell,31,15,16,-8.51,-8.1,6,10,2130,2065,1245,1700,0.459,706,0.35,439,0.731,217,949,462,223,91,398,545
Canisius,31,12,19,-7.41,-5.5,4,12,2136,2195,1240,1799,0.436,620,0.303,540,0.704,313,1035,438,220,78,449,580
Central Arkansas,31,10,21,-11.27,-2.7,2,16,2316,2553,1270,1842,0.422,745,0.31,741,0.717,329,1186,451,164,159,549,637
Central Connecticut State,31,4,27,-20.36,-4.66,0,16,1959,2396,1240,1772,0.398,560,0.357,516,0.676,263,989,313,199,105,440,581
Central Florida,30,16,14,5.15,4.15,4,7,2067,2037,1210,1713,0.431,659,0.323,529,0.711,301,1039,404,195,87,414,498
Central Michigan,31,14,17,-2.87,-0.33,2,13,2441,2369,1245,1971,0.434,738,0.331,657,0.741,339,1125,362,283,80,401,503
Charleston Southern,32,14,18,-13.11,-6.95,5,11,2203,2304,1295,1856,0.427,795,0.325,487,0.741,260,1029,424,190,82,404,493
Charlotte,29,16,13,0.51,-1.04,3,11,1922,1877,1175,1480,0.453,544,0.34,562,0.703,188,904,351,221,99,402,443
Chattanooga,33,20,13,0.42,-1.87,7,8,2410,2261,1325,1907,0.455,787,0.357,552,0.712,301,1162,456,158,49,395,506
Chicago State,29,4,25,-28.18,-2.84,1,12,1781,2372,1160,1446,0.412,507,0.32,592,0.721,207,848,300,144,73,513,593
Cincinnati,30,20,10,12.37,6.77,5,6,2182,2014,1240,1713,0.445,618,0.319,678,0.677,329,1131,437,196,146,432,540
Citadel,30,6,24,-13.84,-1.02,3,12,2244,2433,1215,1820,0.434,853,0.328,559,0.691,247,1022,432,202,88,456,514
Clemson,30,15,15,10.28,7.98,3,8,1993,1924,1215,1670,0.427,775,0.315,478,0.676,244,1013,390,206,73,375,462
Cleveland State,32,11,21,-11.21,-2.5,3,13,2053,2298,1290,1772,0.416,408,0.294,688,0.664,370,1120,379,246,84,487,648
Coastal Carolina,32,16,16,-0.69,-0.32,7,6,2508,2448,1280,1973,0.45,702,0.336,693,0.716,433,1293,436,240,87,514,699
Colgate,33,25,8,1.64,-5.77,9,7,2527,2251,1325,2017,0.451,935,0.361,494,0.751,328,1206,480,202,96,364,499
College of Charleston,31,17,14,0.63,-0.74,6,6,2176,2109,1240,1717,0.44,683,0.347,564,0.761,238,1006,337,207,78,334,523
Colorado State,32,20,12,6.69,3.94,5,6,2417,2307,1300,1793,0.469,705,0.366,700,0.679,284,1143,497,209,64,418,489
Colorado,31,21,10,15.63,8.37,4,7,2200,1975,1250,1721,0.439,666,0.356,611,0.738,312,1145,418,179,94,411,451
Columbia,30,6,24,-10.19,-2.5,0,16,1988,2181,1215,1819,0.409,671,0.301,408,0.73,228,1031,328,164,93,337,465
Connecticut,31,19,12,11.16,5.35,3,7,2258,2078,1280,1862,0.42,667,0.324,644,0.742,393,1174,400,220,185,439,577
Coppin State,31,11,20,-14.36,-8.26,6,15,2109,2298,1250,1870,0.394,878,0.281,613,0.636,291,1181,309,207,90,445,546
Cornell,27,7,20,-8.43,-1.91,1,14,1818,1912,1095,1519,0.44,597,0.325,409,0.699,226,866,380,182,78,313,460
