school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,34,27,7,-1.91,-7.34,10,4,2502,2161,1370,1911,0.469,660,0.38,642,0.712,325,1110,525,297,93,407,635
Air Force,32,14,18,-4.28,0.24,3,9,2179,2294,1300,1776,0.452,711,0.329,503,0.678,253,1077,434,154,57,423,543
Akron,33,17,16,4.86,1.09,1,10,2271,2107,1325,1948,0.409,929,0.32,539,0.705,312,1204,399,185,106,388,569
Alabama A&M,32,5,27,-19.23,-8.38,0,18,1938,2285,1295,1809,0.407,578,0.315,453,0.627,314,1032,385,234,50,487,587
Alabama-Birmingham,35,20,15,0.36,-1.52,6,6,2470,2370,1410,2003,0.452,694,0.337,630,0.673,367,1279,401,218,82,399,578
Alabama State,31,12,19,-15.6,-7.84,3,13,2086,2235,1250,1764,0.404,673,0.321,684,0.652,365,1094,313,203,102,451,565
Alabama,34,18,16,9.45,9.01,4,8,2448,2433,1365,1945,0.44,718,0.34,739,0.666,384,1285,418,157,160,465,572
Albany (NY),32,12,20,-9.38,-6.7,6,10,2150,2216,1300,1750,0.416,790,0.347,564,0.745,294,1081,402,195,78,454,566
Alcorn State,31,10,21,-22.08,-8.97,0,17,1995,2194,1245,1721,0.412,646,0.327,543,0.674,334,1079,391,229,107,492,548
American,30,15,15,-4.19,-7.23,6,8,2161,2070,1220,1645,0.474,584,0.325,589,0.698,251,1014,402,221,131,386,520
Appalachian State,32,11,21,-3.73,0.1,2,12,2557,2539,1290,1938,0.454,814,0.359,706,0.715,310,1127,406,171,90,418,585
Arizona State,34,23,11,10.28,6.04,6,5,2638,2494,1380,2012,0.447,714,0.336,882,0.68,399,1351,459,213,109,466,675
Arizona,32,17,15,8.32,6.32,4,7,2269,2205,1290,1861,0.427,699,0.336,620,0.719,324,1115,398,165,73,370,594
