school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Duke,35,26,9,19.51,8.48,4,5,2745,2359,1405,2020,0.46,801,0.395,783,0.729,410,1207,509,244,105,328,681
Duquesne,30,13,17,0.66,1.03,7,6,2200,2211,1200,1699,0.442,600,0.363,717,0.669,323,1060,457,175,83,331,540
East Carolina,34,17,17,-4.08,-2.41,3,10,2477,2411,1360,1833,0.441,786,0.368,799,0.713,354,1145,458,215,107,398,589
East Tennessee State,35,19,16,-5.93,-6.08,5,10,2689,2663,1410,2045,0.43,758,0.363,877,0.748,368,1227,429,269,108,408,700
Eastern Illinois,30,11,19,-11.53,-4.21,4,11,2030,2206,1200,1598,0.44,476,0.319,660,0.715,315,971,359,171,144,399,576
Eastern Kentucky,34,24,10,0.6,-4.34,8,6,2677,2411,1365,1810,0.487,807,0.39,798,0.752,243,884,498,299,67,359,707
Eastern Michigan,37,22,15,1.79,0.67,4,11,2423,2270,1495,2004,0.409,605,0.309,876,0.678,409,1302,393,306,221,419,677
Eastern Washington,31,15,16,-5.32,-4.15,3,11,2362,2329,1245,1791,0.454,677,0.371,700,0.693,329,1133,417,147,133,373,603
Elon,32,18,14,-4.02,-4.5,7,6,2392,2281,1290,1789,0.468,683,0.375,639,0.723,290,1086,442,161,93,386,576
Evansville,33,14,19,-3.12,1.2,3,11,2290,2383,1330,1672,0.464,398,0.362,830,0.718,276,1057,485,166,124,422,623
Fairfield,32,7,25,-7.37,-0.81,2,13,2030,2240,1285,1753,0.398,660,0.333,607,0.685,356,1134,360,141,117,469,734
Fairleigh Dickinson,31,10,21,-11.24,-4.07,4,14,2157,2358,1250,1766,0.42,636,0.355,621,0.72,328,980,339,209,122,364,660
Florida A&M,32,14,18,-12.31,-7.58,3,14,2281,2370,1290,2010,0.402,637,0.334,688,0.654,475,1253,360,237,132,466,768
Florida Atlantic,32,10,22,-5.12,-0.42,3,11,2120,2192,1280,1760,0.424,629,0.334,647,0.643,396,1180,380,151,147,417,600
Florida Gulf Coast,35,22,13,-1.97,-5.76,6,10,2504,2339,1409,1958,0.467,608,0.329,706,0.674,348,1282,447,200,125,460,637
Florida International,31,15,16,-5.4,-1.58,5,8,2128,2170,1250,1681,0.449,481,0.316,698,0.67,358,1118,336,221,130,436,560
Florida State,36,22,14,12.63,8.13,6,6,2554,2392,1450,1873,0.466,502,0.38,855,0.722,392,1256,385,213,191,512,650
Florida,39,36,3,20.69,8.54,10,2,2727,2253,1560,2056,0.46,711,0.359,871,0.668,437,1385,509,274,118,418,611
Fordham,31,10,21,-3.16,3.14,2,12,2224,2419,1245,1942,0.393,719,0.306,649,0.733,448,1152,379,207,126,353,616
Fresno State,39,21,18,3.59,3.75,7,10,2837,2749,1590,2170,0.438,815,0.357,884,0.731,359,1320,470,253,177,394,751
Furman,30,9,21,-17.44,-7.4,3,12,1955,2196,1205,1540,0.442,492,0.333,633,0.681,269,940,288,147,85,407,509
Gardner-Webb,33,18,15,-7.33,-6.9,7,9,2425,2309,1360,1895,0.447,516,0.339,807,0.686,401,1182,498,252,104,405,607
George Mason,31,11,20,2.03,4.58,4,8,2154,2233,1255,1719,0.44,435,0.352,690,0.709,340,1074,339,163,108,421,649
George Washington,33,24,9,10.6,4.42,6,5,2415,2211,1324,1812,0.463,514,0.364,845,0.651,394,1229,461,235,135,428,595
Georgetown,33,18,15,10.96,8.27,2,9,2344,2255,1330,1743,0.46,543,0.331,780,0.721,336,1101,431,200,141,387,728
Georgia Southern,34,15,19,-11.44,-8.6,5,11,2406,2395,1375,1927,0.436,716,0.338,731,0.662,372,1197,327,233,56,405,589
Georgia State,34,25,9,6.04,-2.56,10,7,2641,2330,1380,1923,0.468,672,0.375,757,0.778,276,1074,451,260,167,268,588
Georgia Tech,33,16,17,5.12,5.24,5,7,2200,2204,1335,1847,0.431,549,0.315,636,0.684,373,1187,434,171,140,399,586
Georgia,34,20,14,7.9,5.78,4,7,2343,2271,1369,1740,0.441,478,0.349,941,0.682,401,1259,341,173,158,446,640
Gonzaga,36,29,7,15.56,5.36,8,4,2761,2372,1421,1963,0.495,643,0.397,793,0.709,343,1291,525,235,142,419,659
Grambling,29,5,24,-24.61,-9.05,1,15,1903,2316,1160,1576,0.411,554,0.323,645,0.667,318,904,301,177,60,432,557
Grand Canyon,30,15,15,-6.4,-3.51,5,9,2163,2152,1205,1549,0.433,588,0.35,831,0.74,284,1057,386,121,81,381,604
Green Bay,31,24,7,7.18,0.11,9,2,2304,1999,1250,1715,0.474,424,0.354,751,0.703,346,1139,473,222,223,393,520
Hampton,31,18,13,-5.17,-7.91,8,7,2262,2177,1275,1781,0.419,534,0.32,909,0.657,394,1173,367,234,184,457,736
Hartford,33,17,16,-6.63,-6.18,7,9,2162,2177,1325,1593,0.459,704,0.376,619,0.703,230,909,402,185,68,458,632
Harvard,32,27,5,10.79,-0.47,11,3,2343,1952,1300,1691,0.465,478,0.385,811,0.724,335,1092,449,243,155,365,566
Hawaii,31,20,11,3.43,-1.68,6,4,2479,2270,1255,1829,0.473,528,0.335,789,0.722,395,1114,437,190,110,366,604
High Point,31,16,15,-8.23,-5.23,6,11,2203,2253,1245,1698,0.472,485,0.386,558,0.742,299,985,455,184,108,373,532
Hofstra,33,10,23,-6.56,-1.89,1,13,2260,2414,1325,1788,0.419,685,0.334,806,0.659,419,1195,355,159,106,406,646
Holy Cross,34,20,14,-1.58,-3.28,10,7,2277,2219,1371,1795,0.43,615,0.353,708,0.732,338,1120,387,207,135,398,579
Houston Baptist,31,6,25,-17.39,-5.39,1,15,2091,2373,1250,1733,0.425,456,0.344,674,0.682,350,1111,385,157,67,484,662
Houston,33,17,16,2.68,4.62,3,9,2345,2409,1325,1833,0.454,578,0.367,700,0.667,359,1141,486,179,182,421,603
Howard,33,8,25,-16.77,-5.22,2,17,2020,2344,1335,1690,0.378,519,0.337,835,0.679,385,1096,261,207,131,540,726
Idaho State,29,11,18,-6.42,-4.72,2,13,2054,2036,1175,1547,0.449,453,0.366,701,0.713,347,1012,342,210,78,360,525
Idaho,34,16,18,-6.42,-3.72,5,9,2461,2536,1375,1865,0.447,608,0.355,842,0.688,358,1161,384,146,58,388,702
Illinois-Chicago,31,6,25,-7.17,0.63,2,11,2071,2248,1240,1696,0.421,525,0.328,660,0.714,336,1054,346,171,55,388,672
Illinois State,34,18,16,1.08,1.77,3,11,2323,2329,1375,1886,0.407,781,0.312,774,0.704,338,1181,409,262,160,420,696
Illinois,35,20,15,10.33,8.28,6,7,2248,2176,1405,1941,0.411,662,0.317,606,0.733,375,1181,351,215,127,364,587
Incarnate Word,27,21,6,-8.47,-10.74,7,5,2216,1935,1085,1581,0.488,522,0.389,688,0.685,301,1070,426,177,115,376,480
Indiana State,34,23,11,3.29,1.19,8,7,2416,2328,1360,1809,0.45,629,0.348,787,0.723,304,1129,440,198,117,382,645
Indiana,32,17,15,11.32,6.64,2,8,2312,2162,1285,1741,0.448,512,0.344,789,0.73,396,1241,368,190,138,482,587
Iona,33,22,11,5.96,-0.1,9,8,2760,2560,1325,1944,0.487,853,0.396,739,0.714,288,1094,576,219,122,349,584
Iowa State,36,28,8,18.52,9.88,4,6,2989,2678,1465,2239,0.474,840,0.358,814,0.693,375,1387,663,214,106,380,623
Iowa,33,20,13,18.58,7.43,4,6,2689,2321,1339,1984,0.463,546,0.35,898,0.735,447,1332,532,234,164,371,603
Fort Wayne,36,25,11,-0.2,-3.87,8,8,2774,2555,1405,1920,0.488,699,0.385,787,0.662,377,1182,499,238,83,440,595
IUPUI,32,6,26,-14.33,-1.36,1,13,2126,2383,1283,1784,0.438,450,0.311,569,0.742,261,995,333,161,98,354,516
Jackson State,31,11,20,-11.62,-8.72,5,13,2041,2131,1251,1707,0.417,413,0.293,688,0.724,367,1092,296,188,100,465,711
Jacksonville State,31,10,21,-11.97,-5.14,2,14,2014,2176,1240,1633,0.419,541,0.323,695,0.675,336,950,366,195,110,351,601
Jacksonville,30,12,18,-11.86,-4.86,2,13,2231,2385,1200,1729,0.437,553,0.34,749,0.709,362,1027,393,220,105,409,565
James Madison,31,11,20,-7.65,-2.2,4,12,1961,2130,1245,1582,0.409,553,0.273,750,0.685,314,1045,272,182,96,379,607
Kansas State,33,20,13,12.14,8.47,2,7,2280,2159,1335,1840,0.434,598,0.331,741,0.656,406,1180,503,205,98,404,714
Kansas,35,25,10,20.25,11.4,5,6,2764,2454,1410,1937,0.493,556,0.34,935,0.711,416,1336,523,204,196,463,732
Kennesaw State,31,6,25,-16.16,-4.05,2,14,2016,2304,1240,1676,0.422,559,0.343,628,0.65,346,1019,344,182,95,494,673
Kent State,32,16,16,-1.81,-1.94,5,9,2228,2188,1290,1787,0.429,670,0.346,660,0.703,341,1074,362,199,109,390,670
Kentucky,40,29,11,18.07,9.9,5,5,2992,2665,1615,2213,0.454,611,0.332,1146,0.682,562,1607,446,189,236,469,732
La Salle,31,15,16,4.1,4.75,4,8,2100,2120,1261,1743,0.413,544,0.325,682,0.708,370,1100,385,173,106,360,495
Lafayette,31,11,20,-7.64,-3.38,5,13,2212,2315,1250,1661,0.47,580,0.398,563,0.744,253,927,400,162,66,376,555
Lamar,30,4,26,-16.61,-6.04,1,14,2001,2318,1200,1628,0.437,315,0.308,648,0.744,277,945,361,160,86,420,554
Lehigh,32,14,18,-6.52,-3.83,4,11,2121,2207,1301,1756,0.432,555,0.359,574,0.707,280,1067,416,159,112,384,572
Liberty,32,11,21,-10.26,-7.47,2,12,2250,2234,1280,1781,0.458,502,0.359,622,0.704,403,1186,423,150,110,424,564
Lipscomb,30,15,15,-8.2,-5.13,8,10,2276,2355,1210,1683,0.432,778,0.353,800,0.684,293,991,416,202,57,376,661
Long Beach State,32,15,17,1.44,2.71,5,9,2236,2255,1295,1904,0.432,613,0.312,607,0.661,428,1178,405,186,80,390,571
Long Island University,29,9,20,-13.66,-5.55,4,11,2080,2315,1165,1653,0.428,631,0.345,625,0.717,325,1001,407,125,66,371,509
Longwood,32,8,24,-20.31,-5.56,3,12,2235,2570,1280,1845,0.44,513,0.351,591,0.729,309,998,430,216,58,408,623
Louisiana,35,23,12,2.91,-0.28,6,9,2835,2633,1430,2127,0.465,670,0.367,913,0.671,464,1329,472,250,144,459,734
Louisiana-Monroe,27,10,17,-5.21,0.02,4,10,1738,1851,1100,1470,0.427,450,0.318,536,0.632,277,943,341,154,94,338,498
Louisiana State,34,20,14,10.05,6.61,4,9,2540,2423,1375,2067,0.444,675,0.342,707,0.669,444,1334,479,261,199,464,635
Louisiana Tech,37,29,8,12.44,-1.2,10,5,2998,2460,1485,2284,0.453,868,0.329,948,0.679,478,1448,582,339,188,424,705
Louisville,37,31,6,24.69,4.8,9,2,2998,2262,1480,2232,0.471,783,0.368,920,0.661,503,1396,568,370,173,391,723
Loyola (IL),32,10,22,-4.75,-1.14,0,14,2105,2199,1300,1609,0.462,546,0.35,606,0.703,266,973,419,176,82,427,622
Loyola Marymount,32,13,19,-0.49,4.03,3,10,2345,2468,1266,1922,0.436,480,0.294,693,0.762,385,1088,406,228,120,389,645
Loyola (MD),30,11,19,-10.58,-3.23,4,12,1957,2158,1215,1642,0.414,452,0.321,678,0.667,329,935,336,236,128,357,584
Maine,29,6,23,-17.58,-4.72,1,12,2091,2404,1165,1712,0.443,543,0.335,577,0.678,271,966,418,220,66,438,606
Manhattan,33,25,8,6.04,-0.9,12,4,2540,2311,1350,1837,0.451,564,0.369,1019,0.663,415,1234,433,273,200,468,799
Marist,31,12,19,-4.94,-1.27,3,11,2119,2233,1260,1736,0.408,580,0.347,700,0.714,334,1057,342,202,122,384,583
Marquette,32,17,15,10.08,6.61,4,8,2310,2199,1320,1800,0.444,480,0.321,806,0.69,379,1167,474,202,100,383,631
Marshall,33,11,22,-4.42,-1.32,2,12,2385,2375,1330,1938,0.432,655,0.308,818,0.622,423,1222,397,211,124,426,658
Maryland-Baltimore County,30,9,21,-14.21,-6.55,1,16,1968,2185,1230,1667,0.401,570,0.304,698,0.655,342,1017,355,240,84,450,702
Maryland-Eastern Shore,30,6,24,-17.03,-6.61,1,15,1996,2251,1199,1637,0.401,558,0.323,699,0.721,339,979,339,196,62,368,584
Maryland,32,17,15,11.33,8.08,2,8,2270,2166,1295,1844,0.43,660,0.342,677,0.679,384,1200,374,202,139,408,634
Massachusetts-Lowell,28,10,18,-13.71,-4.53,4,12,1718,1938,1125,1447,0.394,588,0.327,548,0.704,268,880,335,166,73,378,517
Massachusetts,33,24,9,10.61,6,7,4,2502,2350,1325,1962,0.459,512,0.346,769,0.683,404,1267,499,226,178,446,649
McNeese State,31,11,20,-13.15,-4.01,3,14,2111,2358,1250,1857,0.393,665,0.305,647,0.696,408,1142,369,211,117,397,554
Memphis,34,24,10,13.02,7.14,5,5,2614,2397,1370,2009,0.477,552,0.33,801,0.644,427,1268,591,294,159,449,612
Mercer,36,27,9,5.33,-3.42,9,7,2836,2410,1492,2061,0.476,756,0.384,791,0.736,407,1338,586,211,147,420,665
Miami (FL),33,17,16,7.6,5.63,6,6,2029,1964,1345,1690,0.421,576,0.323,610,0.687,362,1140,346,161,124,335,522
Miami (OH),31,13,18,-4.37,0.13,5,11,2023,2160,1250,1664,0.434,496,0.294,574,0.754,266,967,387,267,73,420,537
Michigan State,38,29,9,19.35,9.38,7,3,2870,2491,1535,2159,0.474,783,0.392,728,0.707,395,1400,637,259,174,430,721
Michigan,37,28,9,18.52,9.65,7,4,2736,2408,1490,1982,0.477,794,0.402,691,0.763,316,1160,525,191,88,336,527
Middle Tennessee,33,24,9,4.77,-0.78,8,5,2339,2067,1330,1795,0.455,520,0.342,796,0.665,399,1211,433,234,158,416,664
Milwaukee,35,21,14,-1.53,-0.44,10,6,2465,2469,1415,1888,0.428,754,0.325,823,0.734,343,1182,476,200,85,469,630
Minnesota,38,25,13,11.75,8.34,4,7,2715,2574,1545,2053,0.447,773,0.352,818,0.742,394,1282,528,289,155,444,727
Mississippi State,33,14,19,-0.86,2.75,0,10,2234,2353,1330,1776,0.442,502,0.307,769,0.663,325,1086,401,255,88,459,570
Mississippi Valley State,32,9,23,-21.08,-8.35,1,17,2293,2582,1281,1934,0.418,646,0.314,707,0.67,374,1115,357,245,59,469,719
Mississippi,33,19,14,7.84,5.36,4,8,2482,2400,1335,2003,0.417,761,0.339,793,0.696,428,1211,413,246,182,369,641
Missouri-Kansas City,30,10,20,-9,-1.93,5,10,2085,2295,1200,1697,0.43,552,0.303,725,0.634,290,981,349,217,70,397,621
Missouri State,33,20,13,0.81,1.22,4,8,2262,2251,1335,1765,0.431,645,0.357,720,0.708,303,1080,401,160,99,361,652
Missouri,35,23,12,10.06,6.86,3,7,2553,2441,1415,1805,0.457,587,0.344,948,0.742,383,1293,355,176,114,442,670
Monmouth,32,11,21,-6.96,-2.9,3,12,2208,2338,1295,1847,0.42,527,0.336,749,0.64,413,1184,386,222,96,462,698
Montana State,31,14,17,-10.7,-5.83,5,10,2109,2165,1245,1661,0.443,522,0.354,636,0.711,267,966,325,203,50,357,561
Montana,30,17,13,-4.52,-5.23,6,9,2123,2070,1225,1475,0.477,593,0.374,670,0.739,213,813,340,152,76,299,620
Morehead State,34,20,14,-1.88,-3.1,9,7,2603,2483,1385,1927,0.447,629,0.299,992,0.699,481,1309,456,271,104,530,799
Morgan State,31,15,16,-5.81,-5.03,5,9,2215,2239,1265,1869,0.428,536,0.261,776,0.612,446,1190,394,191,157,403,648
Mount St. Mary's,33,16,17,-6.32,-4.44,6,13,2504,2566,1330,1923,0.438,834,0.355,706,0.739,328,1053,389,232,99,388,616
Murray State,34,23,11,0.98,-3.58,6,9,2647,2446,1370,1898,0.475,671,0.376,883,0.672,397,1233,446,203,148,420,629
Navy,30,9,21,-11.95,-5.46,2,15,1820,1957,1215,1645,0.401,612,0.328,471,0.635,335,1006,381,195,99,376,566
Omaha,32,17,15,-1.19,-2.78,6,11,2558,2404,1290,1967,0.45,650,0.337,744,0.765,338,1102,493,266,87,403,595
Nebraska,32,19,13,10.13,8.5,3,8,2137,2085,1280,1684,0.427,564,0.333,713,0.717,278,1059,304,222,99,349,660
Nevada-Las Vegas,33,20,13,8.55,2.76,6,5,2355,2164,1330,1905,0.438,592,0.329,752,0.654,415,1314,437,160,213,367,520
Nevada,32,15,17,1.98,3.48,8,6,2316,2364,1320,1835,0.434,634,0.338,699,0.73,352,1113,347,160,144,333,604
New Hampshire,30,6,24,-13.97,-5.9,3,12,1735,1945,1206,1553,0.376,639,0.33,514,0.693,286,1026,292,121,99,392,583
New Mexico State,36,26,10,6.16,-2.58,8,7,2771,2415,1455,1918,0.488,523,0.371,1027,0.686,428,1346,474,169,224,457,614
New Mexico,34,27,7,12.72,4.84,8,2,2516,2248,1380,1851,0.458,593,0.332,863,0.724,360,1296,522,162,172,361,577
