school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,31,11,20,-19.6,-4.12,0,14,2214,2228,1255,1664,0.443,599,0.402,666,0.749,306,1011,402,221,72,453,641
Air Force,30,12,18,-4.08,1.71,3,8,1980,2074,1210,1561,0.435,653,0.331,588,0.69,263,970,419,164,94,400,563
Akron,34,21,13,1.16,-0.48,6,8,2332,2276,1375,1855,0.438,690,0.346,750,0.623,412,1175,387,225,142,446,606
Alabama A&M,30,14,16,-13.86,-10.58,5,11,1936,2010,1215,1601,0.41,561,0.324,674,0.656,300,1015,380,187,125,396,643
Alabama-Birmingham,31,18,13,0.78,-0.77,5,5,2266,2180,1255,1919,0.417,525,0.301,772,0.658,508,1381,392,169,128,403,543
Alabama State,32,19,13,-12.84,-11.4,5,10,2265,2225,1300,1892,0.419,612,0.286,748,0.676,407,1158,415,217,115,377,578
Alabama,32,13,19,8.34,8.88,0,11,2170,2150,1295,1669,0.444,548,0.334,737,0.685,320,1050,351,218,137,380,607
Albany (NY),34,19,15,-3.31,-5.22,7,11,2239,2174,1375,1733,0.441,453,0.36,728,0.75,343,1175,376,184,101,428,580
Alcorn State,31,12,19,-15.95,-9.27,2,13,1985,2101,1265,1658,0.418,449,0.303,708,0.654,302,959,283,185,116,356,577
American,33,20,13,0.69,-3.25,9,9,2081,1951,1325,1527,0.49,546,0.379,535,0.707,232,986,492,198,110,464,567
Appalachian State,30,9,21,-15.32,-7.13,2,13,2034,2152,1210,1730,0.416,500,0.302,697,0.638,392,1091,327,187,83,362,597
Arizona State,33,21,12,13.32,7.41,4,7,2486,2291,1345,1852,0.451,688,0.39,787,0.694,281,1172,471,167,182,377,635
Arizona,38,33,5,23.36,9.04,8,3,2769,2225,1540,2123,0.469,561,0.364,870,0.659,465,1449,574,223,173,387,630
Little Rock,32,15,17,-5.39,-1.09,6,9,2288,2371,1320,1844,0.425,505,0.325,754,0.737,369,1174,376,190,125,422,689
Arkansas-Pine Bluff,31,13,18,-15.39,-6.9,6,12,1957,2188,1240,1605,0.411,562,0.343,675,0.661,307,946,350,296,72,478,605
Arkansas State,32,19,13,-0.44,-3.18,7,8,2432,2299,1315,1795,0.444,737,0.383,766,0.726,301,1104,425,216,89,390,570
Arkansas,34,22,12,14.34,5.57,3,7,2723,2425,1376,2105,0.441,698,0.362,846,0.726,404,1222,521,287,189,392,706
Army,31,15,16,-6.16,-4.66,7,8,2244,2269,1250,1804,0.444,697,0.339,580,0.7,352,1043,436,187,132,401,567
Auburn,30,14,16,5.11,5.47,2,8,2144,2155,1201,1656,0.437,554,0.31,730,0.721,330,1022,349,183,134,363,645
Austin Peay,30,12,18,-10.5,-5.78,3,11,2287,2368,1215,1632,0.488,459,0.344,804,0.665,298,999,444,206,156,471,517
Ball State,30,5,25,-10.17,0.65,0,16,1967,2214,1225,1601,0.407,625,0.314,679,0.691,383,1108,375,136,70,505,615
Baylor,38,26,12,15.8,10.11,5,5,2843,2577,1540,2108,0.455,725,0.386,949,0.68,525,1456,563,197,202,440,648
Belmont,36,26,10,3.29,-1.88,10,8,2876,2661,1440,1973,0.498,823,0.392,794,0.739,315,1123,571,248,88,463,735
Bethune-Cookman,32,7,25,-16.86,-7.53,2,18,2032,2252,1290,1713,0.4,613,0.356,615,0.719,367,1002,316,199,80,408,681
Binghamton,30,7,23,-16.15,-6.15,4,12,1840,2140,1215,1554,0.38,569,0.32,687,0.693,312,970,282,184,60,428,596
Boise State,34,21,13,8.83,3.86,5,7,2591,2347,1380,1952,0.456,710,0.372,730,0.749,374,1169,407,203,71,340,653
Boston College,32,8,24,3.01,8.62,3,11,2197,2354,1305,1606,0.446,702,0.352,699,0.741,265,951,397,140,86,358,603
Boston University,35,24,11,1.77,-2.4,11,4,2492,2346,1420,1978,0.452,776,0.363,591,0.714,333,1161,491,245,62,411,590
Bowling Green State,32,12,20,-3.45,-0.2,4,11,2007,2055,1290,1745,0.426,417,0.288,630,0.637,339,1131,387,246,177,469,564
Bradley,32,12,20,-2.72,-0.31,1,11,2036,2113,1279,1720,0.419,479,0.322,628,0.701,356,1064,306,226,84,383,635
Brigham Young,35,23,12,11.63,5.72,5,7,2931,2706,1425,2186,0.463,499,0.355,1055,0.692,463,1432,544,251,103,395,690
Brown,29,15,14,-1.44,-4.04,7,8,2065,1951,1170,1705,0.431,515,0.381,593,0.673,329,1154,388,164,138,375,570
Bryant,32,18,14,-4.25,-4.89,7,9,2351,2304,1290,1788,0.47,602,0.334,669,0.703,307,1095,420,207,93,397,568
Bucknell,30,16,14,-1.3,-3.14,8,8,1977,1922,1200,1627,0.429,502,0.39,516,0.746,287,1067,357,138,49,321,500
Buffalo,29,19,10,3.58,-2.13,6,6,2132,1952,1165,1631,0.447,558,0.335,684,0.712,355,1074,436,198,137,365,535
Butler,31,14,17,7.04,6.98,4,7,2125,2064,1275,1758,0.429,567,0.323,654,0.661,340,1072,345,186,88,310,523
Cal Poly,34,14,20,-1.34,1.69,3,12,2141,2163,1360,1850,0.408,654,0.333,603,0.688,377,1096,394,198,93,303,621
Cal State Bakersfield,32,13,19,-4.86,-4.31,5,10,2215,2189,1290,1752,0.438,568,0.389,669,0.688,379,1116,384,208,111,443,708
Cal State Fullerton,31,11,20,-5.08,-1.12,3,12,2092,2215,1245,1726,0.425,577,0.331,658,0.658,325,1046,343,145,58,370,604
Cal State Northridge,35,17,18,-4.89,-3.29,2,14,2689,2712,1441,1955,0.454,403,0.367,967,0.791,388,1246,471,242,96,447,718
UC-Davis,31,9,22,-11.55,-1.76,1,13,2174,2408,1270,1701,0.438,687,0.357,631,0.696,255,887,372,159,70,373,606
UC-Irvine,35,23,12,4.35,-0.65,10,7,2468,2231,1415,1932,0.47,557,0.354,707,0.641,380,1350,546,195,224,444,644
UC-Riverside,31,10,21,-7.64,-2.33,2,13,2117,2214,1260,1710,0.433,457,0.302,711,0.702,319,1051,349,199,134,408,599
UC-Santa Barbara,30,21,9,4.23,-0.13,9,5,2137,1960,1215,1574,0.464,546,0.385,657,0.708,306,1059,478,149,145,335,564
University of California,35,21,14,10.7,7.44,5,7,2533,2419,1416,2014,0.457,576,0.345,717,0.686,353,1247,537,185,159,356,593
Campbell,32,12,20,-14.04,-7.33,3,12,2164,2291,1295,1747,0.441,795,0.35,508,0.677,345,1049,454,193,140,427,572
Canisius,34,21,13,1.24,-1.95,8,7,2661,2570,1350,1939,0.458,692,0.386,736,0.743,385,1109,422,229,127,394,595
Central Arkansas,29,8,21,-16.25,-5.54,1,13,2165,2360,1168,1761,0.447,522,0.366,666,0.601,323,982,368,247,137,421,634
Central Connecticut State,30,11,19,-13.1,-6.06,6,10,2117,2318,1210,1794,0.435,504,0.335,538,0.717,316,1036,391,207,146,420,557
Central Florida,31,13,18,2.35,5.14,2,10,2253,2281,1260,1831,0.439,642,0.335,704,0.614,441,1184,389,213,137,424,556
Central Michigan,31,10,21,-8.82,-2.72,2,13,2246,2288,1260,1767,0.434,777,0.32,655,0.71,330,971,371,232,36,331,561
Charleston Southern,31,13,18,-5.27,-5.75,4,12,2523,2242,1265,1876,0.458,789,0.383,689,0.73,366,1160,424,202,88,334,565
Charlotte,31,17,14,-0.69,-0.5,3,8,2215,2221,1250,1771,0.445,523,0.356,699,0.648,380,1187,420,188,78,456,569
Chattanooga,33,18,15,-10.83,-7.9,5,11,2489,2439,1330,1922,0.433,651,0.332,866,0.703,441,1235,391,232,168,442,635
Chicago State,32,13,19,-10.47,-2.44,4,13,2232,2439,1305,1884,0.418,653,0.337,649,0.675,325,1003,358,278,83,389,736
Cincinnati,34,27,7,15.26,5.28,7,3,2325,1986,1360,1893,0.425,585,0.335,733,0.708,457,1224,425,268,188,377,596
Citadel,33,7,26,-17.61,-6.75,0,15,2211,2453,1330,1778,0.43,582,0.361,655,0.722,295,1092,442,137,95,412,630
Clemson,36,23,13,11.08,5.97,4,7,2287,2103,1471,1879,0.424,613,0.31,679,0.744,399,1269,383,168,221,401,565
Cleveland State,33,21,12,4.38,-0.52,9,8,2410,2186,1340,1786,0.469,594,0.404,659,0.753,345,1115,469,200,113,414,649
Coastal Carolina,34,21,13,-5.21,-6.31,6,7,2458,2326,1375,1969,0.437,628,0.338,758,0.691,434,1336,362,216,96,473,668
Colgate,31,13,18,-2.51,-4.08,6,10,2158,2083,1260,1622,0.484,657,0.396,459,0.715,220,954,440,143,70,355,529
College of Charleston,32,14,18,-2.02,-1.89,4,8,2016,2006,1300,1719,0.412,613,0.341,593,0.656,393,1213,324,149,132,409,595
Colorado State,32,16,16,3.29,2.16,2,9,2347,2230,1280,1798,0.428,522,0.326,877,0.726,405,1202,405,159,103,293,591
Colorado,35,23,12,10.8,8.8,5,6,2457,2387,1415,1871,0.435,569,0.318,903,0.718,401,1305,397,207,115,466,576
Columbia,34,21,13,2.21,-1.92,5,8,2313,2151,1384,1662,0.446,717,0.388,711,0.775,284,1111,419,173,95,412,626
Connecticut,40,32,8,17.23,8.63,6,4,2873,2529,1610,2163,0.449,741,0.387,829,0.777,387,1389,488,281,230,457,719
Coppin State,32,12,20,-11.09,-4.99,5,10,2231,2403,1285,1840,0.392,725,0.324,756,0.73,370,1075,369,192,69,380,545
Cornell,28,2,26,-15.6,0.03,0,15,1795,2195,1130,1589,0.41,603,0.318,450,0.664,292,880,300,117,78,337,581
Creighton,35,27,8,18.03,7.17,7,4,2756,2376,1400,1927,0.497,859,0.414,654,0.743,293,1192,614,139,49,342,618
Dartmouth,28,12,16,-4.85,-3.24,4,9,1905,1864,1125,1516,0.444,459,0.379,561,0.686,301,927,352,166,86,336,561
Davidson,33,20,13,0.81,-3.73,10,4,2591,2404,1340,1877,0.477,726,0.376,735,0.716,324,1087,451,179,58,378,665
Dayton,37,26,11,10.55,5.34,7,4,2671,2478,1490,2018,0.463,644,0.377,819,0.681,414,1289,485,222,96,442,736
Delaware State,30,9,21,-12.64,-6.11,2,12,1847,1946,1215,1529,0.422,485,0.322,579,0.689,277,942,367,152,106,341,542
Delaware,35,25,10,2.73,-1.1,11,7,2782,2648,1405,2108,0.444,727,0.347,925,0.711,385,1264,377,208,123,334,660
Denver,31,16,15,0.84,-0.42,5,8,2044,1999,1260,1535,0.463,654,0.387,520,0.71,226,808,466,217,102,307,620
DePaul,33,12,21,1.5,7.47,3,9,2290,2487,1340,1848,0.423,580,0.336,776,0.684,406,1119,359,221,139,444,713
Detroit Mercy,32,13,19,-3.25,-0.25,5,12,2275,2267,1305,1863,0.418,595,0.321,724,0.729,399,1174,370,235,146,408,681
Drake,31,15,16,-0.77,1.03,4,9,2116,2115,1245,1592,0.452,603,0.396,612,0.714,263,1009,395,171,67,370,571
Drexel,30,16,14,1.23,-0.24,6,8,2064,2020,1245,1707,0.421,491,0.314,669,0.709,315,1071,353,137,117,255,638
