school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
East Carolina,32,12,20,-0.38,3.22,3,10,2186,2301,1305,1790,0.425,683,0.34,620,0.697,320,1093,486,183,64,424,536
East Tennessee State,36,24,12,-1.49,-2.29,8,8,2813,2687,1455,2135,0.461,779,0.379,774,0.711,376,1300,447,240,136,462,724
Eastern Illinois,30,13,17,-8.35,-3.52,4,9,2145,2213,1220,1737,0.44,664,0.349,587,0.656,299,1002,417,177,68,364,583
Eastern Kentucky,31,15,16,-3.53,-3.86,5,10,2497,2453,1240,1760,0.491,653,0.395,700,0.73,274,1004,495,218,95,457,665
Eastern Michigan,33,18,15,-0.14,1.24,4,11,2553,2460,1330,1961,0.446,602,0.311,854,0.721,386,1194,379,312,122,425,674
Eastern Washington,34,18,16,-4.47,-6.03,5,12,2769,2617,1360,1989,0.483,924,0.385,719,0.683,319,1133,449,202,129,381,658
Elon,32,16,16,-0.67,0.66,8,7,2429,2413,1285,1942,0.445,885,0.342,599,0.661,335,1185,488,176,72,411,607
Evansville,34,25,9,8.1,-0.39,8,4,2526,2221,1370,1795,0.49,448,0.353,843,0.724,260,1202,595,178,147,426,601
Fairfield,33,19,14,-3.84,-3.14,7,7,2522,2545,1345,1991,0.439,827,0.354,650,0.737,298,1146,503,213,135,427,633
Fairleigh Dickinson,33,18,15,-10.9,-8.31,9,8,2558,2600,1335,2029,0.458,657,0.362,663,0.697,347,1108,472,250,87,423,720
Florida A&M,29,8,21,-21.74,-10.67,1,14,1863,2128,1190,1606,0.401,555,0.303,691,0.589,293,1010,319,192,65,466,566
Florida Atlantic,33,8,25,-10.3,-1.72,2,14,2189,2445,1325,1847,0.407,678,0.338,624,0.731,282,1071,385,175,140,402,631
Florida Gulf Coast,35,21,14,-0.79,-3.82,4,8,2703,2473,1435,2106,0.479,527,0.353,778,0.644,417,1422,483,230,141,438,674
Florida International,32,13,19,-5.25,-4.81,5,8,2277,2242,1300,1779,0.469,499,0.363,645,0.664,328,1196,391,162,148,414,598
Florida State,34,20,14,12.16,8.16,4,8,2652,2516,1365,2042,0.464,645,0.341,771,0.695,389,1257,453,243,139,441,656
Florida,36,21,15,14.69,9.19,6,9,2677,2479,1445,2186,0.425,810,0.319,863,0.648,470,1436,480,235,152,405,700
Fordham,31,17,14,1.87,-0.09,3,7,2206,2128,1255,1744,0.448,702,0.346,586,0.681,320,1060,488,263,121,438,610
Fresno State,35,25,10,5.27,2.24,6,7,2630,2475,1420,2126,0.436,638,0.343,805,0.694,409,1293,466,295,138,378,764
Furman,35,19,16,-2.83,-4.2,3,12,2487,2333,1400,1865,0.454,785,0.322,777,0.695,387,1250,424,217,115,471,622
Gardner-Webb,33,17,16,-6.92,-3.96,5,11,2476,2451,1335,2039,0.427,807,0.342,701,0.653,435,1257,442,265,113,439,666
George Mason,32,11,21,-1.79,3.62,2,11,2140,2313,1290,1888,0.406,589,0.292,650,0.671,419,1359,328,92,119,407,570
George Washington,38,28,10,11.43,4.24,8,5,2875,2602,1530,2194,0.447,726,0.371,858,0.753,453,1442,535,230,125,426,621
Georgetown,33,15,18,10.31,8.49,4,8,2430,2370,1335,1858,0.441,770,0.339,704,0.751,316,1181,492,180,146,442,755
Georgia Southern,31,14,17,-5.65,-3.14,4,12,2353,2307,1250,1903,0.41,834,0.338,728,0.699,374,1131,344,232,73,359,691
Georgia State,30,16,14,-2.8,-2.19,4,10,1971,1950,1220,1597,0.441,436,0.342,598,0.689,243,925,352,200,91,350,578
Georgia Tech,36,21,15,12.51,9.95,5,8,2637,2545,1445,2150,0.449,597,0.357,681,0.722,469,1398,487,158,151,403,643
Georgia,34,20,14,9.41,8.47,3,9,2401,2369,1370,1892,0.422,598,0.368,823,0.708,394,1319,424,164,174,448,703
Gonzaga,36,28,8,16.92,4.23,9,2,2840,2360,1445,2081,0.486,738,0.381,708,0.758,382,1426,501,184,111,418,623
Grambling,31,7,24,-19.62,-8.48,2,15,1924,2110,1250,1606,0.41,556,0.273,706,0.646,282,1013,298,210,52,442,615
Grand Canyon,34,27,7,1.43,-5.6,7,5,2581,2316,1365,1978,0.453,583,0.36,835,0.693,399,1301,504,210,90,407,625
Green Bay,36,23,13,1.16,-0.67,8,9,3013,2880,1455,2350,0.446,730,0.349,1007,0.657,458,1385,501,358,166,441,724
Hampton,32,21,11,-8.74,-8.45,8,7,2363,2370,1305,1967,0.412,678,0.304,815,0.659,447,1322,381,169,117,440,649
Hartford,33,10,23,-14.29,-5.69,6,11,2336,2588,1345,1906,0.408,902,0.354,619,0.748,229,992,408,221,63,385,702
Harvard,30,14,16,-0.96,-0.25,4,10,2001,1985,1205,1648,0.445,569,0.387,526,0.595,318,1118,452,150,150,436,538
Hawaii,34,28,6,9.03,-1.04,7,2,2620,2267,1365,1946,0.459,737,0.322,873,0.684,360,1270,525,257,124,443,695
High Point,32,21,11,-0.52,-4.24,8,7,2473,2258,1290,1852,0.477,487,0.384,680,0.762,337,1074,493,256,94,341,559
Hofstra,34,24,10,5.02,0.77,9,5,2681,2509,1390,2050,0.446,812,0.356,818,0.689,402,1327,510,215,108,406,542
Holy Cross,35,15,20,-11.2,-6.11,5,13,2267,2445,1425,1879,0.412,769,0.326,678,0.687,279,1052,480,219,86,386,585
Houston Baptist,34,17,17,-10.39,-5.26,4,11,2604,2582,1360,1903,0.472,561,0.364,839,0.718,351,1248,471,182,134,502,644
Houston,32,22,10,10.3,2.17,6,5,2476,2216,1305,1926,0.466,618,0.348,662,0.705,410,1202,412,191,122,333,608
Howard,32,12,20,-14.43,-8.33,2,12,2311,2433,1300,1846,0.406,486,0.296,914,0.73,403,1218,275,197,102,477,632
Idaho State,31,16,15,-9.83,-6.69,5,10,2297,2357,1240,1767,0.435,687,0.364,700,0.727,284,1078,380,226,90,409,587
Idaho,34,21,13,-5.19,-5.88,8,7,2372,2251,1365,1812,0.442,591,0.377,774,0.709,388,1257,428,178,88,506,735
Illinois-Chicago,30,5,25,-14.52,-0.81,0,13,2019,2348,1220,1796,0.388,440,0.302,795,0.619,406,1235,347,168,162,453,640
Illinois State,32,18,14,3.4,2.59,5,8,2149,2114,1285,1835,0.414,706,0.337,588,0.668,344,1141,402,205,115,405,622
Illinois,34,15,19,4.39,7.03,2,8,2452,2542,1395,1993,0.432,764,0.363,607,0.746,258,1075,462,199,65,357,585
Incarnate Word,29,17,12,-9.2,-6.2,7,9,2145,2140,1165,1653,0.434,622,0.376,620,0.766,232,974,428,200,75,368,538
Indiana State,32,15,17,0.04,2.2,2,11,2170,2222,1295,1822,0.392,692,0.303,765,0.693,343,1213,340,184,86,423,688
Indiana,35,27,8,19.59,6.9,6,4,2891,2447,1405,2034,0.502,831,0.415,688,0.733,414,1288,560,239,137,474,647
Iona,33,22,11,3.59,-1.78,8,6,2628,2451,1325,2011,0.457,884,0.37,651,0.711,348,1218,551,248,135,422,642
Iowa State,35,23,12,16.93,10.16,4,7,2862,2625,1415,2159,0.503,758,0.387,563,0.702,304,1244,577,218,142,398,542
Iowa,33,22,11,17.01,8.71,6,5,2561,2287,1330,2027,0.447,719,0.374,669,0.717,392,1257,523,223,156,339,538
Fort Wayne,34,24,10,0,-1.66,10,7,2701,2585,1370,2017,0.462,863,0.41,671,0.72,342,1230,512,190,112,417,588
IUPUI,32,13,19,-5.86,0.11,4,15,2181,2362,1290,1858,0.422,549,0.333,607,0.705,321,1105,355,213,81,426,651
Jackson State,36,20,16,-8.66,-9.54,7,13,2455,2352,1465,2208,0.407,781,0.311,659,0.631,474,1417,445,279,131,446,771
Jacksonville State,31,8,23,-10.26,-3.95,2,12,2100,2234,1245,1792,0.402,709,0.343,567,0.732,315,994,377,158,96,331,611
Jacksonville,32,16,16,-9.34,-6.09,4,11,2444,2431,1290,1985,0.436,715,0.389,640,0.678,339,1218,402,207,85,366,592
James Madison,32,21,11,6.17,0.5,9,3,2405,2197,1305,1848,0.449,775,0.359,682,0.685,335,1247,406,139,97,380,612
Kansas State,33,17,16,12.31,9.79,2,9,2334,2251,1345,1876,0.429,583,0.3,798,0.688,437,1204,458,249,91,460,659
Kansas,38,33,5,23.87,11.22,7,3,3089,2570,1540,2207,0.495,728,0.418,843,0.713,402,1443,604,253,158,478,719
Kennesaw State,31,11,20,-8.58,-1.61,3,14,2239,2399,1245,1826,0.444,508,0.352,625,0.701,322,1039,378,216,99,405,605
Kent State,32,19,13,-1.53,-1.47,6,8,2361,2317,1290,1871,0.446,564,0.328,744,0.683,405,1204,373,170,106,379,578
Kentucky,36,27,9,20.23,8.84,4,7,2861,2451,1455,2149,0.478,666,0.366,813,0.69,451,1395,512,206,207,389,735
La Salle,31,9,22,-6.09,4.65,1,12,1987,2279,1240,1707,0.404,762,0.34,520,0.669,274,957,388,217,92,398,539
Lafayette,30,6,24,-15,-6,2,15,2142,2412,1235,1742,0.435,671,0.365,551,0.691,242,955,416,171,68,391,588
Lamar,30,11,19,-14.69,-8.77,4,10,2263,2310,1200,1819,0.424,617,0.319,781,0.671,415,1171,425,225,116,439,699
Lehigh,32,17,15,-4.42,-5.2,7,9,2268,2210,1280,1777,0.456,604,0.392,565,0.727,307,1095,477,214,103,416,548
Liberty,32,13,19,-10.42,-3.73,5,9,2070,2188,1280,1644,0.449,774,0.366,434,0.717,214,943,419,178,44,442,638
Lipscomb,33,12,21,-8.85,-3.81,5,9,2590,2689,1340,2017,0.44,921,0.359,695,0.695,335,1202,549,208,98,458,628
Long Beach State,35,20,15,4.09,4.57,6,10,2613,2568,1415,2077,0.431,783,0.367,776,0.688,371,1251,532,226,90,430,722
Long Island University,31,16,15,-11.79,-11.01,8,9,2362,2386,1255,1884,0.432,602,0.297,779,0.715,386,1173,432,238,87,422,652
Longwood,33,10,23,-11.42,-5.15,4,12,2397,2503,1330,1899,0.453,650,0.349,636,0.708,350,1197,421,205,91,474,624
Louisiana,34,19,15,2.62,-1.94,5,11,2706,2476,1370,2099,0.444,716,0.31,891,0.698,485,1410,433,218,123,425,634
Louisiana-Monroe,34,20,14,-0.18,-1.46,6,11,2471,2360,1390,1956,0.458,636,0.354,647,0.702,370,1233,481,198,113,411,596
Louisiana State,33,19,14,8.79,7,3,8,2602,2543,1330,1990,0.46,620,0.327,856,0.665,368,1231,507,263,90,394,609
Louisiana Tech,33,23,10,-0.07,-4.4,7,7,2624,2395,1345,1999,0.458,704,0.332,842,0.665,358,1257,463,247,142,412,597
Louisville,31,23,8,21.57,7.74,4,7,2324,1895,1240,1847,0.469,536,0.347,588,0.69,415,1183,419,222,149,353,597
Loyola (IL),32,15,17,-0.7,1.11,4,7,2059,2082,1295,1700,0.425,565,0.347,565,0.731,246,977,370,189,90,405,584
Loyola Marymount,31,14,17,-3.63,0.87,5,10,2208,2319,1265,1903,0.418,669,0.339,536,0.726,349,1047,482,211,90,352,631
Loyola (MD),30,9,21,-10.9,-5.24,4,12,2090,2260,1230,1702,0.43,530,0.304,653,0.712,334,1054,338,162,102,392,648
Maine,30,8,22,-17.39,-6.49,3,14,2279,2606,1215,1909,0.432,673,0.339,611,0.656,337,1055,433,249,90,491,638
Manhattan,31,13,18,-7.48,-3.12,4,11,2133,2268,1255,1644,0.431,643,0.361,655,0.74,242,916,436,238,71,442,672
Marist,30,7,23,-11.69,-4.52,2,12,2145,2360,1220,1713,0.422,726,0.342,615,0.733,261,975,350,138,81,364,587
Marquette,33,20,13,7.66,5.57,5,5,2517,2448,1340,1888,0.468,572,0.339,764,0.726,311,1179,533,258,137,485,620
Marshall,33,17,16,0.83,-0.3,5,9,2838,2801,1330,2183,0.466,985,0.337,681,0.693,341,1230,554,226,103,424,637
Maryland-Baltimore County,32,7,25,-15.37,-6.87,3,15,2307,2579,1290,1788,0.441,652,0.331,754,0.683,279,1017,393,223,57,398,636
Maryland-Eastern Shore,32,10,22,-14.23,-6.17,3,17,2178,2399,1295,1715,0.443,610,0.33,648,0.708,337,1100,403,188,72,512,691
Maryland,36,27,9,16.71,8.31,4,6,2725,2400,1445,1941,0.486,739,0.361,745,0.768,319,1288,488,210,194,458,605
Massachusetts-Lowell,29,11,18,-13.59,-6.17,5,12,2221,2401,1170,1705,0.469,659,0.364,556,0.685,249,947,426,205,71,455,596
Massachusetts,32,14,18,0.64,2.96,3,9,2353,2427,1300,1903,0.429,709,0.33,694,0.699,307,1141,443,207,113,409,668
McNeese State,29,9,20,-15.24,-6.74,2,13,2083,2301,1185,1751,0.411,617,0.332,629,0.7,321,1045,331,171,126,370,583
Memphis,34,19,15,9.84,3.58,2,8,2603,2390,1370,2124,0.413,635,0.324,890,0.722,431,1379,510,261,185,407,680
Mercer,34,19,15,-3.11,-4.55,3,11,2446,2339,1390,1958,0.445,612,0.343,676,0.731,436,1363,509,174,85,431,588
Miami (FL),35,27,8,18.52,10.69,6,5,2633,2359,1405,1895,0.479,643,0.375,772,0.749,330,1207,438,215,127,383,581
Miami (OH),33,13,20,-5.91,-0.25,3,11,2089,2249,1320,1781,0.404,582,0.306,646,0.729,326,1068,336,218,72,402,617
Michigan State,35,29,6,22.59,6.94,7,3,2793,2245,1410,2078,0.486,739,0.434,623,0.729,415,1454,719,156,177,406,671
Michigan,36,23,13,13.75,7.92,4,6,2656,2426,1445,2048,0.462,901,0.38,569,0.738,290,1152,537,203,81,348,558
Middle Tennessee,35,25,10,2.66,-0.7,8,6,2539,2410,1405,2025,0.449,716,0.39,718,0.616,369,1283,455,215,123,419,700
Milwaukee,33,20,13,2.89,-2.02,7,6,2618,2391,1345,1927,0.456,842,0.363,718,0.772,320,1195,566,149,86,362,562
Minnesota,31,8,23,0.86,6.86,0,9,2108,2294,1255,1785,0.406,616,0.31,662,0.708,310,1067,379,170,112,354,565
Mississippi State,31,14,17,8.18,6.02,2,9,2323,2256,1245,1862,0.456,674,0.334,549,0.725,325,1096,431,202,132,393,596
Mississippi Valley State,35,8,27,-19.86,-8.11,3,19,2293,2704,1425,2129,0.388,590,0.303,667,0.693,380,1245,373,241,82,470,671
Mississippi,32,20,12,7.91,4.81,7,7,2405,2306,1290,1916,0.415,746,0.338,791,0.709,424,1230,412,242,100,386,635
Missouri-Kansas City,31,12,19,-6.31,-2.24,2,13,2152,2240,1245,1738,0.429,588,0.362,663,0.674,356,1084,350,181,98,415,651
Missouri State,32,13,19,-3.52,2.58,4,8,2153,2321,1290,1817,0.414,533,0.315,713,0.675,333,1135,390,199,130,409,622
Missouri,31,10,21,2.5,6.88,0,11,2126,2262,1240,1736,0.422,565,0.31,688,0.708,295,1109,362,169,81,386,636
Monmouth,36,28,8,5.29,-1.85,13,4,2861,2604,1450,2214,0.435,770,0.366,850,0.768,388,1397,443,296,128,443,767
Montana State,31,14,17,-6.91,-5.35,4,12,2369,2411,1245,1916,0.434,797,0.373,598,0.686,394,1159,392,149,62,375,683
Montana,33,21,12,-0.72,-4.29,7,9,2393,2225,1330,1807,0.465,680,0.374,657,0.696,304,1138,451,173,83,409,712
Morehead State,37,23,14,1.04,-1.65,8,11,2722,2553,1495,2219,0.439,593,0.363,801,0.695,541,1380,533,304,83,464,859
Morgan State,31,9,22,-12.57,-7.97,2,15,2089,2223,1250,1854,0.396,535,0.301,672,0.685,377,1089,349,188,68,368,572
Mount St. Mary's,33,14,19,-9.93,-7.99,5,15,2218,2282,1335,1967,0.401,713,0.317,601,0.692,318,1022,361,248,119,401,655
Murray State,31,17,14,-1.58,-3.06,4,8,2212,2093,1245,1694,0.455,621,0.364,613,0.724,308,1018,445,186,66,367,617
Navy,33,19,14,-4.99,-7.05,11,4,2230,2135,1340,1768,0.455,469,0.301,748,0.64,370,1187,448,188,125,430,648
Omaha,32,18,14,-0.24,-2.04,7,9,2729,2619,1295,2023,0.471,599,0.337,833,0.745,340,1129,460,297,94,413,657
Nebraska,34,16,18,8.84,5.57,3,8,2456,2345,1370,1976,0.447,634,0.347,644,0.73,377,1197,397,250,112,401,656
Nevada-Las Vegas,33,18,15,5.5,3.17,2,10,2581,2427,1350,2015,0.44,760,0.332,815,0.681,371,1270,499,266,168,466,700
Nevada,38,24,14,2.85,1.79,5,10,2878,2740,1550,2293,0.424,658,0.307,992,0.736,459,1535,478,254,216,495,788
New Hampshire,33,20,13,-7.89,-7.05,9,10,2342,2297,1330,1944,0.416,666,0.333,693,0.724,376,1296,389,126,59,385,585
New Mexico State,34,23,11,3.59,-3.54,7,8,2424,2145,1380,1919,0.462,537,0.333,696,0.677,415,1395,475,141,160,462,535
