school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,31,13,18,-13.93,-7.53,2,12,2209,2272,1250,1704,0.452,570,0.367,653,0.701,269,991,422,233,78,418,681
Air Force,32,14,18,-5.51,0.66,2,13,2189,2330,1300,1758,0.428,596,0.339,707,0.683,283,1107,420,196,58,423,617
Akron,35,26,9,5.55,-1.24,6,8,2682,2381,1405,2111,0.432,1069,0.383,659,0.684,373,1310,507,190,137,381,618
Alabama A&M,29,11,18,-13.47,-10.75,4,12,1974,2042,1175,1632,0.417,599,0.292,642,0.684,330,1000,366,163,61,340,561
Alabama-Birmingham,33,26,7,3.5,-3.07,10,4,2606,2323,1340,1970,0.478,671,0.373,654,0.722,366,1259,607,213,201,414,579
Alabama State,31,14,17,-13.11,-9.35,5,12,2217,2308,1260,1918,0.411,647,0.332,623,0.684,389,1153,372,181,107,371,646
Alabama,33,18,15,7.14,8.62,5,8,2193,2242,1330,1750,0.422,763,0.339,712,0.643,327,1141,347,192,175,438,631
Albany (NY),33,24,9,0.93,-7.57,10,8,2495,2180,1335,1850,0.458,587,0.32,814,0.751,387,1276,410,216,52,413,581
Alcorn State,30,15,15,-16.01,-9.94,6,9,2014,2164,1225,1692,0.408,566,0.307,676,0.678,384,1072,272,134,111,429,548
American,31,12,19,-14.18,-6.08,7,12,1785,2036,1250,1487,0.424,572,0.341,471,0.696,218,874,348,176,69,428,566
Appalachian State,31,9,22,-7.91,-1.1,2,12,2187,2398,1240,1795,0.401,720,0.356,701,0.703,393,1142,357,127,103,462,666
Arizona State,32,15,17,8.28,8.96,3,9,2345,2367,1290,1919,0.415,757,0.336,726,0.687,394,1177,405,170,86,384,649
Arizona,34,25,9,18.79,7.23,5,5,2735,2342,1390,1970,0.48,580,0.381,863,0.721,394,1368,485,164,161,442,621
Little Rock,35,30,5,7.12,-1.76,12,4,2487,2129,1415,1958,0.453,693,0.384,616,0.729,315,1195,451,230,106,355,640
Arkansas-Pine Bluff,33,8,25,-19.31,-5.52,4,17,1867,2322,1325,1722,0.391,666,0.303,519,0.611,322,1004,317,235,123,516,723
Arkansas State,31,11,20,-7.48,-2.37,2,14,2282,2353,1260,1873,0.411,570,0.316,766,0.734,334,1243,381,157,136,398,613
Arkansas,32,16,16,10.23,6.76,3,8,2501,2390,1305,1992,0.443,544,0.397,748,0.694,374,1187,518,233,165,357,687
Army,33,19,14,-7.32,-8.13,11,6,2539,2474,1350,2084,0.429,877,0.335,656,0.694,408,1338,501,163,123,448,628
Auburn,31,11,20,0.15,7.54,2,11,2192,2421,1245,1820,0.398,799,0.34,746,0.633,346,1134,352,166,126,428,658
Austin Peay,36,18,18,-6.04,-2.98,7,9,2740,2765,1460,2049,0.461,645,0.346,936,0.67,422,1326,479,250,101,502,633
Ball State,35,21,14,0.11,-2.98,6,8,2479,2338,1430,1919,0.446,818,0.373,670,0.693,330,1275,512,191,126,465,665
Baylor,34,22,12,16.13,9.76,6,5,2621,2366,1375,2003,0.466,572,0.367,752,0.725,467,1267,603,269,135,432,660
Belmont,32,20,12,1.19,-2.1,8,10,2638,2510,1285,1849,0.494,931,0.363,650,0.726,271,1105,544,145,81,450,639
Bethune-Cookman,32,14,18,-14.35,-9.18,5,13,2258,2330,1295,1932,0.414,787,0.316,597,0.688,407,1186,371,197,191,415,601
Binghamton,30,8,22,-14.08,-6.35,3,13,1827,2059,1205,1614,0.39,599,0.285,584,0.682,273,1023,333,161,68,419,558
Boise State,32,20,12,7.23,3.13,5,7,2480,2246,1290,1859,0.453,788,0.331,755,0.709,315,1110,430,209,64,372,622
Boston College,32,7,25,-1.61,7.67,0,10,1959,2256,1285,1752,0.409,708,0.325,453,0.651,243,993,410,181,93,431,576
Boston University,34,19,15,-6.79,-6.37,10,9,2483,2464,1375,1893,0.454,748,0.364,688,0.717,311,1216,456,204,129,468,641
Bowling Green State,34,16,18,-5.88,-1.85,7,8,2400,2457,1360,1913,0.444,563,0.361,761,0.656,345,1238,398,209,113,430,655
Bradley,32,5,27,-10.91,3.7,1,12,1793,2238,1290,1596,0.38,590,0.28,628,0.662,276,1083,292,142,87,548,744
Brigham Young,37,26,11,12.36,2.36,6,6,3093,2692,1485,2369,0.463,863,0.382,827,0.69,441,1514,611,256,161,434,690
Brown,28,8,20,-8.05,-2.82,1,13,2040,2155,1140,1625,0.429,639,0.352,600,0.702,272,1019,414,150,114,376,543
Bryant,31,8,23,-18.58,-6.71,4,13,2018,2361,1250,1798,0.42,615,0.322,482,0.643,300,1048,415,176,83,420,591
Bucknell,31,17,14,-2.09,-5.89,9,7,2448,2288,1265,1788,0.465,639,0.365,774,0.714,317,1137,489,204,100,423,657
Buffalo,35,20,15,1.34,0.9,5,9,2709,2634,1410,2096,0.437,776,0.339,867,0.71,425,1363,441,240,124,475,748
Butler,33,22,11,16.46,7.55,5,5,2638,2344,1325,1969,0.466,601,0.393,774,0.731,366,1188,468,227,107,335,646
Cal Poly,30,10,20,-3.49,0.9,3,12,2171,2255,1220,1812,0.417,681,0.349,626,0.676,351,1095,425,163,96,308,602
Cal State Bakersfield,33,24,9,2.58,-5.15,7,7,2405,2104,1330,1939,0.451,524,0.342,726,0.656,414,1263,516,263,165,405,707
Cal State Fullerton,30,10,20,-7.12,-0.76,5,9,2104,2227,1205,1703,0.41,582,0.332,743,0.693,335,1116,304,147,48,393,610
Cal State Northridge,30,10,20,-6.85,-0.85,4,12,2143,2261,1225,1723,0.432,425,0.296,735,0.717,303,1086,423,203,96,420,604
UC-Davis,30,11,19,-5.58,-1.26,3,11,1914,1980,1225,1608,0.433,463,0.354,557,0.639,255,1033,342,186,49,427,531
UC-Irvine,38,28,10,5.33,0.77,13,5,2706,2512,1535,2128,0.459,652,0.37,752,0.68,370,1416,568,217,198,471,706
UC-Riverside,33,14,19,-5.66,-3.08,7,9,2299,2300,1320,1839,0.428,716,0.352,670,0.703,328,1164,410,170,101,433,654
UC-Santa Barbara,33,19,14,3.79,1.44,10,6,2335,2219,1325,1944,0.442,697,0.36,522,0.701,344,1235,496,195,98,419,647
University of California,34,23,11,15.39,7.87,4,7,2545,2289,1375,1931,0.461,651,0.363,806,0.656,386,1349,430,139,159,419,706
Campbell,30,12,18,-11.07,-6.67,5,8,2207,2203,1205,1671,0.445,675,0.332,690,0.717,242,967,345,214,72,353,582
Canisius,33,14,19,-5.62,-3.77,4,11,2526,2587,1355,2014,0.42,836,0.341,744,0.741,393,1116,466,199,88,370,640
Central Arkansas,28,7,21,-15.17,-6.81,2,14,2110,2344,1120,1656,0.443,497,0.372,694,0.659,331,1044,370,152,104,407,575
Central Connecticut State,29,4,25,-22.35,-9.24,1,14,1888,2268,1175,1704,0.4,480,0.342,530,0.679,335,1046,341,127,107,402,505
Central Florida,30,12,18,0.18,3.01,4,9,2062,2147,1210,1663,0.43,650,0.318,619,0.687,329,1166,379,137,139,440,467
Central Michigan,33,17,16,-0.67,-1.3,4,8,2495,2401,1325,1964,0.441,917,0.353,608,0.719,325,1152,441,155,90,303,608
Charleston Southern,30,9,21,-10.92,-2.59,3,12,2146,2253,1210,1808,0.428,810,0.346,512,0.621,308,1053,379,153,63,378,576
Charlotte,33,14,19,-3.14,-1.72,5,8,2584,2631,1340,2066,0.445,696,0.382,685,0.698,374,1196,481,204,73,396,588
Chattanooga,35,29,6,3.24,-3.46,10,4,2652,2364,1410,1963,0.457,729,0.359,811,0.735,381,1241,504,272,165,437,596
Chicago State,32,4,28,-17.52,-1.38,0,15,2140,2478,1280,1995,0.383,750,0.304,573,0.67,414,1172,375,246,98,458,697
Cincinnati,33,22,11,15.19,5.25,6,6,2418,2090,1355,1980,0.43,725,0.348,658,0.705,441,1291,508,257,192,363,513
Citadel,32,10,22,-15.95,-4.75,3,13,2753,2962,1285,2242,0.418,1121,0.324,704,0.73,404,1148,489,281,99,441,770
Clemson,31,17,14,12.03,6.87,3,8,2159,1999,1250,1725,0.437,678,0.351,574,0.723,320,1076,411,179,162,315,511
Cleveland State,32,9,23,-9.17,0.09,3,10,1947,2169,1285,1746,0.403,537,0.324,538,0.678,338,1061,327,196,87,459,670
Coastal Carolina,33,21,12,-1.85,-4.22,7,5,2410,2196,1325,1909,0.447,716,0.341,689,0.665,377,1299,396,195,113,406,568
Colgate,30,13,17,-8.61,-6.06,5,13,2093,2145,1220,1673,0.447,718,0.372,488,0.68,280,951,398,184,72,365,583
College of Charleston,31,17,14,2.37,0.04,6,8,2028,1921,1250,1718,0.42,595,0.346,567,0.667,335,1090,361,222,75,393,620
Colorado State,34,18,16,2.31,1.53,3,8,2700,2626,1400,2067,0.425,896,0.364,861,0.718,441,1359,455,131,77,395,657
Colorado,34,22,12,12.04,7.64,4,7,2576,2407,1370,2029,0.426,647,0.389,808,0.735,446,1434,461,177,167,454,638
Columbia,35,25,10,3.45,-2.55,7,6,2670,2399,1415,1986,0.453,893,0.376,745,0.719,366,1240,518,220,121,379,649
Connecticut,36,25,11,15.89,6.28,6,4,2631,2285,1460,2078,0.454,699,0.365,615,0.793,335,1300,489,210,182,385,657
Coppin State,31,9,22,-15.75,-6.06,3,14,2240,2497,1280,1933,0.383,715,0.333,737,0.706,405,1144,348,174,91,408,666
Cornell,28,10,18,-9.55,-1.04,5,10,1992,2193,1130,1674,0.42,682,0.342,542,0.651,244,910,302,217,107,372,563
Creighton,35,20,15,13.69,6.44,4,9,2787,2533,1400,2081,0.47,804,0.352,780,0.7,334,1299,537,211,108,406,661
Dartmouth,28,10,18,-5.58,-3.29,2,12,1992,1989,1130,1606,0.436,458,0.341,603,0.723,335,1005,367,192,48,401,569
Davidson,33,20,13,5.74,5.14,3,10,2608,2576,1325,2022,0.442,892,0.355,661,0.761,312,1154,497,154,102,335,567
Dayton,33,25,8,11.34,4.76,8,2,2393,2176,1335,1836,0.455,643,0.344,749,0.668,327,1265,480,196,145,427,626
Delaware State,32,7,25,-20.88,-6.85,1,17,1980,2336,1290,1815,0.391,698,0.33,536,0.616,340,1064,367,173,93,446,635
Delaware,30,7,23,-8.62,0.85,2,15,1986,2270,1205,1663,0.402,517,0.325,701,0.685,331,1132,319,108,87,360,535
Denver,31,16,15,-3.34,-3.24,6,6,2021,2024,1240,1449,0.476,613,0.383,530,0.77,168,781,443,198,71,404,593
DePaul,31,9,22,0.83,8.34,3,10,2092,2325,1245,1691,0.445,490,0.343,618,0.68,317,1059,366,150,95,458,687
Detroit Mercy,31,16,15,-2.44,-0.82,4,10,2595,2567,1245,1929,0.466,651,0.375,795,0.698,373,1169,409,213,133,422,706
Drake,31,7,24,-5.15,0.92,0,12,2093,2230,1255,1639,0.449,559,0.385,562,0.722,253,1043,378,116,65,421,559
Drexel,31,6,25,-5.42,1.88,2,12,1958,2183,1245,1721,0.393,517,0.329,634,0.685,324,1022,384,141,108,345,676
Duke,36,25,11,19.23,10.59,5,4,2920,2609,1450,2136,0.46,851,0.385,866,0.723,426,1296,478,226,154,354,603
Duquesne,34,17,17,1.41,1.35,4,8,2704,2677,1370,2056,0.462,883,0.365,698,0.691,347,1332,531,159,128,473,689
