school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Bowling Green State,32,13,19,-6,-2,3,12,2355,2453,1295,1957,0.425,644,0.342,706,0.667,353,1153,390,221,87,408,623
Bradley,33,13,20,-2.84,2.94,3,10,2163,2333,1325,1722,0.425,609,0.356,719,0.673,297,1156,372,203,118,499,672
Brigham Young,34,22,12,8.22,1.87,5,4,2741,2525,1360,2057,0.456,668,0.344,869,0.733,363,1418,534,224,156,469,657
Brown,30,13,17,-8.55,-4.08,4,8,2275,2338,1200,1660,0.443,665,0.367,739,0.759,275,933,399,228,56,430,597
Bryant,32,12,20,-9.69,-5.43,2,15,2373,2478,1315,1917,0.438,701,0.338,636,0.72,345,1148,460,218,69,428,680
Bucknell,35,26,9,5.89,-2.48,9,6,2669,2376,1400,1961,0.48,754,0.379,730,0.681,302,1203,510,252,134,466,655
Buffalo,32,17,15,0.92,-1.01,8,7,2486,2375,1285,1945,0.451,727,0.33,711,0.692,385,1295,459,181,127,453,735
Butler,34,25,9,17.7,10.23,7,4,2595,2341,1370,1898,0.477,714,0.366,704,0.741,287,1091,453,206,96,346,640
Cal Poly,31,11,20,-10.71,-4.22,5,11,2082,2242,1250,1800,0.403,758,0.34,534,0.697,300,1003,322,162,113,333,574
Cal State Bakersfield,35,25,10,3.21,-1.94,11,6,2502,2235,1425,2035,0.44,652,0.351,755,0.64,433,1349,507,286,137,519,794
Cal State Fullerton,32,17,15,-7.55,-6.85,4,8,2351,2280,1315,1850,0.444,631,0.311,747,0.687,341,1196,387,223,117,465,666
Cal State Northridge,30,11,19,-8.34,-4.13,4,8,2341,2440,1200,1747,0.461,415,0.349,801,0.729,295,1052,411,207,90,399,638
UC-Davis,36,23,13,-5.21,-4.68,6,9,2525,2506,1455,2008,0.435,635,0.348,828,0.674,364,1280,461,202,118,513,688
UC-Irvine,36,21,15,0.18,-2.7,8,9,2514,2331,1450,2062,0.444,734,0.361,611,0.686,402,1429,460,176,154,481,748
UC-Riverside,29,8,21,-11.39,-3.87,3,12,1895,2016,1165,1671,0.412,553,0.313,495,0.695,264,1011,338,198,88,387,572
UC-Santa Barbara,28,6,22,-13.49,-2,1,12,1701,1987,1125,1651,0.377,531,0.29,478,0.634,356,1028,338,148,59,341,502
University of California,34,21,13,11.11,6.34,3,6,2316,2154,1380,1911,0.422,664,0.34,720,0.661,394,1323,409,165,155,428,656
Campbell,37,19,18,-9.68,-7.59,6,9,2653,2605,1490,1992,0.456,798,0.368,720,0.751,292,1219,432,244,151,476,662
Canisius,34,18,16,-2.82,-3.5,9,8,2665,2642,1370,2066,0.456,832,0.371,639,0.736,364,1120,601,230,64,446,659
Central Arkansas,32,8,24,-13.04,-3.76,3,16,2395,2692,1295,1910,0.438,613,0.375,687,0.718,337,1151,465,178,84,446,606
Central Connecticut State,29,6,23,-17.51,-7.68,3,14,1827,2112,1170,1602,0.421,418,0.349,534,0.62,332,966,341,166,68,413,539
Central Florida,36,24,12,9.58,3.69,6,6,2414,2202,1445,1898,0.435,748,0.352,758,0.661,389,1471,400,144,145,525,548
Central Michigan,32,16,16,-5.76,-2.63,5,9,2826,2807,1295,2153,0.424,1115,0.358,762,0.791,364,1244,362,181,93,362,612
Charleston Southern,31,12,19,-12.28,-6.21,3,12,2304,2343,1255,1868,0.441,669,0.341,643,0.666,336,1092,341,176,89,358,620
Charlotte,30,13,17,-5.24,-0.93,3,9,2295,2407,1205,1803,0.444,630,0.376,614,0.746,224,979,361,190,94,366,578
Chattanooga,31,19,12,1.1,-2.08,7,7,2314,2132,1245,1718,0.466,667,0.346,677,0.71,322,1005,377,241,145,413,570
Chicago State,32,6,26,-16.67,-0.19,2,17,2089,2511,1300,1923,0.384,681,0.311,569,0.701,344,1123,360,215,68,440,616
Cincinnati,36,30,6,18.43,5.49,8,3,2674,2208,1450,2116,0.458,764,0.346,688,0.686,437,1328,557,261,173,361,566
Citadel,33,12,21,-12.86,-2.93,3,12,2964,3121,1335,2357,0.416,1165,0.341,802,0.757,448,1232,561,306,85,473,737
Clemson,33,17,16,13.22,9.98,3,7,2468,2361,1325,1939,0.449,669,0.357,666,0.731,365,1124,414,235,130,354,501
Cleveland State,31,9,22,-6.73,-1.53,2,14,2083,2222,1260,1838,0.405,709,0.309,541,0.691,339,1024,327,221,94,405,636
Coastal Carolina,39,20,19,-3.94,-1.48,3,12,2833,2858,1570,2416,0.423,963,0.33,719,0.658,480,1571,467,237,109,508,709
Colgate,32,10,22,-8.47,-3.6,6,12,2145,2273,1305,1693,0.44,732,0.37,567,0.677,263,1037,414,164,82,470,603
College of Charleston,35,25,10,3.99,-0.19,10,5,2416,2260,1405,1862,0.432,670,0.328,799,0.736,302,1194,355,194,117,364,604
Colorado State,36,24,12,6.03,2.17,7,5,2611,2447,1440,2070,0.425,758,0.339,815,0.731,409,1374,397,218,123,392,618
Colorado,34,19,15,9.12,6,4,9,2568,2455,1370,1993,0.446,718,0.348,770,0.704,403,1276,474,172,146,410,632
Columbia,27,11,16,-5.67,-3.13,4,10,1940,1964,1090,1603,0.437,584,0.361,465,0.708,273,941,418,190,79,347,506
Connecticut,33,16,17,7.23,6.61,4,8,2220,2189,1330,1809,0.43,628,0.355,619,0.712,336,1209,432,146,177,402,575
Coppin State,32,8,24,-21.51,-8.01,3,16,2119,2521,1290,1846,0.382,708,0.318,745,0.65,367,1115,335,182,72,440,664
Cornell,29,8,21,-8.4,-1.55,4,12,2074,2238,1165,1646,0.453,720,0.339,484,0.698,219,976,417,150,78,419,529
Creighton,35,25,10,17.27,8.95,7,4,2864,2549,1400,2137,0.504,766,0.397,592,0.682,289,1223,598,213,102,435,582
Dartmouth,27,7,20,-11.15,-3.45,4,11,1812,2020,1085,1463,0.431,565,0.352,495,0.709,249,917,301,124,48,401,493
Davidson,32,17,15,6.45,4.26,5,7,2362,2292,1290,1861,0.437,856,0.341,587,0.753,285,1149,499,163,106,390,583
Dayton,32,24,8,12.98,4.27,7,3,2428,2126,1285,1763,0.465,671,0.385,768,0.69,277,1097,500,249,128,376,601
Delaware State,32,10,22,-18.81,-9.37,6,14,2186,2399,1295,1865,0.419,727,0.362,545,0.659,348,1057,429,177,89,436,608
Delaware,33,13,20,-9.97,-1.42,3,12,2157,2381,1325,1838,0.422,643,0.305,599,0.686,322,1159,385,176,102,396,625
Denver,30,16,14,-2.99,-4.19,7,8,2275,2239,1210,1684,0.482,555,0.402,583,0.734,273,1058,452,150,64,404,603
DePaul,32,9,23,2.09,7.78,1,9,2206,2388,1285,1804,0.43,564,0.326,642,0.735,339,1057,366,213,92,451,635
Detroit Mercy,31,8,23,-10.72,-1.62,3,13,2387,2630,1255,1867,0.445,675,0.372,717,0.664,320,1036,398,203,78,451,741
Drake,31,7,24,-4.71,1.91,1,11,2208,2390,1255,1856,0.409,782,0.345,553,0.756,311,1070,404,188,75,389,563
Drexel,32,9,23,-7.43,-2.56,4,14,2397,2508,1300,1987,0.435,741,0.345,617,0.666,379,1177,470,187,98,425,644
Duke,37,28,9,21.56,10.91,4,6,2991,2597,1480,2144,0.475,822,0.378,842,0.762,390,1341,484,226,172,421,675
Duquesne,32,10,22,-3.06,0.69,1,10,2256,2376,1280,1835,0.428,677,0.334,680,0.676,343,1167,401,157,127,454,593
East Carolina,33,15,18,-0.49,1.33,1,11,2088,2148,1320,1797,0.398,668,0.32,673,0.657,370,1252,394,168,171,459,550
East Tennessee State,35,27,8,7.31,-2.11,8,5,2782,2438,1415,1967,0.488,693,0.382,850,0.702,357,1269,516,293,162,519,698
Eastern Illinois,29,14,15,-5.35,-5.05,6,9,2169,2083,1195,1852,0.417,696,0.372,501,0.731,348,1081,444,198,119,370,559
Eastern Kentucky,31,12,19,-8.65,-2.44,3,12,2197,2330,1265,1751,0.428,733,0.321,655,0.705,286,1018,422,185,113,432,619
Eastern Michigan,33,16,17,-0.18,0.16,5,10,2566,2409,1330,2046,0.449,616,0.343,716,0.725,420,1201,443,317,144,399,704
Eastern Washington,34,22,12,-2.77,-4.43,6,10,2695,2592,1410,1975,0.479,741,0.379,675,0.77,309,1196,421,158,162,415,679
Elon,32,18,14,0.24,-1.39,6,8,2403,2292,1310,1911,0.445,868,0.355,577,0.685,291,1209,466,165,73,374,532
Evansville,33,16,17,1.45,2.42,2,9,2288,2261,1335,1762,0.454,347,0.366,787,0.713,298,1136,442,172,99,389,659
Fairfield,31,16,15,-4.75,-3.85,8,8,2251,2279,1250,1859,0.442,782,0.335,506,0.682,275,1115,464,166,92,416,567
Fairleigh Dickinson,30,11,19,-9.28,-5.31,3,14,2183,2250,1205,1713,0.44,606,0.332,620,0.765,291,993,366,189,78,398,637
Florida A&M,30,7,23,-20.88,-11.85,3,11,2153,2365,1220,1800,0.423,538,0.348,671,0.659,304,1047,379,197,99,407,568
Florida Atlantic,30,10,20,-7.95,-1.98,5,8,2108,2221,1215,1838,0.411,639,0.319,558,0.703,316,1066,369,171,93,348,570
Florida Gulf Coast,34,26,8,2.26,-3.42,10,3,2701,2356,1370,2017,0.499,636,0.347,664,0.702,379,1269,527,207,116,421,635
Florida International,31,7,24,-8.1,-3.27,1,13,2178,2282,1270,1773,0.454,545,0.332,516,0.75,315,1051,346,185,67,413,570
Florida State,35,26,9,18.87,8.87,3,6,2873,2523,1400,2146,0.483,671,0.347,824,0.689,409,1324,511,259,180,415,684
Florida,36,27,9,22.4,11.01,8,4,2804,2394,1455,2118,0.45,776,0.358,851,0.729,416,1331,450,272,167,431,661
Fordham,32,13,19,-1.97,1.36,5,8,2090,2167,1300,1783,0.416,791,0.334,474,0.726,261,913,429,314,91,418,611
Fresno State,33,20,13,4.37,2.31,6,10,2426,2315,1350,1872,0.455,593,0.352,763,0.672,314,1175,414,277,127,444,718
Furman,35,23,12,1.46,-3.75,12,8,2590,2319,1410,1941,0.473,828,0.385,624,0.697,317,1211,524,245,82,451,613
Gardner-Webb,33,19,14,-3.08,-5.71,8,8,2546,2319,1345,1905,0.479,552,0.379,819,0.624,372,1259,486,291,118,474,670
George Mason,34,20,14,3.01,1.28,7,5,2519,2437,1385,1962,0.448,542,0.336,775,0.747,381,1370,398,169,96,440,570
George Washington,35,20,15,2.37,2.11,5,8,2447,2438,1400,1938,0.424,743,0.371,710,0.745,394,1279,466,192,136,453,541
Georgetown,32,14,18,11.18,9.31,3,7,2369,2309,1290,1752,0.461,590,0.349,746,0.733,305,1142,480,175,147,454,672
Georgia Southern,33,18,15,-3.63,-2.83,6,11,2492,2420,1325,1909,0.441,837,0.362,763,0.664,320,1147,342,224,102,388,641
Georgia State,33,20,13,-0.33,-2.17,6,9,2442,2312,1325,1888,0.469,690,0.357,658,0.647,334,1174,399,236,140,463,673
Georgia Tech,37,21,16,7.82,8.21,3,10,2496,2472,1485,2079,0.438,516,0.331,740,0.682,356,1330,570,245,221,494,592
Georgia,34,19,15,11.13,10.28,5,7,2435,2393,1370,1903,0.439,538,0.325,777,0.757,330,1259,429,182,126,444,632
Gonzaga,39,37,2,25.26,4.13,10,0,3222,2398,1560,2280,0.504,749,0.382,890,0.717,378,1587,595,265,183,448,660
Grambling,33,16,17,-17.29,-11.89,4,12,2361,2412,1340,1943,0.433,581,0.317,747,0.663,398,1108,368,292,76,450,658
Grand Canyon,31,22,9,-0.16,-4.22,5,6,2282,2103,1250,1812,0.436,619,0.331,747,0.665,335,1166,423,233,79,397,539
Green Bay,32,18,14,-2.77,-2.83,7,9,2565,2479,1295,2061,0.443,612,0.322,787,0.689,387,1312,446,247,133,448,632
Hampton,31,14,17,-13.23,-9.92,5,11,2149,2219,1250,1844,0.407,620,0.316,633,0.712,371,1143,364,152,113,435,633
Hartford,32,9,23,-15.85,-5.56,3,15,2136,2465,1295,1814,0.402,777,0.338,591,0.699,292,1046,367,228,118,462,603
Harvard,28,18,10,2.3,-2.24,7,5,2012,1842,1120,1564,0.447,645,0.355,518,0.743,275,1005,403,176,133,359,531
Hawaii,30,14,16,-6.19,-4.92,3,5,2042,2048,1210,1650,0.423,658,0.325,604,0.715,287,966,418,150,57,414,570
High Point,31,15,16,-9.06,-6.28,7,7,2133,2136,1260,1693,0.432,520,0.377,636,0.744,307,1088,389,184,96,407,539
Hofstra,32,15,17,-2.35,-1.9,6,7,2473,2454,1290,1908,0.443,792,0.367,716,0.684,371,1164,419,142,82,341,544
Holy Cross,32,15,17,-5.26,-3.51,6,12,1932,1988,1285,1552,0.427,685,0.345,534,0.693,189,811,426,302,76,351,515
Houston Baptist,31,17,14,-7.3,-4.44,4,12,2441,2398,1240,1924,0.453,574,0.34,721,0.699,425,1199,457,195,81,410,597
Houston,32,21,11,12.2,3.42,6,5,2358,2077,1285,1902,0.447,681,0.394,544,0.717,362,1138,406,170,113,315,601
Howard,34,10,24,-16.97,-7.97,2,16,2163,2433,1360,1856,0.39,591,0.291,833,0.657,420,1257,307,179,126,500,636
Idaho State,31,5,26,-15.1,-3.37,1,16,2164,2486,1250,1708,0.434,660,0.359,648,0.684,225,921,316,224,73,400,578
Idaho,33,19,14,-5.34,-5.89,6,10,2412,2346,1350,1870,0.433,694,0.367,746,0.723,362,1213,422,164,81,421,697
Illinois-Chicago,36,17,19,-5.95,-3.63,5,9,2749,2754,1455,2113,0.444,746,0.365,843,0.711,422,1429,524,197,183,589,678
Illinois State,35,28,7,10.3,2.71,9,4,2418,2146,1405,1972,0.439,797,0.369,593,0.664,369,1293,483,250,170,427,620
Illinois,35,20,15,10.54,9.25,3,7,2508,2417,1405,2019,0.445,731,0.369,643,0.687,342,1217,472,197,83,433,641
Incarnate Word,29,12,17,-12.14,-5.62,2,12,2212,2320,1165,1617,0.455,601,0.388,731,0.694,229,950,362,168,136,391,583
Indiana State,31,11,20,-1.02,3.18,3,10,2170,2255,1275,1832,0.416,727,0.349,576,0.681,264,1111,417,204,126,396,660
Indiana,34,18,16,14.63,8.16,2,8,2711,2491,1390,2004,0.479,776,0.38,683,0.729,413,1328,488,209,157,517,682
Iona,35,22,13,1.08,-2.47,7,7,2813,2689,1415,2155,0.454,862,0.397,668,0.768,338,1250,541,239,108,421,669
Iowa State,35,24,11,20.51,11.94,5,6,2829,2529,1425,2186,0.472,860,0.4,604,0.7,318,1219,553,272,124,355,557
Iowa,34,19,15,10.01,7.54,3,7,2738,2654,1395,2121,0.455,791,0.379,741,0.688,408,1306,602,252,130,472,608
Fort Wayne,33,20,13,0.38,-3.19,6,9,2869,2602,1340,2127,0.496,876,0.402,561,0.725,334,1245,576,255,129,450,592
IUPUI,32,14,18,-4.29,-1.62,5,13,2500,2517,1290,1957,0.451,743,0.388,653,0.683,348,1104,455,217,87,401,655
Jackson State,32,14,18,-15.42,-11.55,4,13,2066,2142,1290,1860,0.385,730,0.297,619,0.674,425,1162,350,197,83,390,648
Jacksonville State,35,20,15,-2.85,-3.24,10,9,2434,2378,1410,1869,0.459,685,0.377,647,0.714,355,1244,493,157,134,477,628
Jacksonville,33,17,16,-10.21,-8.45,8,9,2557,2477,1325,1885,0.466,812,0.403,644,0.736,302,1081,445,265,63,424,620
James Madison,33,10,23,-5.64,-1.83,3,13,2194,2299,1335,1733,0.444,629,0.331,622,0.717,310,1133,385,194,89,467,665
Kansas State,35,21,14,14.8,10.48,5,6,2523,2372,1405,1883,0.461,683,0.362,775,0.694,330,1132,521,271,130,453,630
Kansas,36,31,5,23.53,12.23,10,1,2995,2588,1455,2193,0.488,787,0.404,789,0.678,428,1393,584,250,162,456,639
Kennesaw State,32,14,18,-8.44,-5.97,6,13,2401,2456,1280,1932,0.462,495,0.416,595,0.691,358,1146,507,163,95,431,613
Kent State,36,22,14,0.88,-1.63,7,5,2772,2628,1465,2302,0.428,803,0.32,755,0.719,539,1454,449,230,134,465,685
Kentucky,38,32,6,23.88,10.49,7,3,3225,2716,1525,2396,0.473,757,0.353,980,0.704,470,1512,585,229,200,443,716
La Salle,30,15,15,1.91,2.94,4,8,2266,2297,1220,1666,0.457,700,0.364,638,0.766,249,973,425,191,64,393,559
Lafayette,30,9,21,-14.68,-3.5,4,11,1995,2282,1205,1655,0.43,662,0.334,492,0.711,205,956,378,148,85,436,514
Lamar,34,19,15,-7.36,-7.93,6,11,2623,2434,1375,1977,0.459,732,0.362,813,0.669,389,1189,481,271,95,455,733
Lehigh,32,20,12,1.54,-3.3,8,10,2432,2261,1295,1788,0.479,689,0.392,580,0.772,232,1100,467,215,99,450,539
Liberty,35,21,14,-5.51,-6.16,7,8,2331,2220,1415,1787,0.436,888,0.359,612,0.742,173,990,453,229,65,363,670
Lipscomb,33,20,13,-1.55,-4.45,9,6,2804,2562,1325,1978,0.475,928,0.366,811,0.723,340,1213,599,218,104,500,702
Long Beach State,34,15,19,-5.98,-0.6,3,15,2549,2666,1385,2035,0.44,616,0.351,750,0.724,396,1212,447,199,92,488,682
Long Island University,32,20,12,-7.8,-8.51,9,6,2278,2218,1295,1846,0.435,534,0.345,710,0.687,423,1242,350,186,107,460,641
Longwood,30,6,24,-21.23,-6.16,1,15,2018,2408,1200,1660,0.445,568,0.327,487,0.731,218,922,324,175,124,456,539
Louisiana,33,21,12,-0.64,-3.28,8,7,2704,2518,1325,2022,0.467,673,0.343,839,0.695,442,1252,475,233,91,440,621
Louisiana-Monroe,33,9,24,-7.88,-2.56,2,12,2198,2299,1350,1916,0.425,713,0.332,498,0.669,347,1174,443,154,73,433,576
Louisiana State,31,10,21,0.53,8.69,1,10,2319,2572,1240,1893,0.451,584,0.336,599,0.696,355,1115,397,186,110,451,593
Louisiana Tech,33,23,10,5.2,-4.35,6,7,2557,2203,1325,1952,0.467,711,0.361,674,0.709,335,1244,543,223,176,407,519
Louisville,34,25,9,22.47,11.15,5,5,2628,2243,1370,2085,0.457,670,0.355,708,0.686,457,1343,461,227,186,374,652
Loyola (IL),32,18,14,5.15,1.02,3,9,2348,2137,1300,1754,0.486,665,0.389,543,0.709,218,1000,474,218,76,377,545
Loyola Marymount,30,15,15,-0.47,1.6,5,7,2113,2125,1205,1755,0.444,614,0.353,545,0.62,332,1022,444,228,120,395,610
Loyola (MD),33,16,17,-6.32,-3.6,6,11,2175,2249,1330,1791,0.42,538,0.329,711,0.692,381,1113,385,240,113,496,636
Maine,32,7,25,-16.33,-4.01,3,14,2069,2400,1280,1852,0.403,665,0.319,558,0.654,325,1122,377,165,63,419,562
Manhattan,32,10,22,-9.67,-2.61,3,13,2259,2485,1305,1813,0.416,636,0.329,743,0.729,355,1118,350,224,103,530,790
Marist,32,8,24,-12.33,-2.74,2,14,2223,2530,1290,1747,0.429,736,0.333,662,0.725,235,998,352,146,83,409,628
Marquette,32,19,13,15.26,8.6,4,6,2631,2418,1285,1888,0.487,783,0.429,585,0.781,280,1058,525,231,115,396,620
Marshall,35,20,15,0.18,-1.05,4,11,2997,2939,1415,2237,0.456,962,0.37,816,0.734,325,1291,576,211,140,433,643
Maryland-Baltimore County,34,21,13,-3.84,-5.87,8,8,2759,2624,1390,2041,0.469,840,0.393,691,0.745,307,1199,507,224,80,411,625
Maryland-Eastern Shore,34,14,20,-13.77,-7.61,5,14,2424,2583,1380,2013,0.424,765,0.342,668,0.683,337,1142,449,193,89,425,665
Maryland,33,24,9,12.79,8.29,8,2,2438,2246,1325,1840,0.449,757,0.359,732,0.699,351,1173,472,180,154,426,613
Massachusetts-Lowell,31,11,20,-10.13,-6.4,2,14,2429,2517,1255,1825,0.481,662,0.39,567,0.735,280,1038,495,171,64,474,622
Massachusetts,33,15,18,1.63,1.66,3,10,2371,2372,1320,1939,0.437,789,0.297,671,0.66,333,1185,529,250,169,489,722
McNeese State,29,7,22,-14.28,-4.12,3,12,2043,2292,1165,1697,0.421,587,0.332,610,0.685,285,977,302,159,91,403,573
Memphis,32,19,13,6.47,3.19,4,7,2367,2262,1290,1926,0.442,613,0.295,706,0.683,373,1172,508,221,150,368,534
Mercer,32,15,17,-1.12,-0.92,6,7,2269,2184,1295,1774,0.444,698,0.35,574,0.782,367,1174,433,134,74,367,546
Miami (FL),33,21,12,14.48,9.57,4,6,2278,2116,1325,1800,0.452,587,0.356,617,0.718,363,1176,389,213,125,417,513
Miami (OH),32,11,21,-8.16,-2.1,1,13,2249,2384,1290,1815,0.434,647,0.308,689,0.691,298,1091,364,238,125,467,642
Michigan State,35,20,15,13.67,10.5,2,7,2515,2404,1405,1927,0.47,732,0.373,646,0.669,328,1275,591,151,162,490,699
Michigan,38,26,12,18.8,10.17,3,8,2851,2523,1535,2076,0.483,937,0.385,624,0.779,280,1111,527,220,108,348,571
Middle Tennessee,36,31,5,9.8,-0.48,11,2,2697,2299,1445,2077,0.488,622,0.367,631,0.699,355,1273,552,242,100,374,655
Milwaukee,35,11,24,-7.37,-2.17,2,13,2347,2494,1430,1949,0.441,782,0.348,538,0.66,280,1107,467,164,53,409,641
Minnesota,34,24,10,14.56,8.82,5,5,2556,2361,1390,2037,0.435,610,0.343,806,0.711,378,1341,507,194,227,393,577
Mississippi State,32,16,16,7.12,5.9,2,8,2320,2281,1285,1849,0.444,711,0.347,627,0.687,310,1130,386,239,131,433,638
Mississippi Valley State,32,7,25,-20.54,-7.11,2,20,2235,2665,1295,1942,0.421,508,0.343,651,0.65,385,1108,374,218,60,460,624
Mississippi,36,22,14,9.65,7.99,6,6,2807,2747,1450,2162,0.423,815,0.347,926,0.752,458,1422,465,243,149,516,702
Missouri-Kansas City,35,18,17,-4.97,-1.06,4,10,2691,2753,1405,2076,0.439,848,0.371,777,0.713,353,1213,451,236,92,510,772
Missouri State,33,17,16,2.84,1.18,4,8,2403,2277,1345,1895,0.442,744,0.363,652,0.701,377,1212,403,176,127,406,585
Missouri,32,8,24,2.98,6.73,0,9,2213,2333,1290,1893,0.393,739,0.304,732,0.683,357,1168,386,200,68,384,647
Monmouth,34,27,7,4.94,-2.62,12,4,2761,2504,1375,2127,0.437,813,0.373,793,0.757,380,1310,431,235,155,425,697
Montana State,32,16,16,-6.14,-5.88,4,10,2561,2532,1320,1968,0.435,853,0.375,722,0.73,336,1167,423,181,74,393,732
Montana,32,16,16,-2.67,-4.02,7,8,2391,2348,1290,1879,0.449,667,0.357,621,0.752,310,1084,416,181,91,345,699
Morehead State,30,14,16,-3.6,-1.85,4,11,2370,2311,1215,1906,0.461,568,0.386,544,0.726,396,1129,482,202,95,404,633
Morgan State,30,14,16,-15.03,-11.2,5,10,2025,2121,1210,1793,0.385,541,0.294,681,0.711,424,1168,322,170,101,420,602
Mount St. Mary's,36,20,16,-4.29,-3.51,8,11,2446,2474,1445,1977,0.444,730,0.358,640,0.673,276,1082,403,222,142,472,640
Murray State,33,16,17,-3.06,-4.41,3,11,2639,2543,1350,2040,0.441,803,0.36,751,0.735,399,1243,458,198,75,403,659
Navy,32,16,16,-4.11,-3.92,5,9,2076,2055,1285,1740,0.422,670,0.307,624,0.641,424,1134,433,227,66,464,594
Omaha,32,18,14,-2.24,-1.11,8,9,2685,2673,1295,1972,0.454,765,0.388,799,0.748,338,1149,442,262,107,444,616
Nebraska,31,12,19,6.47,10.74,3,8,2168,2264,1260,1906,0.416,560,0.32,568,0.71,411,1187,354,211,116,411,577
Nevada-Las Vegas,32,11,21,-3.75,2.59,2,9,2202,2405,1295,1893,0.395,666,0.32,711,0.696,365,1210,412,189,85,410,539
Nevada,35,28,7,10.49,2.03,8,4,2792,2496,1405,2082,0.448,837,0.382,859,0.705,386,1351,559,189,152,386,581
New Hampshire,32,20,12,-3.57,-4.46,9,8,2277,2118,1300,1787,0.438,727,0.352,628,0.725,324,1227,398,129,59,401,505
New Mexico State,34,28,6,4.66,-3.82,8,4,2678,2310,1365,1957,0.467,747,0.337,843,0.712,436,1339,505,166,128,465,627
