school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,29,13,16,-11.86,-7.1,4,11,2009,2073,1180,1555,0.464,550,0.376,543,0.663,222,904,408,210,83,412,631
Air Force,33,12,21,-3.06,1,0,11,2411,2477,1335,1876,0.436,728,0.363,715,0.717,304,1149,494,197,57,390,594
Akron,36,27,9,3.59,-1.21,7,6,2772,2550,1440,2035,0.466,984,0.372,744,0.683,357,1246,517,198,118,422,653
Alabama A&M,29,2,27,-26.99,-11.09,1,18,1794,2255,1175,1549,0.405,447,0.28,614,0.669,299,914,326,100,50,384,526
Alabama-Birmingham,33,17,16,-1.17,-1.83,4,8,2369,2316,1330,1809,0.462,583,0.348,674,0.736,321,1188,503,157,160,444,527
Alabama State,31,8,23,-19.75,-10.75,1,17,2042,2305,1260,1834,0.392,674,0.297,634,0.637,427,1188,300,150,98,488,629
Alabama,34,19,15,11.29,7.47,5,6,2330,2200,1380,1909,0.424,710,0.317,746,0.653,418,1327,390,200,141,474,664
Albany (NY),35,21,14,-0.16,-4.69,9,8,2496,2301,1400,1941,0.467,516,0.372,647,0.757,379,1257,444,178,60,416,617
Alcorn State,32,18,14,-12.33,-10.95,6,11,2221,2175,1285,1866,0.429,669,0.332,612,0.652,387,1243,425,209,115,452,610
American,30,8,22,-10.3,-3.5,4,11,1845,2049,1205,1542,0.449,529,0.318,474,0.618,204,868,339,209,73,396,548
Appalachian State,30,9,21,-8.67,-1.6,1,14,2208,2279,1205,1781,0.421,742,0.338,674,0.681,339,1126,414,167,91,414,641
Arizona State,33,15,18,4.02,7.11,4,6,2593,2695,1325,2047,0.434,896,0.366,653,0.749,304,1075,430,194,106,344,556
Arizona,37,32,5,18.25,7.63,9,1,2833,2440,1480,2048,0.477,625,0.39,830,0.765,380,1358,501,201,119,413,625
Little Rock,32,15,17,-6.07,-3.8,4,9,2188,2185,1290,1749,0.443,599,0.346,582,0.741,305,1058,379,183,120,412,591
Arkansas-Pine Bluff,32,7,25,-22.81,-10.28,1,19,1977,2320,1305,1725,0.403,621,0.335,581,0.652,335,1013,334,279,93,578,718
Arkansas State,32,20,12,0.87,-2.1,7,9,2346,2211,1285,1792,0.461,579,0.38,743,0.638,352,1169,397,172,83,414,652
Arkansas,36,26,10,14.04,8.6,6,5,2855,2659,1440,2165,0.461,638,0.365,825,0.761,401,1298,497,278,170,428,739
Army,32,13,19,-5.84,-4.1,4,10,2324,2340,1295,1906,0.442,825,0.353,533,0.655,317,1213,520,178,61,483,620
Auburn,32,18,14,8.17,7.33,6,6,2573,2546,1290,1969,0.437,789,0.366,836,0.672,369,1171,416,234,162,434,668
Austin Peay,30,11,19,-11,-2.32,4,11,2331,2515,1215,1718,0.469,640,0.355,695,0.708,245,913,324,171,73,373,547
Ball State,34,21,13,-1.45,-3.57,7,7,2677,2567,1380,2014,0.461,841,0.379,696,0.718,335,1281,529,203,118,496,658
Baylor,35,27,8,19.75,11.87,6,4,2550,2228,1400,1956,0.471,641,0.359,661,0.723,451,1329,544,180,166,469,617
Belmont,30,23,7,4.28,-1.69,11,4,2302,2078,1205,1703,0.469,895,0.342,521,0.768,254,1057,481,131,80,380,531
Bethune-Cookman,32,10,22,-19.44,-11.21,2,13,2275,2490,1315,2022,0.415,712,0.32,554,0.662,397,1135,448,245,96,413,644
Binghamton,32,12,20,-11.99,-5.79,4,13,2175,2270,1285,1757,0.437,685,0.362,555,0.705,251,1055,410,167,78,397,545
Boise State,32,20,12,5.52,2.72,8,7,2404,2278,1280,1802,0.45,726,0.348,743,0.712,309,1139,387,158,77,409,662
Boston College,32,9,23,2.2,8.08,0,9,2320,2508,1280,1880,0.448,685,0.374,556,0.68,292,1119,473,179,87,467,597
Boston University,32,18,14,-2.43,-3.66,6,9,2339,2264,1300,1844,0.443,773,0.354,619,0.696,311,1141,449,265,81,444,610
