school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Sacramento State,32,7,25,-8.91,-0.74,1,12,2157,2358,1285,1802,0.444,570,0.354,519,0.684,266,1024,420,172,110,385,586
Sacred Heart,31,10,21,-11.38,-6.98,4,11,2129,2237,1245,1823,0.437,599,0.299,540,0.663,373,1238,401,149,72,460,571
Saint Francis (PA),31,18,13,-6.13,-6.71,7,10,2450,2355,1260,1845,0.466,670,0.373,630,0.762,274,1046,416,209,72,359,496
Saint Joseph's,32,16,16,3.78,1.9,4,9,2371,2311,1290,1953,0.423,757,0.337,675,0.687,289,1201,447,203,91,320,497
Saint Louis,33,17,16,2.58,2.92,3,7,2170,2157,1325,1734,0.422,573,0.323,802,0.652,387,1188,393,198,146,420,596
Saint Mary's (CA),36,30,6,12.86,0.33,11,1,2772,2321,1455,1970,0.515,692,0.41,598,0.769,298,1213,557,160,94,357,556
Saint Peter's,32,14,18,-5.24,-4.36,3,12,2085,2113,1310,1762,0.42,750,0.337,488,0.721,292,1050,379,211,101,416,601
Sam Houston State,36,21,15,-5.14,-4.8,5,10,2571,2477,1445,2115,0.426,762,0.337,719,0.715,430,1356,527,220,62,473,708
Samford,32,10,22,-11.1,-3.37,2,14,2483,2639,1280,1846,0.471,774,0.373,594,0.764,263,974,530,230,76,435,527
San Diego State,33,22,11,12.23,3.91,5,7,2545,2240,1320,1967,0.459,709,0.337,702,0.715,364,1250,488,206,107,394,564
San Diego,34,20,14,2.86,0.49,8,6,2385,2264,1370,1775,0.452,794,0.364,692,0.711,250,1117,475,186,138,445,701
San Francisco,39,22,17,1.13,1.63,4,9,2685,2681,1570,2256,0.422,986,0.338,663,0.676,381,1393,526,210,141,464,745
San Jose State,30,4,26,-8.74,2.91,1,14,1974,2260,1210,1618,0.436,485,0.367,558,0.692,277,1073,385,135,69,488,570
Santa Clara,31,11,20,-7.01,0.61,5,5,2048,2224,1245,1674,0.429,682,0.34,524,0.725,243,887,404,168,73,350,537
Savannah State,32,15,17,-15.36,-5.06,4,13,2754,2991,1295,2350,0.4,1304,0.3,694,0.696,423,1222,504,301,89,448,608
Seattle,34,20,14,-2.32,-3.09,3,10,2589,2468,1375,1975,0.446,844,0.37,698,0.738,365,1298,463,167,123,484,692
Seton Hall,34,22,12,15.67,10.11,5,6,2701,2512,1370,2073,0.468,685,0.365,729,0.698,414,1302,527,210,117,432,614
Siena,32,8,24,-10.46,-2.99,1,15,2166,2405,1325,1790,0.42,600,0.367,652,0.678,352,1146,355,153,104,483,641
South Alabama,32,14,18,-5.43,-2.87,2,13,2228,2218,1285,1785,0.421,779,0.323,674,0.7,300,1165,398,171,126,479,612
South Carolina State,32,10,22,-20.18,-8.78,2,16,2355,2660,1290,1948,0.426,614,0.334,706,0.697,363,1092,352,169,76,444,612
South Carolina Upstate,32,7,25,-17.46,-4.35,0,17,2424,2723,1290,2045,0.431,952,0.345,460,0.726,335,1062,449,195,86,370,566
South Carolina,33,17,16,9.45,9.23,4,8,2313,2277,1330,1899,0.398,708,0.339,800,0.701,415,1228,423,180,105,455,662
South Dakota State,35,28,7,6.84,-0.38,8,5,2958,2599,1415,2147,0.467,927,0.403,759,0.762,308,1360,467,172,80,353,562
South Dakota,35,26,9,6.17,-2.6,9,5,2832,2404,1400,2136,0.476,684,0.355,740,0.75,353,1319,463,239,69,388,592
South Florida,32,10,22,-7.27,0.05,3,10,2026,2260,1285,1690,0.418,573,0.361,560,0.723,309,1065,379,163,76,449,546
Southeast Missouri State,31,14,17,-8.13,-4.88,6,9,2355,2413,1250,1729,0.46,738,0.392,650,0.729,273,1005,423,178,54,388,553
Southeastern Louisiana,34,22,12,-6.4,-6.2,10,7,2439,2357,1360,1911,0.454,712,0.351,692,0.658,357,1158,498,225,98,468,568
Southern California,36,24,12,12.82,6.29,6,5,2798,2563,1460,2174,0.47,788,0.376,649,0.706,370,1252,569,228,145,383,568
SIU Edwardsville,30,9,21,-12.43,-3.36,5,11,2090,2362,1200,1759,0.417,654,0.324,580,0.707,324,1024,373,144,82,409,645
Southern Illinois,33,20,13,1.37,0.65,5,8,2308,2280,1340,1817,0.462,604,0.356,596,0.696,281,1079,464,248,118,420,588
Southern Methodist,33,17,16,9.08,3.66,2,8,2293,2114,1320,1835,0.444,741,0.379,560,0.686,365,1109,474,244,99,383,535
Southern Mississippi,34,16,18,-4.26,1.31,2,11,2401,2449,1365,1958,0.445,749,0.339,573,0.703,254,1035,500,237,59,333,528
Southern Utah,32,13,19,-7.64,-0.88,2,13,2416,2583,1290,1887,0.437,706,0.358,698,0.738,268,1084,374,166,98,408,699
Southern,33,15,18,-14.54,-9.57,4,14,2279,2369,1330,1937,0.403,524,0.338,793,0.681,429,1285,371,187,121,435,629
St. Bonaventure,34,26,8,8.87,2.61,9,4,2620,2407,1380,1959,0.451,661,0.386,794,0.752,344,1208,472,239,118,391,674
St. Francis (NY),31,13,18,-12.25,-7.32,3,13,2260,2357,1260,1889,0.415,783,0.346,591,0.712,322,1046,357,225,82,390,668
St. John's (NY),33,16,17,10.29,10.69,2,7,2412,2397,1345,1999,0.434,706,0.329,602,0.741,288,1110,422,282,172,393,614
Stanford,35,19,16,8.08,7.14,4,7,2655,2622,1410,2007,0.461,632,0.369,835,0.685,395,1368,469,183,122,525,633
Stephen F. Austin,35,28,7,2.67,-6.46,9,5,2819,2386,1400,2059,0.486,651,0.372,819,0.705,399,1248,498,361,107,540,765
Stetson,32,12,20,-12.38,-6.46,5,11,2412,2496,1290,2053,0.442,726,0.344,518,0.672,292,1099,471,228,87,350,586
Stony Brook,32,13,19,-5.09,-2.28,6,11,2205,2249,1290,1866,0.417,757,0.329,606,0.657,364,1152,427,261,94,448,647
Syracuse,37,23,14,12.89,10.02,4,6,2466,2360,1500,1995,0.417,655,0.318,807,0.736,433,1375,395,258,198,460,611
Temple,33,17,16,7.25,7.79,4,10,2308,2326,1330,1990,0.425,774,0.35,509,0.682,337,1120,421,220,108,357,580
Tennessee-Martin,31,10,21,-10.51,-4.96,5,12,2135,2253,1255,1806,0.447,650,0.323,426,0.725,306,1086,390,214,105,449,568
Tennessee State,30,15,15,-5.34,-2.98,6,9,1997,2010,1220,1574,0.425,664,0.336,590,0.739,261,989,326,213,86,442,563
Tennessee Tech,33,19,14,-5.83,-3.54,5,10,2413,2388,1325,1924,0.439,697,0.347,710,0.68,336,1174,471,252,108,471,649
Tennessee,35,26,9,18.2,10.12,8,4,2584,2301,1410,2012,0.44,718,0.38,715,0.757,404,1262,550,222,156,422,680
