school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Old Dominion,1400,1887,0.391,765,0.324,612,0.667,305,1201,390,169,86,424,573
Oral Roberts,1285,1886,0.46,749,0.381,617,0.749,285,1056,491,218,90,327,476
Oregon State,1250,1764,0.432,660,0.373,591,0.668,317,1019,398,188,84,370,601
Oregon,1530,2027,0.398,921,0.29,688,0.702,371,1250,445,197,103,523,629
Pacific,1290,1631,0.464,708,0.359,674,0.702,223,993,371,190,123,423,640
Penn State,1295,1766,0.441,588,0.354,602,0.718,277,1102,388,216,111,432,579
Pennsylvania,1265,1841,0.432,603,0.335,472,0.684,287,1110,322,200,87,417,543
Pepperdine,1370,1919,0.465,762,0.344,685,0.702,330,1205,495,211,109,505,692
Pittsburgh,1330,1905,0.409,773,0.336,627,0.716,402,1213,458,217,175,484,658
Portland State,1290,1769,0.463,637,0.347,769,0.709,286,1061,446,190,108,478,640
Portland,1290,1865,0.445,759,0.369,629,0.714,325,1197,506,206,109,357,623
Prairie View,1400,1887,0.457,679,0.317,875,0.693,393,1316,445,174,152,637,758
Presbyterian,1445,2056,0.446,860,0.351,672,0.702,320,1279,461,172,96,472,590
Princeton,1135,1640,0.432,593,0.324,472,0.727,239,1001,307,184,113,348,459
Providence,1385,1927,0.433,721,0.341,632,0.728,326,1187,425,233,108,480,673
Purdue,1460,1997,0.416,862,0.342,634,0.732,331,1155,445,179,135,448,614
Quinnipiac,1270,1893,0.444,698,0.345,512,0.652,322,1075,381,184,93,335,588
Radford,1330,1814,0.434,811,0.339,544,0.728,264,1050,395,149,104,405,531
Rhode Island,1335,1818,0.426,685,0.323,649,0.724,312,1140,407,191,115,458,608
Rice,1305,1987,0.448,782,0.345,596,0.72,284,1162,463,200,108,363,627
Richmond,1320,1854,0.465,706,0.344,533,0.683,322,1174,415,184,103,409,517
Rider,1245,1774,0.459,770,0.358,638,0.672,290,1125,470,188,113,525,644
Robert Morris,1420,1832,0.448,696,0.341,711,0.74,300,1155,406,224,102,544,637
Rutgers,1250,1776,0.425,677,0.353,576,0.665,303,1082,386,203,109,371,561
Sacramento State,1250,1676,0.443,635,0.359,595,0.745,270,1052,408,205,115,474,598
Sacred Heart,1285,2001,0.443,765,0.371,624,0.726,312,1089,453,224,124,389,619
Saint Francis (PA),1320,1953,0.463,761,0.35,613,0.711,321,1149,457,169,146,412,597
Saint Joseph's,1325,1948,0.437,859,0.36,528,0.727,282,1225,504,166,79,357,539
Saint Louis,1440,1948,0.41,732,0.314,652,0.722,305,1191,437,216,139,466,674
Saint Mary's (CA),1365,1834,0.438,580,0.321,534,0.736,251,991,346,167,114,358,536
Saint Peter's,1305,1677,0.434,679,0.386,646,0.74,284,994,389,229,100,394,548
Sam Houston State,1345,1775,0.436,718,0.337,733,0.705,308,1131,430,192,96,498,571
Samford,1355,2088,0.418,923,0.353,594,0.702,403,1210,471,223,100,441,610
San Diego State,1360,1934,0.41,812,0.324,639,0.695,340,1171,429,199,91,444,649
San Diego,1460,1963,0.439,636,0.33,722,0.724,265,1149,382,239,117,440,670
San Francisco,1250,1765,0.433,586,0.319,535,0.721,276,1040,332,150,119,364,543
San Jose State,1250,1947,0.473,931,0.374,530,0.653,309,1144,542,243,91,345,595
Santa Clara,1255,1779,0.432,611,0.316,629,0.704,305,1059,417,201,82,344,544
Savannah State,1245,2063,0.463,846,0.357,673,0.716,410,1386,597,222,93,464,495
Seattle,1330,1901,0.408,629,0.335,717,0.725,310,1112,318,194,92,374,650
Seton Hall,1375,1974,0.428,793,0.34,648,0.742,352,1212,449,195,150,477,621
Siena,1345,1757,0.462,630,0.359,479,0.689,284,1106,353,156,76,371,465
South Alabama,1375,1926,0.45,699,0.353,709,0.685,367,1204,465,194,153,471,605
South Carolina State,1375,1861,0.485,740,0.366,736,0.701,320,1112,459,187,113,494,718
South Carolina Upstate,1290,1816,0.462,651,0.341,700,0.707,341,1199,432,200,106,429,476
South Carolina,1285,1823,0.423,720,0.34,715,0.74,352,1165,389,216,127,476,623
South Dakota State,1320,2078,0.419,992,0.344,499,0.685,295,1104,421,181,101,382,610
South Dakota,1205,1670,0.45,611,0.357,558,0.746,248,1023,339,152,109,367,568
South Florida,1555,2034,0.421,760,0.32,866,0.688,334,1229,496,264,166,582,845
Southeast Missouri State,1265,1854,0.454,774,0.32,618,0.722,315,1135,458,186,114,390,495
Southeastern Louisiana,1320,1737,0.442,610,0.33,669,0.734,303,1023,357,232,121,483,637
Southern California,1340,2032,0.426,787,0.334,610,0.68,368,1249,476,192,99,431,570
SIU Edwardsville,1280,1814,0.492,675,0.369,691,0.702,286,1159,469,222,93,441,592
Southern Illinois,1280,1830,0.427,724,0.351,469,0.699,325,1048,398,202,99,407,528
Southern Methodist,1280,1853,0.428,761,0.351,547,0.724,343,1097,493,155,86,370,500
Southern Mississippi,1330,1879,0.403,879,0.337,537,0.648,321,1174,410,180,93,434,480
Southern Utah,1380,2028,0.43,776,0.354,765,0.715,306,1242,428,224,125,445,684
Southern,1285,1648,0.481,591,0.371,807,0.69,317,1067,410,203,106,489,565
St. Bonaventure,1385,1864,0.402,802,0.323,587,0.658,336,1154,386,196,97,446,541
St. Francis (NY),1325,1866,0.43,587,0.324,717,0.731,319,1237,360,169,125,455,591
St. John's (NY),1375,1961,0.435,828,0.342,779,0.71,353,1323,462,176,82,529,579
Stanford,1245,1886,0.432,515,0.346,620,0.679,326,1084,333,200,99,384,605
Stephen F. Austin,1210,1688,0.435,741,0.366,594,0.707,330,1050,472,204,86,471,551
Stetson,1245,1863,0.465,761,0.364,600,0.697,335,1212,495,201,113,409,478
Stony Brook,1335,1889,0.395,793,0.3,681,0.673,322,1140,388,210,130,439,629
Syracuse,1365,1859,0.401,894,0.329,637,0.722,405,1253,506,225,107,528,626
Temple,1340,1897,0.443,727,0.329,643,0.68,325,1222,421,182,85,485,550
Tennessee-Martin,1250,1896,0.483,786,0.382,508,0.697,354,1123,542,214,99,431,509
Tennessee State,1210,1615,0.466,573,0.375,859,0.714,270,1034,344,193,110,453,566
Tennessee Tech,1250,1904,0.441,697,0.337,610,0.713,368,1200,503,261,106,450,572
Tennessee,1505,2199,0.404,893,0.348,755,0.653,421,1270,455,230,95,472,694
Texas A&M-Corpus Christi,1290,1694,0.41,691,0.346,673,0.738,281,1044,399,210,110,444,562
Texas A&M,1280,1960,0.422,839,0.331,529,0.686,395,1160,483,229,149,410,561
Texas-Arlington,1345,1888,0.423,725,0.298,707,0.694,330,1157,416,205,129,428,609
Texas Christian,1500,2209,0.429,795,0.304,612,0.712,376,1259,567,223,143,484,597
Texas-El Paso,1170,1686,0.421,618,0.353,554,0.659,295,1053,341,197,101,391,581
Texas-Rio Grande Valley,1490,2013,0.445,695,0.337,863,0.694,411,1436,510,225,131,654,820
Texas-San Antonio,1295,1969,0.428,786,0.324,662,0.707,327,1257,409,186,103,434,525
Texas Southern,1550,2440,0.451,870,0.348,772,0.652,450,1460,605,279,137,589,798
Texas State,1370,1795,0.412,706,0.309,699,0.724,280,1085,360,215,133,499,634
Texas Tech,1530,2027,0.37,816,0.298,743,0.694,373,1254,372,237,94,586,706
Texas,1495,2084,0.423,746,0.354,618,0.696,374,1302,423,188,122,469,610
