school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1370,1737,0.434,578,0.33,643,0.722,295,1098,356,192,92,560,592
Air Force,1300,1820,0.451,841,0.356,520,0.679,258,1073,443,231,87,386,550
Akron,1325,1919,0.396,734,0.293,569,0.654,370,1292,343,187,89,436,578
Alabama A&M,1295,1730,0.469,665,0.353,672,0.637,333,1158,434,246,109,458,463
Alabama-Birmingham,1410,1960,0.414,873,0.34,616,0.732,310,1149,444,178,110,421,562
Alabama State,1250,1732,0.455,638,0.34,625,0.707,324,1140,426,224,103,470,621
Alabama,1365,2047,0.435,670,0.333,605,0.711,350,1185,384,221,144,402,644
Albany (NY),1300,1797,0.449,703,0.36,533,0.655,301,1092,462,206,118,406,556
Alcorn State,1245,1744,0.448,657,0.312,619,0.687,306,1082,489,245,83,414,497
American,1220,1709,0.437,520,0.292,595,0.713,287,999,375,191,98,366,526
Appalachian State,1290,1960,0.467,659,0.367,659,0.706,329,1190,418,225,100,428,636
Arizona State,1380,2007,0.413,874,0.334,774,0.705,343,1218,449,221,113,476,735
Arizona,1290,1756,0.448,648,0.329,615,0.68,277,1094,376,173,123,450,621
Little Rock,1250,1799,0.44,788,0.353,692,0.71,301,1068,434,175,79,439,648
Arkansas-Pine Bluff,1300,1713,0.455,566,0.355,756,0.675,318,1090,434,240,106,442,608
Arkansas State,1310,1862,0.442,685,0.35,794,0.742,331,1142,419,192,113,399,632
Arkansas,1370,1929,0.424,811,0.333,804,0.689,426,1301,441,212,113,553,729
Army,1280,1853,0.455,755,0.352,520,0.679,246,1175,444,215,135,436,503
Auburn,1615,2153,0.437,937,0.345,774,0.707,424,1412,491,226,144,683,690
Austin Peay,1335,1913,0.451,723,0.332,645,0.693,335,1136,448,187,107,521,650
Ball State,1340,2053,0.415,717,0.318,613,0.705,365,1169,386,224,110,426,641
Baylor,1365,1869,0.425,714,0.345,682,0.683,338,1086,442,202,146,421,612
Belmont,1330,2110,0.424,743,0.341,569,0.696,314,1166,402,200,116,403,552
Bethune-Cookman,1250,1901,0.413,679,0.302,687,0.681,372,1170,439,221,126,477,597
Binghamton,1320,1977,0.444,772,0.387,487,0.663,368,1264,540,226,95,380,510
Boise State,1330,1768,0.45,713,0.341,580,0.741,247,1025,412,160,90,412,557
Boston College,1260,1900,0.419,770,0.319,559,0.744,371,1198,432,181,96,359,555
Boston University,1325,1821,0.471,723,0.343,579,0.731,256,1028,450,199,106,412,539
Bowling Green State,1370,2064,0.426,898,0.342,621,0.694,309,1215,413,222,99,443,678
Bradley,1405,1892,0.412,753,0.327,664,0.724,313,1163,415,196,90,433,648
Brigham Young,1295,1912,0.44,699,0.366,677,0.736,313,1163,430,183,86,411,658
Brown,1290,1891,0.417,774,0.302,572,0.689,308,1159,391,213,100,485,657
Bryant,1200,1704,0.475,650,0.388,604,0.735,297,1081,443,176,116,386,569
Bucknell,1325,1995,0.435,691,0.333,647,0.702,328,1163,432,225,96,393,611
Buffalo,1445,2180,0.42,791,0.298,687,0.702,363,1333,372,192,112,553,704
Butler,1330,1784,0.457,703,0.357,648,0.704,291,1132,405,175,118,423,529
Cal Poly,1185,1671,0.461,555,0.368,625,0.702,304,1107,417,155,102,314,492
Cal State Bakersfield,1375,1719,0.436,714,0.366,889,0.735,302,1116,421,174,96,472,621
Cal State Fullerton,1385,2029,0.426,676,0.315,691,0.685,328,1211,419,186,87,412,648
Cal State Northridge,1375,2128,0.447,762,0.383,685,0.74,404,1322,497,203,106,424,630
California Baptist,1260,1830,0.423,617,0.34,677,0.713,297,1077,346,175,74,353,559
UC-Davis,1260,1635,0.456,616,0.341,622,0.685,272,1069,390,198,99,453,570
UC-Irvine,1500,2118,0.382,715,0.337,698,0.708,379,1211,355,194,103,419,627
UC-Riverside,1325,1758,0.467,640,0.358,586,0.696,254,1030,445,182,70,351,473
UC-Santa Barbara,1290,1794,0.426,646,0.307,561,0.688,282,993,358,140,96,356,593
University of California,1245,1708,0.489,714,0.381,617,0.718,299,1117,462,154,100,435,548
Campbell,1325,1800,0.448,745,0.354,614,0.733,291,1147,411,186,69,448,571
Canisius,1295,1782,0.469,664,0.36,657,0.711,334,1142,406,172,97,456,560
Central Arkansas,1330,1992,0.438,803,0.347,675,0.701,359,1251,494,205,84,437,606
Central Connecticut State,1260,1817,0.44,809,0.365,666,0.709,324,1103,468,211,121,409,591
Central Florida,1325,1938,0.394,744,0.313,565,0.65,371,1142,409,190,92,400,699
Central Michigan,1425,2250,0.449,804,0.294,632,0.687,430,1344,423,182,168,506,719
Charleston Southern,1370,1931,0.429,815,0.355,598,0.709,314,1226,457,232,107,558,576
Charlotte,1160,1570,0.438,664,0.355,512,0.742,245,956,362,201,106,340,493
Chattanooga,1285,1899,0.455,672,0.357,582,0.701,299,1160,400,211,92,358,524
Chicago State,1280,1988,0.485,869,0.381,650,0.694,368,1248,546,242,101,392,589
Cincinnati,1410,1869,0.41,800,0.355,570,0.663,332,1088,388,133,126,476,659
Citadel,1210,1969,0.462,933,0.371,599,0.701,344,1216,551,203,106,408,514
Clemson,1360,1856,0.407,735,0.35,557,0.731,291,1088,336,190,99,453,581
Cleveland State,1250,1937,0.446,772,0.325,630,0.727,377,1210,474,213,103,381,590
Coastal Carolina,1370,1932,0.434,871,0.323,788,0.712,329,1125,449,220,112,448,649
Colgate,1415,2033,0.435,824,0.336,580,0.712,327,1112,454,250,112,422,581
College of Charleston,1330,1837,0.447,791,0.332,487,0.735,278,1043,424,171,94,421,547
Colorado State,1285,1897,0.455,783,0.355,557,0.718,298,1088,459,186,72,355,559
Colorado,1445,2069,0.424,776,0.318,643,0.663,306,1126,378,253,120,436,713
Columbia,1160,1587,0.439,649,0.356,606,0.708,256,996,335,175,89,395,434
Connecticut,1325,1841,0.439,620,0.335,721,0.732,339,1137,428,205,107,464,607
Coppin State,1330,2024,0.429,812,0.366,680,0.697,358,1276,480,246,84,400,611
Cornell,1260,1880,0.439,638,0.328,502,0.701,310,1160,357,194,111,388,532
Creighton,1420,2063,0.457,822,0.354,563,0.682,318,1188,489,223,117,478,612
Dartmouth,1210,1739,0.46,589,0.329,456,0.706,238,1005,363,188,93,342,456
Davidson,1365,1905,0.408,835,0.329,561,0.709,297,1142,426,174,75,379,564
Dayton,1335,1941,0.414,786,0.321,461,0.705,328,1056,415,176,95,370,537
Delaware State,1240,1817,0.45,713,0.342,685,0.717,339,1306,476,213,128,446,501
Delaware,1360,1937,0.443,735,0.369,537,0.728,321,1137,437,178,94,330,553
Denver,1205,1748,0.47,760,0.418,493,0.724,228,982,428,177,79,332,487
DePaul,1450,2132,0.452,922,0.373,659,0.73,310,1160,503,244,110,459,692
Detroit Mercy,1240,1857,0.473,761,0.346,608,0.729,381,1211,596,175,106,432,546
Drake,1385,2042,0.427,743,0.303,600,0.697,320,1160,369,245,105,408,586
Drexel,1280,1909,0.482,652,0.374,576,0.675,280,1043,435,195,116,334,530
Duke,1525,2415,0.398,844,0.3,579,0.696,441,1348,479,243,121,540,659
Duquesne,1295,1903,0.441,659,0.338,607,0.68,401,1219,465,219,118,491,585
East Carolina,1255,1753,0.449,651,0.329,732,0.698,332,1152,427,207,121,427,549
East Tennessee State,1375,1921,0.435,781,0.379,584,0.69,276,1006,433,229,116,494,592
Eastern Illinois,1310,1896,0.453,770,0.384,631,0.705,348,1186,486,221,105,423,538
Eastern Kentucky,1265,1931,0.465,669,0.344,767,0.718,341,1288,466,210,116,568,602
Eastern Michigan,1295,1832,0.43,777,0.341,549,0.681,383,1108,534,216,98,446,570
Eastern Washington,1380,1940,0.452,766,0.38,672,0.717,272,1199,452,203,102,408,572
Elon,1290,1934,0.453,770,0.371,557,0.731,311,1171,454,219,64,342,510
Evansville,1295,1868,0.441,608,0.347,673,0.681,296,1219,374,179,93,400,604
Fairfield,1240,1625,0.46,579,0.366,652,0.704,279,1065,385,201,109,451,494
Fairleigh Dickinson,1420,2041,0.445,789,0.351,608,0.694,389,1186,473,218,116,508,632
Florida A&M,1245,1645,0.428,612,0.302,661,0.702,333,1079,353,212,88,459,524
Florida Atlantic,1335,1933,0.411,794,0.315,586,0.688,314,1177,395,248,77,442,555
Florida Gulf Coast,1280,1928,0.442,785,0.367,525,0.701,346,1138,485,225,103,445,542
Florida International,1360,2147,0.456,785,0.339,726,0.7,420,1465,502,239,147,667,700
Florida State,1500,2067,0.407,803,0.335,737,0.722,348,1223,369,203,113,529,682
Florida,1455,1916,0.421,730,0.316,644,0.693,390,1242,389,221,104,527,615
Fordham,1295,1725,0.432,633,0.327,634,0.697,295,1194,461,179,91,419,481
Fresno State,1285,1788,0.419,735,0.306,617,0.708,287,1092,389,181,103,438,576
Furman,1340,1951,0.419,749,0.316,455,0.679,352,1132,381,235,110,474,529
Gardner-Webb,1430,2101,0.415,951,0.326,579,0.718,393,1229,470,206,102,468,600
George Mason,1330,1894,0.439,740,0.32,580,0.669,313,1107,414,225,131,413,575
George Washington,1340,1925,0.441,773,0.356,582,0.658,334,1236,464,223,110,387,566
Georgetown,1355,2111,0.432,858,0.339,640,0.717,333,1198,494,252,115,404,641
Georgia Southern,1330,2033,0.442,782,0.327,615,0.707,347,1152,435,187,105,521,648
Georgia State,1360,2051,0.425,926,0.328,631,0.702,428,1336,512,169,108,512,595
Georgia Tech,1285,1848,0.4,697,0.297,643,0.689,376,1154,452,225,108,410,555
Georgia,1280,2004,0.426,717,0.332,600,0.7,385,1119,386,240,100,349,602
Gonzaga,1480,2256,0.389,787,0.304,584,0.697,382,1194,363,201,84,501,685
Grambling,1370,2003,0.39,723,0.299,820,0.678,384,1245,405,236,111,441,652
Grand Canyon,1370,1945,0.436,690,0.348,584,0.714,301,1152,368,185,101,465,658
Green Bay,1535,2432,0.445,969,0.335,773,0.708,433,1511,528,268,112,574,725
Hampton,1430,2180,0.425,865,0.331,741,0.714,357,1333,486,169,125,436,669
Hartford,1345,1911,0.453,763,0.338,577,0.726,343,1161,436,195,115,449,590
Harvard,1265,1756,0.435,669,0.341,593,0.708,256,979,375,233,84,381,540
Hawaii,1250,1727,0.448,597,0.34,562,0.676,250,1009,352,177,71,371,580
High Point,1255,1753,0.422,824,0.329,506,0.7,272,969,387,175,120,338,522
Hofstra,1440,2113,0.452,782,0.347,532,0.699,356,1154,512,162,91,450,671
Holy Cross,1335,1805,0.457,783,0.373,484,0.731,338,1190,465,188,92,479,473
Houston Baptist,1225,1805,0.491,618,0.401,625,0.739,287,1046,473,223,120,474,665
Houston,1480,2035,0.368,836,0.279,759,0.694,360,1236,374,195,81,452,639
Howard,1370,2093,0.435,800,0.348,777,0.722,412,1351,488,194,92,510,685
Idaho State,1200,1787,0.478,673,0.392,536,0.741,281,1032,454,155,78,311,483
Idaho,1285,1940,0.451,841,0.333,613,0.701,351,1161,507,204,89,304,522
Illinois-Chicago,1295,1887,0.419,713,0.341,781,0.72,359,1181,427,207,94,414,548
Illinois State,1330,1848,0.441,753,0.339,604,0.71,288,1160,457,195,85,407,518
Illinois,1335,1833,0.463,649,0.33,777,0.735,345,1203,452,193,121,516,612
Incarnate Word,1255,1682,0.492,667,0.361,621,0.738,303,965,441,239,89,417,543
Indiana State,1250,1709,0.451,640,0.341,635,0.724,273,1072,405,182,102,422,573
Indiana,1420,2057,0.419,785,0.331,601,0.649,363,1234,471,204,135,439,643
Iona,1320,2021,0.445,857,0.366,576,0.684,369,1249,499,178,118,437,617
Iowa State,1400,2097,0.418,822,0.336,495,0.717,388,1213,438,183,92,440,569
Iowa,1415,2104,0.448,866,0.324,606,0.69,363,1218,545,230,97,457,721
Purdue-Fort Wayne,1330,2093,0.454,811,0.37,501,0.707,334,1191,441,185,94,439,507
IUPUI,1320,1924,0.448,759,0.364,612,0.701,312,1083,451,231,139,460,621
Jackson State,1285,1651,0.42,610,0.349,725,0.698,277,1106,379,239,119,446,551
Jacksonville State,1345,1931,0.413,800,0.338,569,0.733,305,1102,390,217,84,494,600
Jacksonville,1285,1957,0.451,681,0.36,560,0.698,307,1141,403,230,114,432,547
James Madison,1350,1879,0.46,658,0.35,629,0.714,321,1097,461,190,105,374,557
Kansas State,1360,1728,0.415,741,0.314,531,0.674,279,1098,391,213,95,504,560
Kansas,1455,2201,0.408,921,0.336,612,0.686,385,1263,473,237,123,455,620
Kennesaw State,1285,1945,0.466,725,0.354,546,0.703,330,1223,510,231,123,392,527
Kent State,1330,1880,0.459,712,0.343,650,0.691,327,1139,442,192,106,451,566
Kentucky,1490,2134,0.4,824,0.343,572,0.705,337,1083,409,215,112,449,725
La Salle,1240,1698,0.456,564,0.342,702,0.715,297,1109,410,199,98,427,502
Lafayette,1220,1810,0.472,645,0.381,555,0.712,275,1075,381,189,68,335,469
Lamar,1340,1863,0.44,704,0.339,632,0.704,300,1054,492,210,118,523,676
Lehigh,1250,1967,0.43,835,0.338,599,0.733,329,1083,483,218,113,354,560
Liberty,1440,1894,0.417,713,0.324,588,0.677,300,1104,363,194,97,482,561
Lipscomb,1480,2227,0.417,875,0.319,614,0.749,303,1229,460,241,139,558,730
Cal State Long Beach,1375,2133,0.444,757,0.328,640,0.688,414,1331,459,262,117,490,721
Long Island University,1285,1944,0.423,634,0.33,680,0.709,356,1191,402,221,119,436,591
Longwood,1375,1932,0.417,950,0.337,626,0.757,290,1161,450,196,110,429,589
Louisiana,1290,1951,0.463,695,0.368,699,0.734,363,1215,411,202,95,485,624
Louisiana-Monroe,1425,2116,0.455,827,0.353,589,0.715,358,1205,471,195,126,433,634
Louisiana State,1435,2085,0.432,833,0.337,691,0.69,388,1200,405,225,113,508,670
Louisiana Tech,1335,1882,0.427,737,0.332,555,0.688,322,1174,453,185,114,439,612
Louisville,1380,2007,0.408,746,0.32,643,0.695,330,1176,392,195,117,380,652
Loyola (IL),1360,1749,0.437,683,0.363,409,0.709,223,992,395,194,140,448,523
Loyola Marymount,1360,1703,0.42,729,0.316,610,0.762,265,1007,470,196,123,488,629
Loyola (MD),1295,1819,0.487,646,0.393,588,0.77,291,1069,496,232,140,468,569
Maine,1310,1661,0.456,792,0.383,639,0.71,274,1064,490,230,77,418,493
Manhattan,1285,1499,0.434,627,0.362,683,0.709,287,1066,388,201,114,473,563
Marist,1250,1637,0.445,782,0.355,588,0.702,259,1015,409,175,99,395,541
Marquette,1375,2020,0.405,720,0.324,725,0.679,341,1146,418,236,102,402,644
Marshall,1495,2340,0.458,826,0.355,758,0.718,433,1551,476,239,96,591,639
Maryland-Baltimore County,1400,1774,0.418,874,0.331,566,0.714,266,1132,400,194,88,532,606
Maryland-Eastern Shore,1285,1725,0.456,766,0.371,636,0.684,329,1188,469,206,102,405,511
Maryland,1360,2005,0.397,790,0.319,534,0.723,315,1050,413,236,118,318,595
Massachusetts-Lowell,1290,1946,0.452,692,0.311,632,0.707,340,1126,411,230,111,419,615
Massachusetts,1290,1773,0.451,617,0.35,734,0.733,288,1037,479,213,114,371,565
McNeese State,1245,1839,0.456,735,0.359,493,0.732,318,1029,470,217,87,379,574
Memphis,1450,2169,0.423,855,0.322,814,0.701,404,1292,533,282,163,583,755
Mercer,1245,1772,0.44,832,0.347,591,0.675,345,1093,425,205,120,442,586
Miami (FL),1285,1888,0.451,744,0.349,428,0.727,326,1161,455,182,91,436,545
Miami (OH),1285,1813,0.432,745,0.333,603,0.692,269,1099,386,196,103,385,568
Michigan State,1570,2378,0.381,885,0.316,654,0.679,404,1238,470,243,117,398,694
Michigan,1480,2073,0.397,623,0.291,499,0.663,320,1273,377,147,121,434,557
Middle Tennessee,1280,1869,0.432,755,0.343,621,0.709,311,1118,424,245,104,394,508
Milwaukee,1245,1812,0.439,817,0.338,638,0.701,305,1125,426,179,107,326,481
Minnesota,1445,2107,0.438,714,0.34,594,0.692,353,1252,468,209,156,412,693
Mississippi State,1370,1937,0.438,708,0.357,622,0.715,342,1086,429,199,122,458,559
Mississippi Valley State,1285,1935,0.464,729,0.385,611,0.692,351,1281,484,191,132,394,604
Mississippi,1325,1869,0.445,644,0.374,627,0.705,332,1080,459,203,112,471,563
Missouri-Kansas City,1290,1774,0.465,644,0.363,649,0.704,326,1164,424,172,105,466,563
Missouri State,1285,1656,0.452,610,0.393,585,0.716,247,1013,389,183,96,460,595
Missouri,1290,1719,0.429,700,0.319,654,0.717,271,1011,370,193,117,386,568
Monmouth,1420,1879,0.419,966,0.358,812,0.7,343,1222,463,243,131,515,682
Montana State,1280,1908,0.484,849,0.375,552,0.703,273,1099,493,189,75,394,633
Montana,1405,1906,0.432,696,0.339,687,0.75,286,1094,373,195,97,472,612
Morehead State,1335,2029,0.455,759,0.36,569,0.742,361,1236,463,196,157,424,642
Morgan State,1210,1726,0.466,642,0.363,685,0.676,355,1208,429,172,161,530,574
Mount St. Mary's,1240,1804,0.445,701,0.352,604,0.72,331,1148,438,192,98,393,551
Murray State,1320,2014,0.411,713,0.286,552,0.719,376,1145,374,199,117,464,584
Navy,1240,1782,0.449,764,0.338,530,0.74,272,1053,496,229,134,352,532
Omaha,1290,1896,0.469,834,0.362,499,0.745,259,1083,432,148,110,389,493
Nebraska,1445,2080,0.421,714,0.332,613,0.708,413,1358,425,173,132,470,629
Nevada-Las Vegas,1250,1810,0.449,617,0.357,572,0.692,299,1054,402,196,76,380,584
Nevada,1360,1984,0.411,791,0.332,555,0.676,312,1186,421,158,85,461,717
New Hampshire,1160,1552,0.443,595,0.333,596,0.698,217,1080,288,156,76,340,453
New Mexico State,1405,1882,0.419,755,0.334,611,0.702,236,1003,309,174,66,460,715
New Mexico,1280,1925,0.451,648,0.355,708,0.686,319,1191,489,223,105,438,653
New Orleans,1345,1860,0.438,631,0.32,699,0.705,377,1180,443,262,139,577,599
Niagara,1285,1946,0.464,726,0.38,492,0.715,285,1154,458,181,99,365,576
Nicholls State,1250,1872,0.443,636,0.311,634,0.703,368,1239,458,150,101,426,435
NJIT,1410,2041,0.427,767,0.329,600,0.675,326,1247,439,195,120,444,649
Norfolk State,1460,2033,0.409,849,0.329,837,0.671,372,1308,474,175,118,562,683
North Alabama,1285,1806,0.453,668,0.347,698,0.702,273,1200,422,206,146,410,539
North Carolina-Asheville,1245,1702,0.476,743,0.365,593,0.712,346,1073,536,211,104,366,462
North Carolina A&T,1290,1855,0.426,687,0.32,579,0.706,388,1158,434,190,110,455,531
North Carolina Central,1365,1911,0.435,672,0.317,582,0.672,308,1045,442,198,123,450,550
North Carolina-Greensboro,1445,1981,0.438,766,0.346,628,0.707,348,1218,409,206,105,592,635
North Carolina State,1450,2037,0.441,699,0.309,790,0.704,362,1232,468,224,151,559,628
North Carolina-Wilmington,1335,1984,0.473,854,0.386,634,0.732,293,1109,455,206,76,342,594
North Carolina,1445,2248,0.416,985,0.335,639,0.679,321,1216,507,242,170,501,630
North Dakota State,1410,2043,0.461,721,0.362,529,0.749,284,1164,426,181,95,343,581
North Dakota,1200,1783,0.452,599,0.341,489,0.777,254,1054,348,211,65,382,495
North Florida,1325,2161,0.435,631,0.339,628,0.699,425,1261,525,304,105,428,523
North Texas,1325,1766,0.407,654,0.313,653,0.668,295,1095,352,215,132,451,531
Northeastern,1385,1931,0.46,694,0.337,536,0.735,272,1090,403,185,73,383,596
Northern Arizona,1250,1837,0.471,801,0.358,545,0.703,275,1113,468,171,89,363,544
Northern Colorado,1295,1842,0.45,572,0.367,502,0.719,266,1036,368,204,99,408,594
Northern Illinois,1375,1877,0.433,842,0.357,718,0.677,301,1138,455,171,99,434,558
Northern Iowa,1360,1803,0.44,691,0.337,571,0.72,244,1115,388,221,82,412,546
Northern Kentucky,1410,1987,0.42,778,0.314,692,0.72,317,1141,428,206,133,466,630
Northwestern State,1250,1827,0.433,684,0.363,652,0.687,377,1204,446,244,118,440,555
Northwestern,1290,1770,0.42,567,0.293,602,0.714,289,1157,420,184,104,385,547
Notre Dame,1320,2006,0.429,737,0.331,438,0.708,379,1287,423,163,95,359,530
Oakland,1325,2009,0.461,739,0.349,553,0.729,365,1180,516,212,97,401,628
Ohio State,1405,1929,0.422,722,0.327,613,0.741,308,1170,408,218,107,425,651
Ohio,1255,1861,0.436,727,0.358,572,0.706,300,1114,417,238,73,416,558
Oklahoma State,1285,1843,0.428,780,0.354,580,0.748,332,1154,435,188,108,379,525
Oklahoma,1365,2096,0.406,865,0.333,485,0.672,368,1253,424,225,125,408,586
