school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1255,1640,0.463,524,0.345,747,0.708,305,1004,407,205,128,431,576
Air Force,1210,1595,0.433,647,0.328,687,0.702,295,1016,404,208,128,354,559
Akron,1375,1868,0.433,517,0.335,675,0.716,368,1128,378,223,106,439,644
Alabama A&M,1215,1585,0.405,452,0.327,831,0.696,373,1141,291,197,93,413,588
Alabama-Birmingham,1255,1927,0.413,638,0.313,581,0.668,370,1129,399,215,127,345,617
Alabama State,1300,1779,0.444,529,0.314,692,0.695,375,1181,383,195,101,476,647
Alabama,1295,1736,0.419,575,0.308,698,0.744,384,1117,381,179,129,410,611
Albany (NY),1375,1848,0.419,676,0.349,537,0.723,329,1062,419,197,103,397,646
Alcorn State,1265,1684,0.43,524,0.342,667,0.711,339,1069,379,168,79,390,542
American,1325,1621,0.414,505,0.319,660,0.679,319,962,336,234,79,396,579
Appalachian State,1210,1644,0.464,486,0.368,670,0.667,303,1064,388,170,130,386,601
Arizona State,1345,1961,0.419,536,0.326,732,0.648,385,1251,387,184,135,394,658
Arizona,1540,2041,0.38,541,0.32,698,0.716,369,1181,347,178,118,471,699
Little Rock,1320,1775,0.428,717,0.35,869,0.693,347,1136,435,215,119,419,636
Arkansas-Pine Bluff,1240,1559,0.466,566,0.359,776,0.684,325,1082,453,233,131,514,567
Arkansas State,1315,1886,0.43,615,0.325,665,0.717,362,1172,360,195,91,421,650
Arkansas,1376,1983,0.408,615,0.346,852,0.697,473,1340,391,185,105,579,688
Army,1250,1755,0.46,541,0.384,621,0.72,343,1088,413,227,103,424,562
Auburn,1201,1615,0.43,566,0.387,787,0.694,343,1053,417,174,108,381,613
Austin Peay,1215,1817,0.461,651,0.359,622,0.736,364,1052,475,235,99,430,637
Ball State,1225,1671,0.46,476,0.332,738,0.702,302,996,412,258,110,339,577
Baylor,1540,2179,0.425,731,0.353,688,0.676,432,1200,566,203,108,394,728
Belmont,1440,1989,0.46,709,0.35,839,0.697,396,1177,458,260,112,517,740
Bethune-Cookman,1290,1604,0.454,545,0.354,850,0.709,372,1121,421,196,147,406,554
Binghamton,1215,1601,0.452,634,0.385,654,0.685,315,1074,442,222,104,394,605
Boise State,1380,1814,0.446,629,0.347,727,0.703,274,1025,385,156,114,397,639
Boston College,1305,1771,0.465,493,0.369,719,0.729,357,1067,393,177,92,303,589
Boston University,1420,1924,0.439,647,0.354,607,0.707,351,1203,447,179,107,478,563
Bowling Green State,1290,1740,0.411,570,0.349,650,0.652,353,1138,403,268,108,451,567
Bradley,1279,1614,0.436,631,0.326,700,0.713,319,1066,399,187,107,413,575
Brigham Young,1425,2175,0.43,764,0.339,810,0.712,382,1253,515,213,147,441,800
