school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1290,1759,0.438,657,0.326,743,0.707,313,1107,370,205,91,512,556
Air Force,1245,1686,0.463,726,0.397,553,0.712,274,1069,447,174,106,436,582
Akron,1295,1797,0.461,720,0.357,689,0.723,298,1106,423,202,114,410,554
Alabama A&M,1245,1844,0.478,595,0.383,549,0.687,340,1126,460,237,151,353,528
Alabama-Birmingham,1330,1952,0.424,853,0.342,513,0.696,301,1035,440,232,100,414,555
Alabama State,1245,1795,0.453,631,0.377,836,0.685,392,1232,418,207,119,401,590
Alabama,1440,2109,0.416,799,0.328,769,0.685,414,1277,427,237,134,473,718
Albany (NY),1280,1808,0.446,654,0.329,503,0.702,261,965,433,176,135,368,634
Alcorn State,1285,1867,0.433,766,0.347,716,0.704,363,1179,466,201,99,419,557
American,1205,1595,0.487,519,0.383,650,0.714,282,1059,412,208,108,413,499
Appalachian State,1340,1953,0.437,641,0.362,705,0.721,304,1177,406,219,104,430,686
Arizona State,1290,1919,0.438,766,0.342,628,0.718,357,1171,479,172,111,474,688
Arizona,1420,2047,0.435,729,0.358,638,0.734,310,1018,443,214,92,406,686
Little Rock,1300,1744,0.432,761,0.353,687,0.677,336,1130,436,173,115,436,529
Arkansas-Pine Bluff,1410,1919,0.433,690,0.329,858,0.711,445,1327,489,274,68,531,609
Arkansas State,1290,1852,0.492,642,0.382,641,0.711,318,1133,471,182,113,437,593
Arkansas,1415,2028,0.43,844,0.357,828,0.727,394,1264,477,167,125,490,680
Army,1205,1709,0.443,699,0.359,640,0.716,281,1092,406,200,108,427,467
Auburn,1360,1961,0.427,777,0.351,747,0.722,341,1207,439,207,111,516,700
Austin Peay,1370,1821,0.464,661,0.363,721,0.716,309,1107,408,200,130,549,720
Ball State,1295,1977,0.425,715,0.361,580,0.728,335,1160,419,222,113,384,608
Baylor,1375,2016,0.415,774,0.337,609,0.716,367,1091,499,197,142,400,613
Belmont,1320,1943,0.43,680,0.335,521,0.737,302,1068,380,202,90,382,572
Bethune-Cookman,1290,2080,0.425,700,0.33,780,0.7,396,1239,488,213,114,444,674
Binghamton,1245,1750,0.446,616,0.381,545,0.708,278,1085,430,177,83,372,495
Boise State,1300,1859,0.427,681,0.327,551,0.724,203,972,407,194,98,380,568
Boston College,1415,2109,0.445,855,0.361,571,0.744,336,1212,483,197,108,435,614
Boston University,1240,1762,0.45,711,0.354,533,0.728,303,1041,411,198,93,427,541
Bowling Green State,1305,1949,0.458,709,0.368,614,0.721,302,1168,457,200,114,404,653
Bradley,1320,1768,0.405,737,0.33,627,0.735,326,1094,430,209,87,447,627
Brigham Young,1415,1955,0.449,746,0.336,556,0.656,263,1100,454,212,101,444,639
Brown,1100,1558,0.476,557,0.368,631,0.707,247,959,366,182,126,388,562
Bryant,1245,1867,0.493,760,0.405,616,0.701,354,1236,500,202,132,394,528
Bucknell,1420,2138,0.426,677,0.331,738,0.695,360,1240,448,231,116,438,742
Buffalo,1455,2179,0.43,728,0.328,860,0.734,389,1313,415,207,135,496,657
Butler,1430,1954,0.449,735,0.373,689,0.743,278,1137,440,179,120,484,586
Cal Poly,1270,1790,0.456,594,0.384,593,0.745,307,1143,448,182,111,347,491
Cal State Bakersfield,1200,1597,0.425,693,0.352,664,0.702,291,1009,392,180,82,407,576
Cal State Fullerton,1290,1861,0.413,635,0.346,647,0.756,320,1074,396,180,114,413,627
Cal State Northridge,1215,1726,0.464,544,0.357,567,0.723,323,1104,428,176,110,333,487
UC-Davis,1360,1806,0.425,683,0.324,658,0.736,330,1134,419,207,113,506,664
UC-Irvine,1410,2006,0.389,699,0.328,803,0.696,332,1180,398,190,96,367,605
UC-Riverside,1245,1776,0.414,707,0.33,663,0.694,351,1195,409,209,104,432,586
UC-Santa Barbara,1285,1863,0.431,661,0.345,538,0.701,296,1081,443,116,81,368,567
University of California,1285,1807,0.471,706,0.399,689,0.721,316,1116,514,193,128,443,631
Campbell,1370,1933,0.445,694,0.339,633,0.719,308,1151,425,209,92,427,574
Canisius,1325,1825,0.448,645,0.321,686,0.733,334,1121,386,174,84,500,571
Central Arkansas,1425,2183,0.447,700,0.36,834,0.676,445,1405,500,251,107,509,688
Central Connecticut State,1305,1860,0.439,758,0.364,560,0.7,319,1029,425,218,78,360,562
Central Florida,1285,1790,0.401,608,0.331,469,0.721,321,1085,401,202,122,394,624
Central Michigan,1465,2173,0.445,913,0.348,567,0.725,378,1269,490,202,130,465,652
Charleston Southern,1260,1644,0.434,742,0.383,559,0.753,273,1021,410,184,98,484,518
Charlotte,1165,1762,0.478,625,0.37,566,0.71,289,1044,412,222,103,370,551
Chattanooga,1345,1880,0.48,649,0.351,525,0.747,283,1105,442,236,115,430,640
Chicago State,1280,1908,0.497,743,0.397,797,0.706,363,1250,583,208,145,454,607
Cincinnati,1440,1974,0.374,747,0.309,529,0.684,361,1127,361,179,106,514,654
Citadel,1290,2123,0.48,913,0.363,619,0.724,393,1382,617,246,135,542,595
Clemson,1410,2033,0.406,761,0.352,552,0.701,332,1172,401,199,126,413,617
Cleveland State,1410,2052,0.456,813,0.355,633,0.714,390,1335,528,184,115,490,588
Coastal Carolina,1290,1819,0.405,809,0.341,680,0.725,315,1053,419,224,69,384,620
Colgate,1320,1836,0.453,735,0.367,520,0.737,285,1128,437,169,101,431,560
College of Charleston,1385,1907,0.432,694,0.344,602,0.738,321,1149,410,140,110,403,617
Colorado State,1295,1918,0.458,842,0.359,677,0.705,321,1166,503,199,82,406,621
Colorado,1295,1909,0.423,743,0.357,649,0.703,312,1091,370,235,128,339,594
Columbia,1090,1608,0.45,715,0.376,505,0.733,275,1000,405,163,72,354,432
Connecticut,1300,1856,0.433,791,0.364,629,0.706,371,1176,440,163,97,400,543
Coppin State,1305,1897,0.427,732,0.337,713,0.725,379,1332,449,181,102,404,494
Cornell,1150,1785,0.453,663,0.389,516,0.725,316,1042,407,186,101,320,529
Creighton,1330,2093,0.433,785,0.332,512,0.721,303,1160,460,200,99,387,529
Dartmouth,1085,1552,0.466,631,0.349,386,0.782,233,901,378,167,78,337,458
Davidson,1335,1826,0.439,761,0.35,540,0.685,258,1042,417,158,83,352,525
Dayton,1260,1755,0.47,684,0.383,513,0.715,277,980,457,186,74,388,540
Delaware State,1300,1822,0.464,813,0.385,646,0.703,367,1146,478,240,106,410,488
Delaware,1330,1909,0.455,740,0.37,574,0.725,297,1139,453,176,99,338,605
Denver,1220,1719,0.434,746,0.335,618,0.723,250,929,330,199,87,335,554
DePaul,1245,1788,0.44,770,0.371,578,0.742,303,1083,463,219,93,447,557
Detroit Mercy,1285,1989,0.482,751,0.397,743,0.709,356,1230,525,210,140,434,582
Drake,1390,2076,0.451,784,0.337,504,0.708,322,1235,509,203,122,413,590
Drexel,1340,2054,0.462,672,0.366,636,0.706,371,1204,472,217,108,374,605
Duke,1490,2364,0.405,871,0.32,526,0.728,432,1216,537,210,97,453,671
Duquesne,1310,1771,0.453,573,0.335,645,0.693,309,1094,451,171,95,401,560
East Carolina,1215,1808,0.452,637,0.353,562,0.685,350,1108,476,199,102,360,482
East Tennessee State,1360,1929,0.403,783,0.319,622,0.699,352,1128,375,207,108,500,599
Eastern Illinois,1245,1696,0.436,643,0.383,551,0.715,308,1070,416,194,99,410,517
Eastern Kentucky,1245,1801,0.471,654,0.391,619,0.674,327,1106,475,217,106,412,556
Eastern Michigan,1415,2013,0.404,792,0.351,599,0.723,411,1244,516,240,107,506,591
Eastern Washington,1410,1983,0.446,673,0.358,711,0.719,289,1181,464,192,77,413,594
Elon,1320,2037,0.438,901,0.368,458,0.701,341,1224,420,208,95,327,498
Evansville,1285,1696,0.42,728,0.338,545,0.688,278,1025,400,229,136,437,594
Fairfield,1345,1946,0.455,690,0.393,716,0.707,317,1243,422,198,91,457,597
Fairleigh Dickinson,1240,1851,0.439,705,0.355,639,0.745,382,1144,454,207,89,451,564
Florida A&M,1385,2027,0.475,697,0.349,727,0.708,426,1329,475,213,111,458,593
Florida Atlantic,1245,1827,0.431,584,0.329,583,0.693,303,1167,371,201,89,393,466
Florida Gulf Coast,1400,2092,0.423,818,0.326,712,0.674,358,1151,452,245,96,494,620
Florida International,1310,1841,0.434,709,0.339,643,0.684,321,1257,431,155,112,467,563
Florida State,1420,2129,0.417,802,0.355,689,0.714,383,1228,432,204,104,494,658
Florida,1375,1946,0.428,650,0.352,629,0.731,362,1273,394,150,105,468,607
Fordham,1250,1738,0.464,584,0.351,528,0.686,334,1193,496,179,100,440,455
Fresno State,1295,1725,0.434,601,0.366,658,0.734,254,1001,378,158,96,432,646
Furman,1325,1905,0.433,708,0.316,550,0.702,319,1152,402,178,105,489,539
Gardner-Webb,1300,1839,0.434,752,0.34,639,0.712,295,1109,465,223,108,404,486
George Mason,1345,1994,0.451,788,0.353,614,0.686,322,1173,465,210,141,376,584
George Washington,1320,1891,0.453,642,0.357,532,0.707,330,1084,441,215,81,374,527
Georgetown,1235,1870,0.439,744,0.348,529,0.743,289,1009,459,213,103,377,570
Georgia Southern,1325,1916,0.426,758,0.323,661,0.663,383,1272,394,140,121,486,677
Georgia State,1415,1963,0.393,901,0.341,727,0.697,416,1296,457,174,117,501,577
Georgia Tech,1285,1791,0.429,599,0.379,569,0.715,331,1082,457,203,104,403,543
Georgia,1340,1975,0.394,743,0.332,547,0.729,363,1124,347,195,103,318,665
Gonzaga,1500,2178,0.409,777,0.35,633,0.716,316,1160,411,190,101,455,681
Grambling,1250,1820,0.435,657,0.318,778,0.679,357,1160,398,202,143,465,649
Grand Canyon,1370,1906,0.402,580,0.278,734,0.706,357,1238,328,203,81,511,746
Green Bay,1330,2087,0.431,811,0.312,631,0.71,372,1307,450,229,143,450,623
Hampton,1370,2175,0.42,786,0.328,761,0.682,409,1323,454,196,121,438,643
Hartford,1325,1869,0.439,767,0.342,622,0.669,322,1149,453,194,98,407,561
Harvard,1305,1718,0.422,682,0.342,606,0.736,250,1030,395,214,79,405,545
Hawaii,1215,1618,0.441,590,0.332,619,0.722,232,965,299,187,87,423,638
High Point,1205,1581,0.426,611,0.344,593,0.734,283,976,330,190,132,441,512
Hofstra,1245,1831,0.477,653,0.363,586,0.703,282,1042,432,185,90,362,608
Holy Cross,1250,1653,0.431,735,0.354,561,0.736,330,1074,425,196,66,399,469
Houston Baptist,1250,1895,0.481,687,0.394,687,0.76,313,1177,509,200,164,456,627
Houston,1400,1887,0.394,715,0.323,785,0.703,320,1126,386,175,92,457,648
