school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1240,1558,0.48,509,0.36,737,0.688,313,1113,375,180,125,452,527
Air Force,1245,1571,0.442,698,0.361,548,0.688,308,954,446,183,106,383,530
Akron,1406,1853,0.405,574,0.328,759,0.679,387,1223,366,242,96,443,591
Alabama A&M,1165,1581,0.452,464,0.325,652,0.627,360,1018,340,203,87,344,556
Alabama-Birmingham,1480,2083,0.424,667,0.325,685,0.685,435,1269,439,223,144,476,660
Alabama State,1165,1658,0.417,510,0.339,590,0.647,304,999,343,210,85,394,537
Alabama,1371,1790,0.411,663,0.324,701,0.706,377,1137,399,175,82,416,664
Albany (NY),1325,1657,0.421,690,0.362,502,0.701,274,964,380,158,116,408,618
Alcorn State,1280,1809,0.469,525,0.371,716,0.679,369,1200,417,164,107,396,567
American,1339,1552,0.455,505,0.343,513,0.678,294,983,361,167,91,416,562
Appalachian State,1160,1604,0.458,472,0.322,602,0.683,290,1014,364,180,93,332,556
Arizona State,1385,1821,0.451,519,0.362,621,0.697,274,1055,422,208,144,437,701
Arizona,1525,1951,0.398,615,0.335,728,0.698,285,1065,370,180,97,523,791
Little Rock,1275,1688,0.444,602,0.37,678,0.677,331,1143,390,145,86,419,578
Arkansas-Pine Bluff,1285,1583,0.445,569,0.369,773,0.673,392,1135,416,240,87,518,546
Arkansas State,1170,1681,0.426,586,0.333,583,0.671,342,1074,343,193,78,343,484
Arkansas,1450,2031,0.428,634,0.352,789,0.715,433,1281,448,206,104,567,696
Army,1215,1684,0.458,482,0.355,673,0.666,320,1064,423,206,107,404,561
Auburn,1415,1892,0.469,617,0.332,779,0.698,382,1297,451,235,153,513,760
Austin Peay,1200,1609,0.471,588,0.386,599,0.726,271,1029,417,240,94,424,591
Ball State,1226,1564,0.46,514,0.356,642,0.693,272,972,375,221,99,360,536
Baylor,1370,1836,0.402,653,0.3,583,0.645,376,1052,512,224,136,410,613
Belmont,1320,1889,0.452,692,0.344,539,0.712,330,1080,433,217,117,418,624
Bethune-Cookman,1280,1560,0.425,529,0.336,710,0.703,336,1009,353,205,102,401,583
Binghamton,1285,1666,0.447,639,0.372,579,0.684,326,1124,414,197,73,419,602
Boise State,1385,1754,0.416,632,0.309,558,0.699,279,1030,359,162,105,430,568
Boston College,1300,1682,0.441,529,0.335,689,0.72,321,1067,397,170,106,391,569
Boston University,1210,1620,0.451,654,0.37,535,0.712,267,928,455,160,80,322,553
Bowling Green State,1325,1764,0.413,663,0.33,573,0.7,336,1110,355,205,114,411,582
Bradley,1340,1559,0.428,589,0.358,701,0.686,295,1077,399,202,116,454,562
Brigham Young,1420,2052,0.436,666,0.327,793,0.7,370,1185,493,231,125,456,739
Brown,1245,1795,0.422,553,0.336,646,0.684,345,1079,379,248,135,348,638
Bryant,1255,1711,0.427,609,0.315,615,0.725,341,1072,384,201,111,333,519
Bucknell,1380,1841,0.442,548,0.37,696,0.74,279,1075,385,173,148,320,652
Buffalo,1320,1881,0.423,713,0.33,645,0.664,367,1163,392,204,109,448,698
Butler,1380,1785,0.415,610,0.307,595,0.682,281,1049,374,183,151,431,654
