school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1250,1662,0.477,486,0.346,735,0.707,266,1031,376,160,98,448,596
Air Force,1300,1823,0.43,843,0.344,667,0.708,326,1187,470,211,133,436,664
Akron,1405,2103,0.41,698,0.294,667,0.678,401,1315,393,206,80,408,630
Alabama A&M,1175,1599,0.454,520,0.323,637,0.662,307,1025,351,171,84,316,590
Alabama-Birmingham,1340,2017,0.417,712,0.327,589,0.693,390,1144,430,205,103,417,590
Alabama State,1260,1744,0.463,569,0.339,768,0.65,324,1170,404,187,106,400,548
Alabama,1330,1878,0.409,642,0.329,735,0.671,431,1259,370,189,96,402,647
Albany (NY),1335,1899,0.422,750,0.305,516,0.676,310,1027,404,177,131,428,695
Alcorn State,1225,1673,0.447,592,0.363,646,0.701,324,1038,384,205,95,357,583
American,1250,1568,0.469,473,0.311,628,0.667,284,992,362,225,75,370,530
Appalachian State,1240,1852,0.462,474,0.386,738,0.682,357,1157,373,197,116,349,673
Arizona State,1290,1812,0.458,633,0.354,690,0.7,302,1159,483,186,150,411,670
Arizona,1390,2067,0.413,646,0.316,606,0.713,320,1055,412,187,117,388,743
Little Rock,1415,1825,0.395,721,0.313,677,0.684,353,1190,377,140,96,486,609
Arkansas-Pine Bluff,1325,1701,0.439,557,0.323,913,0.71,408,1248,441,271,99,438,524
Arkansas State,1260,1983,0.399,737,0.351,757,0.676,401,1257,399,195,94,355,675
Arkansas,1305,1844,0.435,644,0.359,790,0.7,349,1187,447,165,140,454,658
Army,1350,2064,0.445,575,0.346,656,0.669,342,1230,417,235,111,402,646
Auburn,1245,1877,0.443,667,0.348,752,0.698,376,1270,439,187,122,400,656
Austin Peay,1460,2159,0.461,840,0.36,667,0.706,378,1236,524,252,108,478,765
Ball State,1430,1951,0.405,697,0.347,732,0.705,335,1189,399,230,75,397,638
Baylor,1375,1843,0.447,638,0.365,693,0.7,314,1011,598,223,134,463,666
Belmont,1285,1977,0.442,689,0.351,725,0.72,370,1137,420,229,100,390,665
Bethune-Cookman,1295,1923,0.432,672,0.339,647,0.683,428,1258,478,173,86,389,582
Binghamton,1205,1675,0.435,606,0.337,576,0.693,298,1108,397,211,84,372,553
Boise State,1290,1765,0.445,669,0.35,631,0.7,264,1054,388,169,105,472,675
Boston College,1285,1732,0.46,587,0.382,641,0.686,302,1175,467,234,110,415,504
Boston University,1375,2009,0.436,744,0.332,681,0.686,346,1184,486,217,90,406,628
Bowling Green State,1360,1978,0.431,745,0.373,685,0.691,350,1208,379,207,103,403,684
Bradley,1290,1675,0.44,544,0.346,866,0.665,288,1121,397,247,99,374,647
Brigham Young,1485,2269,0.416,863,0.333,725,0.716,359,1340,509,205,136,487,728
Brown,1140,1726,0.439,613,0.356,617,0.686,338,1092,401,217,97,324,551
Bryant,1250,1880,0.447,759,0.331,589,0.727,378,1217,480,215,114,346,501
Bucknell,1265,1824,0.427,654,0.35,747,0.671,321,1067,447,218,132,404,663
Buffalo,1410,2098,0.432,755,0.339,790,0.716,378,1273,458,197,117,464,720
Butler,1325,1879,0.435,683,0.338,672,0.71,309,1082,414,152,145,432,670
Cal Poly,1220,1720,0.46,547,0.389,658,0.696,287,1102,455,152,99,326,566
Cal State Bakersfield,1330,1764,0.395,605,0.327,747,0.688,347,1128,339,177,108,499,657
Cal State Fullerton,1205,1753,0.429,677,0.352,664,0.73,307,1096,436,162,118,341,611
Cal State Northridge,1225,1815,0.44,600,0.387,630,0.684,348,1150,462,196,113,415,628
UC-Davis,1225,1710,0.413,632,0.31,517,0.716,296,1057,409,223,103,408,566
UC-Irvine,1535,2210,0.383,815,0.334,745,0.733,403,1325,530,204,93,441,716
UC-Riverside,1320,1861,0.428,583,0.34,713,0.715,321,1136,428,208,115,392,608
UC-Santa Barbara,1325,1842,0.4,764,0.3,750,0.691,340,1178,410,171,95,403,545
University of California,1375,1989,0.397,527,0.347,745,0.709,327,1126,369,172,100,329,693
Campbell,1205,1708,0.458,538,0.368,649,0.676,314,1109,357,180,76,404,596
Canisius,1355,1872,0.476,718,0.38,730,0.726,353,1228,526,175,114,455,663
Central Arkansas,1120,1729,0.469,618,0.387,669,0.722,303,1028,443,196,114,324,553
Central Connecticut State,1175,1775,0.475,580,0.359,542,0.69,309,1096,444,204,114,299,495
Central Florida,1210,1925,0.415,671,0.323,482,0.689,367,1089,440,224,92,277,552
Central Michigan,1325,1938,0.444,665,0.347,646,0.693,367,1232,418,141,82,355,611
Charleston Southern,1210,1708,0.458,658,0.368,624,0.713,267,1101,410,173,118,376,513
Charlotte,1340,1994,0.482,672,0.393,617,0.721,314,1200,438,189,117,441,595
Chattanooga,1410,1967,0.44,711,0.331,584,0.68,344,1133,442,226,132,494,692
Chicago State,1280,1821,0.454,763,0.381,787,0.68,366,1287,552,215,133,469,560
Cincinnati,1355,1907,0.393,672,0.357,515,0.68,373,1136,380,169,109,446,575
Citadel,1285,2050,0.513,642,0.352,900,0.702,413,1440,551,218,130,536,645
Clemson,1250,1725,0.419,583,0.352,492,0.707,327,1060,375,157,88,357,557
Cleveland State,1285,1662,0.444,587,0.341,751,0.656,336,1121,436,203,102,431,562
Coastal Carolina,1325,1980,0.394,820,0.304,591,0.655,366,1181,390,197,91,362,599
Colgate,1220,1599,0.459,595,0.373,664,0.685,301,1043,384,166,108,386,530
College of Charleston,1250,1548,0.424,535,0.323,660,0.658,274,1056,312,165,103,441,571
Colorado State,1400,2037,0.451,804,0.352,703,0.721,305,1176,470,206,103,357,774
Colorado,1370,2038,0.418,596,0.356,716,0.686,322,1140,357,254,153,371,698
Columbia,1415,1916,0.439,737,0.355,659,0.687,311,1155,454,161,108,449,635
Connecticut,1460,2032,0.386,736,0.326,719,0.661,393,1242,409,184,129,431,592
Coppin State,1280,1872,0.471,602,0.369,799,0.642,399,1283,461,176,123,429,647
Cornell,1130,1723,0.444,613,0.359,602,0.736,370,1198,458,156,106,407,512
Creighton,1400,2088,0.432,705,0.346,700,0.696,341,1230,459,224,111,441,698
Dartmouth,1130,1505,0.45,611,0.347,635,0.663,271,934,362,189,133,409,570
Davidson,1325,2059,0.459,727,0.347,617,0.703,373,1294,464,183,106,378,643
Dayton,1335,1882,0.404,693,0.349,618,0.667,299,1113,417,161,96,412,649
Delaware State,1290,1821,0.434,769,0.322,740,0.684,435,1311,478,189,100,425,569
Delaware,1205,1800,0.436,850,0.348,574,0.707,311,1099,489,189,120,275,606
Denver,1240,1480,0.454,521,0.37,642,0.759,276,945,367,177,87,440,549
DePaul,1245,1711,0.442,675,0.364,766,0.74,317,1034,466,206,98,377,606
Detroit Mercy,1245,1869,0.461,681,0.351,848,0.712,330,1107,447,195,125,414,694
Drake,1255,1805,0.452,594,0.369,543,0.698,297,1031,375,188,130,302,585
Drexel,1245,1600,0.461,520,0.363,759,0.685,285,1107,382,160,109,365,598
Duke,1450,2244,0.445,665,0.34,568,0.681,456,1322,523,163,126,427,761
Duquesne,1370,2141,0.417,820,0.401,803,0.702,387,1277,582,210,99,394,645
East Carolina,1305,1911,0.447,752,0.331,511,0.673,370,1161,540,204,116,402,525
East Tennessee State,1455,2107,0.434,786,0.333,827,0.719,393,1307,426,228,116,471,700
Eastern Illinois,1220,1722,0.445,634,0.334,666,0.704,364,1161,419,184,77,410,595
Eastern Kentucky,1240,1814,0.461,668,0.376,755,0.699,367,1101,514,206,82,467,666
Eastern Michigan,1330,1956,0.421,790,0.349,778,0.692,441,1262,482,199,108,529,725
Eastern Washington,1360,1966,0.485,536,0.368,743,0.692,322,1161,496,195,113,395,654
Elon,1285,1980,0.446,606,0.361,638,0.668,356,1218,396,204,128,377,621
Evansville,1370,1962,0.405,635,0.324,580,0.736,314,1101,406,194,120,436,718
Fairfield,1345,2072,0.435,748,0.337,706,0.693,438,1342,454,193,88,459,636
Fairleigh Dickinson,1335,1901,0.457,698,0.354,888,0.695,417,1285,487,209,118,510,638
Florida A&M,1190,1691,0.441,587,0.33,644,0.686,324,1143,339,221,84,434,597
Florida Atlantic,1325,1928,0.457,484,0.355,715,0.709,373,1280,418,198,142,378,564
Florida Gulf Coast,1435,2128,0.412,763,0.304,713,0.683,385,1235,415,234,111,422,663
Florida International,1300,1900,0.408,729,0.325,665,0.684,366,1111,411,190,103,320,566
Florida State,1365,1981,0.442,733,0.362,728,0.688,342,1140,447,180,103,458,668
Florida,1445,2109,0.412,679,0.343,752,0.678,405,1364,413,192,125,471,732
Fordham,1255,1622,0.449,637,0.334,651,0.705,268,1008,458,209,91,485,559
Fresno State,1420,1929,0.421,761,0.331,859,0.697,368,1275,430,161,108,529,700
Furman,1400,1874,0.435,683,0.346,688,0.679,326,1099,402,230,97,449,673
Gardner-Webb,1335,1887,0.445,692,0.347,741,0.717,341,1216,431,213,103,462,609
George Mason,1290,1957,0.423,682,0.353,587,0.712,277,1107,406,175,124,221,589
George Washington,1530,2228,0.428,795,0.33,601,0.722,378,1245,443,221,135,451,770
Georgetown,1335,1839,0.412,571,0.349,907,0.722,343,1142,408,205,90,371,636
Georgia Southern,1250,1763,0.437,713,0.33,769,0.692,374,1232,379,148,127,463,598
Georgia State,1220,1559,0.409,639,0.321,646,0.726,307,1047,373,158,92,425,545
Georgia Tech,1445,2107,0.442,643,0.32,667,0.715,346,1131,436,169,98,352,637
Georgia,1370,1976,0.39,782,0.331,812,0.702,392,1217,385,213,132,365,713
Gonzaga,1445,2167,0.396,717,0.298,610,0.702,359,1159,370,210,107,370,701
Grambling,1250,1681,0.432,623,0.329,677,0.666,327,1116,400,204,111,425,572
Grand Canyon,1365,1938,0.424,702,0.322,675,0.661,334,1169,368,206,129,458,743
Green Bay,1455,2255,0.449,765,0.363,807,0.714,432,1458,512,215,162,609,790
Hampton,1305,1934,0.427,641,0.335,696,0.723,324,1169,347,183,133,393,688
Hartford,1345,1948,0.471,672,0.344,794,0.656,415,1389,504,174,109,438,625
Harvard,1205,1720,0.406,609,0.305,563,0.712,307,1026,364,217,76,346,546
Hawaii,1365,1910,0.4,669,0.303,748,0.717,321,1124,366,198,91,498,769
High Point,1290,1787,0.454,679,0.345,573,0.702,337,1060,381,168,110,467,606
