school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1260,1545,0.432,517,0.298,728,0.734,271,1036,297,211,114,616,616
Air Force,1280,1809,0.464,883,0.375,530,0.711,232,1040,462,200,88,366,605
Akron,1240,1886,0.4,636,0.303,540,0.669,355,1137,318,187,85,410,618
Alabama A&M,1165,1640,0.456,575,0.323,582,0.656,267,1115,376,184,123,370,511
Alabama-Birmingham,1240,1737,0.416,711,0.333,474,0.713,263,947,342,213,100,379,538
Alabama State,1240,1726,0.457,595,0.331,658,0.655,296,1120,396,230,110,448,607
Alabama,1260,2002,0.425,695,0.312,718,0.741,382,1233,369,263,124,435,629
Albany (NY),1285,1876,0.42,732,0.343,523,0.694,287,1104,430,246,109,409,574
Alcorn State,1170,1718,0.447,594,0.332,606,0.65,290,1024,405,212,85,405,492
American,1205,1668,0.447,526,0.319,612,0.698,296,1031,356,179,96,411,472
Appalachian State,1245,1772,0.424,717,0.322,471,0.715,309,1099,417,208,81,446,593
Arizona State,1240,1796,0.428,686,0.331,615,0.681,318,1182,388,203,119,508,569
Arizona,1250,1739,0.394,654,0.318,608,0.727,286,1042,356,146,97,446,591
Little Rock,1240,1769,0.424,687,0.346,595,0.696,310,1002,377,210,99,430,650
Arkansas-Pine Bluff,1205,1577,0.432,589,0.309,744,0.679,291,981,387,289,76,425,523
Arkansas State,1290,1725,0.456,605,0.344,716,0.725,300,1082,437,193,67,449,668
Arkansas,1260,1748,0.429,578,0.273,711,0.699,338,1191,316,152,94,498,663
Army,1210,1821,0.44,758,0.352,436,0.67,271,1073,411,189,101,356,442
Auburn,1270,1840,0.413,667,0.325,623,0.717,319,1090,346,207,97,418,656
Austin Peay,1325,1841,0.468,626,0.361,594,0.692,303,1093,448,201,80,493,643
Ball State,1240,1766,0.401,593,0.307,496,0.685,275,1075,305,196,82,421,507
Baylor,1205,1618,0.397,566,0.311,498,0.687,306,1002,339,174,146,456,549
Belmont,1320,2033,0.416,704,0.33,495,0.64,336,1210,398,191,97,473,478
Bethune-Cookman,1215,1811,0.424,626,0.276,701,0.656,347,1151,385,215,91,471,582
Binghamton,1165,1810,0.455,692,0.335,525,0.653,330,1136,420,183,83,287,430
Boise State,1305,1819,0.447,710,0.299,534,0.717,235,1050,365,192,74,442,641
Boston College,1245,1780,0.443,661,0.331,537,0.713,326,1176,410,209,99,456,521
Boston University,1335,1883,0.439,667,0.331,495,0.673,275,1091,375,214,90,389,528
Bowling Green State,1250,1898,0.42,726,0.329,621,0.686,314,1183,318,177,96,367,531
Bradley,1370,1939,0.395,839,0.316,592,0.752,318,1138,400,196,99,412,591
Brigham Young,1255,1817,0.44,608,0.311,503,0.692,259,1042,373,190,75,400,487
Brown,1080,1560,0.43,568,0.329,451,0.721,252,948,323,211,110,377,524
Bryant,1285,1942,0.413,706,0.31,586,0.679,348,1190,404,210,110,386,537
Bucknell,1360,1865,0.461,620,0.324,714,0.692,293,1194,425,234,107,471,546
Buffalo,1250,1963,0.434,673,0.314,584,0.728,347,1182,403,209,119,454,552
Butler,1245,1692,0.395,642,0.33,523,0.719,272,945,349,174,96,360,512
Cal Poly,1235,1668,0.453,598,0.371,710,0.724,289,1105,412,195,95,402,549
Cal State Bakersfield,1265,1564,0.426,640,0.361,741,0.721,252,957,350,159,88,415,530
Cal State Fullerton,1265,1779,0.44,575,0.334,626,0.727,279,1127,381,189,102,402,590
Cal State Northridge,1280,1960,0.463,796,0.383,569,0.715,352,1189,491,162,101,406,583
California Baptist,1255,1900,0.418,625,0.302,576,0.682,296,1048,385,189,105,335,604
UC-Davis,1290,1752,0.461,676,0.34,610,0.721,284,1051,469,196,90,445,562
UC-Irvine,1280,1827,0.388,631,0.35,641,0.702,294,965,343,175,85,375,520
UC-Riverside,1285,1712,0.404,563,0.352,521,0.685,233,968,343,178,85,346,503
UC-Santa Barbara,1245,1673,0.449,597,0.35,483,0.71,247,917,354,141,76,374,588
University of California,1255,1688,0.433,649,0.362,626,0.738,276,1033,380,153,112,358,554
Campbell,1245,1641,0.44,551,0.309,642,0.702,284,1044,312,200,65,429,463
Canisius,1240,1717,0.455,617,0.348,601,0.696,304,1082,372,214,88,477,544
Central Arkansas,1270,1989,0.448,740,0.372,690,0.716,341,1171,479,291,99,432,656
Central Connecticut State,1240,1854,0.46,734,0.368,607,0.695,355,1220,473,226,131,404,503
Central Florida,1210,1731,0.42,637,0.317,509,0.749,324,1068,422,205,77,429,537
Central Michigan,1245,1877,0.459,740,0.376,515,0.713,301,1167,427,202,106,512,602
Charleston Southern,1295,1846,0.46,680,0.335,539,0.701,312,1194,452,220,86,420,504
Charlotte,1175,1570,0.441,626,0.319,433,0.677,219,908,347,201,100,398,485
Chattanooga,1325,1893,0.446,693,0.315,507,0.696,266,1087,387,185,103,390,554
Chicago State,1160,1674,0.481,665,0.397,673,0.74,292,1001,486,243,57,341,544
Cincinnati,1240,1788,0.398,621,0.337,522,0.73,324,1024,361,201,117,421,574
Citadel,1215,1948,0.455,838,0.341,534,0.702,321,1155,460,230,80,418,520
Clemson,1215,1634,0.412,713,0.327,480,0.715,247,1042,354,197,73,408,484
Cleveland State,1290,1800,0.43,685,0.337,720,0.721,371,1156,425,225,151,457,621
Coastal Carolina,1280,1857,0.423,829,0.344,812,0.73,329,1090,442,235,100,446,609
Colgate,1325,1962,0.433,762,0.307,476,0.666,310,1159,421,181,95,405,527
College of Charleston,1240,1745,0.425,660,0.327,554,0.742,316,1116,377,155,99,373,531
Colorado State,1300,1915,0.443,815,0.342,458,0.725,268,1055,432,201,81,404,613
Colorado,1250,1775,0.412,567,0.337,453,0.711,260,973,336,225,91,409,574
Columbia,1215,1818,0.451,711,0.332,452,0.675,268,1158,402,169,119,343,445
Connecticut,1280,1756,0.415,524,0.33,608,0.738,326,1086,364,215,121,483,596
Coppin State,1250,1952,0.418,794,0.334,590,0.683,359,1308,473,210,85,458,525
Cornell,1095,1521,0.448,599,0.351,473,0.715,262,947,373,153,95,340,411
Creighton,1245,1928,0.42,738,0.314,444,0.698,350,1147,413,150,100,383,511
Dartmouth,1170,1619,0.417,698,0.324,465,0.637,216,964,338,172,72,323,449
Davidson,1230,1658,0.433,614,0.332,542,0.71,248,976,361,154,85,345,510
Dayton,1255,1769,0.411,588,0.33,547,0.644,305,981,343,167,83,400,556
Delaware State,1210,1805,0.469,739,0.348,777,0.708,320,1194,467,245,103,433,550
Delaware,1285,1874,0.428,724,0.345,535,0.753,296,1049,404,212,79,370,529
Denver,1250,1787,0.447,776,0.322,677,0.756,269,1112,386,193,80,395,590
DePaul,1250,1788,0.413,756,0.34,637,0.741,339,1147,430,246,115,501,563
Detroit Mercy,1245,1876,0.459,736,0.363,596,0.723,332,1142,536,197,108,374,557
Drake,1365,1901,0.422,765,0.367,561,0.74,257,1087,389,224,90,416,552
Drexel,1325,1911,0.45,578,0.313,557,0.758,296,1083,388,253,108,368,569
Duke,1260,1879,0.417,501,0.299,580,0.671,330,1067,367,225,121,464,588
Duquesne,1215,1728,0.425,637,0.301,505,0.659,319,1046,389,189,90,414,531
East Carolina,1250,1762,0.428,753,0.337,708,0.669,289,1080,427,216,98,413,587
East Tennessee State,1320,1747,0.425,666,0.303,571,0.704,282,1026,345,197,98,522,642
Eastern Illinois,1290,1835,0.423,607,0.351,610,0.733,321,1149,395,192,93,490,551
Eastern Kentucky,1320,1951,0.452,687,0.317,694,0.732,383,1349,481,230,109,603,576
Eastern Michigan,1240,1672,0.407,797,0.345,487,0.676,326,1107,434,199,79,519,585
Eastern Washington,1250,1897,0.427,614,0.34,605,0.707,311,1144,446,223,99,446,582
Elon,1325,1770,0.441,728,0.356,734,0.748,264,1159,410,193,97,390,576
Evansville,1310,1834,0.472,541,0.355,597,0.747,270,1152,358,177,80,377,591
Fairfield,1260,1641,0.42,605,0.347,507,0.716,258,989,353,190,95,387,563
Fairleigh Dickinson,1210,1782,0.449,724,0.343,551,0.701,335,1079,451,200,93,384,477
Florida A&M,1105,1515,0.461,533,0.306,624,0.678,288,999,343,206,100,422,546
Florida Atlantic,1255,1783,0.44,686,0.338,521,0.699,272,1086,367,203,72,463,512
Florida Gulf Coast,1295,1798,0.423,668,0.338,542,0.69,323,1130,373,241,98,436,457
Florida International,1245,1924,0.422,678,0.286,582,0.734,408,1212,390,240,93,509,500
Florida State,1250,1708,0.406,687,0.317,588,0.733,321,1019,309,165,89,516,530
Florida,1250,1699,0.421,605,0.326,573,0.729,290,983,346,170,76,400,557
Fordham,1215,1583,0.402,743,0.304,531,0.684,272,1120,393,203,81,413,477
Fresno State,1225,1722,0.418,707,0.358,499,0.752,277,1025,371,173,70,314,504
Furman,1290,1795,0.437,742,0.309,455,0.716,301,1105,430,201,86,517,510
Gardner-Webb,1315,1890,0.422,799,0.333,579,0.712,337,1131,446,191,88,399,539
George Mason,1245,1753,0.436,659,0.316,541,0.665,306,1052,384,203,114,400,567
George Washington,1260,1795,0.45,537,0.33,556,0.683,291,1098,365,218,113,327,534
Georgetown,1240,1883,0.434,791,0.365,500,0.732,324,1084,477,228,99,421,592
Georgia Southern,1240,1851,0.434,674,0.309,525,0.71,328,1179,409,181,75,493,590
Georgia State,1250,1805,0.401,644,0.286,824,0.726,373,1147,374,198,115,497,550
Georgia Tech,1250,1800,0.399,590,0.285,637,0.711,327,1046,372,240,112,428,560
Georgia,1260,1921,0.454,672,0.327,591,0.662,344,1111,410,202,105,407,555
Gonzaga,1245,1918,0.419,648,0.318,409,0.689,268,965,352,196,91,425,598
Grambling,1240,1774,0.409,694,0.327,639,0.679,302,1027,428,205,89,462,589
Grand Canyon,1210,1765,0.441,714,0.356,521,0.727,296,1048,429,163,74,334,547
Green Bay,1295,2041,0.44,817,0.346,644,0.748,380,1235,464,183,83,471,591
Hampton,1370,2090,0.447,805,0.349,784,0.694,391,1272,503,188,101,386,687
Hartford,1285,1892,0.411,733,0.277,558,0.695,369,1225,417,208,96,422,545
Harvard,1180,1676,0.409,590,0.331,524,0.693,269,967,302,203,72,374,541
Hawaii,1205,1680,0.44,449,0.339,534,0.723,259,1006,281,184,95,399,556
High Point,1290,1779,0.462,823,0.389,635,0.68,294,1051,498,222,114,395,608
Hofstra,1280,1905,0.445,687,0.304,410,0.729,322,1091,460,185,76,440,586
Holy Cross,1295,1904,0.493,639,0.372,601,0.7,300,1137,449,235,100,343,463
Houston Baptist,1165,1898,0.517,638,0.384,697,0.74,328,1070,555,249,133,381,575
Houston,1245,1652,0.383,653,0.286,688,0.69,284,991,342,160,70,379,593
Howard,1255,1926,0.471,728,0.357,669,0.683,407,1252,553,191,79,429,534
Idaho State,1175,1696,0.488,468,0.323,440,0.752,249,921,344,175,94,332,547
Idaho,1245,1850,0.45,722,0.327,511,0.689,283,1067,441,217,91,347,514
Illinois-Chicago,1325,1956,0.406,750,0.292,699,0.677,367,1186,451,218,92,414,547
Illinois State,1245,1744,0.444,685,0.337,539,0.724,284,1084,413,206,83,417,477
Illinois,1245,1825,0.415,602,0.332,426,0.723,285,991,351,179,100,359,577
Incarnate Word,1260,1783,0.455,624,0.343,602,0.754,338,1121,476,206,113,448,528
Indiana State,1205,1618,0.447,595,0.319,527,0.698,248,987,377,153,82,382,543
Indiana,1245,1739,0.422,668,0.325,569,0.682,266,991,375,191,103,381,587
Iona,1095,1578,0.432,623,0.372,533,0.647,309,951,401,185,76,353,463
Iowa State,1245,1846,0.451,686,0.362,510,0.688,347,1117,412,225,91,454,512
Iowa,1240,1895,0.43,758,0.321,507,0.726,338,1095,479,192,115,384,589
Purdue-Fort Wayne,1280,1812,0.449,756,0.341,509,0.709,248,1067,432,203,94,422,485
IUPUI,1290,2013,0.463,781,0.367,570,0.721,372,1248,512,228,125,406,567
Jackson State,1240,1648,0.433,541,0.342,699,0.707,281,1096,370,180,100,503,544
Jacksonville State,1285,1812,0.451,690,0.326,516,0.692,268,1041,438,209,99,453,523
Jacksonville,1295,1894,0.404,736,0.3,533,0.713,306,1100,340,214,101,344,508
James Madison,1200,1850,0.443,774,0.351,528,0.727,290,1142,430,174,102,350,536
Kansas State,1245,1596,0.43,641,0.331,634,0.7,307,1071,362,233,121,511,551
Kansas,1245,1815,0.377,750,0.305,423,0.674,308,991,361,199,111,407,526
Kennesaw State,1160,1670,0.483,630,0.371,508,0.659,295,1099,419,185,116,365,507
Kent State,1260,1811,0.415,665,0.34,603,0.725,335,1099,390,161,67,444,540
Kentucky,1250,1819,0.394,697,0.307,583,0.688,333,1006,335,155,98,372,607
La Salle,1215,1670,0.429,623,0.3,669,0.716,291,1067,394,247,119,427,533
Lafayette,1240,1909,0.427,683,0.312,424,0.679,313,1094,355,178,60,297,432
Lamar,1250,1833,0.433,692,0.345,491,0.695,361,1146,438,221,109,534,579
Lehigh,1290,1869,0.441,789,0.33,598,0.717,291,1081,460,221,110,385,494
Liberty,1360,1697,0.387,667,0.294,462,0.693,237,995,294,157,60,408,548
Lipscomb,1285,1883,0.44,761,0.35,493,0.684,307,1111,405,192,125,398,499
Cal State Long Beach,1290,1943,0.442,790,0.349,577,0.711,359,1184,499,256,83,462,589
Long Island University,1340,2114,0.44,761,0.334,591,0.711,383,1312,476,210,115,462,592
Longwood,1300,1765,0.431,760,0.347,605,0.679,275,1157,437,194,107,449,583
Louisiana,1285,1928,0.448,716,0.335,628,0.739,333,1160,433,224,91,445,605
Louisiana-Monroe,1165,1639,0.418,622,0.315,550,0.709,305,1009,359,175,75,333,489
Louisiana State,1250,1941,0.423,804,0.345,512,0.688,341,1035,397,178,102,368,549
Louisiana Tech,1210,1676,0.398,667,0.312,524,0.702,305,1027,332,150,93,444,489
Louisville,1250,1772,0.389,727,0.301,514,0.73,287,1000,326,187,100,365,528
Loyola (IL),1295,1677,0.441,726,0.368,392,0.668,237,973,399,198,114,502,570
Loyola Marymount,1285,1660,0.439,753,0.327,630,0.737,273,939,428,215,109,393,576
Loyola (MD),1290,1932,0.439,763,0.325,619,0.724,337,1141,475,215,101,412,643
Maine,1250,1708,0.424,768,0.319,549,0.754,290,1044,394,235,73,385,476
Manhattan,1170,1475,0.421,490,0.351,687,0.686,285,1037,352,187,89,438,556
Marist,1185,1505,0.419,647,0.342,593,0.727,244,1015,365,191,68,405,489
Marquette,1220,1839,0.412,642,0.322,641,0.665,305,1051,394,202,92,329,582
Marshall,1245,1927,0.404,640,0.328,716,0.691,407,1273,314,260,88,484,479
Maryland-Baltimore County,1285,1789,0.408,799,0.32,551,0.744,295,1109,373,207,94,431,574
Maryland-Eastern Shore,1250,1730,0.446,666,0.338,638,0.691,321,1238,422,228,110,466,465
Maryland,1240,1831,0.399,698,0.325,444,0.698,298,1055,400,170,110,362,588
Massachusetts-Lowell,1295,1947,0.463,702,0.338,549,0.714,331,1118,440,215,104,429,626
Massachusetts,1250,1762,0.457,560,0.33,590,0.695,317,1120,449,220,68,439,559
McNeese State,1250,1916,0.43,763,0.355,527,0.742,345,1011,445,242,92,429,566
Memphis,1250,1891,0.361,690,0.28,662,0.687,381,1137,358,238,93,461,604
