school,srs,sos,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga,year,rec,arec
Abilene Christian,-17.2,-6.34,63.74193548387097,70.51612903225806,40.0,54.32258064516129,0.413,19.677419354838708,0.38,15.709677419354838,0.727,8.838709677419354,28.93548387096774,12.709677419354838,6.548387096774194,1.2258064516129032,12.870967741935484,21.322580645161292,40.0,50.25806451612903,0.48,16.419354838709676,0.36,23.774193548387096,0.688,10.096774193548388,35.903225806451616,12.096774193548388,5.806451612903226,4.032258064516129,14.580645161290322,17.0,65.9,96.7,0.289,0.36200000000000004,0.516,44.6,56.7,9.9,3.6,0.48200000000000004,17.2,25.5,0.21,65.9,106.9,0.473,0.327,0.573,55.4,50.1,8.8,11.6,0.539,19.2,33.4,0.325,2015,0.3225806451612903,0.06666666666666667
Air Force,-1.85,-0.71,65.70967741935483,65.06451612903226,40.16129032258065,50.483870967741936,0.474,20.161290322580644,0.371,15.709677419354838,0.659,8.548387096774194,30.0,15.580645161290322,6.290322580645161,2.096774193548387,11.806451612903226,17.806451612903224,40.16129032258065,50.67741935483871,0.442,22.516129032258064,0.361,17.677419354838708,0.688,9.935483870967742,30.774193548387096,14.387096774193548,5.903225806451613,3.4193548387096775,12.35483870967742,17.096774193548388,61.1,107.1,0.311,0.39899999999999997,0.5670000000000001,49.4,65.1,10.3,7.4,0.5479999999999999,16.9,29.1,0.205,61.1,106.0,0.349,0.444,0.551,50.6,64.3,9.6,11.3,0.522,17.3,31.7,0.24,2015,0.45161290322580644,0.08333333333333333
Akron,3.65,-0.47,68.05714285714286,62.94285714285714,40.17142857142857,56.628571428571426,0.41600000000000004,26.771428571428572,0.35,17.62857142857143,0.6579999999999999,12.0,35.68571428571428,12.428571428571429,6.571428571428571,4.428571428571429,12.057142857142857,18.685714285714287,40.17142857142857,52.94285714285714,0.405,16.4,0.32799999999999996,21.685714285714287,0.679,11.057142857142857,34.94285714285714,10.457142857142857,6.914285714285715,2.742857142857143,12.657142857142857,16.885714285714286,64.7,104.8,0.311,0.473,0.523,50.5,52.8,10.1,12.1,0.498,15.6,33.4,0.205,64.7,96.9,0.41,0.31,0.498,49.5,48.8,10.6,9.2,0.455,16.7,31.8,0.278,2015,0.6,0.18181818181818182
Alabama A&M,-17.15,-9.62,61.96551724137931,68.55172413793103,40.172413793103445,52.86206896551724,0.397,19.896551724137932,0.28800000000000003,22.17241379310345,0.645,12.655172413793103,34.41379310344828,12.206896551724139,5.689655172413793,2.3448275862068964,14.241379310344827,19.75862068965517,40.172413793103445,54.51724137931034,0.452,16.0,0.325,22.482758620689655,0.627,12.413793103448276,35.10344827586207,11.724137931034482,7.0,3.0,11.862068965517242,19.17241379310345,64.5,95.6,0.419,0.376,0.489,49.5,58.2,8.8,6.1,0.451,18.3,35.8,0.271,64.5,105.7,0.41200000000000003,0.293,0.526,50.5,47.6,10.8,9.1,0.499,15.4,36.3,0.259,2015,0.3103448275862069,0.29411764705882354
Alabama-Birmingham,1.94,1.62,68.77777777777777,68.11111111111111,41.111111111111114,56.72222222222222,0.428,16.86111111111111,0.33299999999999996,19.86111111111111,0.738,12.055555555555555,36.72222222222222,14.333333333333334,6.583333333333333,5.111111111111111,13.38888888888889,17.5,41.111111111111114,57.861111111111114,0.424,18.52777777777778,0.325,19.02777777777778,0.685,12.083333333333334,35.25,12.194444444444445,6.194444444444445,4.0,13.222222222222221,18.333333333333332,65.9,101.5,0.35,0.297,0.52,51.0,59.1,9.7,13.0,0.47700000000000004,16.8,34.2,0.259,65.9,100.5,0.32899999999999996,0.32,0.509,49.0,49.7,9.1,10.0,0.47600000000000003,16.5,32.9,0.225,2015,0.5588235294117647,0.2222222222222222
Alabama State,-8.97,-12.71,72.06896551724138,66.79310344827586,40.172413793103445,59.93103448275862,0.43799999999999994,16.551724137931036,0.358,21.0,0.65,13.413793103448276,39.689655172413794,13.551724137931034,6.344827586206897,4.206896551724138,13.689655172413794,17.93103448275862,40.172413793103445,57.172413793103445,0.41700000000000004,17.586206896551722,0.33899999999999997,20.344827586206897,0.647,10.482758620689655,34.44827586206897,11.827586206896552,7.241379310344827,2.9310344827586206,13.586206896551724,18.517241379310345,69.8,102.9,0.35,0.276,0.515,53.5,51.6,9.1,10.6,0.48700000000000004,16.4,35.9,0.228,69.8,95.3,0.35600000000000004,0.308,0.5,46.5,49.6,10.3,6.8,0.469,16.9,28.5,0.23,2015,0.6551724137931034,0.6153846153846154
Alabama,10.52,8.09,67.05882352941177,64.11764705882354,40.3235294117647,50.705882352941174,0.441,20.5,0.317,22.11764705882353,0.7170000000000001,9.558823529411764,33.0,10.294117647058824,6.4411764705882355,3.676470588235294,11.970588235294118,19.235294117647058,40.3235294117647,52.64705882352941,0.41100000000000003,19.5,0.324,20.61764705882353,0.706,11.088235294117647,33.44117647058823,11.735294117647058,5.147058823529412,2.411764705882353,12.235294117647058,19.529411764705884,63.1,105.4,0.436,0.40399999999999997,0.5479999999999999,49.7,46.1,10.1,11.1,0.505,16.4,30.0,0.313,63.1,100.8,0.392,0.37,0.513,50.3,54.3,8.1,8.0,0.47100000000000003,16.4,32.1,0.27699999999999997,2015,0.5588235294117647,0.3333333333333333
Albany (NY),-0.34,-5.18,65.33333333333333,60.484848484848484,40.15151515151515,50.484848484848484,0.43799999999999994,17.333333333333332,0.358,19.696969696969695,0.758,10.121212121212121,33.666666666666664,10.575757575757576,5.666666666666667,1.606060606060606,11.545454545454545,16.484848484848484,40.15151515151515,50.21212121212121,0.42100000000000004,20.90909090909091,0.36200000000000004,15.212121212121213,0.701,8.303030303030303,29.21212121212121,11.515151515151516,4.787878787878788,3.515151515151515,12.363636363636363,18.727272727272727,61.2,106.4,0.39,0.34299999999999997,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.29600000000000004,61.2,98.5,0.303,0.41600000000000004,0.527,46.5,54.5,7.8,10.6,0.496,17.7,26.1,0.212,2015,0.75,0.75
Alcorn State,-20.75,-9.95,64.5625,74.28125,40.0,58.25,0.38799999999999996,17.28125,0.28,22.0,0.6579999999999999,11.75,32.4375,8.90625,5.96875,2.6875,11.46875,17.84375,40.0,56.53125,0.469,16.40625,0.371,22.375,0.679,11.53125,37.5,13.03125,5.125,3.34375,12.375,17.71875,68.2,94.6,0.37799999999999995,0.297,0.47,46.4,39.4,8.7,6.7,0.43,14.3,31.2,0.248,68.2,108.9,0.396,0.29,0.5529999999999999,53.6,49.2,7.5,8.2,0.523,15.6,35.8,0.26899999999999996,2015,0.1875,0.0625
American,-3.56,-3.71,58.72727272727273,58.57575757575758,40.57575757575758,44.81818181818182,0.462,17.303030303030305,0.373,15.424242424242424,0.705,5.696969696969697,25.060606060606062,12.363636363636363,5.9393939393939394,2.5454545454545454,11.212121212121213,14.666666666666666,40.57575757575758,47.03030303030303,0.455,15.303030303030303,0.34299999999999997,15.545454545454545,0.6779999999999999,8.909090909090908,29.78787878787879,10.93939393939394,5.0606060606060606,2.757575757575758,12.606060606060606,17.03030303030303,57.1,101.5,0.344,0.386,0.563,45.7,59.7,10.3,8.0,0.534,17.7,21.4,0.243,57.1,101.2,0.331,0.325,0.5379999999999999,54.3,51.1,8.7,10.0,0.511,18.8,31.5,0.22399999999999998,2015,0.5151515151515151,0.35
