school,srs,sos,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga,year,rec,arec
Virginia Commonwealth,14.55,4.78,74.97142857142858,65.2,40.57142857142857,62.74285714285714,0.42,21.257142857142856,0.349,22.057142857142857,0.674,13.685714285714285,37.628571428571426,13.114285714285714,11.17142857142857,4.285714285714286,12.085714285714285,19.6,40.57142857142857,53.4,0.43200000000000005,16.02857142857143,0.303,21.2,0.6679999999999999,10.542857142857143,36.714285714285715,11.2,5.914285714285715,4.142857142857143,18.228571428571428,19.285714285714285,70.4,105.0,0.35200000000000004,0.33899999999999997,0.512,50.6,49.8,15.6,11.5,0.479,14.2,34.3,0.237,70.4,91.3,0.397,0.3,0.514,49.4,48.5,8.3,10.0,0.478,22.3,30.6,0.265,2014,0.7428571428571429,0.5454545454545454
VMI,-5.53,-6.33,88.25714285714285,82.6,40.857142857142854,69.74285714285715,0.446,27.485714285714284,0.325,24.057142857142857,0.713,14.371428571428572,41.48571428571429,14.028571428571428,7.257142857142857,6.228571428571429,10.6,18.885714285714286,40.857142857142854,67.91428571428571,0.439,18.65714285714286,0.337,23.62857142857143,0.7070000000000001,14.485714285714286,42.4,13.6,5.628571428571429,3.8857142857142857,12.885714285714286,19.314285714285713,75.8,113.9,0.345,0.39399999999999996,0.544,49.5,45.1,9.4,12.6,0.51,11.6,34.0,0.24600000000000002,75.8,106.6,0.348,0.275,0.522,50.5,45.6,7.3,9.2,0.485,14.0,34.8,0.24600000000000002,2014,0.6285714285714286,0.4375
Virginia Tech,1.9,5.99,62.903225806451616,67.0,40.483870967741936,52.87096774193548,0.406,19.225806451612904,0.361,20.161290322580644,0.648,10.838709677419354,36.70967741935484,10.903225806451612,3.2580645161290325,4.548387096774194,12.64516129032258,16.903225806451612,40.483870967741936,57.645161290322584,0.40299999999999997,23.322580645161292,0.326,19.322580645161292,0.6659999999999999,10.806451612903226,34.16129032258065,12.96774193548387,6.161290322580645,3.7096774193548385,8.387096774193548,17.677419354838708,63.6,97.8,0.381,0.364,0.504,51.8,50.8,5.1,13.3,0.47100000000000003,16.8,31.7,0.247,63.6,104.2,0.335,0.405,0.501,48.2,55.8,9.6,11.0,0.47,11.2,29.5,0.223,2014,0.2903225806451613,0.1111111111111111
Virginia,18.38,7.86,66.1891891891892,55.67567567567568,40.16216216216216,50.91891891891892,0.45399999999999996,15.108108108108109,0.369,21.405405405405407,0.6729999999999999,10.243243243243244,35.45945945945946,13.08108108108108,5.216216216216216,4.054054054054054,9.783783783783784,16.054054054054053,40.16216216216216,50.67567567567568,0.38799999999999996,17.0,0.32299999999999995,16.45945945945946,0.662,8.675675675675675,29.324324324324323,10.08108108108108,5.162162162162162,3.4054054054054053,11.162162162162161,18.27027027027027,60.6,108.8,0.42,0.297,0.542,54.7,56.6,8.6,12.0,0.508,13.8,33.2,0.28300000000000003,60.6,91.6,0.325,0.335,0.47600000000000003,45.3,51.3,8.5,9.5,0.442,16.0,25.6,0.215,2014,0.8235294117647058,0.625
Wagner,-3.83,-6.73,71.51612903225806,68.45161290322581,40.32258064516129,59.645161290322584,0.42,16.29032258064516,0.335,21.903225806451612,0.73,13.03225806451613,39.38709677419355,11.483870967741936,6.290322580645161,6.451612903225806,12.741935483870968,20.451612903225808,40.32258064516129,57.516129032258064,0.391,18.516129032258064,0.3,25.129032258064516,0.711,12.258064516129032,36.96774193548387,10.225806451612904,6.32258064516129,4.032258064516129,13.096774193548388,18.419354838709676,69.5,102.1,0.36700000000000005,0.273,0.51,51.6,45.9,9.0,16.5,0.465,15.4,34.5,0.268,69.5,97.7,0.43700000000000006,0.322,0.493,48.4,45.4,9.0,9.3,0.44,15.9,31.7,0.311,2014,0.6129032258064516,0.5333333333333333
Wake Forest,5.49,6.73,69.6969696969697,70.93939393939394,40.121212121212125,52.72727272727273,0.451,15.303030303030303,0.32899999999999996,26.393939393939394,0.65,10.181818181818182,34.63636363636363,13.333333333333334,5.484848484848484,4.0,12.424242424242424,19.272727272727273,40.121212121212125,58.15151515151515,0.42700000000000005,18.03030303030303,0.314,22.666666666666668,0.69,12.454545454545455,35.90909090909091,12.727272727272727,6.696969696969697,3.6363636363636362,11.333333333333334,20.90909090909091,67.5,103.0,0.501,0.29,0.534,49.1,56.1,8.1,10.0,0.498,16.0,30.3,0.325,67.5,104.8,0.39,0.31,0.515,50.9,51.3,9.9,9.7,0.47600000000000003,14.1,33.7,0.26899999999999996,2014,0.5151515151515151,0.1
Washington State,1.34,7.24,62.38709677419355,67.12903225806451,40.32258064516129,52.67741935483871,0.4,23.0,0.32799999999999996,19.225806451612904,0.6579999999999999,9.935483870967742,32.774193548387096,10.483870967741936,5.129032258064516,2.870967741935484,11.451612903225806,18.225806451612904,40.32258064516129,50.645161290322584,0.452,16.483870967741936,0.368,22.419354838709676,0.6829999999999999,8.64516129032258,33.58064516129032,11.419354838709678,5.645161290322581,2.6774193548387095,11.064516129032258,17.70967741935484,63.0,98.2,0.365,0.43700000000000006,0.505,49.4,49.7,8.1,8.4,0.47200000000000003,15.6,28.5,0.24,63.0,105.7,0.44299999999999995,0.325,0.5479999999999999,50.6,49.9,8.9,9.0,0.511,15.3,27.5,0.303,2014,0.3225806451612903,0.09090909090909091
Washington,6.26,6.45,74.5,74.6875,40.3125,58.46875,0.446,17.25,0.33899999999999997,21.71875,0.758,11.0625,34.53125,13.34375,5.375,2.875,11.40625,19.3125,40.3125,56.5,0.475,15.3125,0.318,23.40625,0.6920000000000001,9.65625,33.0,12.0625,5.46875,4.0625,11.25,18.59375,68.6,107.7,0.371,0.295,0.542,51.1,51.1,7.8,7.0,0.496,14.2,32.2,0.282,68.6,108.0,0.414,0.271,0.552,48.9,45.0,7.9,9.9,0.518,14.3,29.2,0.287,2014,0.53125,0.2727272727272727
Weber State,-0.92,-4.23,72.70967741935483,66.48387096774194,40.645161290322584,49.70967741935484,0.475,18.258064516129032,0.392,24.741935483870968,0.741,8.548387096774194,34.354838709677416,13.129032258064516,4.225806451612903,3.967741935483871,12.32258064516129,18.0,40.645161290322584,56.87096774193548,0.42700000000000005,13.0,0.33299999999999996,19.322580645161292,0.703,10.03225806451613,31.06451612903226,11.451612903225806,5.225806451612903,2.032258064516129,9.387096774193548,20.096774193548388,64.3,111.3,0.498,0.36700000000000005,0.5920000000000001,52.5,55.6,6.5,9.0,0.547,16.7,28.9,0.369,64.3,101.8,0.34,0.22899999999999998,0.503,47.5,47.1,8.0,6.5,0.465,12.4,28.0,0.239,2014,0.6333333333333333,0.38461538461538464
West Virginia,11.78,8.02,77.15151515151516,73.39393939393939,40.303030303030305,59.78787878787879,0.439,20.545454545454547,0.381,23.363636363636363,0.721,11.909090909090908,35.63636363636363,13.090909090909092,6.242424242424242,3.0,9.787878787878787,20.727272727272727,40.303030303030305,56.75757575757576,0.447,19.333333333333332,0.345,23.636363636363637,0.677,11.424242424242424,36.24242424242424,13.212121212121213,4.666666666666667,4.0606060606060606,12.757575757575758,20.303030303030305,68.5,111.8,0.391,0.344,0.544,49.6,49.9,9.0,8.0,0.504,12.1,32.4,0.282,68.5,106.3,0.41600000000000004,0.341,0.54,50.4,52.1,6.8,10.3,0.506,15.8,32.5,0.282,2014,0.5151515151515151,0.25
Western Carolina,-6.75,-6.43,74.23529411764706,72.61764705882354,40.61764705882353,60.029411764705884,0.425,20.764705882352942,0.35100000000000003,22.176470588235293,0.716,13.558823529411764,36.05882352941177,12.205882352941176,7.294117647058823,4.852941176470588,12.147058823529411,22.323529411764707,40.61764705882353,52.38235294117647,0.449,16.647058823529413,0.33399999999999996,28.529411764705884,0.703,10.558823529411764,34.5,11.617647058823529,6.0,2.6176470588235294,13.764705882352942,18.470588235294116,68.1,107.4,0.369,0.34600000000000003,0.526,51.1,47.8,10.5,13.6,0.486,14.7,36.2,0.265,68.1,105.0,0.545,0.318,0.551,48.9,49.4,8.7,6.7,0.502,17.3,31.9,0.38299999999999995,2014,0.5588235294117647,0.3125
Western Illinois,-7.55,-2.74,61.266666666666666,62.666666666666664,40.333333333333336,48.9,0.455,13.933333333333334,0.34,18.166666666666668,0.664,7.933333333333334,30.466666666666665,12.433333333333334,6.0,2.9,13.333333333333334,18.433333333333334,40.333333333333336,49.36666666666667,0.42200000000000004,16.233333333333334,0.335,21.766666666666666,0.715,8.766666666666667,31.0,11.366666666666667,7.1,2.9,12.233333333333333,17.366666666666667,62.5,97.1,0.37200000000000005,0.285,0.532,49.6,55.9,9.5,8.8,0.503,18.8,26.3,0.247,62.5,99.4,0.441,0.32899999999999996,0.525,50.4,54.6,11.3,8.3,0.47700000000000004,17.0,28.0,0.315,2014,0.3333333333333333,0.07142857142857142
Western Kentucky,-1.47,-1.34,68.625,67.5625,40.46875,55.1875,0.414,21.8125,0.337,23.59375,0.6559999999999999,12.53125,36.59375,11.28125,5.15625,2.4375,13.5625,19.0,40.46875,53.15625,0.43200000000000005,16.0,0.35200000000000004,22.34375,0.716,9.4375,33.15625,10.625,6.875,4.375,13.03125,19.65625,66.6,101.8,0.428,0.395,0.517,52.5,49.3,7.6,6.6,0.48100000000000004,17.0,34.6,0.28,66.6,100.2,0.42,0.301,0.53,47.5,46.3,10.2,13.1,0.485,17.0,28.2,0.301,2014,0.625,0.5
Western Michigan,1.73,-1.45,71.9090909090909,67.72727272727273,40.60606060606061,51.03030303030303,0.46299999999999997,17.96969696969697,0.32899999999999996,25.939393939393938,0.7240000000000001,9.787878787878787,34.63636363636363,11.393939393939394,5.878787878787879,3.3636363636363638,14.06060606060606,18.242424242424242,40.60606060606061,57.06060606060606,0.41100000000000003,22.060606060606062,0.309,19.727272727272727,0.713,11.666666666666666,32.81818181818182,12.272727272727273,7.212121212121212,3.303030303030303,12.636363636363637,21.181818181818183,66.5,106.5,0.508,0.35200000000000004,0.568,51.3,48.3,8.7,9.6,0.52,18.2,31.6,0.368,66.5,100.3,0.34600000000000003,0.387,0.51,48.7,52.4,10.7,10.0,0.47,16.0,32.0,0.24600000000000002,2014,0.71875,0.5
Wichita State,16.65,1.74,75.16666666666667,59.47222222222222,40.138888888888886,53.94444444444444,0.461,19.805555555555557,0.35100000000000003,25.444444444444443,0.725,11.63888888888889,38.361111111111114,13.63888888888889,6.861111111111111,5.111111111111111,10.38888888888889,16.97222222222222,40.138888888888886,53.083333333333336,0.39,19.0,0.308,18.72222222222222,0.65,9.416666666666666,30.97222222222222,9.88888888888889,4.722222222222222,2.5833333333333335,12.083333333333334,20.88888888888889,64.5,116.1,0.47200000000000003,0.36700000000000005,0.569,55.3,54.8,10.6,15.0,0.526,13.6,35.1,0.342,64.5,91.9,0.353,0.358,0.48,44.7,47.7,7.3,7.6,0.446,16.3,26.1,0.22899999999999998,2014,1.0,1.1
William & Mary,-1.48,-2.29,73.125,71.28125,40.15625,52.375,0.47600000000000003,22.03125,0.39899999999999997,20.84375,0.6940000000000001,7.8125,31.0625,13.96875,5.53125,3.25,10.34375,16.21875,40.15625,56.84375,0.45899999999999996,18.6875,0.375,16.8125,0.7190000000000001,10.09375,33.8125,12.09375,5.8125,3.125,10.3125,17.96875,64.7,112.6,0.39799999999999996,0.42100000000000004,0.5870000000000001,47.9,56.0,8.5,8.5,0.56,14.2,24.8,0.276,64.7,109.8,0.29600000000000004,0.32899999999999996,0.55,52.1,46.3,9.0,10.3,0.521,13.7,30.3,0.213,2014,0.625,0.5714285714285714
Winthrop,-6.43,-6.56,74.0,71.36363636363636,40.75757575757576,55.84848484848485,0.445,20.78787878787879,0.397,22.454545454545453,0.713,10.090909090909092,32.484848484848484,11.454545454545455,6.393939393939394,2.696969696969697,12.484848484848484,19.666666666666668,40.75757575757576,53.36363636363637,0.461,17.181818181818183,0.36200000000000004,22.727272727272727,0.701,9.848484848484848,34.15151515151515,12.121212121212121,6.333333333333333,4.242424242424242,14.212121212121213,18.87878787878788,67.4,107.7,0.402,0.37200000000000005,0.556,48.7,46.0,9.3,7.5,0.519,15.8,29.3,0.28600000000000003,67.4,103.8,0.426,0.322,0.556,51.3,49.3,9.2,12.1,0.519,18.1,30.5,0.299,2014,0.6060606060606061,0.3333333333333333
Wisconsin,19.69,10.19,73.5,64.0,40.13157894736842,53.13157894736842,0.45899999999999996,20.789473684210527,0.376,22.657894736842106,0.746,8.868421052631579,33.31578947368421,12.31578947368421,4.815789473684211,3.3421052631578947,8.078947368421053,15.105263157894736,40.13157894736842,56.18421052631579,0.429,14.210526315789474,0.341,15.236842105263158,0.722,9.210526315789474,31.894736842105264,9.578947368421053,4.2368421052631575,2.763157894736842,9.736842105263158,20.07894736842105,63.3,115.7,0.426,0.391,0.575,51.1,50.5,7.6,8.0,0.5329999999999999,11.2,28.1,0.318,63.3,100.7,0.271,0.253,0.505,48.9,39.8,6.7,8.5,0.47200000000000003,13.3,27.4,0.196,2014,0.7878787878787878,0.6666666666666666
