school,srs,sos,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga,year,rec,arec
Abilene Christian,-1.91,-7.34,73.58823529411765,63.55882352941177,40.294117647058826,56.205882352941174,0.469,19.41176470588235,0.38,18.88235294117647,0.7120000000000001,9.558823529411764,32.64705882352941,15.441176470588236,8.735294117647058,2.735294117647059,11.970588235294118,18.676470588235293,40.294117647058826,51.088235294117645,0.434,17.0,0.33,18.91176470588235,0.722,8.676470588235293,32.294117647058826,10.470588235294118,5.647058823529412,2.7058823529411766,16.470588235294116,17.41176470588235,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8.0,0.535,15.5,28.8,0.239,67.2,93.8,0.37,0.33299999999999996,0.529,49.7,47.3,8.3,7.4,0.488,21.5,27.3,0.267,2019,0.8181818181818182,0.7692307692307693
Air Force,-4.28,0.24,68.09375,71.6875,40.625,55.5,0.452,22.21875,0.32899999999999996,15.71875,0.6779999999999999,7.90625,33.65625,13.5625,4.8125,1.78125,13.21875,16.96875,40.625,56.875,0.451,26.28125,0.35600000000000004,16.25,0.679,8.0625,33.53125,13.84375,7.21875,2.71875,12.0625,17.1875,67.4,99.5,0.28300000000000003,0.4,0.541,50.1,54.1,7.0,5.8,0.517,17.4,23.7,0.192,67.4,104.7,0.28600000000000003,0.462,0.555,49.9,54.0,10.5,8.2,0.5329999999999999,15.7,23.8,0.19399999999999998,2019,0.4375,0.25
Akron,4.86,1.09,68.81818181818181,63.84848484848485,40.15151515151515,59.03030303030303,0.409,28.151515151515152,0.32,16.333333333333332,0.705,9.454545454545455,36.484848484848484,12.090909090909092,5.606060606060606,3.212121212121212,11.757575757575758,17.242424242424242,40.15151515151515,58.15151515151515,0.396,22.242424242424242,0.293,17.242424242424242,0.654,11.212121212121213,39.15151515151515,10.393939393939394,5.666666666666667,2.696969696969697,13.212121212121213,17.515151515151516,68.5,100.1,0.27699999999999997,0.47700000000000004,0.515,48.2,50.1,8.2,8.9,0.485,15.0,25.3,0.195,68.5,92.9,0.297,0.382,0.48100000000000004,51.8,45.1,8.2,8.7,0.452,16.6,29.3,0.19399999999999998,2019,0.5151515151515151,0.09090909090909091
Alabama A&M,-19.23,-8.38,60.5625,71.40625,40.46875,56.53125,0.40700000000000003,18.0625,0.315,14.15625,0.627,9.8125,32.25,12.03125,7.3125,1.5625,15.21875,18.34375,40.46875,54.0625,0.469,20.78125,0.353,21.0,0.637,10.40625,36.1875,13.5625,7.6875,3.40625,14.3125,14.46875,67.5,88.7,0.25,0.32,0.479,47.1,52.3,10.7,4.7,0.457,19.4,27.6,0.157,67.5,104.5,0.38799999999999996,0.384,0.5579999999999999,52.9,53.5,11.3,8.9,0.537,18.3,31.7,0.247,2019,0.15625,0.0
Alabama-Birmingham,0.36,-1.52,70.57142857142857,67.71428571428571,40.285714285714285,57.22857142857143,0.452,19.82857142857143,0.337,18.0,0.6729999999999999,10.485714285714286,36.542857142857144,11.457142857142857,6.228571428571429,2.342857142857143,11.4,16.514285714285716,40.285714285714285,56.0,0.414,24.942857142857143,0.34,17.6,0.732,8.857142857142858,32.82857142857143,12.685714285714285,5.085714285714285,3.142857142857143,12.028571428571428,16.057142857142857,66.6,105.2,0.315,0.34600000000000003,0.536,52.7,44.3,9.3,7.5,0.511,14.8,30.4,0.212,66.6,100.9,0.314,0.445,0.526,47.3,54.7,7.6,8.4,0.49,15.7,25.4,0.23,2019,0.5714285714285714,0.5
Alabama State,-15.6,-7.84,67.29032258064517,72.09677419354838,40.32258064516129,56.903225806451616,0.40399999999999997,21.70967741935484,0.321,22.06451612903226,0.652,11.774193548387096,35.29032258064516,10.096774193548388,6.548387096774194,3.2903225806451615,14.548387096774194,18.225806451612904,40.32258064516129,55.87096774193548,0.455,20.580645161290324,0.34,20.161290322580644,0.7070000000000001,10.451612903225806,36.774193548387096,13.741935483870968,7.225806451612903,3.3225806451612905,15.161290322580646,20.032258064516128,69.6,95.9,0.38799999999999996,0.382,0.499,49.0,44.0,9.3,9.3,0.465,17.8,30.9,0.253,69.6,102.8,0.361,0.368,0.551,51.0,54.1,10.3,9.4,0.518,18.8,30.8,0.255,2019,0.3870967741935484,0.1875
Alabama,9.45,9.01,72.0,71.55882352941177,40.14705882352941,57.205882352941174,0.44,21.11764705882353,0.34,21.735294117647058,0.6659999999999999,11.294117647058824,37.794117647058826,12.294117647058824,4.617647058823529,4.705882352941177,13.676470588235293,16.823529411764707,40.14705882352941,60.205882352941174,0.435,19.705882352941178,0.33299999999999996,17.794117647058822,0.711,10.294117647058824,34.85294117647059,11.294117647058824,6.5,4.235294117647059,11.823529411764707,18.941176470588236,69.8,102.8,0.38,0.369,0.5329999999999999,52.0,48.8,6.6,11.6,0.503,16.8,31.5,0.253,69.8,102.1,0.29600000000000004,0.327,0.521,48.0,43.1,9.3,11.7,0.489,14.7,28.0,0.21,2019,0.5294117647058824,0.3333333333333333
Albany (NY),-9.38,-6.7,67.1875,69.25,40.625,54.6875,0.41600000000000004,24.6875,0.34700000000000003,17.625,0.745,9.1875,33.78125,12.5625,6.09375,2.4375,14.1875,17.6875,40.625,56.15625,0.449,21.96875,0.36,16.65625,0.655,9.40625,34.125,14.4375,6.4375,3.6875,12.6875,17.375,66.7,99.2,0.322,0.451,0.5329999999999999,49.7,55.2,9.0,7.1,0.494,18.4,27.1,0.24,66.7,102.3,0.297,0.391,0.54,50.3,57.2,9.5,12.3,0.519,16.5,27.7,0.19399999999999998,2019,0.375,0.375
Alcorn State,-22.08,-8.97,64.35483870967742,70.7741935483871,40.16129032258065,55.516129032258064,0.41200000000000003,20.838709677419356,0.327,17.516129032258064,0.674,10.774193548387096,34.806451612903224,12.612903225806452,7.387096774193548,3.4516129032258065,15.870967741935484,17.677419354838708,40.16129032258065,56.25806451612903,0.44799999999999995,21.193548387096776,0.312,19.967741935483872,0.687,9.870967741935484,34.903225806451616,15.774193548387096,7.903225806451613,2.6774193548387095,13.35483870967742,16.032258064516128,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213,68.8,102.5,0.355,0.377,0.5379999999999999,50.1,62.5,11.4,7.7,0.507,16.9,29.1,0.244,2019,0.3225806451612903,0.0
American,-4.19,-7.23,72.03333333333333,69.0,40.666666666666664,54.833333333333336,0.474,19.466666666666665,0.325,19.633333333333333,0.698,8.366666666666667,33.8,13.4,7.366666666666666,4.366666666666666,12.866666666666667,17.333333333333332,40.666666666666664,56.96666666666667,0.43700000000000006,17.333333333333332,0.292,19.833333333333332,0.713,9.566666666666666,33.3,12.5,6.366666666666666,3.2666666666666666,12.2,17.533333333333335,67.7,104.6,0.358,0.355,0.561,50.4,51.5,10.7,11.0,0.532,16.7,26.1,0.25,67.7,100.2,0.348,0.304,0.52,49.6,50.2,9.2,9.2,0.48200000000000004,15.5,27.3,0.248,2019,0.5,0.42857142857142855
