school,srs,sos,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga,year,rec,arec
Abilene Christian,-13.93,-7.53,71.25806451612904,73.29032258064517,40.32258064516129,54.96774193548387,0.452,18.387096774193548,0.36700000000000005,21.06451612903226,0.701,8.67741935483871,31.967741935483872,13.612903225806452,7.516129032258065,2.5161290322580645,13.483870967741936,21.967741935483872,40.32258064516129,53.61290322580645,0.47700000000000004,15.67741935483871,0.34600000000000003,23.70967741935484,0.7070000000000001,8.580645161290322,33.25806451612903,12.129032258064516,5.161290322580645,3.161290322580645,14.451612903225806,19.225806451612904,69.7,101.4,0.38299999999999995,0.335,0.5479999999999999,49.0,54.7,10.7,6.6,0.514,17.2,26.0,0.26899999999999996,69.7,104.3,0.442,0.292,0.565,51.0,47.5,7.3,8.6,0.527,18.2,26.9,0.313,2016,0.41935483870967744,0.14285714285714285
Air Force,-5.51,0.66,68.40625,72.8125,40.625,54.9375,0.428,18.625,0.33899999999999997,22.09375,0.6829999999999999,8.84375,34.59375,13.125,6.125,1.8125,13.21875,19.28125,40.625,56.96875,0.43,26.34375,0.344,20.84375,0.708,10.1875,37.09375,14.6875,6.59375,4.15625,13.625,20.75,69.0,97.6,0.402,0.33899999999999997,0.523,48.3,55.9,8.7,5.9,0.485,16.8,24.7,0.275,69.0,103.9,0.366,0.462,0.544,51.7,59.9,9.4,11.4,0.51,16.9,28.3,0.259,2016,0.4375,0.13333333333333333
Akron,5.55,-1.24,76.62857142857143,68.02857142857142,40.142857142857146,60.31428571428572,0.43200000000000005,30.542857142857144,0.38299999999999995,18.82857142857143,0.684,10.657142857142857,37.42857142857143,14.485714285714286,5.428571428571429,3.914285714285714,10.885714285714286,17.65714285714286,40.142857142857146,60.08571428571429,0.41,19.942857142857143,0.294,19.057142857142857,0.6779999999999999,11.457142857142857,37.57142857142857,11.228571428571428,5.885714285714286,2.2857142857142856,11.657142857142857,18.0,69.2,110.4,0.312,0.506,0.5529999999999999,49.9,55.7,7.8,9.8,0.528,13.6,29.0,0.214,69.2,98.0,0.317,0.332,0.49200000000000005,50.1,45.6,8.5,7.7,0.45899999999999996,14.4,30.0,0.215,2016,0.7428571428571429,0.42857142857142855
Alabama A&M,-13.47,-10.75,68.06896551724138,70.41379310344827,40.51724137931034,56.275862068965516,0.41700000000000004,20.655172413793103,0.292,22.137931034482758,0.684,11.379310344827585,34.48275862068966,12.620689655172415,5.620689655172414,2.103448275862069,11.724137931034482,19.344827586206897,40.51724137931034,55.13793103448276,0.45399999999999996,17.93103448275862,0.32299999999999995,21.96551724137931,0.662,10.586206896551724,35.3448275862069,12.10344827586207,5.896551724137931,2.896551724137931,10.89655172413793,20.344827586206897,65.7,102.3,0.39299999999999996,0.36700000000000005,0.51,49.4,53.7,8.4,5.7,0.47100000000000003,14.9,31.5,0.26899999999999996,65.7,105.9,0.39799999999999996,0.325,0.537,50.6,48.3,8.9,8.1,0.507,14.2,31.4,0.264,2016,0.3793103448275862,0.25
Alabama-Birmingham,3.5,-3.07,78.96969696969697,70.39393939393939,40.60606060606061,59.696969696969695,0.478,20.333333333333332,0.373,19.818181818181817,0.722,11.090909090909092,38.15151515151515,18.393939393939394,6.454545454545454,6.090909090909091,12.545454545454545,17.545454545454547,40.60606060606061,61.121212121212125,0.41700000000000004,21.575757575757574,0.327,17.848484848484848,0.693,11.818181818181818,34.666666666666664,13.030303030303031,6.212121212121212,3.121212121212121,12.636363636363637,17.87878787878788,69.4,112.0,0.332,0.341,0.5710000000000001,52.4,64.4,9.2,15.4,0.542,15.4,32.7,0.24,69.4,99.9,0.292,0.353,0.506,47.6,51.1,8.8,7.9,0.475,15.4,30.4,0.20199999999999999,2016,0.7878787878787878,0.7142857142857143
Alabama State,-13.11,-9.35,71.51612903225806,74.45161290322581,40.645161290322584,61.87096774193548,0.41100000000000003,20.870967741935484,0.332,20.096774193548388,0.684,12.548387096774194,37.193548387096776,12.0,5.838709677419355,3.4516129032258065,11.96774193548387,20.838709677419356,40.645161290322584,56.25806451612903,0.46299999999999997,18.35483870967742,0.33899999999999997,24.774193548387096,0.65,10.451612903225806,37.74193548387097,13.03225806451613,6.032258064516129,3.4193548387096775,12.903225806451612,17.677419354838708,69.5,101.2,0.325,0.337,0.501,49.6,47.2,8.3,9.1,0.467,14.4,31.5,0.222,69.5,105.4,0.44,0.326,0.547,50.4,50.0,8.5,8.3,0.519,15.9,29.8,0.28600000000000003,2016,0.45161290322580644,0.29411764705882354
Alabama,7.14,8.62,66.45454545454545,67.93939393939394,40.303030303030305,53.03030303030303,0.42200000000000004,23.12121212121212,0.33899999999999997,21.575757575757574,0.643,9.909090909090908,34.57575757575758,10.515151515151516,5.818181818181818,5.303030303030303,13.272727272727273,19.12121212121212,40.303030303030305,56.90909090909091,0.409,19.454545454545453,0.32899999999999996,22.272727272727273,0.6709999999999999,13.06060606060606,38.15151515151515,11.212121212121213,5.7272727272727275,2.909090909090909,12.181818181818182,19.606060606060606,66.1,99.7,0.40700000000000003,0.436,0.525,47.5,47.0,8.7,14.2,0.496,17.3,28.3,0.262,66.1,102.0,0.391,0.342,0.503,52.5,48.1,8.6,9.7,0.466,15.3,34.6,0.263,2016,0.5454545454545454,0.38461538461538464
Albany (NY),0.93,-7.57,75.60606060606061,66.06060606060606,40.45454545454545,56.06060606060606,0.45799999999999996,17.78787878787879,0.32,24.666666666666668,0.7509999999999999,11.727272727272727,38.666666666666664,12.424242424242424,6.545454545454546,1.5757575757575757,12.515151515151516,17.606060606060606,40.45454545454545,57.54545454545455,0.42200000000000004,22.727272727272727,0.305,15.636363636363637,0.6759999999999999,9.393939393939394,31.12121212121212,12.242424242424242,5.363636363636363,3.9696969696969697,12.969696969696969,21.060606060606062,67.8,110.3,0.44,0.317,0.5579999999999999,55.4,48.3,9.5,4.5,0.509,15.6,35.1,0.33,67.8,96.4,0.272,0.395,0.508,44.6,50.4,7.8,10.4,0.48200000000000004,16.6,25.9,0.184,2016,0.7272727272727273,0.5555555555555556
Alcorn State,-16.01,-9.94,67.13333333333334,72.13333333333334,40.833333333333336,56.4,0.408,18.866666666666667,0.307,22.533333333333335,0.6779999999999999,12.8,35.733333333333334,9.066666666666666,4.466666666666667,3.7,14.3,18.266666666666666,40.833333333333336,55.766666666666666,0.447,19.733333333333334,0.363,21.533333333333335,0.701,10.8,34.6,12.8,6.833333333333333,3.1666666666666665,11.9,19.433333333333334,66.5,99.0,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.6,35.0,0.271,66.5,106.3,0.386,0.354,0.547,49.2,51.3,10.1,8.4,0.511,15.3,32.0,0.271,2016,0.5,0.4
American,-14.18,-6.08,57.58064516129032,65.6774193548387,40.32258064516129,47.96774193548387,0.424,18.451612903225808,0.341,15.193548387096774,0.696,7.032258064516129,28.193548387096776,11.225806451612904,5.67741935483871,2.225806451612903,13.806451612903226,18.258064516129032,40.32258064516129,50.58064516129032,0.469,15.258064516129032,0.311,20.258064516129032,0.667,9.161290322580646,32.0,11.67741935483871,7.258064516129032,2.4193548387096775,11.935483870967742,17.096774193548388,62.0,92.2,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,20.0,23.5,0.221,62.0,105.1,0.401,0.302,0.545,53.2,49.3,11.6,8.2,0.516,16.5,30.2,0.267,2016,0.3870967741935484,0.3684210526315789
