school,srs,sos,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga,year,rec,arec
Abilene Christian,-9.14,-6.82,73.71875,71.21875,40.3125,58.5625,0.46399999999999997,20.5,0.325,18.09375,0.701,9.53125,34.15625,15.0625,8.125,4.0,14.40625,20.96875,40.3125,54.96875,0.43799999999999994,20.53125,0.326,23.21875,0.7070000000000001,9.78125,34.59375,11.5625,6.40625,2.84375,16.0,17.375,71.6,102.2,0.309,0.35,0.5489999999999999,49.7,55.4,11.3,11.6,0.521,17.7,27.8,0.217,71.6,98.7,0.42200000000000004,0.374,0.54,50.3,48.1,8.9,7.5,0.499,19.5,28.4,0.298,2018,0.5,0.4
Air Force,-4.31,1.72,68.51612903225806,72.38709677419355,40.16129032258065,56.483870967741936,0.419,24.35483870967742,0.331,17.93548387096774,0.7340000000000001,9.741935483870968,32.70967741935484,14.35483870967742,6.483870967741935,2.5161290322580645,12.612903225806452,17.967741935483872,40.16129032258065,54.38709677419355,0.46299999999999997,23.419354838709676,0.397,17.838709677419356,0.7120000000000001,8.838709677419354,34.483870967741936,14.419354838709678,5.612903225806452,3.4193548387096775,14.064516129032258,18.774193548387096,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233,67.7,106.5,0.32799999999999996,0.431,0.5760000000000001,51.3,57.2,8.3,10.6,0.5489999999999999,18.3,27.8,0.23399999999999999,2018,0.3870967741935484,0.23076923076923078
Akron,-6.82,-1.92,71.75,75.34375,40.46875,57.0,0.435,26.59375,0.358,18.1875,0.696,9.375,33.46875,13.0625,5.90625,2.53125,13.75,19.90625,40.46875,56.15625,0.461,22.5,0.35700000000000004,21.53125,0.723,9.3125,34.5625,13.21875,6.3125,3.5625,12.8125,17.3125,69.1,102.6,0.319,0.467,0.547,49.2,52.7,8.4,7.5,0.518,17.3,27.1,0.222,69.1,107.7,0.38299999999999995,0.401,0.5670000000000001,50.8,51.1,9.0,11.7,0.532,16.2,27.9,0.27699999999999997,2018,0.4375,0.16666666666666666
Alabama A&M,-23.97,-8.04,60.41935483870968,76.35483870967742,40.16129032258065,54.74193548387097,0.397,19.387096774193548,0.303,17.193548387096776,0.647,10.580645161290322,33.74193548387097,10.96774193548387,3.967741935483871,1.5806451612903225,16.580645161290324,16.322580645161292,40.16129032258065,59.483870967741936,0.478,19.193548387096776,0.38299999999999995,17.70967741935484,0.687,10.96774193548387,36.32258064516129,14.838709677419354,7.645161290322581,4.870967741935484,11.387096774193548,17.032258064516128,68.3,88.1,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.4,0.203,68.3,111.3,0.298,0.32299999999999995,0.562,51.8,52.2,11.1,13.8,0.54,14.4,32.1,0.204,2018,0.0967741935483871,0.05263157894736842
Alabama-Birmingham,4.9,-0.65,76.84848484848484,69.78787878787878,40.303030303030305,58.696969696969695,0.488,19.575757575757574,0.345,17.09090909090909,0.75,10.06060606060606,38.03030303030303,16.96969696969697,5.393939393939394,3.8484848484848486,13.242424242424242,14.848484848484848,40.303030303030305,59.15151515151515,0.424,25.848484848484848,0.342,15.545454545454545,0.696,9.121212121212121,31.363636363636363,13.333333333333334,7.03030303030303,3.0303030303030303,12.545454545454545,16.818181818181817,69.5,109.8,0.29100000000000004,0.33399999999999996,0.575,54.8,59.3,7.7,11.6,0.545,16.5,31.1,0.218,69.5,99.7,0.263,0.43700000000000006,0.524,45.2,53.2,10.0,7.7,0.498,15.9,24.6,0.183,2018,0.6060606060606061,0.45454545454545453
Alabama State,-18.55,-8.62,68.6774193548387,78.61290322580645,40.16129032258065,59.32258064516129,0.408,20.580645161290324,0.32799999999999996,20.870967741935484,0.6459999999999999,12.709677419354838,36.483870967741936,10.096774193548388,5.451612903225806,4.193548387096774,14.096774193548388,20.903225806451612,40.16129032258065,57.903225806451616,0.45299999999999996,20.35483870967742,0.377,26.967741935483872,0.685,12.64516129032258,39.74193548387097,13.483870967741936,6.67741935483871,3.838709677419355,12.935483870967742,19.032258064516128,70.5,97.0,0.35200000000000004,0.34700000000000003,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.22699999999999998,70.5,111.0,0.466,0.35200000000000004,0.556,52.1,51.4,9.4,9.9,0.519,15.5,34.7,0.319,2018,0.25806451612903225,0.23529411764705882
Alabama,12.34,10.64,72.33333333333333,70.63888888888889,40.0,54.861111111111114,0.461,19.5,0.326,23.0,0.67,9.944444444444445,35.833333333333336,12.722222222222221,6.333333333333333,5.333333333333333,14.25,18.77777777777778,40.0,58.583333333333336,0.41600000000000004,22.194444444444443,0.32799999999999996,21.36111111111111,0.685,11.5,35.47222222222222,11.86111111111111,6.583333333333333,3.7222222222222223,13.13888888888889,19.944444444444443,70.2,103.0,0.419,0.355,0.55,50.3,50.3,9.0,14.7,0.519,17.8,29.3,0.281,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16.0,30.8,0.25,2018,0.5588235294117647,0.125
Albany (NY),0.01,-5.41,74.21875,68.1875,40.0,57.375,0.457,15.6875,0.36700000000000005,21.25,0.754,11.78125,37.21875,12.65625,4.6875,2.84375,11.59375,16.5,40.0,56.5,0.446,20.4375,0.32899999999999996,15.71875,0.7020000000000001,8.15625,30.15625,13.53125,5.5,4.21875,11.5,19.8125,67.3,110.3,0.37,0.273,0.55,55.2,48.3,7.0,7.9,0.507,14.7,34.9,0.27899999999999997,67.3,101.3,0.278,0.36200000000000004,0.5329999999999999,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195,2018,0.6875,0.5333333333333333
Alcorn State,-18.07,-8.6,70.125,74.625,40.15625,57.0,0.434,21.78125,0.34299999999999997,18.6875,0.7070000000000001,9.5,34.5,13.09375,6.25,2.65625,14.34375,19.15625,40.15625,58.34375,0.433,23.9375,0.34700000000000003,22.375,0.7040000000000001,11.34375,36.84375,14.5625,6.28125,3.09375,13.09375,17.40625,70.4,99.2,0.32799999999999996,0.382,0.532,48.4,53.0,8.8,7.7,0.499,17.9,27.1,0.23199999999999998,70.4,105.5,0.384,0.41,0.541,51.6,57.6,8.9,8.8,0.505,16.0,31.2,0.27,2018,0.34375,0.1111111111111111
American,-14.63,-6.17,65.36666666666666,73.83333333333333,40.166666666666664,53.833333333333336,0.43200000000000005,23.633333333333333,0.337,16.366666666666667,0.664,7.933333333333334,28.966666666666665,12.233333333333333,7.233333333333333,3.2666666666666666,13.766666666666667,18.333333333333332,40.166666666666664,53.166666666666664,0.48700000000000004,17.3,0.38299999999999995,21.666666666666668,0.7140000000000001,9.4,35.3,13.733333333333333,6.933333333333334,3.6,13.766666666666667,16.633333333333333,67.4,96.6,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.4,0.20199999999999999,67.4,109.2,0.408,0.325,0.5820000000000001,54.9,53.1,10.3,11.9,0.5489999999999999,17.8,30.9,0.29100000000000004,2018,0.2,0.1111111111111111
